**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	25	0	32
3	1	1.75	0	0	26	0	-32
4	1	2	0	0	27	0	-32
6	1	2.5	0	0	28	0	-32
8	2	1	0	0	25	0	30
10	2	1.5	0	0	28	0	-30
11	2	1.75	0	0	-28	0	31
12	2	2	0	0	-28	0	29
14	2	2.5	0	0	27	0	-29
16	3	1	0	0	28	32	28
18	3	1.5	0	0	-28	-32	30
21	3	2.25	0	0	-28	-32	31
22	3	2.5	0	0	-28	-32	32
23	3	2.75	0	0	-28	-32	33
24	4	1	0	0	0	30	34
26	4	1.5	0	0	0	-30	35
27	4	1.75	0	0	0	31	-35
28	4	2	0	0	0	29	-35
30	4	2.5	0	0	0	-29	34
32	5	1	0	0	26	28	35
35	5	1.75	0	0	-26	29	-35
36	5	2	0	0	-26	30	35
38	5	2.5	0	0	-26	31	33
40	6	1	0	0	24	-31	-33
41	6	1.25	0	0	-24	30	-33
42	6	1.5	0	0	-24	29	32
43	6	1.75	0	0	25	-29	31
44	6	2	0	0	23	-29	32
46	6	2.5	0	0	-23	28	-32
48	7	1	22	0	22	29	31
50	7	1.5	-22	0	-22	-29	33
51	7	1.75	-22	0	23	-29	-33
52	7	2	-22	0	24	-29	34
53	7	2.25	-22	0	25	-29	-34
54	7	2.5	-22	0	26	-29	36
56	8	1	20	0	-26	0	-36
57	8	1.25	-20	0	25	0	-36
58	8	1.5	-20	0	25	0	35
59	8	1.75	21	0	-25	0	34
60	8	2	19	0	-25	0	35
62	8	2.5	-19	0	24	0	-35
64	9	1	18	25	25	29	34
68	9	2	0	-25	0	27	-34
69	9	2.25	0	-25	0	28	-34
70	9	2.5	18	-25	0	29	-34
71	9	2.75	-18	-25	0	27	-34
72	10	1	19	23	0	28	0
74	10	1.5	21	-23	26	26	0
75	10	1.75	-21	24	-26	-26	0
76	10	2	20	22	27	-26	0
77	10	2.25	-20	-22	28	-26	0
78	10	2.5	-20	-22	29	25	0
79	10	2.75	-20	-22	27	-25	0
80	11	1	19	21	28	26	0
83	11	1.75	-19	-21	27	27	0
84	11	2	-19	0	26	28	0
85	11	2.25	-19	0	-26	29	0
86	11	2.5	-19	21	25	30	0
88	12	1	0	22	24	-30	0
90	12	1.5	0	24	22	29	0
92	12	2	0	23	23	-29	0
93	12	2.25	0	-23	24	-29	0
94	12	2.5	0	-23	25	28	0
95	12	2.75	0	-23	23	-28	0
96	13	1	0	22	24	29	0
100	13	2	0	-22	24	27	36
101	13	2.25	0	-22	-24	28	-36
102	13	2.5	18	-22	25	29	-36
103	13	2.75	-18	-22	-25	27	-36
104	14	1	19	0	-25	28	35
105	14	1.25	-19	0	24	-28	-35
106	14	1.5	21	0	23	-28	33
107	14	1.75	-21	0	-23	27	-33
108	14	2	20	0	-23	25	34
109	14	2.25	-20	0	-23	26	35
