**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	28	0	32	35
4	1	2	-28	28	-32	-35
6	1	2.5	-28	-28	32	-35
8	2	1	26	28	33	35
10	2	1.5	-26	30	-33	-35
12	2	2	-26	-30	33	35
14	2	2.5	-26	29	-33	-35
15	2	2.75	-26	28	-33	-35
16	3	1	25	32	34	36
18	3	1.5	-25	31	-34	-36
19	3	1.75	-25	30	-34	-36
20	3	2	-25	29	-34	-36
22	3	2.5	-25	-29	35	37
23	3	2.75	-25	-29	34	36
24	4	1	21	28	35	37
26	4	1.5	-21	-28	34	-37
27	4	1.75	-21	-28	33	-37
28	4	2	0	-28	32	-37
30	4	2.5	28	-28	-32	-37
31	4	2.75	-28	-28	33	-37
32	5	1	27	31	34	0
34	5	1.5	26	-31	35	0
38	5	2.5	25	30	34	0
39	5	2.75	24	-30	33	0
40	6	1	23	-30	32	0
42	6	1.5	-23	28	-32	0
44	6	2	22	29	0	38
46	6	2.5	-22	-29	33	-38
47	6	2.75	-22	28	-33	-38
48	7	1	0	26	-33	-38
50	7	1.5	0	-26	33	37
52	7	2	26	0	30	-37
54	7	2.5	-26	30	33	35
56	8	1	27	29	31	36
58	8	1.5	-27	31	-31	-36
59	8	1.75	26	-31	32	35
60	8	2	24	-31	33	33
61	8	2.25	-24	30	-33	-33
62	8	2.5	26	28	-33	37
64	9	1	27	29	31	36
66	9	1.5	-27	-29	-31	38
67	9	1.75	26	28	32	-38
68	9	2	24	26	33	-38
69	9	2.25	-24	-26	-33	37
70	9	2.5	-24	-26	-33	36
71	9	2.75	25	-26	-33	-36
72	10	1	26	0	0	-36
74	10	1.5	0	30	33	35
75	10	1.75	26	-30	-33	-35
76	10	2	27	29	31	36
78	10	2.5	-27	31	-31	-36
79	10	2.75	26	-31	32	35
80	11	1	24	-31	33	33
81	11	1.25	-24	30	-33	34
82	11	1.5	25	29	32	35
83	11	1.75	-25	-29	-32	36
84	11	2	23	-29	-32	37
86	11	2.5	-23	28	30	-37
88	12	1	22	29	31	0
90	12	1.5	-22	-29	-31	33
92	12	2	-22	-29	-31	34
94	12	2.5	-22	-29	-31	36
96	13	1	0	-29	31	-36
97	13	1.25	0	-29	-31	35
97.5	13	1.375	0	-29	-31	34
98	13	1.5	22	-29	-31	33
100	13	2	23	0	32	32
102	13	2.5	25	0	-32	39
104	14	1	-25	0	30	-39
105	14	1.25	24	0	-30	-39
106	14	1.5	22	29	31	38
108	14	2	21	30	32	37
110	14	2.5	-21	32	-32	36
111	14	2.75	-21	-32	-32	35
112	15	1	0	-32	25	34
113	15	1.25	0	31	-25	-34
114	15	1.5	25	29	-25	-34
116	15	2	-25	30	0	0
117	15	2.25	24	-30	0	0
118	15	2.5	23	28	0	37
120	16	1	22	29	0	38
122	16	1.5	-22	27	0	36
124	16	2	21	28	32	37
126	16	2.5	25	29	-32	36
127	16	2.75	-25	-29	-32	35
128	17	1	-25	25	-32	34
129	17	1.25	24	-25	-32	-34
130	17	1.5	23	28	-32	0
131	17	1.75	-23	-28	-32	37
132	17	2	22	29	31	38
134	17	2.5	-22	27	-31	36
136	18	1	21	28	0	37
138	18	1.5	25	29	32	36
139	18	1.75	-25	-29	-32	35
140	18	2	-25	25	-32	34
141	18	2.25	26	-25	31	-34
142	18	2.5	27	0	30	-34
143	18	2.75	28	30	-30	-34
144	19	1	29	31	29	0
146	19	1.5	27	29	-29	0
148	19	2	28	30	28	0
150	19	2.5	27	29	-28	0
151	19	2.75	26	28	-28	0
152	20	1	25	27	32	0
154	20	1.5	28	28	-32	37
156	20	2	-28	29	0	38
158	20	2.5	27	-29	0	36
160	21	1	28	28	32	37
162	21	1.5	-28	-28	32	36
163	21	1.75	27	-28	-32	35
164	21	2	25	0	-32	34
165	21	2.25	-25	0	31	-34
166	21	2.5	26	30	30	0
167	21	2.75	-26	-30	-30	35
168	22	1	22	31	29	36
170	22	1.5	25	29	-29	34
172	22	2	21	30	32	35
174	22	2.5	25	29	32	34
175	22	2.75	-25	28	-32	33
176	23	1	-25	27	-32	32
177	23	1.25	-25	-27	31	-32
178	23	1.5	26	28	31	35
180	23	2	25	29	32	-35
182	23	2.5	-25	-29	-32	34
184	24	1	21	28	32	35
192	25	1	0	0	0	0
192	25	1	0	0	28	0
200	26	1	0	0	30	0
204	26	2	0	0	31	35
208	27	1	0	0	30	-35
212	27	2	0	0	0	37
214	27	2.5	0	0	30	-37
216	28	1	0	0	29	38
217	28	1.25	0	0	28	-38
218	28	1.5	0	0	29	-38
219	28	1.75	0	0	27	-38
220	28	2	0	0	28	37
222	28	2.5	0	0	32	-37
226	29	1.5	0	0	30	37
228	29	2	0	0	31	36
229	29	2.25	0	0	-31	35
230	29	2.5	0	0	29	36
231	29	2.75	0	0	-29	34
232	30	1	0	0	30	35
234	30	1.5	0	0	-30	39
235	30	1.75	0	0	31	-39
236	30	2	0	0	32	-39
238	30	2.5	0	0	33	37
240	31	1	0	0	-33	38
242	31	1.5	0	0	31	36
244	31	2	0	0	32	37
246	31	2.5	0	0	28	-37
247	31	2.75	0	0	29	-37
248	32	1	0	28	30	-37
250	32	1.5	0	-28	31	35
252	32	2	0	-28	32	37
254	32	2.5	0	-28	-32	38
256	33	1	0	30	-32	39
258	33	1.5	0	-30	-32	37
260	33	2	0	31	33	-37
262	33	2.5	0	-31	-33	36
264	34	1	0	30	0	37
266	34	1.5	0	-30	32	-37
268	34	2	23	28	-32	-37
269	34	2.25	-23	-28	31	-37
270	34	2.5	-23	30	30	-37
271	34	2.75	-23	-30	29	-37
272	35	1	23	-30	28	0
274	35	1.5	-23	32	27	0
276	35	2	22	31	-27	0
277	35	2.25	-22	-31	28	0
278	35	2.5	-22	-31	29	0
279	35	2.75	-22	-31	27	0
280	36	1	21	30	28	0
282	36	1.5	-21	-30	32	0
284	36	2	-21	-30	30	37
286	36	2.5	23	-30	32	-37
288	37	1	-23	0	-32	37
289	37	1.25	-23	0	31	36
290	37	1.5	25	0	30	35
291	37	1.75	-25	0	-30	34
292	37	2	24	0	-30	33
294	37	2.5	-24	0	29	-33
296	38	1	23	0	30	32
299	38	1.75	-23	0	-30	33
300	38	2	-23	32	-30	34
302	38	2.5	-23	-32	-30	35
304	39	1	0	32	0	36
306	39	1.5	0	-32	0	37
308	39	2	0	31	0	-37
310	39	2.5	0	-31	0	36
312	40	1	0	30	0	37
315	40	1.75	0	29	0	-37
316	40	2	23	28	0	39
317	40	2.25	-23	27	0	-39
318	40	2.5	-23	28	0	-39
320	41	1	23	25	0	39
322	41	1.5	-23	28	0	-39
324	41	2	22	-28	0	38
326	41	2.5	-22	27	0	-38
328	42	1	21	28	0	37
332	42	2	25	0	32	36
334	42	2.5	-25	0	-32	37
335	42	2.75	26	0	-32	-37
336	43	1	27	0	32	-37
338	43	1.5	28	0	-32	36
339	43	1.75	-28	0	-32	35
340	43	2	-28	0	31	36
342	43	2.5	27	0	-31	-36
344	44	1	28	0	30	0
346	44	1.5	-28	0	32	32
348	44	2	26	28	-32	33
350	44	2.5	-26	-28	31	35
352	45	1	25	29	32	-35
354	45	1.5	-25	-29	-32	34
355	45	1.75	-25	-29	-32	33
356	45	2	-25	-29	-32	34
358	45	2.5	-25	30	-32	-34
362	46	1.5	-25	29	-32	-34
363	46	1.75	-25	28	-32	-34
364	46	2	-25	29	-32	34
368	47	1	0	28	30	37
370	47	1.5	28	-28	-30	-37
372	47	2	27	32	0	36
374	47	2.5	28	-32	28	37
376	48	1	-28	-32	30	-37
378	48	1.5	27	-32	31	36
379	48	1.75	26	-32	-31	35
380	48	2	25	32	32	34
382	48	2.5	24	-32	-32	36
383	48	2.75	23	-32	-32	-36
384	49	1	22	31	33	-36
386	49	1.5	24	-31	-33	35
388	49	2	25	29	32	-35
390	49	2.5	-25	-29	-32	34
392	50	1	21	30	-32	35
394	50	1.5	28	-30	-32	-35
396	50	2	27	29	0	39
398	50	2.5	28	30	28	-39
400	51	1	-28	-30	30	-39
402	51	1.5	27	29	31	-39
403	51	1.75	26	28	-31	-39
404	51	2	25	27	32	39
406	51	2.5	24	29	-32	-39
407	51	2.75	23	-29	-32	-39
408	52	1	22	-29	33	38
410	52	1.5	-22	28	-33	-38
412	52	2	25	-28	32	36
414	52	2.5	-25	27	-32	-36
416	53	1	21	28	0	37
418	53	1.5	-21	-28	32	-37
420	53	2	-21	-28	33	-37
422	53	2.5	-21	-28	35	-37
426	54	1.5	-21	-28	34	-37
428	54	2	-21	-28	33	-37
432	55	1	-21	-28	32	-37
440	56	1	0	0	0	0
440	56	1	21	30	32	35
444	56	2	-21	-30	32	-35
446	56	2.5	-21	-30	30	34
447	56	2.75	-21	-30	-30	33
448	57	1	23	30	-30	32
450	57	1.5	24	-30	29	33
451	57	1.75	-24	-30	28	-33
452	57	2	25	29	27	34
454	57	2.5	-25	-29	32	-34
455	57	2.75	-25	-29	-32	35
456	58	1	-25	-29	-32	36
457	58	1.25	-25	-29	31	-36
458	58	1.5	24	-29	32	37
459	58	1.75	23	-29	-32	-37
460	58	2	22	29	33	38
462	58	2.5	-22	-29	34	-38
464	59	1	0	28	35	37
466	59	1.5	28	-28	-35	39
469	59	2.25	27	-28	0	38
470	59	2.5	26	-28	0	37
471	59	2.75	25	-28	0	-37
472	60	1	26	30	28	-37
474	60	1.5	-26	31	-28	36
475	60	1.75	-26	-31	-28	35
476	60	2	25	32	29	34
478	60	2.5	-25	-32	30	-34
479	60	2.75	-25	-32	-30	32
480	61	1	-25	-32	-30	34
482	61	1.5	-25	31	29	35
483	61	1.75	-25	30	28	-35
484	61	2	25	29	27	36
487	61	2.75	-25	-29	26	-36
488	62	1	0	0	28	32
490	62	1.5	0	32	-28	-32
491	62	1.75	0	-32	27	33
492	62	2	0	-32	25	34
493	62	2.25	0	31	-25	33
494	62	2.5	0	30	27	36
495	62	2.75	0	29	-27	-36
496	63	1	0	30	26	-36
498	63	1.5	0	-30	-26	35
500	63	2	0	29	0	36
502	63	2.5	22	-29	33	-36
505	64	1.25	23	0	32	0
506	64	1.5	24	0	33	0
508	64	2	25	0	34	0
510	64	2.5	26	0	33	0
512	65	1	27	0	-33	36
514	65	1.5	-27	0	32	-36
516	65	2	26	0	33	35
518	65	2.5	-26	26	-33	33
519	65	2.75	25	-26	-33	-33
520	66	1	24	-26	0	-33
521	66	1.25	-24	27	0	-33
522	66	1.5	23	28	0	32
524	66	2	24	29	0	31
525	66	2.25	23	-29	0	-31
526	66	2.5	21	30	33	30
528	67	1	22	31	-33	0
530	67	1.5	-22	-31	31	36
532	67	2	21	30	32	37
534	67	2.5	-21	-30	-32	39
