**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	28	0	0
4	1	2	0	28	32	0
8	2	1	0	0	32	0
10	2	1.5	0	28	-32	0
12	2	2	0	28	0	35
14	2	2.5	0	-28	32	-35
15	2	2.75	0	29	-32	-35
16	3	1	0	30	32	35
18	3	1.5	0	31	33	-35
22	3	2.5	0	30	32	35
23	3	2.75	0	29	31	-35
24	4	1	0	30	32	35
26	4	1.5	0	31	33	35
28	4	2	0	29	-33	36
30	4	2.5	0	-29	34	37
31	4	2.75	0	-29	-34	36
32	5	1	0	28	35	37
34	5	1.5	28	-28	-35	-37
36	5	2	28	0	-35	-37
38	5	2.5	26	30	-35	-37
40	6	1	-26	30	0	0
42	6	1.5	29	31	0	0
45	6	2.25	28	-31	0	0
46	6	2.5	27	29	0	0
47	6	2.75	26	-29	0	0
48	7	1	25	32	0	0
50	7	1.5	28	-32	0	0
51	7	1.75	-28	31	0	0
52	7	2	-28	30	0	0
53	7	2.25	27	29	0	0
54	7	2.5	26	31	0	0
55	7	2.75	25	-31	0	0
56	8	1	26	-31	0	0
57	8	1.25	-26	30	0	0
58	8	1.5	24	29	0	0
60	8	2	23	-29	0	37
62	8	2.5	-23	28	0	-37
64	9	1	22	29	33	38
70	9	2.5	-22	-29	32	37
71	9	2.75	-22	-29	31	36
72	10	1	0	0	32	37
74	10	1.5	0	0	31	36
76	10	2	0	31	29	-36
77	10	2.25	0	-31	-29	35
78	10	2.5	22	-31	-29	33
79	10	2.75	-22	-31	30	-33
80	11	1	-22	31	31	-33
81	11	1.25	-22	-31	32	-33
82	11	1.5	22	29	33	36
84	11	2	24	-29	-33	-36
85	11	2.25	-24	28	-33	-36
86	11	2.5	-24	26	32	35
87	11	2.75	23	27	31	-35
88	12	1	21	28	30	-35
89	12	1.25	-21	29	-30	34
90	12	1.5	21	30	30	32
91	12	1.75	-21	-30	31	-32
92	12	2	23	-30	32	-32
93	12	2.25	-23	-30	33	-32
94	12	2.5	24	26	31	35
96	13	1	23	25	32	-35
98	13	1.5	24	28	33	35
100	13	2	22	-28	31	36
102	13	2.5	-22	27	-31	38
104	14	1	21	28	0	-38
105	14	1.25	-21	-28	0	37
106	14	1.5	-21	-28	0	37
108	14	2	-21	0	32	-37
110	14	2.5	-21	28	-32	35
112	15	1	0	28	-32	-35
114	15	1.5	0	28	-32	34
115	15	1.75	0	-28	-32	33
116	15	2	25	29	-32	34
119	15	2.75	26	28	-32	-34
120	16	1	27	29	-32	0
122	16	1.5	28	30	-32	0
124	16	2	-28	-30	32	0
125	16	2.25	-28	28	-32	0
126	16	2.5	27	29	-32	0
128	17	1	28	30	-32	0
132	17	2	27	29	32	0
134	17	2.5	28	30	-32	0
136	18	1	25	29	32	0
138	18	1.5	21	30	32	0
140	18	2	23	-30	-32	0
141	18	2.25	22	-30	-32	0
142	18	2.5	23	29	31	0
143	18	2.75	24	28	30	0
144	19	1	25	27	29	0
146	19	1.5	-25	-27	29	32
148	19	2	-25	29	32	34
149	19	2.25	-25	-29	31	33
150	19	2.5	-25	-29	32	34
151	19	2.75	-25	-29	33	35
152	20	1	-25	-29	34	36
154	20	1.5	-25	-29	34	32
156	20	2	-25	0	32	36
158	20	2.5	-25	29	-32	-36
160	21	1	0	30	0	0
162	21	1.5	0	-30	32	32
164	21	2	0	30	32	34
165	21	2.25	0	-30	31	33
166	21	2.5	0	30	32	34
167	21	2.75	0	-30	33	35
168	22	1	25	29	34	36
170	22	1.5	-25	-29	-34	39
174	22	2.5	25	-29	34	38
175	22	2.75	-25	-29	-34	37
176	23	1	25	0	34	36
178	23	1.5	25	29	-34	-36
180	23	2	22	-29	33	-36
182	23	2.5	25	29	34	32
184	24	1	-25	30	-34	34
186	24	1.5	23	-30	32	-34
187	24	1.75	-23	-30	-32	35
188	24	2	24	29	33	36
190	24	2.5	25	-29	34	-36
192	25	1	21	28	35	37
194	25	1.5	-21	-28	34	-37
195	25	1.75	-21	-28	33	-37
196	25	2	-21	0	32	-37
197	25	2.25	-21	0	31	-37
198	25	2.5	-21	32	30	-37
