**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	21	28	32	35
8	2	1	21	28	32	35
12	2	2	24	28	33	35
16	3	1	-24	29	-33	38
18	3	1.5	22	-29	31	-38
20	3	2	22	-29	31	-38
22	3	2.5	-22	-29	-31	36
24	4	1	25	-29	34	36
30	4	2.5	24	-29	33	-36
32	5	1	23	30	32	39
34	5	1.5	22	-30	31	-39
36	5	2	21	-30	30	-39
38	5	2.5	-21	-30	29	38
40	6	1	-21	-30	28	37
42	6	1.5	-21	-30	32	36
44	6	2	28	-30	-32	35
45	6	2.25	-28	-30	31	-35
46	6	2.5	-28	-30	30	-35
47	6	2.75	27	-30	29	-35
48	7	1	26	0	28	0
50	7	1.5	25	0	27	0
52	7	2	24	31	26	0
54	7	2.5	23	-31	-26	0
56	8	1	22	-31	33	38
60	8	2	-22	31	-33	-38
62	8	2.5	-22	-31	-33	37
64	9	1	-22	31	33	36
66	9	1.5	-22	-31	-33	35
68	9	2	-22	-31	0	34
69	9	2.25	-22	-31	0	33
70	9	2.5	-22	-31	0	36
72	10	1	0	30	33	-36
74	10	1.5	26	-30	-33	35
76	10	2	27	29	32	36
78	10	2.5	29	31	31	33
80	11	1	-29	-31	29	34
81	11	1.25	28	-31	-29	-34
82	11	1.5	26	30	33	35
84	11	2	27	29	32	36
86	11	2.5	26	31	35	33
88	12	1	-26	30	-35	35
89	12	1.25	-26	29	-35	-35
90	12	1.5	25	29	34	36
91	12	1.75	24	-29	33	-36
92	12	2	23	-29	32	37
94	12	2.5	-23	28	-32	-37
96	13	1	22	29	31	33
98	13	1.5	-22	-29	-31	34
99	13	1.75	-22	-29	30	-34
100	13	2	-22	-29	31	-34
102	13	2.5	-22	-29	32	33
103	13	2.75	-22	-29	-32	32
104	14	1	22	29	-32	33
106	14	1.5	-22	-29	31	-33
108	14	2	0	30	32	32
112	15	1	25	-30	-32	0
114	15	1.5	-25	29	-32	0
115	15	1.75	26	28	-32	0
116	15	2	27	29	-32	0
118	15	2.5	28	28	-32	0
120	16	1	-28	30	-32	0
121	16	1.25	27	-30	-32	0
122	16	1.5	25	-30	-32	0
123	16	1.75	26	-30	-32	0
124	16	2	27	29	32	0
126	16	2.5	25	27	-32	0
128	17	1	26	28	0	0
130	17	1.5	27	29	0	0
132	17	2	28	30	0	0
135	17	2.75	26	28	0	0
136	18	1	27	29	0	0
138	18	1.5	25	30	0	0
140	18	2	26	-30	0	0
141	18	2.25	-26	28	0	0
142	18	2.5	27	29	0	0
144	19	1	28	30	0	32
147	19	1.75	27	-30	0	33
148	19	2	25	-30	0	34
150	19	2.5	26	-30	0	35
152	20	1	24	0	33	-35
154	20	1.5	-24	0	-33	36
156	20	2	23	0	32	37
158	20	2.5	-23	0	35	-37
159	20	2.75	-23	0	-35	35
160	21	1	0	0	34	36
162	21	1.5	0	0	32	34
164	21	2	0	0	33	35
166	21	2.5	0	0	34	36
168	22	1	21	28	35	37
170	22	1.5	-21	-28	-35	39
171	22	1.75	22	-28	34	-39
172	22	2	23	28	32	-39
174	22	2.5	24	-28	33	38
176	23	1	-24	30	-33	-38
178	23	1.5	25	-30	32	37
180	23	2	26	31	31	-37
182	23	2.5	27	-31	30	36
183	23	2.75	-27	-31	29	-36
184	24	1	28	30	28	37
187	24	1.75	27	-30	-28	36
188	24	2	25	-30	0	34
190	24	2.5	26	-30	28	35
192	25	1	23	30	-28	34
193	25	1.25	-23	-30	29	-34
194	25	1.5	25	-30	30	32
196	25	2	24	29	31	33
198	25	2.5	-24	-29	-31	32
199	25	2.75	-24	-29	-31	31
200	26	1	0	28	32	30
202	26	1.5	28	-28	30	-30
204	26	2	-28	29	31	0
206	26	2.5	27	-29	29	0
208	27	1	26	28	31	0
209	27	1.25	25	-28	-31	0
210	27	1.5	24	-28	30	0
211	27	1.75	23	-28	-30	0
212	27	2	24	29	33	0
216	28	1	23	30	32	0
218	28	1.5	-23	32	-32	37
220	28	2	21	-32	-32	-37
221	28	2.25	-21	31	-32	36
222	28	2.5	-21	30	-32	35
223	28	2.75	-21	29	-32	33
224	29	1	0	30	-32	35
226	29	1.5	25	29	-32	34
227	29	1.75	-25	28	-32	-34
228	29	2	25	29	-32	-34
230	29	2.5	25	30	-32	34
232	30	1	-25	29	0	34
233	30	1.25	26	28	0	-34
234	30	1.5	27	29	32	36
236	30	2	28	28	-32	37
238	30	2.5	26	-28	33	35
240	31	1	25	0	34	39
243	31	1.75	-25	0	-34	38
244	31	2	-25	0	-34	37
245	31	2.25	-25	0	-34	36
246	31	2.5	-25	0	33	37
247	31	2.75	-25	0	32	-37
248	32	1	24	0	33	38
249	32	1.25	-24	0	-33	37
250	32	1.5	-24	0	-33	36
251	32	1.75	-24	0	-33	35
252	32	2	25	0	32	34
254	32	2.5	-25	29	-32	-34
255	32	2.75	-25	-29	33	-34
256	33	1	0	-29	34	0
258	33	1.5	0	28	33	0
260	33	2	0	29	-33	0
262	33	2.5	25	27	32	34
264	34	1	-25	26	33	35
265	34	1.25	24	-26	-33	-35
266	34	1.5	24	-26	-33	33
267	34	1.75	-24	-26	32	-33
268	34	2	25	0	30	34
269	34	2.25	-25	0	29	-34
270	34	2.5	23	0	32	32
272	35	1	22	0	-32	33
274	35	1.5	-22	29	31	-33
276	35	2	0	-29	32	32
278	35	2.5	0	28	30	-32
280	36	1	0	29	29	0
282	36	1.5	25	27	34	32
284	36	2	-25	26	35	33
286	36	2.5	24	-26	-35	33
288	37	1	25	25	34	34
289	37	1.25	-25	-25	-34	35
290	37	1.5	23	-25	32	36
291	37	1.75	-23	-25	-32	37
292	37	2	22	29	-32	38
294	37	2.5	-22	-29	31	-38
296	38	1	21	30	32	37
298	38	1.5	-21	-30	-32	35
300	38	2	25	29	-32	36
302	38	2.5	-25	27	-32	-36
303	38	2.75	-25	-27	-32	35
304	39	1	26	28	0	33
305	39	1.25	-26	-28	0	34
306	39	1.5	-26	-28	0	35
307	39	1.75	-26	-28	0	34
307.5	39	1.875	-26	-28	0	35
308	39	2	25	27	0	36
310	39	2.5	23	-27	32	32
312	40	1	24	0	31	33
314	40	1.5	-24	0	29	-33
316	40	2	23	0	30	32
318	40	2.5	-23	30	32	-32
322	41	1.5	0	29	31	0
324	41	2	0	30	32	0
326	41	2.5	26	28	30	0
328	42	1	-26	27	29	0
330	42	1.5	25	-27	-29	34
332	42	2	26	26	28	35
334	42	2.5	24	-26	-28	-35
335	42	2.75	-24	-26	-28	36
336	43	1	23	0	-28	37
338	43	1.5	-23	30	-28	-37
340	43	2	22	31	29	33
343	43	2.75	-22	30	-29	31
344	44	1	-22	29	0	34
346	44	1.5	-22	28	0	33
348	44	2	0	27	0	-33
350	44	2.5	0	26	0	32
351	44	2.75	0	25	0	-32
352	45	1	0	26	0	-32
354	45	1.5	26	-26	0	31
356	45	2	27	25	0	32
358	45	2.5	-27	-25	29	36
359	45	2.75	26	26	-29	-36
360	46	1	25	27	-29	-36
361	46	1.25	-25	-27	30	35
362	46	1.5	24	28	31	33
364	46	2	23	-28	32	32
365	46	2.25	-23	29	-32	-32
366	46	2.5	22	30	33	35
367	46	2.75	21	-30	-33	-35
368	47	1	25	29	32	-35
370	47	1.5	-25	-29	30	34
372	47	2	21	28	30	35
373	47	2.25	-21	-28	29	-35
374	47	2.5	-21	-28	28	-35
375	47	2.75	-21	-28	27	-35
376	48	1	-21	-28	26	-35
380	48	2	-21	-28	25	-35
384	49	1	0	0	0	0
384	49	1	21	30	32	35
392	50	1	21	-30	32	35
396	50	2	25	30	32	34
400	51	1	-25	29	-32	-34
402	51	1.5	24	-29	-32	33
403	51	1.75	23	-29	-32	32
404	51	2	22	-29	31	34
406	51	2.5	-22	-29	-31	33
407	51	2.75	-22	-29	32	-33
408	52	1	24	28	33	-33
410	52	1.5	25	-28	34	32
412	52	2	26	-28	35	-32
414	52	2.5	-26	-28	-35	31
416	53	1	25	0	34	32
420	53	2	-25	30	-34	-32
428	54	2	21	30	35	0
432	55	1	25	29	34	0
435	55	1.75	-25	-29	32	0
436	55	2	22	-29	34	0
438	55	2.5	-22	-29	33	0
440	56	1	24	28	-33	0
442	56	1.5	25	-28	32	0
444	56	2	26	-28	-32	35
446	56	2.5	-26	-28	31	-35
448	57	1	25	0	32	34
452	57	2	-25	30	-32	-34
454	57	2.5	-25	-30	31	33
455	57	2.75	-25	-30	30	32
456	58	1	-25	29	32	34
458	58	1.5	-25	-29	33	35
460	58	2	-25	29	34	36
464	59	1	21	28	35	37
467	59	1.75	-21	-28	34	-37
468	59	2	-21	-28	33	35
470	59	2.5	-21	-28	32	-35
471	59	2.75	-21	-28	-32	36
472	60	1	0	-28	-32	37
474	60	1.5	0	-28	33	-37
476	60	2	24	-28	-33	38
478	60	2.5	-24	-28	32	-38
479	60	2.75	-24	-28	31	-38
480	61	1	21	-28	32	37
482	61	1.5	-21	-28	-32	37
483	61	1.75	22	-28	-32	-37
484	61	2	23	-28	-32	-37
486	61	2.5	24	-28	31	36
487	61	2.75	-24	-28	30	35
488	62	1	25	0	29	34
492	62	2	-25	29	32	-34
494	62	2.5	24	-29	-32	-34
495	62	2.75	23	-29	-32	-34
496	63	1	22	-29	31	0
498	63	1.5	25	-29	29	32
500	63	2	24	29	-29	33
501	63	2.25	-24	-29	28	-33
502	63	2.5	25	-29	27	34
503	63	2.75	-25	-29	26	-34
504	64	1	-25	30	25	-34
506	64	1.5	24	-30	26	35
507	64	1.75	23	-30	-26	-35
508	64	2	22	31	-26	-35
510	64	2.5	-22	-31	27	36
512	65	1	21	30	28	37
516	65	2	-21	26	0	0
518	65	2.5	22	27	0	0
520	66	1	23	-27	0	0
522	66	1.5	-23	28	0	0
524	66	2	24	-28	33	0
526	66	2.5	-24	29	-33	0
528	67	1	23	30	32	0
530	67	1.5	-23	-30	32	30
532	67	2	-23	-30	-32	32
534	67	2.5	24	-30	31	33
535	67	2.75	-24	-30	30	-33
536	68	1	25	0	31	34
538	68	1.5	26	0	30	35
540	68	2	24	0	-30	36
541	68	2.25	-24	0	-30	35
542	68	2.5	-24	0	29	34
543	68	2.75	-24	0	-29	33
544	69	1	23	0	30	32
546	69	1.5	25	27	-30	-32
548	69	2	24	28	0	0
550	69	2.5	-24	29	0	0
552	70	1	23	30	0	0
554	70	1.5	-23	32	0	34
556	70	2	0	31	33	35
558	70	2.5	0	-31	-33	36
560	71	1	23	30	32	37
562	71	1.5	-23	-30	32	-37
563	71	1.75	24	-30	-32	36
564	71	2	25	-30	-32	34
565	71	2.25	-25	-30	31	-34
566	71	2.5	26	-30	30	35
567	71	2.75	-26	-30	29	-35
568	72	1	-26	-30	28	-35
569	72	1.25	-26	-30	-28	34
570	72	1.5	25	-30	-28	33
571	72	1.75	24	-30	26	-33
572	72	2	23	-30	27	-33
574	72	2.5	-23	-30	25	32
576	73	1	22	31	29	33
578	73	1.5	-22	-31	28	-33
579	73	1.75	-22	-31	27	-33
580	73	2	0	-31	26	-33
582	73	2.5	24	-31	-26	-33
586	74	1.5	22	-31	-26	0
588	74	2	24	-31	33	0
591	74	2.75	25	-31	-33	0
592	75	1	26	31	-33	0
594	75	1.5	22	-31	-33	38
596	75	2	22	31	33	-38
598	75	2.5	-22	-31	-33	36
600	76	1	0	-31	33	38
602	76	1.5	22	-31	-33	-38
603	76	1.75	-22	-31	-33	37
604	76	2	26	31	-33	35
606	76	2.5	27	-31	-33	36
608	77	1	28	30	32	37
611	77	1.75	27	-30	-32	36
612	77	2	26	-30	0	35
614	77	2.5	25	-30	0	34
616	78	1	-25	29	32	-34
617	78	1.25	-25	-29	-32	35
618	78	1.5	24	-29	-32	36
620	78	2	23	28	-32	37
622	78	2.5	-23	-28	31	-37
623	78	2.75	-23	27	32	-37
623.5	78	2.875	-23	28	-32	-37
624	79	1	22	29	31	38
625	79	1.25	-22	28	-31	-38
626	79	1.5	-22	27	-31	-38
627	79	1.75	-22	26	-31	37
628	79	2	25	27	32	36
632	80	1	21	28	30	0
634	80	1.5	-21	-28	-30	37
635	80	1.75	-21	-28	31	-37
636	80	2	0	-28	32	35
638	80	2.5	28	-28	33	37
640	81	1	-28	0	32	-37
641	81	1.25	29	0	-32	38
642	81	1.5	30	0	35	39
643	81	1.75	28	0	-35	37
644	81	2	29	0	34	38
645	81	2.25	28	0	-34	37
646	81	2.5	27	0	33	36
647	81	2.75	26	0	-33	35
648	82	1	27	0	32	36
650	82	1.5	26	30	33	35
652	82	2	28	-30	-33	-35
653	82	2.25	-28	31	32	36
654	82	2.5	-28	32	30	37
655	82	2.75	-28	30	31	-37
656	83	1	27	31	32	36
657	83	1.25	-27	30	-32	-36
658	83	1.5	28	29	-32	35
659	83	1.75	-28	28	-32	-35
660	83	2	25	29	-32	-35
662	83	2.5	-25	-29	-32	34
664	84	1	0	28	0	35
666	84	1.5	28	-28	32	37
668	84	2	29	0	31	38
670	84	2.5	27	0	32	36
672	85	1	28	0	30	37
674	85	1.5	27	0	31	36
675	85	1.75	26	0	-31	35
676	85	2	25	0	32	34
678	85	2.5	-25	30	-32	-34
679	85	2.75	-25	-30	-32	33
680	86	1	24	31	33	33
682	86	1.5	-24	29	-33	36
683	86	1.75	-24	-29	31	-36
684	86	2	0	30	32	34
686	86	2.5	0	29	33	35
687	86	2.75	0	28	-33	-35
688	87	1	25	27	-33	36
690	87	1.5	-25	-27	32	-36
691	87	1.75	-25	-27	-32	34
692	87	2	24	26	33	35
694	87	2.5	-24	29	-33	36
696	88	1	23	27	0	37
698	88	1.5	-23	28	32	-37
700	88	2	22	29	31	38
703	88	2.75	-22	-29	29	37
704	89	1	0	0	30	35
706	89	1.5	0	29	31	36
708	89	2	0	31	29	-36
710	89	2.5	0	-31	-29	35
711	89	2.75	0	-31	-29	34
712	90	1	22	31	-29	33
716	90	2	23	30	27	32
719	90	2.75	-23	29	-27	-32
720	91	1	23	28	30	0
721	91	1.25	-23	27	-30	0
722	91	1.5	-23	30	-30	32
723	91	1.75	-23	-30	29	-32
724	91	2	25	-30	27	34
726	91	2.5	-25	29	30	-34
727	91	2.75	-25	28	-30	35
728	92	1	-25	27	29	36
730	92	1.5	-25	-27	32	-36
732	92	2	26	0	-32	35
734	92	2.5	-26	0	31	-35
736	93	1	25	27	32	34
738	93	1.5	-25	-27	-32	34
740	93	2	-25	29	0	-34
742	93	2.5	24	-29	0	33
743	93	2.75	23	-29	0	32
744	94	1	24	29	0	33
748	94	2	23	30	0	0
750	94	2.5	-23	-30	0	32
752	95	1	0	30	0	34
754	95	1.5	0	29	0	-34
755	95	1.75	0	-29	0	35
756	95	2	0	-29	0	36
758	95	2.5	25	28	0	37
759	95	2.75	-25	27	0	-37
760	96	1	26	28	0	-37
762	96	1.5	-26	-28	0	35
764	96	2	25	27	0	36
766	96	2.5	-25	-27	0	37
768	97	1	23	0	0	-37
770	97	1.5	24	29	0	36
771	97	1.75	-24	-29	0	35
772	97	2	25	30	0	34
774	97	2.5	-25	-30	32	-34
775	97	2.75	-25	-30	-32	35
776	98	1	-25	29	-32	36
777	98	1.25	-25	-29	-32	34
778	98	1.5	-25	-29	31	36
779	98	1.75	-25	-29	30	-36
780	98	2	0	27	29	-36
782	98	2.5	23	28	32	35
784	99	1	24	29	31	-35
786	99	1.5	25	-29	29	34
788	99	2	26	28	33	35
790	99	2.5	24	-28	35	38
792	100	1	28	0	-35	37
793	100	1.25	-28	0	34	-37
794	100	1.5	27	0	32	36
795	100	1.75	-27	0	33	-36
796	100	2	25	0	34	39
797	100	2.25	-25	0	33	-39
798	100	2.5	27	0	32	-39
799	100	2.75	-27	0	31	38
800	101	1	-27	0	32	36
802	101	1.5	26	31	33	35
803	101	1.75	-26	-31	34	36
804	101	2	-26	30	35	37
805	101	2.25	-26	-30	34	36
805.5	101	2.375	-26	-30	35	37
806	101	2.5	22	29	36	38
807	101	2.75	-22	-29	35	-38
808	102	1	23	32	34	37
809	102	1.25	24	-32	33	-37
810	102	1.5	25	-32	32	36
811	102	1.75	24	30	-32	35
811.5	102	1.875	25	-30	-32	-35
812	102	2	26	31	-32	36
813	102	2.25	-26	30	-32	-36
814	102	2.5	-26	29	31	35
815	102	2.75	-26	28	-31	-35
816	103	1	25	29	32	-35
818	103	1.5	-25	-29	-32	34
820	103	2	21	28	0	35
822	103	2.5	-21	-28	32	-35
824	104	1	-21	-28	30	-35
826	104	1.5	-21	-28	31	-35
828	104	2	-21	-28	32	-35
832	105	1	-21	-28	32	-35
*-	*-	*-	*-	*-	*-	*-
