**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	23	27	30	30
8	2	1	0	23	-27	30	32
16	3	1	0	24	26	28	33
20	3	2	0	24	-26	29	33
24	4	1	0	23	27	30	32
30	4	2.5	0	-23	-27	-30	32
32	5	1	0	0	27	0	32
34	5	1.5	0	25	-27	0	32
36	5	2	0	25	-27	0	30
38	5	2.5	0	25	-27	29	32
40	6	1	0	23	-27	30	-32
42	6	1.5	0	25	-27	29	31
43	6	1.75	0	-25	-27	-29	30
44	6	2	0	-25	-27	27	29
46	6	2.5	0	24	-27	29	32
47	6	2.75	0	23	-27	-29	-32
48	7	1	0	22	0	-29	31
50	7	1.5	0	25	0	27	32
52	7	2	0	21	0	28	30
53	7	2.25	0	-21	0	-28	31
54	7	2.5	0	-21	0	30	32
55	7	2.75	0	-21	0	-30	33
56	8	1	0	25	0	29	34
57	8	1.25	0	-25	0	28	-34
58	8	1.5	0	26	0	27	33
59	8	1.75	0	-26	0	26	-33
60	8	2	0	23	0	27	-33
61	8	2.25	0	-23	0	-27	32
62	8	2.5	0	-23	0	-27	32
64	9	1	19	0	28	26	33
68	9	2	19	23	-28	-26	-33
70	9	2.5	19	-23	-28	-26	-33
72	10	1	21	23	-28	0	0
74	10	1.5	-21	23	-28	0	0
76	10	2	-21	25	-28	0	0
78	10	2.5	20	-25	-28	0	0
79	10	2.75	19	-25	-28	0	0
80	11	1	18	-25	27	0	0
82	11	1.5	-18	24	-27	0	0
83	11	1.75	19	23	-27	0	0
84	11	2	20	22	-27	0	0
85	11	2.25	21	-22	-27	0	0
86	11	2.5	22	-22	-27	0	0
87	11	2.75	-22	23	-27	0	0
88	12	1	-22	24	26	0	0
89	12	1.25	-22	25	-26	0	0
90	12	1.5	19	26	-26	0	0
94	12	2.5	21	23	-26	0	0
96	13	1	-21	-23	25	0	0
98	13	1.5	20	22	-25	0	0
100	13	2	19	21	24	0	0
102	13	2.5	19	-21	-24	0	0
104	14	1	-19	21	23	0	0
105	14	1.25	18	-21	-23	0	0
106	14	1.5	17	-21	23	0	33
107	14	1.75	16	-21	-23	0	-33
108	14	2	17	19	-23	0	33
110	14	2.5	-17	-19	22	0	33
112	15	1	16	20	23	0	32
114	15	1.5	-16	-20	-23	30	30
116	15	2	-16	-20	-23	30	-30
118	15	2.5	-16	-20	-23	30	32
120	16	1	0	0	0	29	31
122	16	1.5	0	0	0	27	29
125	16	2.25	0	0	0	-27	30
126	16	2.5	0	0	0	29	31
127	16	2.75	0	0	0	-29	32
128	17	1	0	0	0	28	33
130	17	1.5	0	0	0	26	-33
131	17	1.75	0	0	0	-26	32
131.5	17	1.875	0	0	0	-26	31
132	17	2	0	0	0	-26	30
133	17	2.25	0	0	0	27	29
134	17	2.5	0	0	0	28	33
135	17	2.75	0	0	0	29	-33
136	18	1	0	0	0	27	-33
138	18	1.5	0	0	0	25	32
140	18	2	0	0	0	26	-32
142	18	2.5	0	0	0	-26	31
144	19	1	0	0	0	25	32
146	19	1.5	18	0	0	-25	-32
148	19	2	18	20	0	-25	-32
151	19	2.75	19	21	0	-25	-32
152	20	1	20	22	0	0	0
154	20	1.5	21	23	0	25	30
156	20	2	-21	-23	0	25	30
158	20	2.5	20	22	0	-25	-30
159	20	2.75	19	21	0	26	31
160	21	1	18	20	0	27	32
162	21	1.5	17	19	0	28	33
164	21	2	19	21	0	-28	-33
166	21	2.5	20	22	0	27	32
167	21	2.75	-20	-22	0	26	31
168	22	1	21	23	23	25	30
170	22	1.5	-21	-23	-23	21	32
171	22	1.75	20	22	-23	22	-32
172	22	2	19	21	-23	23	33
173	22	2.25	-19	-21	-23	24	-33
174	22	2.5	18	20	-23	25	34
176	23	1	19	19	-23	21	35
178	23	1.5	-19	-19	-23	30	-35
180	23	2	21	19	-23	-30	-35
182	23	2.5	-21	-19	-23	28	-35
184	24	1	18	20	22	29	34
186	24	1.5	-18	-20	-22	27	-34
188	24	2	-18	-20	-22	-27	34
190	24	2.5	-18	-20	-22	27	32
192	25	1	-18	-20	25	-27	-32
194	25	1.5	-18	-20	-25	27	31
195	25	1.75	-18	-20	-25	-27	30
196	25	2	-18	-20	-25	-27	29
197	25	2.25	-18	-20	-25	28	-29
198	25	2.5	-18	-20	-25	29	32
199	25	2.75	-18	-20	-25	30	-32
200	26	1	-18	0	-25	29	-32
201	26	1.25	-18	0	-25	-29	31
202	26	1.5	-18	0	-25	28	30
204	26	2	-18	0	-25	-28	29
205	26	2.25	-18	0	-25	27	-29
206	26	2.5	-18	0	-25	27	-29
208	27	1	0	0	26	28	28
210	27	1.5	0	19	-26	-28	-28
212	27	2	0	19	-26	0	-28
214	27	2.5	0	19	-26	30	-28
216	28	1	0	23	28	30	0
218	28	1.5	0	21	-28	30	32
220	28	2	0	-21	-28	30	32
221	28	2.25	0	22	-28	-30	-32
222	28	2.5	0	23	-28	-30	32
223	28	2.75	0	24	-28	-30	-32
224	29	1	0	25	27	29	32
226	29	1.5	23	-25	-27	27	-32
228	29	2	23	25	-27	-27	32
230	29	2.5	23	-25	-27	27	-32
232	30	1	19	23	26	28	33
234	30	1.5	19	-23	-26	-28	-33
235	30	1.75	-19	-23	-26	27	32
236	30	2	22	0	-26	26	31
237	30	2.25	-22	0	-26	25	30
238	30	2.5	21	0	-26	24	30
239	30	2.75	-21	0	-26	23	-30
240	31	1	22	0	26	24	-30
242	31	1.5	-22	0	-26	-24	29
244	31	2	19	0	-26	23	30
248	32	1	0	0	27	23	0
250	32	1.5	0	25	-27	-23	0
252	32	2	0	25	-27	-23	0
254	32	2.5	0	25	-27	-23	0
256	33	1	0	23	0	0	0
258	33	1.5	21	-23	0	0	0
259	33	1.75	-21	24	0	0	0
260	33	2	21	25	0	0	0
262	33	2.5	21	26	0	0	0
264	34	1	19	-26	0	0	0
266	34	1.5	-19	25	0	0	0
267	34	1.75	20	24	0	0	0
268	34	2	21	23	0	0	0
270	34	2.5	22	22	0	0	0
274	35	1.5	21	25	0	0	0
275	35	1.75	20	-25	0	0	0
276	35	2	19	-25	0	0	0
277	35	2.25	-19	24	0	0	0
278	35	2.5	-19	24	0	0	0
280	36	1	18	25	0	0	0
282	36	1.5	-18	-25	0	27	0
284	36	2	-18	0	0	27	0
286	36	2.5	-18	25	0	27	0
288	37	1	-18	-25	0	25	0
290	37	1.5	-18	25	0	-25	0
291	37	1.75	-18	-25	0	26	0
292	37	2	-18	22	0	27	0
293	37	2.25	-18	-22	0	25	0
294	37	2.5	-18	25	0	27	0
295	37	2.75	-18	-25	0	28	0
296	38	1	-18	-25	0	29	0
297	38	1.25	-18	24	0	-29	0
298	38	1.5	-18	23	0	28	0
300	38	2	-18	22	0	-28	0
