**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	29	0	36
8	2	1	0	29	0	33
12	2	2	0	26	0	-33
16	3	1	0	-26	0	35
18	3	1.5	0	27	0	36
20	3	2	0	28	0	37
24	4	1	0	29	0	38
27	4	1.75	0	-29	0	37
28	4	2	0	0	0	36
30	4	2.5	0	0	0	35
32	5	1	0	30	0	34
36	5	2	0	31	0	33
39	5	2.75	0	29	0	-33
40	6	1	0	30	0	0
41	6	1.25	0	31	0	0
42	6	1.5	0	32	0	0
44	6	2	0	-32	0	34
45	6	2.25	0	30	0	-34
46	6	2.5	0	31	0	-34
47	6	2.75	0	32	0	-34
48	7	1	0	33	0	35
51	7	1.75	0	-33	0	33
52	7	2	0	0	0	34
53	7	2.25	0	0	0	35
54	7	2.5	0	0	0	36
56	8	1	0	29	0	-36
57	8	1.25	0	-29	0	34
58	8	1.5	0	-29	0	35
59	8	1.75	0	-29	0	36
60	8	2	0	28	0	37
63	8	2.75	0	26	0	-37
64	9	1	0	27	0	36
66	9	1.5	0	28	0	35
68	9	2	0	29	0	-35
70	9	2.5	0	31	0	34
71	9	2.75	0	-31	0	33
72	10	1	0	30	0	32
78	10	2.5	0	-30	0	32
80	11	1	0	0	0	33
82	11	1.5	0	28	0	35
84	11	2	0	29	0	34
86	11	2.5	0	31	0	33
88	12	1	29	-31	0	-33
89	12	1.25	-29	30	0	32
90	12	1.5	-29	29	0	31
91	12	1.75	-29	28	0	30
92	12	2	-29	29	33	31
96	13	1	26	28	-33	30
100	13	2	26	-28	30	0
102	13	2.5	28	-28	-30	0
104	14	1	-28	0	30	0
106	14	1.5	27	0	32	0
107	14	1.75	26	0	-32	0
108	14	2	25	0	-32	0
110	14	2.5	26	0	31	0
111	14	2.75	-26	0	30	0
112	15	1	27	0	29	0
114	15	1.5	26	0	30	0
116	15	2	-26	0	31	0
117	15	2.25	23	0	-31	0
118	15	2.5	25	0	30	0
120	16	1	24	0	-30	0
122	16	1.5	-24	0	29	0
124	16	2	0	0	30	0
126	16	2.5	23	0	-30	0
129	17	1.25	24	0	-30	0
130	17	1.5	25	0	29	0
131	17	1.75	26	0	28	0
132	17	2	27	0	29	0
134	17	2.5	28	0	30	0
136	18	1	27	0	29	0
137	18	1.25	-27	0	28	0
138	18	1.5	26	0	27	0
139	18	1.75	-26	0	26	0
140	18	2	-26	0	27	0
141	18	2.25	25	0	-27	0
142	18	2.5	25	0	-27	0
144	19	1	26	0	0	0
146	19	1.5	-26	0	30	0
147	19	1.75	27	0	-30	0
148	19	2	28	0	-30	0
149	19	2.25	29	0	31	0
150	19	2.5	30	0	32	0
151	19	2.75	-30	0	33	0
152	20	1	-30	0	34	0
154	20	1.5	28	0	35	0
156	20	2	29	0	34	0
158	20	2.5	26	0	33	0
160	21	1	27	29	-33	0
161	21	1.25	-27	-29	32	0
162	21	1.5	-27	-29	32	0
164	21	2	26	30	33	0
166	21	2.5	-26	31	-33	33
169	22	1.25	-26	-31	-33	34
170	22	1.5	-26	30	-33	35
171	22	1.75	-26	29	-33	36
172	22	2	-26	28	-33	37
174	22	2.5	-26	29	-33	38
176	23	1	-26	30	-33	37
178	23	1.5	-26	31	-33	36
180	23	2	26	30	0	-36
182	23	2.5	-26	-30	33	35
184	24	1	27	29	32	36
186	24	1.5	-27	-29	31	-36
188	24	2	25	29	32	-36
190	24	2.5	-25	32	-32	-36
191	24	2.75	-25	-32	33	-36
192	25	1	-25	-32	34	0
194	25	1.5	-25	31	35	0
195	25	1.75	-25	30	-35	0
196	25	2	25	29	-35	36
198	25	2.5	-25	-29	34	-36
200	26	1	28	28	35	37
204	26	2	-28	32	-35	-37
206	26	2.5	-28	-32	-35	37
208	27	1	24	33	35	38
212	27	2	28	32	-35	37
214	27	2.5	-28	-32	35	-37
216	28	1	29	31	33	-37
218	28	1.5	-29	-31	-33	36
222	28	2.5	-29	-31	-33	35
223	28	2.75	-29	-31	-33	34
224	29	1	26	30	0	35
226	29	1.5	-26	-30	33	-35
230	29	2.5	-26	-30	32	-35
231	29	2.75	-26	-30	31	-35
232	30	1	-26	0	30	0
234	30	1.5	-26	0	31	0
236	30	2	-26	28	-31	33
238	30	2.5	-26	-28	30	-33
240	31	1	0	29	31	34
244	31	2	24	28	31	33
248	32	1	25	27	29	-33
250	32	1.5	-25	-27	-29	32
254	32	2.5	-25	-27	-29	31
255	32	2.75	-25	-27	-29	30
256	33	1	22	26	-29	31
264	34	1	0	-26	0	30
266	34	1.5	26	-26	0	-30
268	34	2	26	-26	28	-30
272	35	1	25	0	27	0
274	35	1.5	26	0	28	37
276	35	2	-26	0	-28	37
277	35	2.25	-26	0	29	-37
278	35	2.5	28	0	30	-37
279	35	2.75	-28	0	31	-37
280	36	1	27	0	32	36
282	36	1.5	26	0	28	37
284	36	2	28	0	32	-37
286	36	2.5	-28	0	-32	35
287	36	2.75	27	0	33	-35
288	37	1	25	0	34	36
291	37	1.75	26	0	-34	35
292	37	2	27	0	32	36
294	37	2.5	25	0	34	34
296	38	1	26	0	-34	35
298	38	1.5	24	0	33	33
300	38	2	23	0	32	34
301	38	2.25	-23	0	31	-34
302	38	2.5	30	0	32	-34
304	39	1	28	0	33	33
306	39	1.5	26	33	-33	35
308	39	2	-26	33	-33	-35
310	39	2.5	31	-33	-33	36
312	40	1	30	32	0	37
314	40	1.5	29	33	0	38
316	40	2	31	-33	33	-38
318	40	2.5	-31	31	-33	36
319	40	2.75	30	-31	-33	-36
320	41	1	28	32	35	37
323	41	1.75	29	31	34	36
324	41	2	30	32	32	34
326	41	2.5	28	30	35	37
328	42	1	29	31	34	-37
330	42	1.5	27	29	32	36
332	42	2	26	30	33	-36
333	42	2.25	-26	-30	-33	35
334	42	2.5	-26	-30	-33	35
336	43	1	22	29	33	36
344	44	1	0	0	0	0
344	44	1	0	0	29	0
348	44	2	0	0	30	0
350	44	2.5	0	0	31	0
352	45	1	29	0	-31	0
354	45	1.5	-29	0	30	0
355	45	1.75	-29	0	29	0
356	45	2	28	0	30	0
358	45	2.5	29	0	29	0
360	46	1	-29	0	31	0
362	46	1.5	28	0	32	0
363	46	1.75	27	0	-32	0
364	46	2	26	0	33	0
366	46	2.5	28	0	-33	0
368	47	1	27	0	0	0
370	47	1.5	26	0	0	0
372	47	2	28	0	33	0
374	47	2.5	27	0	-33	0
375	47	2.75	26	0	-33	0
376	48	1	27	0	32	0
378	48	1.5	26	0	33	0
380	48	2	28	0	-33	0
382	48	2.5	29	0	32	0
383	48	2.75	-29	0	31	0
384	49	1	30	0	30	0
386	49	1.5	-30	0	32	0
388	49	2	29	0	31	0
390	49	2.5	30	0	30	0
392	50	1	-30	0	32	0
394	50	1.5	29	0	31	0
395	50	1.75	28	0	30	0
396	50	2	29	0	31	0
398	50	2.5	30	0	30	0
400	51	1	28	0	-30	0
402	51	1.5	27	0	33	0
403	51	1.75	26	0	-33	0
404	51	2	27	0	-33	0
406	51	2.5	-27	0	32	0
408	52	1	26	0	33	0
412	52	2	-26	0	-33	33
416	53	1	0	0	0	34
418	53	1.5	0	0	0	35
420	53	2	0	0	33	-35
422	53	2.5	0	0	-33	34
423	53	2.75	0	0	-33	33
424	54	1	0	0	32	34
426	54	1.5	0	0	33	33
428	54	2	0	0	-33	35
430	54	2.5	0	0	32	36
431	54	2.75	0	0	31	-36
432	55	1	0	0	30	37
434	55	1.5	0	0	32	-37
436	55	2	0	0	31	36
438	55	2.5	0	0	30	37
440	56	1	0	0	32	-37
442	56	1.5	0	0	-32	36
443	56	1.75	0	0	31	35
444	56	2	0	0	29	34
446	56	2.5	0	0	-29	36
448	57	1	0	0	30	35
450	57	1.5	0	0	-30	34
452	57	2	0	0	29	38
454	57	2.5	0	0	30	39
458	58	1.5	0	0	29	38
459	58	1.75	0	0	28	37
460	58	2	0	0	27	36
462	58	2.5	0	0	26	37
464	59	1	26	0	28	-37
