**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0	33
4	1	2	0	0	29	31	-33
8	1	3	0	0	-29	31	-33
12	2	1	0	0	26	-31	-33
16	2	2	0	0	-26	30	-33
24	3	1	0	24	-26	0	33
28	3	2	0	24	-26	0	-33
36	4	1	19	23	26	30	-33
40	4	2	19	-23	-26	-30	-33
48	5	1	16	-23	27	-30	32
60	6	1	0	22	0	26	31
66	6	2.5	0	-22	0	27	-31
72	7	1	0	23	27	25	32
78	7	2.5	0	-23	28	-25	-32
84	8	1	0	24	26	28	33
90	8	2.5	0	-24	-26	29	-33
96	9	1	0	-24	28	26	-33
100	9	2	19	-24	-28	28	-33
102	9	2.5	-19	-24	26	29	-33
104	9	3	-19	23	26	-29	0
106	9	3.5	-19	-23	-26	28	0
108	10	1	15	22	0	29	33
112	10	2	17	-22	0	-29	-33
114	10	2.5	18	-22	0	-29	32
116	10	3	16	21	0	0	-32
118	10	3.5	-16	-21	0	0	30
120	11	1	15	22	26	29	31
128	11	3	-15	0	26	29	29
132	12	1	0	19	26	28	30
134	12	1.5	0	-19	-26	-28	31
136	12	2	0	21	-26	26	-31
138	12	2.5	0	-21	-26	25	30
140	12	3	15	22	-26	24	-30
142	12	3.5	-15	-22	-26	-24	29
144	13	1	19	21	-26	23	30
150	13	2.5	-19	-21	-26	26	-30
152	13	3	21	0	26	-26	0
153	13	3.25	-21	0	-26	25	0
154	13	3.5	22	0	-26	24	0
156	14	1	19	21	26	23	30
164	14	3	17	22	-26	0	31
168	15	1	16	23	25	23	32
172	15	2	-16	20	-25	-23	30
174	15	2.5	-16	-20	-25	-23	30
176	15	3	-16	21	-25	-23	-30
178	15	3.5	-16	-21	-25	-23	28
180	16	1	-16	18	25	-23	27
182	16	1.5	-16	-18	-25	-23	28
186	16	2.5	-16	-18	-25	-23	27
188	16	3	-16	18	-25	-23	27
192	17	1	17	21	26	0	0
194	17	1.5	-17	-21	-26	28	26
198	17	2.5	-17	22	-26	26	29
201	17	3.25	-17	21	-26	-26	-29
202	17	3.5	-17	19	-26	24	28
204	18	1	-17	21	-26	24	-28
208	18	2	-17	-21	-26	-24	31
214	18	3.5	-17	-21	-26	-24	30
216	19	1	19	-21	-26	28	30
222	19	2.5	-19	24	-26	-28	33
226	19	3.5	-19	23	-26	-28	32
228	20	1	-19	21	-26	28	31
230	20	1.5	-19	-21	-26	-28	30
231	20	1.75	-19	22	-26	-28	-30
232	20	2	-19	23	-26	-28	-30
234	20	2.5	-19	24	-26	26	29
236	20	3	-19	23	-26	-26	-29
238	20	3.5	-19	-23	-26	-26	28
240	21	1	15	22	-26	24	29
252	22	1	0	0	0	0	0
252	22	1	0	0	0	29	31
260	22	3	0	0	0	27	32
264	23	1	0	0	0	26	33
272	23	3	0	0	0	28	33
280	24	2	0	0	0	27	32
288	25	1	22	0	24	26	33
296	25	3	20	0	25	0	0
300	26	1	19	0	26	0	0
308	26	3	21	0	26	0	0
316	27	2	20	0	25	0	0
324	28	1	19	0	26	28	30
332	28	3	-19	0	-26	28	30
336	29	1	0	0	0	29	31
340	29	2	19	0	0	-29	-31
344	29	3	-19	0	0	28	30
348	30	1	19	0	0	26	28
356	30	3	19	0	0	28	0
360	31	1	21	0	26	-28	30
368	31	3	19	0	-26	-28	30
372	32	1	18	0	27	29	32
380	32	3	-18	0	-27	27	30
384	33	1	-18	0	27	25	29
390	33	2.5	-18	0	-27	-25	28
392	33	3	0	0	26	26	28
396	34	1	0	0	-26	24	26
400	34	2	0	0	25	23	27
408	35	1	19	0	26	-23	26
420	36	1	-19	0	26	0	28
424	36	2	-19	0	-26	23	-28
428	36	3	19	0	-26	-23	-28
432	37	1	17	0	26	24	-28
436	37	2	-17	0	-26	-24	28
440	37	3	17	0	-26	24	-28
444	38	1	18	0	25	22	27
448	38	2	-18	0	-25	23	-27
452	38	3	16	0	-25	27	27
456	39	1	-16	0	-25	28	30
460	39	2	-16	0	-25	27	29
462	39	2.5	-16	0	-25	26	28
464	39	3	-16	0	-25	25	27
468	40	1	0	0	25	23	28
472	40	2	23	0	-25	-23	27
476	40	3	-23	0	-25	21	28
480	41	1	21	0	-25	23	-28
484	41	2	22	0	-25	24	27
488	41	3	23	0	-25	23	-27
492	42	1	19	0	26	-23	26
496	42	2	22	0	-26	24	-26
502	42	3.5	21	0	-26	-24	-26
504	43	1	21	0	-26	23	-26
508	43	2	22	0	-26	24	-26
514	43	3.5	-22	0	-26	23	-26
516	44	1	19	0	-26	28	-26
528	45	1	0	0	0	0	0
528	45	1	22	22	24	29	0
534	45	2.5	21	-22	-24	-29	0
536	45	3	20	22	25	29	0
540	46	1	19	23	26	28	33
546	46	2.5	-19	-23	-26	-28	32
548	46	3	0	24	-26	-28	31
550	46	3.5	19	-24	-26	-28	-31
552	47	1	-19	21	-26	-28	30
554	47	1.5	19	26	-26	-28	-30
556	47	2	-19	-26	-26	28	-30
557	47	2.25	-19	25	-26	-28	-30
558	47	2.5	21	23	-26	-28	-30
560	47	3	-21	24	0	26	29
562	47	3.5	20	-24	0	29	-29
564	48	1	21	0	0	28	30
566	48	1.5	22	24	0	27	31
568	48	2	19	-24	0	-27	-31
569	48	2.25	-19	-24	0	-27	30
570	48	2.5	-19	23	0	26	28
572	48	3	20	-23	0	-26	29
574	48	3.5	-20	22	0	25	-29
576	49	1	19	23	26	26	28
582	49	2.5	-19	-23	-26	26	-28
586	49	3.5	-19	-23	-26	28	0
588	50	1	-19	-23	26	26	0
590	50	1.5	-19	-23	-26	28	33
592	50	2	17	24	-26	-28	-33
594	50	2.5	-17	-24	-26	26	35
596	50	3	-17	-24	-26	-26	33
598	50	3.5	-17	-24	-26	24	35
600	51	1	17	21	-26	28	-35
602	51	1.5	-17	-21	-26	-28	33
604	51	2	21	-21	-26	30	-33
606	51	2.5	-21	-21	-26	-30	32
608	51	3	22	24	-26	29	-32
610	51	3.5	-22	-24	-26	-29	31
612	52	1	18	22	25	27	32
614	52	1.5	21	21	-25	28	30
616	52	2	-21	22	-25	25	-30
618	52	2.5	20	-22	-25	-25	29
620	52	3	21	23	-25	0	28
622	52	3.5	-21	-23	-25	25	-28
624	53	1	18	22	-25	-25	27
626	53	1.5	-18	20	-25	27	30
630	53	2.5	-18	18	-25	27	29
632	53	3	16	18	-25	-27	-29
634	53	3.5	-16	-18	-25	28	32
636	54	1	15	0	26	29	31
638	54	1.5	-15	22	-26	22	-31
639	54	1.75	-15	-22	-26	-22	30
640	54	2	19	21	-26	23	30
642	54	2.5	-19	20	-26	24	29
644	54	3	-19	19	-26	23	-29
646	54	3.5	-19	-19	-26	-23	28
648	55	1	15	-19	-26	22	29
660	56	1	0	0	0	0	0
660	56	1	19	0	23	0	0
668	56	3	-19	0	24	0	0
672	57	1	19	0	23	0	0
676	57	2	-19	0	21	0	0
680	57	3	20	0	22	0	0
684	58	1	19	0	23	26	0
688	58	2	17	0	22	-26	0
692	58	3	18	23	20	27	0
696	59	1	19	-23	21	26	0
700	59	2	-19	24	-21	24	0
704	59	3	0	23	0	25	0
708	60	1	0	21	0	26	0
712	60	2	0	22	0	-26	0
716	60	3	0	23	0	25	0
720	61	1	0	-23	21	-25	0
724	61	2	0	21	23	25	0
728	61	3	0	-21	24	26	0
732	62	1	0	20	25	27	0
736	62	2	0	19	-25	28	0
740	62	3	0	-19	24	-28	0
742	62	3.5	0	22	-24	27	0
744	63	1	18	22	25	27	0
756	64	1	-18	-22	25	25	0
760	64	3	-18	-22	-25	27	0
764	64	5	-18	0	-25	28	0
768	65	1	20	22	-25	29	0
772	65	3	-20	-22	24	-29	0
776	65	5	-20	22	-24	-29	0
780	66	1	-20	22	24	29	0
786	66	4	19	19	-24	28	0
788	66	5	-19	21	23	26	0
790	66	6	-19	22	-23	-26	0
792	67	1	-19	23	-23	28	0
796	67	3	-19	21	24	-28	0
800	67	5	-19	-21	-24	26	0
802	67	6	-19	22	-24	-26	0
804	68	1	18	22	25	27	0
808	68	3	-18	-22	-25	25	0
812	68	5	-18	0	23	-25	0
814	68	6	-18	0	-23	26	0
816	69	1	0	22	24	26	0
820	69	3	0	-22	25	27	0
822	69	4	18	-22	-25	-27	0
824	69	5	-18	23	-25	-27	0
828	70	1	17	24	21	26	0
834	70	2.5	18	-24	-21	27	0
836	70	3	19	23	0	28	0
840	71	1	20	22	25	29	0
844	71	2	18	-22	-25	27	0
848	71	3	20	-22	-25	-27	0
850	71	3.5	-20	-22	-25	26	0
852	72	1	-20	-22	-25	25	0
856	72	2	19	21	26	-25	0
860	72	3	-19	-21	-26	24	0
864	73	1	18	22	27	25	0
872	73	3	0	0	25	0	0
876	74	1	18	22	25	27	0
882	74	2.5	19	-22	-25	28	0
884	74	3	20	22	-25	29	0
888	75	1	21	21	-25	30	0
892	75	2	17	19	26	28	0
896	75	3	20	22	-26	29	0
900	76	1	-20	-22	25	-29	0
902	76	1.5	-20	-22	-25	25	0
904	76	2	19	21	-25	28	0
906	76	2.5	-19	-21	24	-28	0
908	76	3	-19	-21	24	-28	0
912	77	1	18	22	25	27	0
916	77	2	-18	20	23	25	0
920	77	3	0	21	-23	26	0
922	77	3.5	0	-21	24	-26	0
924	78	1	0	18	25	27	0
928	78	2	0	21	23	25	0
930	78	2.5	0	-21	-23	26	0
934	78	3.5	0	-21	22	25	0
936	79	1	0	20	22	25	0
940	79	2	0	19	-22	-25	0
944	79	3	0	-19	21	24	0
946	79	3.5	0	20	-21	-24	0
948	80	1	18	20	22	25	0
960	80	1	0	0	0	0	0
*-	*-	*-	*-	*-	*-	*-	*-
