**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	25	32
8	1	3	27	0	25	36
12	2	1	27	0	29	36
14	2	1.5	-27	0	-29	36
18	2	2.5	26	0	-29	35
19	2	2.75	25	0	-29	34
20	2	3	24	0	29	33
22	2	3.5	25	0	-29	34
24	3	1	21	0	30	35
26	3	1.5	-21	0	-30	35
30	3	2.5	-21	0	-30	35
32	3	3	22	0	29	34
34	3	3.5	-22	0	-29	33
35	3	3.75	23	0	-29	-33
36	4	1	24	0	28	-33
37	4	1.25	25	0	-28	32
37.5	4	1.375	-25	0	-28	31
38	4	1.5	26	0	-28	30
40	4	2	22	0	0	29
42	4	2.5	-22	0	31	-29
46	4	3.5	-22	0	31	0
48	5	1	0	0	30	0
50	5	1.5	0	0	29	36
53	5	2.25	0	0	28	-36
53.5	5	2.375	0	0	27	-36
54	5	2.5	0	0	26	35
56	5	3	25	0	25	34
57	5	3.25	26	0	-25	-34
58	5	3.5	27	0	-25	-34
59	5	3.75	28	0	-25	32
60	6	1	26	0	0	33
62	6	1.5	25	0	0	34
64	6	2	21	0	28	32
65	6	2.25	-21	0	29	-32
66	6	2.5	-21	0	30	35
67	6	2.75	-21	0	31	-35
68	6	3	25	0	29	34
70	6	3.5	21	0	28	35
72	7	1	22	0	31	31
73	7	1.25	23	0	-31	32
74	7	1.5	24	0	-31	33
75	7	1.75	25	0	30	34
76	7	2	23	0	28	32
78	7	2.5	22	0	29	31
80	7	3	-22	0	27	-31
81	7	3.25	-22	0	28	-31
82	7	3.5	20	0	29	34
83	7	3.75	-20	0	30	-34
84	8	1	24	0	28	33
85	8	1.25	-24	0	-28	32
86	8	1.5	25	0	27	34
88	8	2	-25	0	25	-34
89	8	2.25	-25	0	26	33
90	8	2.5	21	0	27	32
91	8	2.75	-21	0	28	-32
92	8	3	22	0	26	-32
94	8	3.5	-22	0	-26	31
96	9	1	25	25	25	32
102	9	2.5	0	-25	32	0
104	9	3	0	25	32	0
106	9	3.5	25	-25	32	0
108	10	1	25	29	29	0
110	10	1.5	25	-29	-29	36
112	10	2	22	-29	0	36
114	10	2.5	-22	-29	31	36
116	10	3	-22	-29	-31	33
118	10	3.5	22	-29	31	-33
120	11	1	22	-29	31	-33
122	11	1.5	22	-29	31	-33
124	11	2	22	-29	31	0
126	11	2.5	24	-29	-31	33
128	11	3	-24	29	24	33
130	11	3.5	23	-29	-24	33
131	11	3.75	22	-29	-24	-33
132	12	1	21	30	28	33
134	12	1.5	-21	-30	-28	35
135	12	1.75	-21	-30	28	-35
136	12	2	-21	-30	28	-35
138	12	2.5	-21	-30	28	34
139	12	2.75	-21	-30	-28	33
140	12	3	0	30	28	32
142	12	3.5	24	31	-28	33
144	13	1	21	30	-28	32
146	13	1.5	24	31	-28	33
149	13	2.25	25	30	0	32
150	13	2.5	26	29	0	35
