**absq	**bar	**beat	**b7	**b7	**b7	**b7
8	1	3	23	0	0	0
12	2	1	23	0	0	0
16	2	2	24	0	0	0
18	2	2.5	24	0	0	0
20	2	3	23	0	30	0
24	3	1	-23	0	30	0
26	3	1.5	21	0	-30	0
28	3	2	22	0	31	0
30	3	2.5	-22	0	31	0
32	3	3	23	0	30	30
36	4	1	19	0	-30	30
38	4	1.5	26	0	28	-30
40	4	2	24	0	29	31
42	4	2.5	22	0	-29	31
44	4	3	26	0	30	30
46	4	3.5	28	0	-30	-30
48	5	1	-28	0	26	-30
50	5	1.5	27	0	28	28
51	5	1.75	26	0	-28	-28
52	5	2	25	0	-28	29
54	5	2.5	-25	0	27	-29
56	5	3	21	30	28	30
58	5	3.5	28	-30	-28	-30
60	6	1	-28	30	0	26
61	6	1.25	27	-30	0	-26
62	6	1.5	26	-30	28	-26
63	6	1.75	25	-30	-28	-26
64	6	2	24	31	-28	33
66	6	2.5	22	31	29	-33
68	6	3	23	30	27	32
70	6	3.5	-23	-30	28	-32
72	7	1	26	-30	-28	30
74	7	1.5	-26	28	27	-30
75	7	1.75	-26	-28	26	31
76	7	2	25	29	27	32
78	7	2.5	24	-29	26	33
80	7	3	23	30	27	-33
82	7	3.5	-23	-30	-27	32
84	8	1	22	26	0	33
86	8	1.5	-22	-26	29	-33
88	8	2	0	-26	31	-33
90	8	2.5	22	-26	-31	-33
91	8	2.75	-22	-26	30	-33
92	8	3	24	-26	29	0
94	8	3.5	-24	-26	28	0
95	8	3.75	23	-26	-28	0
96	9	1	22	-26	29	0
98	9	1.5	21	-26	26	0
100	9	2	22	-26	29	0
102	9	2.5	19	-26	28	0
104	9	3	22	-26	29	0
106	9	3.5	21	-26	30	0
108	10	1	22	-26	31	0
110	10	1.5	19	-26	30	33
112	10	2	21	-26	-30	-33
113	10	2.25	-21	-26	29	32
114	10	2.5	22	-26	29	31
116	10	3	19	-26	-29	30
118	10	3.5	-19	-26	28	30
120	11	1	22	-26	29	29
122	11	1.5	-22	-26	31	36
124	11	2	22	-26	-31	-36
126	11	2.5	22	-26	31	36
128	11	3	22	-26	31	36
130	11	3.5	22	-26	31	36
132	12	1	19	0	30	35
135	12	1.75	-19	0	-30	34
136	12	2	21	0	23	33
138	12	2.5	-21	0	-23	32
139	12	2.75	20	0	-23	-32
140	12	3	19	0	24	35
142	12	3.5	18	0	25	-35
143	12	3.75	-18	0	-25	34
144	13	1	21	0	26	33
145	13	1.25	-21	0	-26	32
146	13	1.5	-21	0	25	35
147	13	1.75	20	0	-25	-35
148	13	2	19	0	28	-35
149	13	2.25	18	0	-28	34
150	13	2.5	21	0	-28	33
152	13	3	22	0	27	-33
154	13	3.5	23	0	-27	32
156	14	1	19	0	0	33
158	14	1.5	22	0	26	-33
160	14	2	-22	0	-26	30
162	14	2.5	21	0	26	-30
