**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	25	0
2	1	2	0	0	25	0
4	1	3	0	0	27	0
6	1	4	0	0	27	0
8	2	1	0	0	28	32
10	2	2	0	0	28	32
12	2	3	0	0	29	34
14	2	4	0	0	-29	34
16	3	1	0	0	0	35
18	3	2	0	0	30	35
20	3	3	0	0	29	36
22	3	4	0	0	27	36
24	4	1	0	0	-27	34
26	4	2	0	0	29	-34
27	4	2.5	0	0	-29	35
28	4	3	0	0	-29	36
30	4	4	0	0	32	37
33	5	1.5	0	0	31	36
34	5	2	0	0	30	36
35	5	2.5	0	0	30	35
36	5	3	0	0	29	36
38	5	4	18	0	-29	-36
40	6	1	18	0	-29	-36
42	6	2	18	0	-29	-36
44	6	3	20	0	0	0
46	6	4	20	25	0	0
48	7	1	21	25	0	0
50	7	2	21	25	0	0
52	7	3	22	27	0	0
54	7	4	-22	27	0	0
56	8	1	0	28	0	0
58	8	2	23	28	0	0
60	8	3	22	29	0	0
62	8	4	-22	27	0	0
63	8	4.5	-22	28	0	0
64	9	1	-22	29	0	0
66	9	2	25	30	0	0
69	9	3.5	24	29	0	0
70	9	4	23	29	0	0
71	9	4.5	23	28	0	0
72	10	1	22	29	31	36
75	10	2.5	-22	-29	31	36
76	10	3	-22	-29	31	36
78	10	4	-22	-29	31	36
80	11	1	0	0	30	35
82	11	2	0	0	29	34
84	11	3	0	0	28	33
86	11	4	0	0	27	32
88	12	1	0	0	26	31
90	12	2	22	29	-26	31
92	12	3	23	28	25	32
94	12	4	23	28	-25	32
96	13	1	22	29	26	31
98	13	2	22	29	-26	-31
100	13	3	22	29	-26	-31
102	13	4	22	29	-26	-31
104	14	1	21	30	0	0
106	14	2	23	-30	0	0
107	14	2.5	-23	29	0	0
108	14	3	-23	28	0	0
109	14	3.5	22	27	0	0
110	14	4	21	26	0	0
111	14	4.5	20	25	0	0
112	15	1	21	26	0	0
113	15	1.5	20	-26	0	0
114	15	2	19	25	0	0
115	15	2.5	18	-25	0	0
116	15	3	19	-25	0	0
118	15	4	-19	24	0	0
120	16	1	18	25	0	0
122	16	2	-18	-25	32	0
124	16	3	0	-25	32	0
126	16	4	25	-25	32	0
128	17	1	25	0	32	0
130	17	2	25	0	32	36
132	17	3	25	0	32	36
134	17	4	25	29	-32	36
135	17	4.5	-25	-29	31	-36
135.5	17	4.75	-25	-29	30	-36
136	18	1	25	29	29	36
138	18	2	-25	29	-29	36
139	18	2.5	24	-29	-29	-36
139.5	18	2.75	23	-29	-29	-36
140	18	3	22	29	0	36
142	18	4	-22	29	0	-36
143	18	4.5	-22	-29	0	35
143.5	18	4.75	-22	-29	0	34
144	19	1	-22	29	0	33
147	19	2.5	-22	28	0	-33
147.5	19	2.75	-22	27	0	-33
148	19	3	-22	26	0	-33
150	19	4	-22	-26	29	-33
152	20	1	0	0	31	0
154	20	2	0	0	31	33
156	20	3	0	0	30	35
159	20	4.5	0	0	-30	36
160	21	1	0	0	-30	35
162	21	2	0	0	29	34
164	21	3	0	0	28	33
166	21	4	0	0	-28	32
167	21	4.5	0	0	27	-32
168	22	1	0	0	26	31
170	22	2	20	25	0	0
172	22	3	21	26	0	0
173	22	3.5	20	25	0	0
174	22	4	19	-25	0	0
175	22	4.5	-19	24	0	0
176	23	1	18	25	0	0
178	23	2	-18	-25	27	32
180	23	3	0	0	28	33
181	23	3.5	0	0	27	32
182	23	4	0	0	26	32
183	23	4.5	0	0	26	31
184	24	1	0	0	25	32
186	24	2	25	27	29	32
188	24	3	24	28	31	33
190	24	4	22	29	31	34
192	25	1	21	30	32	35
194	25	2	-21	-30	-32	35
195	25	2.5	-21	29	31	34
196	25	3	21	28	30	33
197	25	3.5	-21	27	29	32
198	25	4	24	28	31	33
201	26	1.5	25	27	30	-33
202	26	2	23	26	29	32
203	26	2.5	-23	25	28	-32
