**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	32	0
4	1	2	0	0	30	0
6	1	2.5	0	0	30	0
8	2	1	0	28	32	0
10	2	1.5	0	-28	32	0
12	2	2	0	26	33	0
14	2	2.5	0	26	-33	0
16	3	1	0	28	32	35
18	3	1.5	0	28	-32	-35
20	3	2	0	29	0	33
22	3	2.5	0	-29	0	33
24	4	1	0	28	0	35
26	4	1.5	0	-28	0	35
28	4	2	0	0	31	36
31	4	2.75	0	0	32	-36
32	5	1	0	0	33	35
34	5	1.5	0	0	33	-35
36	5	2	0	28	32	-35
39	5	2.75	0	29	-32	-35
40	6	1	0	30	-32	35
43	6	1.75	0	-30	-32	36
44	6	2	0	26	30	37
46	6	2.5	0	-26	-30	37
48	7	1	0	0	31	36
50	7	1.5	0	29	-31	-36
52	7	2	0	-29	-31	34
54	7	2.5	0	27	30	36
55	7	2.75	0	-27	29	-36
56	8	1	0	28	30	35
58	8	1.5	0	29	31	33
60	8	2	0	25	32	32
62	8	2.5	0	-25	31	-32
63	8	2.75	0	-25	30	-32
64	9	1	25	0	29	-32
66	9	1.5	25	0	-29	-32
68	9	2	26	28	0	0
70	9	2.5	26	28	0	0
72	10	1	27	29	0	0
74	10	1.5	-27	29	0	0
75	10	1.75	26	-29	0	0
75.5	10	1.875	25	-29	0	0
76	10	2	25	30	0	0
79	10	2.75	-25	29	0	0
79.5	10	2.875	-25	28	0	0
80	11	1	28	28	0	0
83	11	1.75	27	-28	0	0
84	11	2	27	31	0	0
85	11	2.25	26	-31	0	0
86	11	2.5	26	-31	0	0
87	11	2.75	-26	30	0	0
88	12	1	-26	30	0	0
89	12	1.25	25	29	0	0
90	12	1.5	24	29	0	0
92	12	2	23	-29	32	0
94	12	2.5	-23	28	-32	37
96	13	1	22	29	31	38
98	13	1.5	-22	-29	31	-38
100	13	2	0	0	30	39
101	13	2.25	0	0	31	-39
102	13	2.5	25	30	32	-39
103	13	2.75	-25	-30	30	-39
104	14	1	24	31	33	35
106	14	1.5	22	-31	-33	38
107	14	1.75	-22	-31	-33	37
108	14	2	25	32	34	36
109	14	2.25	-25	-32	-34	35
110	14	2.5	-25	-32	32	36
112	15	1	26	28	-32	-36
113	15	1.25	-26	-28	31	-36
114	15	1.5	-26	-28	31	35
116	15	2	25	29	32	-35
117	15	2.25	-25	-29	-32	34
118	15	2.5	-25	29	-32	34
120	16	1	21	28	-32	35
122	16	1.5	-21	-28	31	-35
123	16	1.75	-21	-28	30	-35
124	16	2	-21	-28	30	-35
128	17	1	28	0	-30	0
130	17	1.5	28	0	-30	0
132	17	2	27	0	0	0
134	17	2.5	27	0	0	0
136	18	1	28	0	32	0
138	18	1.5	28	0	32	0
140	18	2	26	0	31	0
142	18	2.5	-26	0	31	0
144	19	1	0	0	32	0
146	19	1.5	27	0	32	0
148	19	2	28	0	30	0
150	19	2.5	29	0	31	0
153	20	1.25	-29	0	30	0
154	20	1.5	28	0	29	0
155	20	1.75	-28	0	28	0
156	20	2	-28	0	29	0
157	20	2.25	27	0	-29	0
158	20	2.5	27	0	-29	0
159	20	2.75	26	0	-29	0
160	21	1	28	30	28	35
164	21	2	-28	30	32	-35
166	21	2.5	-28	30	-32	-35
168	22	1	0	28	32	37
170	22	1.5	0	-28	32	37
172	22	2	25	29	32	36
176	23	1	25	27	32	-36
178	23	1.5	25	29	-32	-36
180	23	2	25	-29	-32	36
181	23	2.25	-25	28	-32	-36
182	23	2.5	-25	27	-32	-36
184	24	1	22	26	0	-36
186	24	1.5	-22	-26	31	-36
188	24	2	25	25	32	34
190	24	2.5	25	-25	34	36
192	25	1	26	28	33	35
194	25	1.5	-26	28	30	33
195	25	1.75	-26	-28	31	-33
196	25	2	25	29	32	34
198	25	2.5	-25	29	-32	-34
200	26	1	-25	30	-32	-34
201	26	1.25	-25	29	-32	-34
202	26	1.5	-25	28	-32	33
203	26	1.75	-25	27	-32	32
204	26	2	21	28	32	32
206	26	2.5	-21	-28	32	-32
208	27	1	0	-28	33	35
210	27	1.5	0	-28	33	35
212	27	2	0	25	34	36
214	27	2.5	0	-25	-34	36
216	28	1	0	0	32	37
220	28	2	0	0	0	35
222	28	2.5	0	0	35	-35
226	29	1.5	0	0	34	38
228	29	2	0	0	33	-38
229	29	2.25	0	0	32	-38
230	29	2.5	0	0	31	37
231	29	2.75	0	0	30	-37
232	30	1	0	0	31	36
234	30	1.5	0	0	-31	36
236	30	2	0	0	30	37
237	30	2.25	0	0	-30	36
