**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	26	0	0
4	1	3	19	-26	0	0
10	2	2	20	-26	0	0
11	2	2.5	21	-26	0	0
12	2	3	22	-26	0	0
16	3	1	21	26	0	0
20	3	3	-21	26	28	30
22	3	4	19	-26	-28	-30
24	4	1	19	26	-28	-30
26	4	2	-19	-26	29	31
27	4	2.5	-19	-26	30	32
28	4	3	-19	-26	31	33
32	5	1	0	0	30	32
36	5	3	0	28	-30	-32
38	5	4	0	-28	31	33
39	5	4.5	0	-28	32	34
40	6	1	19	-28	33	35
42	6	2	-19	29	-33	-35
43	6	2.5	-19	30	-33	-35
44	6	3	-19	31	33	35
46	6	4	-19	30	-33	-35
48	7	1	19	-30	33	35
49	7	1.5	-19	-30	32	-35
50	7	2	-19	29	31	-35
51	7	2.5	-19	-29	30	-35
52	7	3	-19	-29	31	-35
53	7	3.5	-19	28	-31	-35
54	7	4	-19	28	-31	34
55	7	4.5	-19	-28	-31	33
56	8	1	18	29	32	34
62	8	4	-18	-29	-32	30
64	9	1	19	0	28	30
67	9	2.5	-19	0	29	-30
68	9	3	19	28	30	33
69	9	3.5	-19	-28	31	-33
70	9	4	-19	-28	30	-33
71	9	4.5	20	-28	-30	-33
72	10	1	21	-28	-30	-33
74	10	2	22	27	29	32
75	10	2.5	-22	-27	-29	31
76	10	3	20	25	-29	32
78	10	4	-20	-25	27	-32
80	11	1	19	26	28	28
82	11	2	-19	-26	26	-28
84	11	3	-19	26	30	35
87	11	4.5	-19	27	-30	-35
88	12	1	17	28	31	-35
90	12	2	-17	29	-31	34
91	12	2.5	-17	-29	-31	33
92	12	3	18	27	29	34
96	13	1	19	26	28	30
100	13	3	19	-26	28	33
103	13	4.5	20	-26	29	-33
104	14	1	21	26	30	-33
106	14	2	22	-26	31	32
107	14	2.5	-22	-26	-31	31
108	14	3	18	27	29	32
110	14	4	-18	-27	30	-32
111	14	4.5	-18	-27	-30	28
112	15	1	19	26	23	28
120	16	1	20	0	0	0
124	16	3	22	0	0	0
128	17	1	21	23	0	0
132	17	3	24	26	0	0
136	18	1	23	25	0	0
140	18	3	0	28	0	0
142	18	4	26	-28	0	0
144	19	1	-26	27	0	0
146	19	2	25	-27	0	0
148	19	3	-25	30	0	0
149	19	3.5	24	-30	0	0
150	19	4	23	-30	0	0
151	19	4.5	22	-30	0	0
152	20	1	21	30	0	0
154	20	2	20	29	0	0
155	20	2.5	19	-29	0	0
156	20	3	18	-29	0	0
157	20	3.5	-18	28	0	0
158	20	4	22	27	0	0
159	20	4.5	-22	26	0	0
160	21	1	23	25	0	28
162	21	2	21	28	0	-28
164	21	3	22	-28	0	31
166	21	4	-22	27	0	-31
168	22	1	21	28	0	30
172	22	3	-21	-28	0	33
176	23	1	-21	-28	30	32
180	23	3	-21	-28	30	35
182	23	4	-21	-28	30	-35
184	24	1	0	0	31	-35
186	24	2	0	0	29	34
188	24	3	0	0	30	-34
189	24	3.5	0	0	-30	33
190	24	4	0	0	-30	32
191	24	4.5	0	0	29	31
192	25	1	0	0	28	30
193	25	1.5	0	0	27	-30
194	25	2	0	0	26	-30
195	25	2.5	0	0	-26	29
196	25	3	0	0	-26	30
197	25	3.5	0	0	25	-30
198	25	4	0	0	26	31
200	26	1	0	0	-26	30
201	26	1.5	0	0	25	-30
202	26	2	0	0	28	-30
203	26	2.5	0	0	-28	31
204	26	3	0	0	-28	32
205	26	3.5	0	0	26	31
206	26	4	0	0	27	30
207	26	4.5	0	0	-27	29
208	27	1	21	28	23	28
214	27	4	-21	-28	25	30
216	28	1	21	28	25	30
220	28	3	21	28	25	30
224	29	1	18	-28	25	29
226	29	2	-18	27	-25	-29
227	29	2.5	-18	26	-25	-29
228	29	3	18	27	25	29
232	30	1	21	28	23	28
238	30	4	-21	-28	30	32
240	31	1	0	0	30	32
242	31	2	23	28	-30	-32
244	31	3	23	28	30	32
246	31	4	23	28	-30	-32
248	32	1	22	29	31	31
249	32	1.5	-22	28	30	-31
250	32	2	-22	27	29	-31
251	32	2.5	-22	26	28	-31
252	32	3	22	27	29	31
256	33	1	19	28	30	30
262	33	4	-19	-28	30	35
264	34	1	0	0	30	35
266	34	2	26	28	-30	-35
268	34	3	26	28	31	35
270	34	4	26	28	-31	-35
272	35	1	25	29	32	34
273	35	1.5	-25	28	-32	-34
274	35	2	-25	27	-32	-34
275	35	2.5	-25	26	-32	-34
276	35	3	-25	27	32	-34
277	35	3.5	-25	-27	31	-34
278	35	4	-25	-27	30	33
279	35	4.5	-25	-27	29	32
280	36	1	21	28	30	32
284	36	3	-21	0	28	0
286	36	4	-21	26	-28	0
290	37	2	22	26	31	0
292	37	3	-22	26	-31	0
294	37	4	22	26	31	33
296	38	1	22	29	31	-33
298	38	2	22	-29	31	33
300	38	3	22	29	31	33
302	38	4	22	-29	31	33
304	39	1	18	27	32	36
308	39	3	18	27	32	36
312	40	1	19	26	28	35
316	40	3	21	-26	30	35
320	41	1	22	0	31	33
322	41	2	-22	29	-31	-33
324	41	3	20	-29	31	0
326	41	4	19	28	-31	0
328	42	1	22	26	-31	0
330	42	2	-22	-26	-31	36
332	42	3	22	-26	31	-36
334	42	4	-22	-26	-31	35
336	43	1	22	29	31	33
338	43	2	-22	-29	-31	36
339	43	2.5	-22	28	-31	-36
340	43	3	22	27	31	-36
342	43	4	-22	26	-31	35
343	43	4.5	-22	-26	-31	34
344	44	1	-22	29	31	33
346	44	2	-22	-29	-31	34
347	44	2.5	-22	28	-31	-34
348	44	3	23	27	30	-34
350	44	4	-23	25	28	35
352	45	1	24	26	-28	-35
353	45	1.5	-24	-26	-28	34
354	45	2	-24	-26	29	33
356	45	3	23	27	30	-33
358	45	4	-23	-27	-30	32
360	46	1	19	26	28	33
366	46	4	19	-26	28	33
368	47	1	19	0	30	35
372	47	3	19	26	31	35
376	48	1	18	29	32	34
380	48	3	18	29	32	34
384	49	1	18	29	32	36
386	49	2	-18	29	-32	-36
388	49	3	-18	27	-32	-36
390	49	4	-18	-27	31	-36
391	49	4.5	-18	-27	30	-36
392	50	1	19	26	30	35
394	50	2	-19	28	-30	-35
396	50	3	19	-28	30	0
397	50	3.5	-19	27	-30	0
398	50	4	-19	26	-30	35
400	51	1	23	25	32	34
402	51	2	-23	28	-32	32
404	51	3	21	-28	30	33
406	51	4	22	27	31	34
408	52	1	23	25	30	-34
410	52	2	24	26	29	33
412	52	3	23	27	30	33
415	52	4.5	-23	-27	-30	32
416	53	1	19	26	30	33
428	54	3	-19	23	30	-33
432	55	1	0	23	30	0
434	55	2	0	24	29	0
438	55	4	0	23	28	0
442	56	2	0	22	27	0
443	56	2.5	0	21	26	0
444	56	3	0	22	27	0
448	57	1	21	21	28	0
452	57	3	-21	25	-28	0
454	57	4	21	-25	-28	0
456	58	1	21	-25	0	0
458	58	2	-21	25	0	0
460	58	3	20	25	0	0
464	59	1	19	26	0	0
466	59	2	21	-26	0	0
468	59	3	-21	28	0	30
470	59	4	23	-28	0	-30
472	60	1	-23	28	0	30
474	60	2	22	29	0	31
477	60	3.5	21	-29	0	-31
478	60	4	19	28	0	30
481	61	1.5	-19	27	0	-30
482	61	2	21	26	0	29
483	61	2.5	-21	-26	0	28
484	61	3	20	-26	0	29
486	61	4	-20	25	0	-29
488	62	1	19	26	30	28
492	62	3	0	0	-30	32
494	62	4	0	0	30	-32
496	63	1	0	0	28	-32
498	63	2	0	0	-28	32
500	63	3	0	0	27	32
504	64	1	0	0	26	33
506	64	2	0	0	29	-33
508	64	3	0	0	-29	34
510	64	4	0	0	28	35
511	64	4.5	0	0	-28	34
512	65	1	0	0	-28	33
513	65	1.5	0	0	-28	32
514	65	2	0	0	27	33
515	65	2.5	0	0	26	-33
516	65	3	0	0	27	-33
518	65	4	0	0	-27	32
520	66	1	19	23	26	33
528	67	1	19	23	-26	35
532	67	3	-19	-23	-26	35
536	68	1	23	25	0	34
538	68	2	-23	-25	0	34
540	68	3	24	26	0	33
544	69	1	23	27	30	32
548	69	3	0	0	30	-32
550	69	4	21	28	-30	-32
552	70	1	23	27	0	0
554	70	2	-23	-27	30	32
556	70	3	0	0	31	33
558	70	4	19	28	30	-33
560	71	1	23	-28	-30	0
562	71	2	-23	27	30	32
564	71	3	0	26	31	33
566	71	4	0	-26	28	-33
567	71	4.5	0	-26	-28	34
568	72	1	0	-26	31	35
570	72	2	22	27	-31	36
571	72	2.5	-22	28	-31	-36
572	72	3	22	29	31	-36
573	72	3.5	-22	-29	-31	35
574	72	4	22	-29	-31	34
575	72	4.5	-22	-29	-31	33
576	73	1	23	27	30	32
582	73	4	21	28	-30	-32
584	74	1	23	27	-30	0
586	74	2	-23	-27	-30	32
588	74	3	19	26	-30	33
592	75	1	0	28	-30	32
594	75	2	21	-28	-30	-32
596	75	3	23	27	-30	0
598	75	4	-23	-27	-30	32
600	76	1	19	26	0	33
602	76	2	22	-26	0	-33
603	76	2.5	-22	-26	0	34
604	76	3	21	30	0	35
606	76	4	20	29	0	36
608	77	1	21	30	0	-36
610	77	2	-21	-30	0	35
611	77	2.5	-21	31	0	-35
612	77	3	18	29	0	-35
613	77	3.5	-18	-29	0	34
614	77	4	-18	-29	0	34
616	78	1	21	28	0	35
618	78	2	-21	-28	32	-35
620	78	3	-21	-28	32	-35
624	79	1	0	0	31	0
626	79	2	25	0	30	0
628	79	3	25	0	-30	0
630	79	4	-25	0	29	0
632	80	1	24	0	-29	0
634	80	2	23	0	28	0
636	80	3	-23	0	27	0
638	80	4	22	0	29	0
641	81	1.5	-22	0	28	0
642	81	2	24	0	26	0
645	81	3.5	23	0	-26	0
646	81	4	21	0	28	0
648	82	1	19	0	-28	0
649	82	1.5	-19	0	27	0
650	82	2	23	0	25	0
652	82	3	-23	0	23	0
653	82	3.5	22	0	-23	0
654	82	4	20	0	25	0
656	83	1	19	0	26	0
658	83	2	-19	0	28	0
660	83	3	23	0	-28	32
662	83	4	-23	0	27	-32
664	84	1	23	28	23	32
666	84	2	-23	-28	30	32
668	84	3	23	27	-30	32
670	84	4	-23	27	30	-32
672	85	1	24	26	28	33
676	85	3	26	24	28	35
678	85	4	-26	-24	31	-35
680	86	1	25	25	-31	34
682	86	2	-25	-25	30	-34
684	86	3	24	26	-30	33
685	86	3.5	-24	-26	29	-33
686	86	4	-24	-26	29	33
688	87	1	23	27	30	-33
689	87	1.5	-23	-27	-30	32
690	87	2	-23	-27	-30	30
692	87	3	19	28	30	-30
