**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	22	0	29	0
4	1	3	23	25	28	32
8	2	1	22	26	29	31
12	2	3	25	25	0	32
16	3	1	26	28	31	0
20	3	3	25	29	32	34
24	4	1	26	28	31	35
28	4	3	25	29	0	34
30	4	4	27	-29	0	-34
32	5	1	26	28	30	0
34	5	2	-26	30	-30	0
36	5	3	22	29	31	33
40	6	1	0	25	32	34
42	6	2	25	-25	-32	-34
44	6	3	26	0	31	35
46	6	4	-26	28	30	-35
48	7	1	22	29	-30	34
50	7	2	-22	-29	29	33
52	7	3	23	25	-29	-33
54	7	4	-23	-25	28	32
56	8	1	22	26	29	-32
58	8	2	-22	-26	-29	31
60	8	3	0	25	0	32
62	8	4	25	-25	0	-32
64	9	1	24	0	31	0
66	9	2	24	28	31	0
68	9	3	25	27	30	34
70	9	4	-25	27	29	34
72	10	1	0	28	-29	33
74	10	2	21	-28	32	32
76	10	3	25	0	30	-32
78	10	4	26	24	31	35
80	11	1	24	28	-31	33
82	11	2	22	29	31	34
84	11	3	25	27	32	-34
86	11	4	-25	25	34	34
88	12	1	26	28	-34	35
90	12	2	-26	-28	33	37
92	12	3	27	29	-33	-37
94	12	4	-27	-29	32	36
96	13	1	26	30	33	-36
98	13	2	-26	-30	-33	35
100	13	3	0	29	0	36
104	14	1	26	0	33	0
106	14	2	-26	0	33	0
108	14	3	27	29	32	36
110	14	4	-27	-29	-32	36
112	15	1	28	30	-32	35
114	15	2	-28	-30	33	-35
116	15	3	24	31	-33	-35
118	15	4	-24	-31	31	36
120	16	1	25	27	-31	-36
122	16	2	-25	-27	30	34
124	16	3	24	28	31	-34
126	16	4	-24	-28	-31	33
128	17	1	0	27	0	34
132	17	3	24	0	31	0
134	17	4	24	0	31	0
136	18	1	25	27	29	34
138	18	2	-25	27	32	34
139	18	2.5	24	-27	-32	-34
140	18	3	23	28	-32	32
141	18	3.5	22	-28	31	-32
142	18	4	21	-28	30	35
143	18	4.5	-21	27	-30	-35
144	19	1	-21	26	-30	-35
145	19	1.5	-21	25	-30	34
146	19	2	24	24	33	33
149	19	3.5	23	-24	32	-33
150	19	4	22	27	31	36
151	19	4.5	-22	-27	30	-36
152	20	1	25	-27	29	-36
153	20	1.5	-25	26	-29	35
154	20	2	-25	25	32	34
155	20	2.5	24	-25	-32	33
156	20	3	23	28	-32	32
157	20	3.5	22	-28	31	-32
158	20	4	21	-28	30	35
159	20	4.5	-21	27	-30	-35
160	21	1	22	26	-30	-35
161	21	1.5	-22	25	29	34
162	21	2	-22	24	29	33
164	21	3	23	25	-29	-33
165	21	3.5	-23	-25	-29	32
166	21	4	-23	-25	28	32
168	22	1	22	26	29	-32
170	22	2	-22	-26	31	31
172	22	3	0	25	30	32
174	22	4	0	-25	29	34
176	23	1	22	0	-29	33
178	23	2	23	0	27	32
180	23	3	-23	25	28	-32
182	23	4	21	26	30	30
184	24	1	22	-26	-30	31
186	24	2	-22	24	29	33
188	24	3	23	25	-29	-33
190	24	4	-23	-25	28	32
192	25	1	22	26	29	-32
194	25	2	-22	-26	-29	31
196	25	3	25	25	-29	32
*-	*-	*-	*-	*-	*-	*-
