**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	28	28	0	0
4	1	3	26	28	0	0
6	1	4	27	29	0	0
10	2	2	26	28	0	0
11	2	2.5	25	27	0	0
12	2	3	26	28	0	0
14	2	4	27	29	0	0
16	3	1	25	-29	0	0
18	3	2	-25	30	0	0
20	3	3	24	31	35	35
24	4	1	0	0	33	35
26	4	2	0	0	34	36
30	4	4	0	0	33	35
31	4	4.5	0	0	32	34
32	5	1	0	0	33	35
34	5	2	0	0	34	36
36	5	3	0	0	32	-36
38	5	4	0	0	-32	37
40	6	1	0	0	31	38
42	6	2	0	0	30	-38
43	6	2.5	0	0	29	-38
44	6	3	24	31	28	-38
48	7	1	24	31	0	0
52	7	3	28	30	35	0
56	8	1	29	31	35	0
60	8	3	-29	-31	34	38
64	9	1	28	32	35	38
68	9	3	-28	-32	-35	37
72	10	1	24	31	33	38
75	10	2.5	25	-31	34	-38
76	10	3	26	-31	35	-38
78	10	4	27	-31	36	-38
80	11	1	25	0	34	39
82	11	2	-25	0	32	-39
83	11	2.5	26	0	-32	-39
84	11	3	27	0	-32	-39
86	11	4	28	0	31	-39
87	11	4.5	-28	0	30	-39
88	12	1	29	0	29	38
90	12	2	-29	0	33	-38
91	12	2.5	28	0	-33	37
92	12	3	27	31	34	36
94	12	4	26	-31	35	35
96	13	1	-26	31	33	-35
98	13	2	25	-31	-33	34
99	13	2.5	24	-31	-33	33
100	13	3	28	30	0	32
102	13	4	-28	-30	0	33
103	13	4.5	-28	-30	0	32
104	14	1	24	31	35	33
110	14	4	-24	-31	34	32
111	14	4.5	-24	-31	33	31
112	15	1	0	32	34	30
116	15	3	28	-32	35	-30
120	16	1	28	32	-35	0
122	16	2	-28	-32	-35	37
124	16	3	28	32	28	37
128	17	1	26	33	28	37
131	17	2.5	-26	-33	29	-37
132	17	3	-26	33	30	37
133	17	3.5	-26	-33	28	-37
134	17	4	28	32	30	-37
136	18	1	-28	-32	-30	38
138	18	2	27	31	29	-38
139	18	2.5	26	-31	28	-38
140	18	3	25	-31	27	39
142	18	4	-25	30	-27	-39
144	19	1	24	31	28	35
146	19	2	-24	-31	35	-35
147	19	2.5	-24	-31	-35	34
147.5	19	2.75	-24	-31	-35	35
148	19	3	-24	-31	33	36
150	19	4	-24	-31	35	35
152	20	1	0	0	-35	38
154	20	2	0	0	34	38
155	20	2.5	0	0	33	-38
156	20	3	28	0	32	-38
158	20	4	-28	0	-32	37
160	21	1	29	0	31	38
164	21	3	29	31	-31	0
166	21	4	-29	-31	-31	38
168	22	1	-29	31	0	38
170	22	2	28	-31	0	-38
171	22	2.5	-28	-31	0	37
172	22	3	27	31	0	36
174	22	4	26	-31	0	35
176	23	1	25	0	0	34
178	23	2	24	31	29	33
180	23	3	23	32	-29	37
182	23	4	-23	-32	28	-37
184	24	1	22	33	31	38
