**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	23	0	0
8	2	1	24	0	0
12	2	2	22	0	0
14	2	2.5	23	0	0
16	3	1	-23	30	0
18	3	1.5	22	-30	0
19	3	1.75	21	-30	0
20	3	2	25	-30	0
22	3	2.5	26	-30	0
24	4	1	-26	31	0
26	4	1.5	25	-31	0
27	4	1.75	24	-31	0
28	4	2	25	29	0
30	4	2.5	-25	30	0
32	5	1	0	-30	34
34	5	1.5	0	29	-34
35	5	1.75	0	28	-34
36	5	2	25	29	-34
40	6	1	26	28	35
44	6	2	24	0	33
46	6	2.5	25	29	34
48	7	1	-25	30	-34
50	7	1.5	24	-30	33
51	7	1.75	23	-30	32
52	7	2	22	31	33
56	8	1	23	30	32
58	8	1.5	-23	30	-32
60	8	2	19	-30	0
62	8	2.5	-19	29	33
63	8	2.75	-19	28	-33
64	9	1	0	29	34
66	9	1.5	0	30	-34
68	9	2	26	26	35
72	10	1	25	0	34
74	10	1.5	25	30	34
76	10	2	-25	32	-34
78	10	2.5	24	-32	33
79	10	2.75	23	-32	32
80	11	1	22	31	33
82	11	1.5	25	30	34
84	11	2	26	-30	30
86	11	2.5	-26	29	-30
87	11	2.75	-26	28	-30
88	12	1	25	29	0
90	12	1.5	-25	30	34
91	12	1.75	24	-30	-34
92	12	2	22	31	36
96	13	1	0	30	35
98	13	1.5	25	-30	34
102	13	2.5	24	-30	33
103	13	2.75	23	-30	32
104	14	1	24	29	33
106	14	1.5	25	-29	34
108	14	2	26	28	35
110	14	2.5	24	29	-35
111	14	2.75	-24	-29	34
112	15	1	25	-29	34
113	15	1.25	-25	28	33
114	15	1.5	26	27	33
115	15	1.75	-26	26	-33
116	15	2	23	27	-33
118	15	2.5	-23	-27	32
120	16	1	0	26	33
124	16	2	19	0	-33
126	16	2.5	-19	28	-33
128	17	1	22	31	-33
132	17	2	22	31	-33
136	18	1	21	30	0
140	18	2	19	0	30
142	18	2.5	21	28	-30
144	19	1	-21	29	31
146	19	1.5	20	-29	-31
147	19	1.75	19	-29	-31
148	19	2	20	29	31
152	20	1	21	28	30
158	20	2.5	21	30	-30
160	21	1	22	31	0
164	21	2	21	30	0
166	21	2.5	23	-30	32
168	22	1	24	0	33
170	22	1.5	-24	29	-33
171	22	1.75	23	-29	-33
172	22	2	21	30	32
174	22	2.5	23	30	-32
176	23	1	22	31	0
177	23	1.25	21	30	0
178	23	1.5	20	29	33
179	23	1.75	19	28	-33
180	23	2	18	29	34
182	23	2.5	25	-29	34
184	24	1	26	28	35
185	24	1.25	25	-28	34
186	24	1.5	24	-28	33
187	24	1.75	23	-28	32
188	24	2	24	0	33
190	24	2.5	-24	29	-33
192	25	1	23	30	32
194	25	1.5	-23	28	-32
197	25	2.25	0	29	0
198	25	2.5	26	30	33
199	25	2.75	-26	31	-33
200	26	1	25	32	34
202	26	1.5	23	32	32
204	26	2	25	-32	-32
205	26	2.25	-25	-32	33
206	26	2.5	-25	31	34
207	26	2.75	-25	30	35
208	27	1	0	31	36
209	27	1.25	0	30	-36
210	27	1.5	0	29	35
211	27	1.75	0	28	-35
212	27	2	25	29	-35
214	27	2.5	-25	-29	34
216	28	1	26	28	35
218	28	1.5	26	-28	-35
220	28	2	24	0	-35
222	28	2.5	26	31	-35
224	29	1	-26	31	0
225	29	1.25	25	-31	0
226	29	1.5	24	-31	0
228	29	2	-24	31	0
230	29	2.5	23	-31	35
231	29	2.75	22	-31	-35
232	30	1	21	30	35
236	30	2	-21	28	35
240	31	1	0	29	34
242	31	1.5	0	30	-34
244	31	2	23	-30	32
245	31	2.25	-23	29	-32
246	31	2.5	-23	28	-32
247	31	2.75	-23	27	-32
248	32	1	24	26	33
250	32	1.5	25	29	34
252	32	2	-25	29	-34
253	32	2.25	24	-29	33
254	32	2.5	23	29	32
255	32	2.75	22	-29	31
256	33	1	21	30	30
258	33	1.5	-21	29	32
259	33	1.75	-21	28	-32
260	33	2	0	27	32
261	33	2.25	0	28	-32
262	33	2.5	25	29	32
263	33	2.75	-25	30	-32
264	34	1	22	31	33
265	34	1.25	23	-31	-33
266	34	1.5	24	30	32
267	34	1.75	25	29	31
268	34	2	26	28	30
270	34	2.5	24	-28	33
272	35	1	-24	29	-33
273	35	1.25	23	-29	32
274	35	1.5	22	-29	31
275	35	1.75	21	-29	30
276	35	2	20	-29	31
279	35	2.75	19	-29	-31
280	36	1	21	28	30
286	36	2.5	21	-28	32
288	37	1	24	-28	33
292	37	2	24	-28	33
296	38	1	23	0	32
298	38	1.5	21	28	31
299	38	1.75	-21	-28	30
300	38	2	-21	29	31
302	38	2.5	20	-29	-31
303	38	2.75	19	-29	-31
304	39	1	20	29	-31
308	39	2	21	28	30
310	39	2.5	-21	27	-30
311	39	2.75	-21	26	-30
312	40	1	0	27	0
314	40	1.5	25	-27	34
316	40	2	24	26	35
317	40	2.25	23	-26	-35
318	40	2.5	24	-26	35
320	41	1	25	0	34
322	41	1.5	23	30	33
323	41	1.75	-23	-30	32
324	41	2	22	31	33
325	41	2.25	21	-31	-33
326	41	2.5	22	31	-33
328	42	1	23	30	32
330	42	1.5	21	-30	-32
331	42	1.75	-21	28	-32
332	42	2	20	29	0
333	42	2.25	19	-29	0
334	42	2.5	20	-29	36
336	43	1	21	28	37
337	43	1.25	-21	29	-37
338	43	1.5	-21	30	37
339	43	1.75	-21	31	-37
340	43	2	0	32	36
342	43	2.5	23	-32	34
344	44	1	23	0	34
346	44	1.5	-23	30	35
348	44	2	22	31	36
349	44	2.25	-22	-31	35
350	44	2.5	-22	31	34
351	44	2.75	-22	-31	33
352	45	1	23	30	32
354	45	1.5	23	28	-32
356	45	2	24	-28	33
358	45	2.5	-24	29	-33
360	46	1	23	30	32
361	46	1.25	-23	29	-32
362	46	1.5	-23	28	-32
363	46	1.75	-23	27	-32
364	46	2	0	26	0
366	46	2.5	26	-26	35
368	47	1	25	0	34
370	47	1.5	26	26	35
372	47	2	24	-26	-35
373	47	2.25	-24	27	-35
374	47	2.5	-24	28	34
375	47	2.75	-24	29	33
376	48	1	23	30	32
377	48	1.25	-23	31	-32
378	48	1.5	-23	32	30
381	48	2.25	-23	-32	31
382	48	2.5	-23	31	32
383	48	2.75	-23	30	33
384	49	1	0	29	34
385	49	1.25	0	-29	35
386	49	1.5	25	29	36
388	49	2	21	30	35
389	49	2.25	22	-30	-35
390	49	2.5	23	-30	34
391	49	2.75	24	-30	-34
392	50	1	25	29	-34
393	50	1.25	-25	28	33
394	50	1.5	26	27	33
395	50	1.75	-26	26	-33
396	50	2	23	27	-33
398	50	2.5	-23	-27	32
400	51	1	19	26	33
402	51	1.5	24	-26	-33
404	51	2	24	26	0
406	51	2.5	24	-26	35
408	52	1	25	0	34
410	52	1.5	26	26	35
412	52	2	24	-26	-35
413	52	2.25	-24	27	-35
414	52	2.5	-24	28	34
415	52	2.75	-24	29	33
416	53	1	23	30	32
417	53	1.25	-23	31	-32
418	53	1.5	21	32	30
421	53	2.25	22	-32	31
422	53	2.5	23	31	32
423	53	2.75	24	30	33
424	54	1	25	29	34
425	54	1.25	-25	-29	35
426	54	1.5	22	29	36
428	54	2	26	30	35
430	54	2.5	25	-30	34
432	55	1	26	29	-34
433	55	1.25	-26	28	33
434	55	1.5	24	27	33
435	55	1.75	-24	26	-33
436	55	2	23	27	-33
438	55	2.5	-23	-27	32
440	56	1	19	26	33
*-	*-	*-	*-	*-	*-
