**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	29	0	0
4	1	3	0	0	0	-29	29	0
8	2	1	0	0	25	25	-29	32
11	2	2.5	0	0	-25	26	-29	-32
12	2	3	0	0	-25	27	25	-32
13	2	3.5	0	0	-25	28	-25	-32
14	2	4	0	0	-25	29	32	-32
15	2	4.5	0	0	-25	27	31	-32
16	3	1	0	0	21	28	30	32
17	3	1.5	0	0	-21	29	29	-32
18	3	2	0	0	-21	30	28	-32
19	3	2.5	0	0	22	-30	-28	-32
20	3	3	0	0	23	-30	-28	-32
21	3	3.5	0	0	24	-30	-28	-32
22	3	4	0	0	25	29	27	-32
23	3	4.5	0	0	23	-29	-27	-32
24	4	1	0	0	24	28	26	33
26	4	2	0	0	22	31	29	-33
28	4	3	0	0	26	30	-29	-33
30	4	4	0	0	-26	-30	28	-33
31	4	4.5	0	0	25	-30	-28	-33
32	5	1	0	22	24	29	29	33
34	5	2	0	-22	25	28	-29	-33
35	5	2.5	0	-22	-25	27	-29	-33
36	5	3	0	-22	-25	26	0	-33
37	5	3.5	0	-22	-25	25	0	-33
38	5	4	0	-22	24	26	29	-33
40	6	1	25	18	25	25	-29	34
41	6	1.5	-25	-18	-25	26	-29	-34
42	6	2	-25	-18	29	27	25	-34
43	6	2.5	-25	-18	28	28	26	-34
44	6	3	-25	25	27	29	27	-34
45	6	3.5	-25	-25	26	-29	28	-34
46	6	4	-25	-25	25	27	29	-34
47	6	4.5	-25	24	-25	-27	27	-34
48	7	1	21	23	-25	30	28	32
49	7	1.5	-21	22	24	-30	-28	-32
50	7	2	-21	21	23	-30	-28	-32
51	7	2.5	22	-21	22	-30	-28	-32
52	7	3	23	-21	21	-30	-28	-32
53	7	3.5	24	-21	-21	-30	-28	-32
54	7	4	25	18	22	29	27	-32
55	7	4.5	23	-18	-22	-29	-27	-32
56	8	1	24	22	-22	29	26	33
58	8	2	25	-22	29	-29	-26	-33
59	8	2.5	-25	-22	-29	28	-26	-33
59.5	8	2.75	-25	-22	-29	27	-26	-33
60	8	3	-25	-22	-29	26	29	-33
61	8	3.5	-25	-22	28	-26	-29	-33
62	8	4	24	-22	26	-26	-29	-33
64	9	1	25	18	27	25	-29	0
66	9	2	-25	-18	25	29	-29	0
68	9	3	18	25	27	-29	-29	0
70	9	4	-18	-25	-27	25	-29	0
71	9	4.5	-18	-25	28	26	-29	0
72	10	1	25	-25	29	27	25	32
73	10	1.5	-25	-25	-29	28	-25	-32
74	10	2	-25	-25	-29	29	-25	-32
75	10	2.5	24	-25	-29	27	-25	-32
76	10	3	23	21	28	28	32	-32
77	10	3.5	-23	-21	-28	29	-32	-32
78	10	4	-23	-21	-28	30	-32	-32
79	10	4.5	22	22	-28	31	31	-32
80	11	1	21	23	25	32	30	35
81	11	1.5	-21	24	-25	-32	-30	-35
82	11	2	-21	25	-25	-32	-30	-35
83	11	2.5	-21	-25	26	-32	-30	-35
84	11	3	22	-25	27	0	29	34
85	11	3.5	-22	-25	28	0	-29	-34
86	11	4	-22	24	29	0	-29	33
87	11	4.5	-22	-24	-29	0	28	-33
88	12	1	18	25	-29	29	27	-33
89	12	1.5	-18	-25	25	-29	-27	32
90	12	2	-18	-25	27	-29	25	32
92	12	3	0	22	26	-29	26	-32
94	12	4	22	-22	29	-29	-26	31
96	13	1	-22	18	-29	27	25	29
97	13	1.5	-22	-18	28	-27	-25	-29
98	13	2	25	-18	27	-27	-25	30
99	13	2.5	-25	-18	26	-27	-25	-30
100	13	3	-25	-18	27	29	-25	-30
101	13	3.5	24	-18	-27	-29	-25	29
102	13	4	23	-18	-27	-29	-25	29
103	13	4.5	22	-18	-27	-29	-25	-29
104	14	1	23	0	25	32	0	-29
106	14	2	-23	0	-25	-32	0	28
108	14	3	22	22	26	-32	0	29
110	14	4	-22	-22	-26	31	0	-29
