**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	47	1	26	0	0	0
8	48	1	25	0	0	0
12	48	3	26	0	0	0
16	49	1	28	0	0	30
19	49	2.5	27	0	0	-30
20	49	3	26	0	0	-30
22	49	4	25	0	0	-30
24	50	1	24	0	0	29
28	50	3	23	0	0	30
30	50	4	25	0	0	-30
32	51	1	-25	0	0	32
33	51	1.5	24	0	0	-32
34	51	2	23	0	0	-32
35	51	2.5	22	0	0	31
36	51	3	21	26	0	30
38	51	4	22	-26	0	29
40	52	1	19	-26	0	28
41	52	1.5	20	-26	0	-28
42	52	2	21	-26	0	-28
43	52	2.5	22	-26	0	-28
44	52	3	23	25	0	27
48	53	1	19	26	0	28
52	53	3	-19	28	30	26
55	53	4.5	-19	27	-30	27
56	54	1	0	26	-30	28
58	54	2	0	25	-30	27
60	54	3	0	24	29	26
64	55	1	0	23	30	27
66	55	2	0	28	-30	30
68	55	3	0	-28	32	-30
69	55	3.5	0	27	-32	29
70	55	4	0	25	-32	27
71	55	4.5	0	-25	31	-27
72	56	1	0	26	30	28
74	56	2	0	27	29	29
76	56	3	0	-27	28	30
77	56	3.5	0	26	-28	-30
78	56	4	0	26	-28	-30
80	57	1	23	-26	27	-30
82	57	2	-23	25	-27	-30
83	57	2.5	-23	24	-27	-30
84	57	3	-23	25	-27	-30
88	58	1	22	0	29	31
90	58	2	-22	26	-29	-31
92	58	3	23	-26	28	30
94	58	4	-23	25	27	-30
95	58	4.5	-23	-25	-27	29
96	59	1	24	26	26	28
98	59	2	-24	22	-26	31
99	59	2.5	23	23	25	-31
100	59	3	22	24	26	-31
101	59	3.5	-22	25	27	-31
102	59	4	21	26	28	30
103	59	4.5	-21	-26	26	-30
104	60	1	20	-26	29	-30
105	60	1.5	-20	-26	-29	29
106	60	2	-20	25	-29	29
107	60	2.5	-20	-25	30	-29
108	60	3	19	26	31	-29
110	60	4	-19	-26	30	28
111	60	4.5	-19	-26	-30	27
112	61	1	-19	0	-30	28
114	61	2	-19	0	26	30
115	61	2.5	-19	0	27	-30
116	61	3	-19	26	28	-30
117	61	3.5	-19	-26	29	29
118	61	4	-19	-26	30	28
119	61	4.5	-19	27	-30	27
120	62	1	0	28	-30	26
122	62	2	0	25	29	27
124	62	3	0	26	-29	-27
125	62	3.5	0	-26	28	26
126	62	4	0	-26	28	26
127	62	4.5	0	-26	27	-26
127.5	62	4.75	0	-26	26	-26
128	63	1	0	23	27	-26
130	63	2	0	-23	-27	25
132	63	3	19	-23	26	26
134	63	4	-19	-23	-26	28
135	63	4.5	20	-23	-26	-28
136	64	1	21	-23	25	-28
138	64	2	18	-23	-25	27
140	64	3	19	-23	28	26
144	65	1	16	0	27	25
146	65	2	23	27	-27	-25
148	65	3	23	-27	30	0
149	65	3.5	-23	25	-30	0
150	65	4	21	28	-30	0
152	66	1	24	-28	28	26
154	66	2	-24	27	29	-26
155	66	2.5	-24	26	-29	-26
156	66	3	23	28	30	26
158	66	4	-23	27	-30	25
160	67	1	19	26	30	28
161	67	1.5	20	-26	-30	-28
162	67	2	21	-26	-30	-28
163	67	2.5	22	-26	-30	-28
164	67	3	23	25	-30	-28
165	67	3.5	24	-25	-30	-28
166	67	4	25	-25	29	27
167	67	4.5	23	-25	-29	-27
168	68	1	24	26	28	26
169	68	1.5	25	-26	-28	27
170	68	2	26	-26	-28	28
171	68	2.5	-26	-26	-28	29
172	68	3	-26	23	27	30
173	68	3.5	25	-23	-27	-30
174	68	4	25	-23	-27	-30
175	68	4.5	24	-23	-27	-30
175.5	68	4.75	25	-23	-27	-30
176	69	1	26	0	0	-30
178	69	2	-26	28	30	-30
180	69	3	0	28	30	0
182	69	4	25	27	29	0
184	70	1	25	30	32	0
186	70	2	23	-30	-32	32
188	70	3	26	-30	28	30
190	70	4	-26	28	-28	31
192	71	1	25	29	0	32
194	71	2	-25	30	0	-32
198	71	4	-25	29	0	31
199	71	4.5	-25	28	0	30
200	72	1	-25	27	0	29
202	72	2	-25	28	0	28
204	72	3	-25	-28	0	29
206	72	4	-25	27	0	-29
208	73	1	21	26	0	0
210	73	2	-21	25	30	28
211	73	2.5	-21	24	-30	-28
212	73	3	0	23	30	28
214	73	4	0	24	28	26
216	74	1	0	22	31	29
218	74	2	0	26	-31	28
220	74	3	23	26	30	27
222	74	4	-23	25	-30	-27
224	75	1	23	28	-30	0
226	75	2	21	-28	-30	30
228	75	3	24	-28	0	28
230	75	4	-24	27	26	29
231	75	4.5	-24	26	-26	-29
232	76	1	23	28	26	30
234	76	2	-23	27	25	-30
236	76	3	-23	30	28	-30
238	76	4	-23	-30	27	29
239	76	4.5	-23	-30	26	28
240	77	1	-23	-30	25	27
242	77	2	-23	-30	26	26
244	77	3	-23	-30	-26	27
246	77	4	-23	-30	25	-27
248	78	1	19	0	26	30
250	78	2	-19	26	28	-30
252	78	3	0	26	28	-30
254	78	4	0	25	27	-30
256	79	1	19	28	26	0
257	79	1.5	-19	-28	27	0
258	79	2	-19	-28	28	26
259	79	2.5	-19	-28	29	-26
260	79	3	19	-28	30	26
262	79	4	18	27	-30	27
264	80	1	19	26	-30	28
272	81	1	23	25	30	27
*-	*-	*-	*-	*-	*-	*-
