**absq	**bar	**beat	**b7	**b7	**b7
0	42	1	0	0	32
4	42	3	0	0	30
6	42	4	0	0	30
8	43	1	0	0	33
12	43	3	0	0	32
15	43	4.5	0	0	31
16	44	1	0	32	30
17	44	1.5	0	-32	29
18	44	2	0	-32	30
20	44	3	0	30	-30
22	44	4	0	30	28
24	45	1	0	33	31
28	45	3	0	32	30
31	45	4.5	0	31	29
32	46	1	32	30	28
33	46	1.5	-32	29	27
34	46	2	-32	30	28
36	46	3	30	-30	-28
37	46	3.5	-30	-30	27
38	46	4	30	28	26
39	46	4.5	-30	-28	25
40	47	1	33	31	24
44	47	3	32	30	28
47	47	4.5	31	29	-28
48	48	1	30	28	0
49	48	1.5	29	27	0
50	48	2	30	28	32
52	48	3	-30	-28	30
53	48	3.5	-30	27	-30
54	48	4	28	26	30
55	48	4.5	-28	25	-30
56	49	1	31	24	33
60	49	3	30	28	32
63	49	4.5	29	-28	31
64	50	1	28	0	30
65	50	1.5	27	0	29
66	50	2	28	32	30
68	50	3	-28	30	-30
69	50	3.5	27	-30	-30
70	50	4	26	30	28
71	50	4.5	25	-30	-28
72	51	1	24	33	31
76	51	3	28	32	30
79	51	4.5	-28	31	29
80	52	1	-28	30	28
81	52	1.5	-28	29	27
82	52	2	-28	30	28
84	52	3	26	-30	-28
85	52	3.5	-26	29	29
86	52	4	-26	28	30
87	52	4.5	-26	-28	28
88	53	1	25	-28	29
90	53	2	-25	27	-29
92	53	3	0	28	28
94	53	4	32	30	-28
96	54	1	30	28	0
98	54	2	30	28	0
100	54	3	33	31	0
104	55	1	32	30	0
106	55	2	-32	-30	28
108	55	3	0	-30	26
110	55	4	33	-30	26
112	56	1	-33	0	29
113	56	1.5	32	0	-29
114	56	2	31	33	-29
116	56	3	-31	-33	28
118	56	4	30	32	-28
120	57	1	29	31	0
122	57	2	28	30	0
124	57	3	31	29	0
126	57	4	30	28	0
128	58	1	29	31	0
130	58	2	-29	-31	33
131	58	2.5	28	30	-33
132	58	3	27	29	-33
134	58	4	-27	-29	32
136	59	1	26	-29	31
138	59	2	-26	28	30
140	59	3	0	31	29
142	59	4	0	30	28
144	60	1	0	29	31
146	60	2	33	-29	-31
148	60	3	-33	28	-31
150	60	4	32	-28	30
152	61	1	31	0	29
154	61	2	30	26	28
156	61	3	29	27	31
158	61	4	28	26	-31
159	61	4.5	-28	-26	30
160	62	1	31	24	29
162	62	2	-31	-24	28
163	62	2.5	30	-24	-28
164	62	3	29	25	-28
166	62	4	-29	-25	27
168	63	1	28	28	28
174	63	4	-28	28	30
178	64	2	0	27	29
180	64	3	0	28	30
182	64	4	0	29	31
184	65	1	0	30	32
186	65	2	30	-30	-32
187	65	2.5	-30	29	-32
188	65	3	-30	28	32
190	65	4	29	27	-32
192	66	1	30	26	0
194	66	2	31	-26	28
196	66	3	32	25	-28
198	66	4	-32	-25	27
199	66	4.5	31	-25	-27
200	67	1	30	0	28
202	67	2	29	0	29
204	67	3	28	0	30
206	67	4	27	0	-30
207	67	4.5	-27	0	29
208	68	1	26	0	28
210	68	2	25	32	27
212	68	3	0	-32	26
214	68	4	28	31	-26
216	69	1	-28	32	25
218	69	2	27	-32	32
219	69	2.5	-27	31	-32
220	69	3	28	30	-32
222	69	4	29	29	31
224	70	1	30	28	32
226	70	2	-30	25	-32
227	70	2.5	29	-25	31
228	70	3	28	26	30
230	70	4	27	27	29
232	71	1	26	28	-29
233	71	1.5	-26	-28	28
234	71	2	-26	-28	28
236	71	3	25	29	-28
238	71	4	-25	-29	27
240	72	1	28	28	28
242	72	2	-28	32	30
246	72	4	-28	30	28
248	73	1	0	31	29
250	73	2	28	32	30
252	73	3	26	33	31
254	73	4	24	-33	-31
256	74	1	28	-33	30
258	74	2	-28	32	-30
260	74	3	24	31	33
264	75	1	28	30	32
*-	*-	*-	*-	*-	*-
