**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	21	0	0	0
4	1	3	24	0	0	0
8	2	1	-24	0	28	0
10	2	2	23	0	-28	0
12	2	3	22	0	31	0
13	2	3.5	23	0	-31	0
14	2	4	24	0	-31	0
15	2	4.5	25	0	-31	0
16	3	1	26	0	-31	35
17	3	1.5	27	0	-31	-35
18	3	2	28	0	30	-35
19	3	2.5	26	0	-30	-35
20	3	3	27	0	29	38
21	3	3.5	-27	0	30	-38
22	3	4	-27	0	31	-38
23	3	4.5	-27	0	32	-38
24	4	1	26	0	33	-38
25	4	1.5	-26	0	34	-38
26	4	2	-26	0	35	37
27	4	2.5	25	0	-35	-37
28	4	3	24	0	-35	36
30	4	4	25	0	34	-36
32	5	1	26	0	33	35
33	5	1.5	-26	0	32	-35
34	5	2	22	0	31	33
35	5	2.5	-22	0	30	-33
36	5	3	25	0	29	34
38	5	4	-25	0	32	-34
40	6	1	24	0	33	35
42	6	2	26	0	35	-35
44	6	3	25	0	-35	36
46	6	4	-25	0	34	-36
48	7	1	26	28	33	35
50	7	2	24	-28	-33	-35
52	7	3	-24	31	-33	0
53	7	3.5	25	-31	-33	0
54	7	4	26	-31	-33	35
55	7	4.5	27	-31	-33	-35
56	8	1	28	-31	32	-35
57	8	1.5	-28	-31	-32	36
58	8	2	-28	30	35	37
60	8	3	0	29	-35	38
62	8	4	25	-29	34	39
64	9	1	26	28	35	37
66	9	2	24	26	-35	38
67	9	2.5	-24	-26	-35	37
68	9	3	25	27	0	36
69	9	3.5	-25	-27	0	35
70	9	4	-25	-27	32	36
72	10	1	24	28	33	-36
73	10	1.5	-24	-28	-33	35
74	10	2	26	-28	31	35
76	10	3	25	29	32	-35
78	10	4	-25	-29	-32	34
79	10	4.5	-25	-29	31	-34
80	11	1	0	28	30	35
81	11	1.5	0	-28	29	-35
82	11	2	0	-28	30	-35
84	11	3	24	0	33	-35
88	12	1	26	28	-33	-35
91	12	2.5	27	-28	-33	-35
92	12	3	28	30	32	-35
95	12	4.5	-28	31	-32	-35
96	13	1	-28	32	0	0
98	13	2	27	-32	0	0
100	13	3	26	31	0	0
101	13	3.5	27	-31	0	0
102	13	4	28	30	0	0
103	13	4.5	26	-30	0	0
104	14	1	27	29	31	0
108	14	3	24	28	33	35
110	14	4	-24	26	-33	-35
111	14	4.5	-24	-26	34	-35
112	15	1	0	-26	35	37
113	15	1.5	0	27	-35	-37
114	15	2	0	28	-35	-37
115	15	2.5	0	29	-35	38
116	15	3	0	30	-35	39
117	15	3.5	0	31	-35	-39
118	15	4	0	32	34	-39
120	16	1	0	29	33	38
121	16	1.5	0	-29	31	-38
122	16	2	0	28	35	37
124	16	3	25	32	-35	36
126	16	4	-25	-32	34	-36
128	17	1	28	0	33	35
130	17	2	-28	0	32	-35
131	17	2.5	-28	0	31	34
131.5	17	2.75	-28	0	-31	33
132	17	3	-28	0	30	32
134	17	4	27	0	31	36
136	18	1	26	0	-31	-36
137	18	1.5	-26	0	30	35
138	18	2	-26	0	28	35
140	18	3	25	0	30	-35
142	18	4	-25	0	29	34
144	19	1	23	28	-29	35
145	19	1.5	-23	-28	28	-35
146	19	2	24	-28	28	-35
148	19	3	22	31	-28	0
150	19	4	-22	-31	27	0
152	20	1	21	-31	28	35
154	20	2	28	30	-28	-35
156	20	3	-28	29	0	38
158	20	4	27	-29	0	-38
160	21	1	28	28	0	-38
162	21	2	-28	26	0	37
164	21	3	25	27	0	36
166	21	4	-25	-27	32	-36
167	21	4.5	27	-27	-32	-36
168	22	1	26	28	-32	35
169	22	1.5	-26	-28	31	-35
170	22	2	-26	-28	31	33
172	22	3	25	29	32	34
174	22	4	-25	-29	32	-34
175	22	4.5	-25	28	-32	35
176	23	1	0	27	-32	36
178	23	2	0	28	30	35
180	23	3	0	29	31	-35
182	23	4	0	-29	-31	34
184	24	1	0	28	30	35
186	24	2	28	-28	-30	-35
190	24	4	26	0	-30	-35
192	25	1	27	0	29	0
194	25	2	-27	0	31	0
196	25	3	26	0	-31	35
198	25	4	-26	0	30	-35
199	25	4.5	-26	0	29	-35
200	26	1	-26	0	30	-35
202	26	2	-26	0	31	33
204	26	3	25	0	32	34
205	26	3.5	-25	0	31	-34
206	26	4	-25	0	30	-34
207	26	4.5	-25	0	29	-34
208	27	1	26	0	28	33
210	27	2	24	0	31	-33
212	27	3	28	0	-31	32
214	27	4	-28	0	30	-32
216	28	1	25	0	29	34
218	28	2	-25	32	-29	-34
219	28	2.5	26	-32	-29	35
220	28	3	27	-32	0	36
222	28	4	28	30	0	35
224	29	1	29	31	0	-35
226	29	2	-29	-31	0	34
228	29	3	28	30	0	35
230	29	4	-28	-30	32	-35
231	29	4.5	-28	29	-32	-35
