**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0
4	1	3	0	0	29	0
8	2	1	0	0	32	0
12	2	3	0	0	31	33
15	2	4.5	0	0	32	-33
16	3	1	0	0	33	33
17	3	1.5	0	0	34	-33
18	3	2	0	0	35	-33
20	3	3	0	0	-35	36
22	3	4	0	0	34	-36
24	4	1	0	0	33	35
26	4	2	0	0	35	-35
27	4	2.5	0	0	-35	36
28	4	3	0	0	-35	37
29	4	3.5	0	0	-35	38
30	4	4	0	0	34	39
32	5	1	0	26	33	38
34	5	2	0	-26	-33	37
35	5	2.5	0	-26	34	36
36	5	3	0	26	35	37
37	5	3.5	0	-26	34	36
38	5	4	0	-26	33	35
39	5	4.5	0	-26	32	34
40	6	1	0	29	31	33
41	6	1.5	0	-29	32	-33
42	6	2	0	-29	33	38
44	6	3	0	28	-33	-38
45	6	3.5	0	-28	32	37
46	6	4	0	-28	35	37
47	6	4.5	0	29	-35	-37
48	7	1	0	30	-35	-37
49	7	1.5	0	31	-35	-37
50	7	2	0	32	34	36
51	7	2.5	0	-32	33	35
52	7	3	0	-32	34	36
53	7	3.5	0	31	-34	-36
54	7	4	0	30	35	37
55	7	4.5	0	29	-35	-37
56	8	1	0	28	-35	-37
57	8	1.5	0	-28	34	-37
58	8	2	0	29	33	36
59	8	2.5	0	-29	-33	35
60	8	3	0	30	-33	34
62	8	4	0	-30	32	-34
64	9	1	22	31	33	36
67	9	2.5	-22	30	32	35
68	9	3	22	29	31	34
70	9	4	-22	-29	-31	33
71	9	4.5	-22	28	30	-33
72	10	1	25	27	29	-33
74	10	2	-25	-27	30	32
76	10	3	24	26	31	33
78	10	4	-24	31	-31	-33
79	10	4.5	25	-31	-31	34
80	11	1	26	-31	28	35
81	11	1.5	27	-31	-28	36
82	11	2	28	30	-28	37
83	11	2.5	-28	29	-28	-37
84	11	3	-28	30	0	-37
85	11	3.5	27	-30	0	36
86	11	4	26	31	0	35
87	11	4.5	25	-31	0	34
88	12	1	24	-31	29	33
89	12	1.5	-24	30	-29	-33
90	12	2	25	29	-29	34
