**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	72	1	26	0	30	28	0
4	72	3	25	0	30	27	0
6	73	1	24	0	29	26	0
10	73	3	23	0	28	25	0
12	74	1	24	0	28	26	0
16	74	3	22	0	27	24	0
18	75	1	21	30	28	25	35
19	75	1.5	22	-30	-28	-25	-35
20	75	2	23	-30	-28	32	-35
21	75	2.5	24	-30	-28	-32	-35
22	75	3	25	29	0	-32	34
23	75	3.5	-25	-29	0	31	-34
24	76	1	26	28	0	30	33
26	76	2	24	-28	0	31	-33
28	76	3	25	27	0	29	32
30	77	1	21	28	0	30	32
34	77	3	22	26	0	29	31
36	78	1	23	25	0	27	32
38	78	2	-23	23	32	-27	-32
39	78	2.5	21	-23	-32	28	-32
40	78	3	22	24	31	26	36
42	79	1	21	25	30	28	32
44	79	2	-21	-25	-30	32	35
46	79	3	0	0	29	31	34
48	80	1	0	28	28	30	35
49	80	1.5	0	-28	29	-30	-35
50	80	2	0	-28	30	-30	-35
51	80	2.5	0	-28	31	-30	-35
52	80	3	0	27	32	29	0
54	81	1	0	26	31	28	35
55	81	1.5	0	-26	-31	29	-35
56	81	2	0	-26	30	30	-35
57	81	2.5	0	-26	-30	31	-35
58	81	3	0	25	-30	32	34
59	81	3.5	0	-25	29	-32	-34
60	82	1	0	26	28	31	33
62	82	2	0	-26	-28	30	-33
63	82	2.5	0	25	27	-30	-33
63.5	82	2.75	0	-25	26	-30	-33
64	82	3	0	23	27	-30	32
65	82	3.5	0	-23	-27	29	-32
66	83	1	0	24	26	28	33
68	83	2	0	-24	28	-28	-33
69	83	2.5	0	23	-28	-28	-33
70	83	3	0	22	29	27	31
72	84	1	21	21	25	28	30
74	84	2	-21	0	-25	30	32
76	84	3	20	0	-25	29	-32
78	85	1	19	28	26	28	31
80	85	2	-19	-28	-26	0	30
82	85	3	18	27	27	0	-30
84	86	1	19	26	28	0	31
85	86	1.5	20	-26	-28	0	-31
86	86	2	21	-26	0	28	30
87	86	2.5	22	-26	0	-28	-30
88	86	3	23	25	0	27	-30
90	87	1	24	26	0	26	29
92	87	2	23	27	0	-26	30
94	87	3	-23	-27	0	25	-30
95	87	3.5	-23	28	0	-25	-30
96	88	1	22	29	31	26	0
98	88	2	-22	26	-31	29	0
100	88	3	21	-26	30	30	0
102	89	1	22	26	29	31	0
104	89	2	18	27	-29	32	0
106	89	3	19	26	28	30	0
108	90	1	22	26	29	31	0
110	90	2	-22	24	-29	-31	0
112	90	3	23	25	27	30	0
114	91	1	19	26	28	30	35
116	91	2	26	-26	26	-30	-35
118	91	3	25	0	27	0	34
120	92	1	24	0	28	31	33
122	92	2	22	0	29	-31	-33
124	92	3	23	0	27	30	32
126	93	1	24	0	26	29	33
128	93	2	-24	0	-26	28	-33
129	93	2.5	23	0	25	-28	-33
130	93	3	22	0	26	29	31
131	93	3.5	-22	0	27	-29	-31
132	94	1	21	28	28	30	30
133	94	1.5	-21	-28	-28	-30	31
134	94	2	-21	-28	25	-30	32
135	94	2.5	-21	-28	-25	-30	33
136	94	3	0	27	32	29	34
137	94	3.5	0	-27	-32	-29	32
138	95	1	0	26	31	28	33
139	95	1.5	0	-26	-31	-28	34
140	95	2	0	-26	30	-28	35
141	95	2.5	0	-26	-30	29	-35
142	95	3	0	25	-30	30	34
143	95	3.5	0	-25	29	-30	-34
144	96	1	0	26	28	31	33
146	96	2	0	23	27	30	-33
148	96	3	0	-23	-27	-30	32
150	97	1	24	26	26	28	33
152	97	2	-24	26	0	29	31
154	97	3	23	27	0	30	32
156	98	1	22	29	31	26	33
158	98	2	-22	22	-31	-26	-33
160	98	3	21	23	30	-26	33
162	99	1	22	24	29	-26	31
165	99	2.5	23	25	-29	-26	-31
166	99	3	24	26	28	-26	31
167	99	3.5	25	-26	-28	-26	-31
168	100	1	26	22	29	0	-31
170	100	2	-26	23	27	0	30
172	100	3	25	-23	-27	0	-30
174	101	1	26	28	26	0	30
176	101	2	0	-28	30	32	-30
177	101	2.5	0	-28	-30	-32	31
178	101	3	0	27	29	-32	32
180	102	1	0	26	28	31	33
181	102	1.5	0	-26	-28	-31	34
182	102	2	0	-26	-28	30	35
183	102	2.5	0	-26	-28	-30	33
184	102	3	0	25	27	-30	34
186	103	1	0	26	28	31	33
188	103	2	0	-26	-28	30	-33
190	103	3	0	24	26	29	0
192	104	1	21	23	25	30	35
194	104	2	-21	-23	32	-30	-35
195	104	2.5	-21	-23	-32	28	-35
196	104	3	25	0	32	29	34
198	105	1	26	28	30	28	33
200	105	2	-26	-28	-30	26	-33
202	105	3	23	27	30	0	32
204	106	1	24	26	28	0	33
206	106	2	22	-26	29	0	31
208	106	3	23	25	27	27	-31
209	106	3.5	-23	-25	-27	-27	30
210	107	1	19	26	26	28	30
212	107	2	22	-26	-26	26	-30
214	107	3	-22	24	0	-26	29
216	108	1	19	23	28	26	30
218	108	2	-19	-23	-28	-26	33
220	108	3	23	-23	27	25	34
222	109	1	19	28	26	26	35
224	109	2	19	-28	-26	30	33
226	109	3	23	27	25	-30	34
228	110	1	19	26	26	30	35
230	110	2	19	-26	28	-30	33
232	110	3	-19	-26	-28	30	-33
234	111	1	23	25	27	30	34
240	112	1	23	25	27	30	34
*-	*-	*-	*-	*-	*-	*-	*-
