**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	28	0	30	0	32	0
4	1	3	-28	0	-30	0	-32	35
8	2	1	25	0	29	0	-32	-35
10	2	2	-25	0	-29	0	-32	34
11	2	2.5	-25	0	-29	0	-32	33
12	2	3	-25	0	-29	0	-32	34
16	3	1	21	28	28	30	32	35
19	3	2.5	-21	-28	-28	-30	-32	36
20	3	3	28	-28	0	-30	-32	37
22	3	4	-28	-28	0	-30	-32	35
24	4	1	-28	25	32	29	0	36
26	4	2	27	-25	-32	-29	0	-36
27	4	2.5	26	-25	-32	-29	0	-36
28	4	3	27	-25	-32	-29	29	39
31	4	4.5	-27	-25	-32	-29	-29	38
32	5	1	28	21	32	28	30	37
33	5	1.5	-28	-21	-32	-28	-30	36
34	5	2	-28	-21	-32	-28	-30	35
35	5	2.5	-28	-21	31	-28	31	34
36	5	3	21	28	30	30	32	35
38	5	4	-21	-28	28	-30	-32	37
39	5	4.5	-21	-28	-28	31	-32	-37
40	6	1	25	-28	29	32	-32	36
42	6	2	-25	27	-29	29	-32	-36
43	6	2.5	-25	26	-29	-29	-32	-36
44	6	3	-25	27	-29	32	29	-36
46	6	4	-25	-27	-29	-32	32	-36
48	7	1	21	28	32	30	-32	35
49	7	1.5	-21	-28	-32	-30	31	-35
50	7	2	-21	-28	-32	28	30	-35
51	7	2.5	-21	-28	31	29	29	-35
52	7	3	-21	21	30	30	28	32
53	7	3.5	-21	-21	-30	31	-28	-32
54	7	4	-21	-21	-30	32	-28	-32
55	7	4.5	-21	-21	-30	-32	-28	33
56	8	1	0	25	29	-32	27	34
57	8	1.5	0	-25	-29	-32	-27	35
58	8	2	0	-25	-29	25	-27	36
59	8	2.5	0	-25	-29	26	28	-36
60	8	3	0	-25	25	27	29	-36
61	8	3.5	0	-25	26	28	-29	-36
62	8	4	25	-25	27	29	-29	32
63	8	4.5	-25	-25	28	-29	-29	-32
64	9	1	-25	-25	29	-29	32	34
66	9	2	21	-25	30	28	-32	35
68	9	3	25	-25	29	-28	-32	36
70	9	4	-25	-25	-29	27	-32	-36
72	10	1	21	0	28	28	30	37
73	10	1.5	-21	0	29	-28	-30	-37
74	10	2	-21	0	30	-28	28	-37
75	10	2.5	-21	0	31	-28	29	-37
76	10	3	-21	28	32	28	30	-37
77	10	3.5	-21	-28	-32	29	31	-37
78	10	4	-21	-28	28	30	32	-37
79	10	4.5	-21	-28	-28	31	-32	-37
80	11	1	28	-28	30	32	-32	35
82	11	2	-28	24	31	33	31	-35
84	11	3	21	28	32	32	-31	-35
86	11	4	-21	-28	28	-32	30	-35
88	12	1	0	24	-28	31	31	33
90	12	2	28	-24	26	-31	-31	-33
91	12	2.5	-28	25	-26	-31	-31	34
92	12	3	-28	26	-26	30	0	35
93	12	3.5	27	-26	27	-30	0	36
94	12	4	26	-26	28	-30	35	37
95	12	4.5	-26	-26	29	-30	-35	-37
96	13	1	-26	-26	30	28	-35	-37
97	13	1.5	-26	-26	-30	-28	34	-37
98	13	2	22	-26	31	29	33	36
99	13	2.5	-22	-26	-31	-29	32	-36
100	13	3	26	-26	30	30	33	-36
102	13	4	-26	-26	-30	33	-33	35
104	14	1	0	29	29	-33	31	36
105	14	1.5	0	-29	30	32	-31	-36
106	14	2	22	-29	31	31	29	-36
107	14	2.5	-22	-29	32	30	30	-36
108	14	3	-22	-29	33	29	31	-36
109	14	3.5	-22	-29	-33	30	32	-36
110	14	4	22	-29	29	31	33	-36
111	14	4.5	-22	-29	-29	32	-33	-36
112	15	1	24	-29	-29	33	-33	-36
113	15	1.5	-24	-29	28	-33	-33	-36
114	15	2	25	-29	27	29	32	-36
116	15	3	22	-29	26	-29	-32	-36
117	15	3.5	-22	-29	-26	28	-32	-36
118	15	4	-22	-29	-26	26	31	-36
120	16	1	25	0	25	27	32	0
122	16	2	-25	25	32	-27	-32	36
126	16	4	-25	25	29	-27	32	36
128	17	1	0	25	29	-27	-32	36
130	17	2	0	-25	32	-27	32	-36
131	17	2.5	0	-25	31	-27	-32	-36
132	17	3	0	28	30	0	32	37
133	17	3.5	0	-28	29	0	-32	-37
134	17	4	0	-28	28	0	-32	-37
136	18	1	0	26	30	0	33	35
140	18	3	0	29	29	0	31	36
142	18	4	0	-29	-29	29	-31	-36
144	19	1	0	25	0	29	32	34
146	19	2	0	-25	0	29	-32	-34
148	19	3	0	28	0	30	-32	35
150	19	4	0	-28	0	28	30	-35
152	20	1	0	24	0	-28	31	-35
154	20	2	0	-24	0	29	-31	34
156	20	3	0	-24	0	-29	-31	33
157	20	3.5	0	-24	0	28	-31	-33
158	20	4	0	-24	0	28	30	-33
160	21	1	0	25	0	-28	29	32
162	21	2	25	-25	29	27	-29	-32
163	21	2.5	-25	-25	-29	26	-29	-32
164	21	3	-25	-25	-29	27	0	0
166	21	4	25	-25	29	-27	0	32
168	22	1	25	0	29	27	0	-32
170	22	2	-25	0	-29	-27	0	32
172	22	3	28	21	30	28	0	32
174	22	4	-28	-21	-30	-28	32	-32
176	23	1	-28	-21	30	0	-32	35
177	23	1.5	-28	-21	-30	0	-32	36
178	23	2	-28	21	28	0	32	37
179	23	2.5	-28	-21	29	0	-32	38
180	23	3	-28	21	30	0	32	39
181	23	3.5	-28	-21	31	0	-32	-39
182	23	4	-28	-21	32	0	-32	-39
183	23	4.5	-28	-21	30	0	-32	-39
184	24	1	26	24	31	0	33	35
187	24	2.5	-26	-24	32	0	-33	-35
188	24	3	29	22	33	0	31	38
190	24	4	-29	-22	29	0	-31	-38
191	24	4.5	-29	-22	-29	0	-31	37
192	25	1	27	25	29	0	32	36
193	25	1.5	-27	-25	-29	0	-32	35
194	25	2	-27	-25	-29	32	-32	36
195	25	2.5	-27	-25	-29	-32	31	-36
196	25	3	28	21	0	-32	30	37
197	25	3.5	-28	-21	0	-32	29	-37
198	25	4	-28	-21	0	32	30	35
200	26	1	-28	25	0	32	-30	36
202	26	2	27	-25	0	-32	29	-36
204	26	3	26	0	0	33	-29	0
206	26	4	-26	0	0	-33	28	33
208	27	1	22	0	0	31	29	-33
210	27	2	-22	29	0	-31	-29	33
211	27	2.5	-22	-29	0	32	30	-33
212	27	3	-22	-29	0	33	31	33
213	27	3.5	-22	-29	0	-33	32	-33
214	27	4	-22	29	29	31	33	-33
216	28	1	25	29	-29	32	32	34
218	28	2	-25	-29	29	25	-32	-34
220	28	3	-25	27	29	-25	0	32
221	28	3.5	-25	-27	-29	26	0	-32
222	28	4	25	-27	-29	27	32	-32
223	28	4.5	-25	-27	-29	28	-32	33
224	29	1	25	25	27	29	-32	34
225	29	1.5	-25	-25	-27	-29	-32	35
226	29	2	-25	-25	-27	29	32	36
228	29	3	23	27	-27	30	32	32
230	29	4	-23	-27	25	-30	-32	39
232	30	1	21	28	-25	-30	30	-39
233	30	1.5	-21	-28	-25	-30	-30	38
234	30	2	-21	-28	32	-30	28	37
236	30	3	23	25	-32	0	32	-37
237	30	3.5	-23	-25	31	0	-32	36
238	30	4	-23	-25	30	32	-32	35
239	30	4.5	24	-25	-30	-32	-32	-35
240	31	1	25	-25	29	-32	-32	34
241	31	1.5	-25	-25	-29	31	-32	-34
242	31	2	21	-25	28	30	-32	35
244	31	3	25	-25	29	29	32	-35
246	31	4	-25	-25	-29	32	-32	34
248	32	1	21	0	28	30	32	35
252	32	3	-21	28	0	-30	0	-35
254	32	4	-21	-28	30	-30	32	-35
256	33	1	0	28	30	0	32	0
258	33	2	0	28	30	28	32	0
260	33	3	0	26	31	28	35	0
261	33	3.5	0	-26	30	-28	-35	0
262	33	4	0	-26	30	28	-35	0
263	33	4.5	0	-26	29	-28	-35	0
263.5	33	4.75	0	-26	28	-28	-35	0
264	34	1	0	25	29	32	34	0
266	34	2	0	25	-29	-32	-34	0
268	34	3	0	26	28	30	33	0
269	34	3.5	0	25	-28	-30	-33	0
270	34	4	0	24	26	33	-33	35
271	34	4.5	0	25	-26	-33	32	-35
272	35	1	0	26	28	-33	31	35
273	35	1.5	0	27	-28	-33	-31	-35
274	35	2	0	28	-28	32	30	35
276	35	3	0	-28	25	-32	29	39
277	35	3.5	0	-28	-25	31	-29	-39
278	35	4	0	27	-25	29	-29	-39
279	35	4.5	0	-27	-25	-29	-29	38
280	36	1	0	28	0	30	28	37
281	36	1.5	0	-28	0	-30	-28	36
282	36	2	28	-28	0	-30	32	37
284	36	3	28	21	0	-30	32	35
286	36	4	28	-21	28	-30	32	37
288	37	1	26	0	28	-30	35	-37
290	37	2	-26	0	28	-30	-35	36
291	37	2.5	-26	0	-28	-30	-35	35
292	37	3	25	0	32	0	34	36
294	37	4	25	0	-32	0	34	-36
296	38	1	26	0	30	0	33	35
297	38	1.5	25	0	-30	0	-33	-35
298	38	2	24	0	31	28	-33	33
299	38	2.5	25	0	-31	-28	-33	-33
300	38	3	26	0	-31	28	-33	35
301	38	3.5	27	0	-31	-28	-33	-35
302	38	4	28	0	30	28	32	-35
304	39	1	-28	25	29	32	0	36
306	39	2	27	-25	-29	-32	29	-36
307	39	2.5	26	-25	-29	-32	-29	-36
308	39	3	27	25	-29	-32	-29	0
310	39	4	-27	25	-29	-32	32	32
312	40	1	28	28	28	30	-32	32
313	40	1.5	-28	-28	-28	-30	31	-32
314	40	2	21	-28	-28	-30	30	32
315	40	2.5	-21	-28	-28	-30	29	-32
316	40	3	21	-28	0	32	30	35
318	40	4	21	-28	28	-32	-30	-35
319	40	4.5	-21	-28	-28	-32	31	-35
319.5	40	4.75	-21	-28	-28	-32	32	-35
320	41	1	24	26	28	31	33	35
322	41	2	-24	26	28	-31	-33	33
323	41	2.5	-24	-26	-28	32	-33	-33
324	41	3	22	29	31	33	-33	-33
326	41	4	22	-29	-31	26	-33	36
327	41	4.5	-22	28	-31	-26	-33	-36
328	42	1	25	27	29	27	32	-36
329	42	1.5	-25	26	-29	-27	-32	35
330	42	2	-25	25	29	-27	-32	34
331	42	2.5	-25	-25	-29	28	-32	33
332	42	3	25	-25	32	29	-32	34
333	42	3.5	-25	24	-32	-29	-32	-34
334	42	4	-25	23	-32	25	-32	-34
335	42	4.5	-25	22	-32	-25	-32	-34
336	43	1	0	21	30	0	0	35
338	43	2	28	-21	-30	30	32	-35
340	43	3	-28	25	0	-30	-32	0
342	43	4	27	-25	0	29	32	0
344	44	1	28	0	0	30	32	0
346	44	2	26	0	0	28	31	35
349	44	3.5	-26	0	0	26	30	-35
350	44	4	25	0	0	27	30	34
352	45	1	24	0	0	26	-30	35
353	45	1.5	-24	0	0	-26	29	-35
353.5	45	1.75	-24	0	0	-26	28	-35
354	45	2	-24	0	0	-26	29	33
355	45	2.5	-24	0	0	27	-29	-33
356	45	3	23	0	0	28	30	-33
358	45	4	-23	0	0	27	-30	32
360	46	1	26	0	0	28	-30	33
361	46	1.5	-26	0	0	-28	-30	34
362	46	2	-26	28	30	-28	-30	35
363	46	2.5	-26	-28	-30	-28	-30	36
364	46	3	0	-28	-30	0	0	37
365	46	3.5	0	-28	-30	0	0	38
366	46	4	0	27	29	32	0	39
368	47	1	0	28	30	32	0	37
370	47	2	28	26	-30	33	0	-37
372	47	3	-28	-26	30	-33	0	-37
373	47	3.5	-28	-26	-30	32	0	-37
374	47	4	27	25	-30	30	0	-37
376	48	1	28	24	26	31	0	0
377	48	1.5	-28	-24	-26	30	0	0
378	48	2	26	-24	-26	28	35	0
379	48	2.5	-26	-24	-26	29	-35	0
380	48	3	-26	23	0	30	-35	0
382	48	4	25	-23	30	-30	34	0
384	49	1	26	0	30	28	35	0
386	49	2	-26	0	30	-28	33	35
388	49	3	23	0	30	0	-33	-35
390	49	4	-23	0	-30	30	32	34
391	49	4.5	-23	0	29	-30	-32	-34
392	50	1	26	0	28	30	33	35
393	50	1.5	-26	0	26	-30	-33	-35
394	50	2	24	24	33	31	-33	33
395	50	2.5	25	-24	-33	-31	-33	34
396	50	3	26	-24	-33	28	31	35
397	50	3.5	24	-24	-33	-28	-31	36
398	50	4	28	23	32	-28	32	37
400	51	1	26	24	31	-28	33	35
402	51	2	-26	22	-31	29	-33	38
403	51	2.5	-26	-22	30	-29	-33	-38
404	51	3	-26	-22	29	0	-33	-38
406	51	4	-26	21	30	26	-33	37
408	52	1	0	22	31	26	-33	-37
410	52	2	0	-22	-31	29	-33	36
412	52	3	0	26	30	28	-33	37
414	52	4	28	-26	-30	-28	-33	-37
415	52	4.5	-28	-26	29	-28	-33	-37
415.5	52	4.75	-28	-26	28	-28	-33	-37
416	53	1	-28	0	29	25	32	39
418	53	2	27	0	-29	-25	-32	-39
420	53	3	28	0	28	28	30	-39
422	53	4	26	28	-28	-28	31	38
423	53	4.5	-26	-28	-28	29	-31	-38
424	54	1	25	-28	0	30	32	37
425	54	1.5	-25	-28	0	31	-32	-37
426	54	2	-25	27	25	32	29	36
428	54	3	21	28	-25	-32	30	-36
429	54	3.5	-21	-28	-25	30	-30	35
430	54	4	-21	26	26	28	-30	35
431	54	4.5	-21	-26	-26	-28	31	-35
432	55	1	0	25	27	29	32	-35
433	55	1.5	0	-25	25	-29	-32	-35
434	55	2	0	-25	32	-29	-32	34
435	55	2.5	0	-25	-32	-29	-32	33
436	55	3	25	-25	-32	-29	32	34
437	55	3.5	-25	-25	31	-29	-32	-34
438	55	4	-25	-25	29	-29	-32	-34
440	56	1	23	21	30	28	0	35
442	56	2	24	24	26	-28	33	-35
443	56	2.5	25	-24	27	-28	-33	-35
444	56	3	26	-24	28	-28	-33	-35
445	56	3.5	27	-24	29	-28	-33	-35
446	56	4	28	23	30	-28	32	-35
448	57	1	26	24	0	-28	33	-35
450	57	2	-26	-24	33	-28	31	-35
451	57	2.5	27	25	-33	-28	-31	-35
452	57	3	28	26	-33	-28	-31	-35
453	57	3.5	-28	27	-33	-28	-31	-35
454	57	4	-28	28	32	-28	30	-35
456	58	1	24	26	33	28	31	35
458	58	2	-24	-26	31	-28	-31	-35
459	58	2.5	-24	-26	-31	-28	32	-35
460	58	3	-24	24	-31	-28	33	-35
462	58	4	-24	-24	30	-28	-33	-35
463	58	4.5	-24	-24	29	-28	-33	-35
464	59	1	21	25	30	-28	32	-35
472	60	1	0	25	29	0	32	34
480	61	1	0	28	30	0	32	35
484	61	3	0	26	30	0	33	35
488	62	1	0	29	31	0	33	36
492	62	3	0	25	32	0	34	36
496	63	1	22	29	-32	0	33	36
498	63	2	-22	-29	31	0	-33	-36
499	63	2.5	-22	-29	30	0	-33	-36
500	63	3	-22	-29	31	29	-33	-36
502	63	4	-22	28	-31	-29	-33	-36
504	64	1	25	27	32	-29	32	36
506	64	2	-25	-27	25	-29	-32	-36
508	64	3	21	28	-25	32	30	37
510	64	4	-21	-28	28	-32	-30	-37
512	65	1	24	26	-28	28	33	38
514	65	2	-24	-26	26	-28	-33	-38
516	65	3	22	-26	-26	31	-33	-38
518	65	4	-22	-26	33	-31	-33	37
519	65	4.5	-22	-26	-33	-31	-33	36
520	66	1	26	-26	-33	30	33	35
521	66	1.5	-26	-26	32	-30	-33	-35
522	66	2	22	-26	31	29	-33	36
524	66	3	26	-26	30	-29	-33	37
526	66	4	-26	-26	-30	28	-33	-37
528	67	1	-26	22	29	29	31	38
531	67	2.5	-26	-22	-29	-29	-31	37
532	67	3	0	-22	31	26	33	36
533	67	3.5	0	-22	-31	-26	-33	35
534	67	4	0	-22	-31	-26	-33	36
535	67	4.5	0	-22	30	-26	-33	-36
536	68	1	0	25	29	27	32	-36
537	68	1.5	0	-25	-29	-27	-32	34
538	68	2	0	-25	28	28	-32	37
540	68	3	25	-25	-28	29	32	36
542	68	4	-25	-25	27	-29	-32	-36
544	69	1	-25	21	28	30	0	35
546	69	2	-25	-21	-28	-30	32	-35
548	69	3	28	-21	30	0	-32	35
550	69	4	-28	-21	-30	28	35	-35
552	70	1	26	24	33	-28	-35	-35
554	70	2	-26	-24	-33	31	33	-35
556	70	3	29	22	31	-31	-33	38
557	70	3.5	-29	-22	-31	-31	32	-38
558	70	4	-29	-22	-31	29	33	-38
560	71	1	27	25	32	-29	34	36
562	71	2	-27	-25	-32	32	-34	-36
563	71	2.5	-27	-25	31	-32	-34	-36
564	71	3	28	21	30	-32	32	37
565	71	3.5	-28	-21	29	-32	-32	-37
566	71	4	-28	-21	28	30	-32	-37
567	71	4.5	27	-21	-28	-30	-32	-37
568	72	1	26	24	-28	31	33	35
569	72	1.5	25	-24	-28	-31	-33	-35
570	72	2	24	-24	26	-31	-33	-35
571	72	2.5	23	25	-26	-31	-33	-35
572	72	3	24	26	-26	28	-33	35
573	72	3.5	-24	-26	24	-28	-33	-35
574	72	4	-24	-26	31	-28	-33	-35
575	72	4.5	-24	27	-31	-28	-33	-35
576	73	1	21	28	-31	0	32	35
578	73	2	-21	-28	30	0	32	-35
579	73	2.5	-21	-28	29	0	-32	-35
580	73	3	-21	21	30	28	-32	0
582	73	4	-21	-21	-30	-28	35	0
584	74	1	0	24	31	-28	-35	33
585	74	1.5	0	-24	-31	-28	34	-33
586	74	2	0	-24	-31	-28	33	-33
587	74	2.5	0	-24	30	-28	32	-33
587.5	74	2.75	0	-24	29	-28	-32	-33
588	74	3	0	-24	28	31	33	-33
590	74	4	0	-24	26	-31	31	-33
592	75	1	0	22	-26	-31	33	36
594	75	2	0	-22	29	-31	-33	-36
596	75	3	0	25	-29	29	32	34
598	75	4	0	-25	25	-29	-32	-34
600	76	1	21	21	-25	32	30	37
602	76	2	-21	-21	32	-32	-30	-37
603	76	2.5	-21	-21	-32	31	31	-37
604	76	3	-21	28	-32	30	32	-37
605	76	3.5	-21	-28	-32	29	-32	-37
606	76	4	-21	-28	30	28	-32	-37
608	77	1	24	26	33	-28	31	35
610	77	2	-24	-26	-33	26	-31	-35
611	77	2.5	-24	-26	32	-26	32	-35
612	77	3	22	29	31	-26	33	38
613	77	3.5	-22	-29	30	-26	-33	-38
614	77	4	-22	-29	31	29	-33	-38
616	78	1	25	27	32	-29	32	36
618	78	2	-25	-27	29	25	-32	39
620	78	3	21	28	30	-25	-32	-39
621	78	3.5	-21	-28	-30	-25	-32	38
622	78	4	-21	-28	-30	32	-32	37
623	78	4.5	-21	-28	29	-32	-32	-37
624	79	1	-21	25	30	-32	-32	-37
625	79	1.5	-21	-25	31	31	-32	36
