**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	26	26	0	30	33
8	2	1	26	28	0	30	33
12	2	3	26	-28	0	30	-33
16	3	1	-26	28	0	-30	33
18	3	2	-26	-28	0	30	-33
20	3	3	22	29	0	31	-33
22	3	4	-22	-29	0	-31	33
24	4	1	26	30	0	33	35
27	4	2.5	-26	29	0	-33	-35
28	4	3	26	30	0	33	35
30	4	4	-26	31	0	33	-35
32	5	1	27	-31	0	-33	36
33	5	1.5	-27	30	0	-33	-36
34	5	2	-27	29	0	32	-36
35	5	2.5	-27	28	0	31	-36
36	5	3	27	29	0	32	36
39	5	4.5	-27	-29	0	33	-36
40	6	1	26	30	0	33	35
42	6	2	-26	31	0	-33	-35
46	6	4	-26	30	0	-33	-35
48	7	1	0	31	0	-33	0
51	7	2.5	0	30	0	-33	0
51.5	7	2.75	0	29	0	-33	0
52	7	3	26	30	0	0	35
54	7	4	-26	-30	0	33	-35
56	8	1	27	0	0	-33	36
57	8	1.5	-27	0	0	32	-36
58	8	2	-27	0	0	32	-36
59	8	2.5	-27	0	0	31	-36
59.5	8	2.75	-27	0	0	32	-36
60	8	3	26	28	0	33	37
64	9	1	22	29	0	31	38
66	9	2	29	-29	0	-31	-38
67	9	2.5	-29	-29	0	32	-38
68	9	3	-29	31	0	33	-38
69	9	3.5	-29	-31	0	34	-38
70	9	4	28	-31	0	35	37
72	10	1	-28	31	0	33	36
74	10	2	27	-31	0	34	-36
76	10	3	28	30	0	32	35
80	11	1	24	33	0	35	38
84	11	3	24	-33	0	-35	-38
85	11	3.5	25	-33	0	-35	-38
86	11	4	26	-33	0	-35	-38
87	11	4.5	27	-33	0	-35	-38
88	12	1	28	32	0	35	37
89	12	1.5	29	-32	0	-35	-37
90	12	2	30	-32	0	34	-37
91	12	2.5	-30	31	0	33	36
92	12	3	-30	32	0	34	37
94	12	4	26	33	0	35	38
96	13	1	29	31	0	33	-38
97	13	1.5	-29	-31	0	-33	37
98	13	2	25	32	0	34	36
100	13	3	26	30	0	33	-36
101	13	3.5	-26	-30	0	-33	35
102	13	4	-26	-30	0	-33	35
103	13	4.5	-26	-30	0	-33	34
103.5	13	4.75	-26	-30	0	-33	35
104	14	1	22	29	29	0	36
106	14	2	-22	31	-29	33	-36
109	14	3.5	0	30	-29	-33	-36
110	14	4	25	29	-29	34	-36
111	14	4.5	-25	28	-29	-34	-36
112	15	1	-25	27	-29	32	0
114	15	2	24	26	-29	33	0
116	15	3	25	27	-29	32	36
118	15	4	22	26	-29	33	-36
120	16	1	26	-26	30	-33	35
121	16	1.5	25	-26	-30	34	-35
122	16	2	26	30	-30	35	35
123	16	2.5	27	29	-30	34	-35
124	16	3	28	30	-30	32	-35
125	16	3.5	-28	31	-30	-32	-35
126	16	4	-28	32	-30	-32	34
127	16	4.5	-28	-32	-30	31	33
128	17	1	-28	-32	32	30	37
129	17	1.5	-28	-32	-32	-30	36
130	17	2	27	28	-32	-30	37
131	17	2.5	26	-28	-32	29	38
131.5	17	2.75	-26	-28	-32	28	-38
132	17	3	25	-28	32	29	39
134	17	4	-25	27	-32	-29	-39
135	17	4.5	-25	-27	-32	-29	38
136	18	1	0	28	32	0	37
137	18	1.5	0	-28	-32	0	36
138	18	2	0	29	-32	0	36
140	18	3	0	30	-32	0	-36
142	18	4	0	-30	-32	32	35
144	19	1	0	29	33	-32	36
146	19	2	0	-29	-33	31	-36
148	19	3	25	0	34	32	-36
150	19	4	-25	25	-34	-32	-36
152	20	1	22	29	33	31	0
154	20	2	24	-29	-33	-31	0
155	20	2.5	-24	30	-33	30	0
156	20	3	-24	31	-33	29	0
157	20	3.5	25	-31	-33	-29	0
158	20	4	26	30	-33	28	0
159	20	4.5	27	-30	-33	-28	0
160	21	1	28	-30	-33	30	0
161	21	1.5	-28	29	-33	-30	0
162	21	2	29	29	-33	31	36
164	21	3	26	-29	-33	30	37
166	21	4	-26	28	-33	-30	37
168	22	1	22	29	-33	29	38
170	22	2	-22	-29	-33	31	-38
171	22	2.5	-22	-29	-33	-31	37
172	22	3	-22	26	-33	-31	36
173	22	3.5	-22	-26	-33	30	35
174	22	4	-22	-26	-33	29	36
