**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	28	0	0	0
4	0	3	31	0	0	0
8	1	1	-31	31	0	0
12	1	3	31	35	0	0
16	2	1	30	-35	0	0
20	2	3	-30	35	0	0
22	2	4	28	-35	0	0
24	3	1	29	34	0	31
28	3	3	30	32	0	35
32	4	1	31	33	0	-35
36	4	3	-31	-33	0	35
38	4	4	30	32	0	-35
40	5	1	29	31	31	34
44	5	3	28	30	35	32
47	5	4.5	-28	29	-35	-32
48	6	1	26	30	-35	33
50	6	2	-26	31	-35	-33
52	6	3	26	-31	35	-33
53	6	3.5	-26	30	-35	-33
54	6	4	-26	28	-35	32
56	7	1	27	29	34	31
60	7	3	28	28	32	30
62	7	4	-28	35	-32	-30
64	8	1	-28	35	33	0
66	8	2	26	35	-33	30
68	8	3	29	33	-33	31
70	8	4	29	32	34	31
71	8	4.5	-29	31	-34	-31
72	9	1	28	30	35	32
76	9	3	-28	32	-35	-32
78	9	4	-28	-32	-35	30
80	10	1	0	31	-35	33
82	10	2	26	-31	-35	-33
84	10	3	26	30	-35	33
86	10	4	26	-30	-35	-33
88	11	1	28	-30	0	32
91	11	2.5	-28	-30	0	31
92	11	3	-28	0	0	32
94	11	4	26	30	33	33
96	12	1	29	31	33	-33
97	12	1.5	-29	-31	-33	32
98	12	2	29	31	34	31
100	12	3	28	32	35	30
102	12	4	-28	-32	-35	28
103	12	4.5	29	31	-35	-28
104	13	1	30	32	-35	-28
105	13	1.5	28	30	-35	-28
106	13	2	31	33	33	35
108	13	3	-31	-33	36	33
109	13	3.5	-31	32	-36	-33
110	13	4	27	31	36	34
112	14	1	28	-31	35	32
114	14	2	-28	30	-35	-32
116	14	3	0	31	0	31
118	14	4	31	-31	33	-31
122	15	2	31	-31	33	35
124	15	3	31	0	33	-35
126	15	4	31	0	33	35
128	16	1	28	0	32	35
130	16	2	-28	0	-32	35
132	16	3	29	0	31	33
134	16	4	-29	33	-31	36
138	17	2	26	33	30	36
140	17	3	26	33	30	35
142	17	4	-26	33	-30	-35
144	18	1	0	32	-30	-35
146	18	2	0	-32	29	-35
147	18	2.5	0	-32	28	-35
148	18	3	0	31	29	33
154	19	2	29	31	-29	-33
156	19	3	29	30	26	-33
158	19	4	28	-30	-26	-33
160	20	1	31	0	0	-33
162	20	2	-31	0	29	-33
164	20	3	-31	0	29	0
166	20	4	30	0	28	0
168	21	1	29	0	31	0
170	21	2	29	0	-31	33
172	21	3	28	0	-31	33
174	21	4	-28	0	30	32
176	22	1	0	0	31	35
178	22	2	0	33	31	-35
180	22	3	0	33	28	-35
182	22	4	0	32	32	34
184	23	1	0	35	31	33
186	23	2	26	-35	30	-33
187	23	2.5	-26	-35	-30	34
188	23	3	26	-35	28	35
190	23	4	25	34	32	36
192	24	1	28	33	30	35
193	24	1.5	-28	-33	29	-35
194	24	2	-28	-33	30	-35
195	24	2.5	-28	32	31	34
195.5	24	2.75	-28	31	-31	-34
196	24	3	-28	30	32	35
198	24	4	27	31	29	36
200	25	1	26	28	30	-36
201	25	1.5	-26	-28	-30	35
202	25	2	26	-28	31	35
204	25	3	25	29	32	-35
206	25	4	-25	-29	-32	34
208	26	1	0	28	0	35
210	26	2	28	32	30	-35
214	26	4	28	32	30	35
216	27	1	-28	-32	-30	35
218	27	2	28	32	30	35
220	27	3	29	31	31	33
222	27	4	28	32	30	35
224	28	1	26	33	30	35
226	28	2	26	33	31	35
228	28	3	28	32	30	35
234	29	2	-28	-32	30	35
236	29	3	0	0	31	35
238	29	4	0	0	32	34
240	30	1	0	0	33	35
246	30	4	0	0	32	34
248	31	1	0	0	31	33
250	31	2	26	35	-31	-33
252	31	3	28	35	30	32
254	31	4	28	35	-30	-32
256	32	1	29	34	31	31
258	32	2	-29	33	-31	-31
259	32	2.5	30	-33	-31	-31
260	32	3	31	-33	0	0
262	32	4	28	32	30	35
264	33	1	29	31	31	35
266	33	2	29	-31	31	34
268	33	3	28	30	32	35
269	33	3.5	-28	-30	31	-35
270	33	4	-28	-30	32	-35
271	33	4.5	-28	-30	30	-35
272	34	1	0	0	33	-35
274	34	2	0	0	32	34
276	34	3	0	0	-32	33
277	34	3.5	0	0	31	-33
278	34	4	26	35	31	-33
280	35	1	28	35	-31	32
282	35	2	28	35	30	-32
284	35	3	29	34	31	31
286	35	4	-29	33	-31	-31
287	35	4.5	30	-33	-31	-31
288	36	1	31	-33	0	0
290	36	2	28	32	30	35
292	36	3	29	31	31	35
294	36	4	29	-31	31	34
296	37	1	28	30	32	35
297	37	1.5	-28	-30	31	-35
298	37	2	-28	-30	32	-35
299	37	2.5	-28	-30	30	-35
300	37	3	-28	-30	33	-35
302	37	4	-28	-30	32	34
304	38	1	-28	0	-32	33
305	38	1.5	-28	0	31	-33
306	38	2	-28	35	31	-33
308	38	3	-28	-35	-31	32
310	38	4	-28	35	30	-32
312	39	1	0	33	31	31
314	39	2	31	-33	35	-31
318	39	4	31	-33	35	33
320	40	1	29	31	36	-33
322	40	2	-29	-31	33	33
324	40	3	27	-31	-33	36
326	40	4	-27	31	32	-36
326.5	40	4.25	-27	30	-32	-36
327	40	4.5	-27	29	31	-36
327.5	40	4.75	-27	28	-31	-36
328	41	1	-27	29	32	-36
331	41	2.5	-27	-29	31	-36
332	41	3	26	30	33	35
334	41	4	29	31	-33	33
336	42	1	-29	-31	31	34
337	42	1.5	28	-31	-31	-34
338	42	2	28	30	32	35
340	42	3	-28	31	33	36
342	42	4	27	-31	34	-36
343	42	4.5	-27	32	-34	-36
344	43	1	28	30	32	35
350	43	4	-28	30	-32	35
352	44	1	0	30	0	35
354	44	2	0	31	0	35
356	44	3	0	32	0	34
359	44	4.5	0	-32	0	33
360	45	1	0	-32	0	34
361	45	1.5	0	-32	0	35
362	45	2	0	31	0	36
364	45	3	0	30	0	-36
366	45	4	25	-30	32	35
368	46	1	25	29	32	35
370	46	2	25	-29	32	34
372	46	3	28	28	30	35
378	47	2	27	0	29	-35
380	47	3	28	0	30	0
382	47	4	-28	30	-30	35
384	48	1	26	30	28	35
386	48	2	-26	31	-28	35
388	48	3	25	32	29	34
394	49	2	0	30	0	32
396	49	3	0	31	0	33
398	49	4	0	32	0	34
400	50	1	0	30	0	32
402	50	2	28	-30	35	-32
404	50	3	28	-30	35	-32
406	50	4	28	-30	35	-32
408	51	1	31	0	33	0
414	51	4	30	0	32	35
416	52	1	31	0	33	35
418	52	2	29	0	34	36
420	52	3	28	0	35	32
422	52	4	-28	30	-35	-32
423	52	4.5	27	-30	-35	-32
424	53	1	26	30	0	35
426	53	2	-26	31	28	-35
428	53	3	25	32	29	34
430	53	4	-25	-32	30	34
432	54	1	0	29	31	33
434	54	2	0	33	-31	-33
437	54	3.5	0	34	-31	0
438	54	4	28	35	30	0
439	54	4.5	-28	33	-30	0
440	55	1	29	34	31	0
442	55	2	30	35	32	0
444	55	3	31	-35	33	0
445	55	3.5	-31	34	-33	0
446	55	4	-31	35	-33	0
446.5	55	4.25	-31	34	-33	0
447	55	4.5	-31	33	-33	0
447.5	55	4.75	-31	32	-33	0
448	56	1	-31	33	0	0
450	56	2	30	35	0	32
452	56	3	31	35	0	33
454	56	4	29	36	31	34
456	57	1	28	32	32	35
458	57	2	-28	30	33	28
459	57	2.5	27	-30	-33	-28
459.5	57	2.75	26	-30	-33	-28
460	57	3	25	32	34	29
461	57	3.5	26	-32	-34	28
462	57	4	27	-32	-34	29
463	57	4.5	28	-32	-34	30
464	58	1	29	31	33	31
465	58	1.5	-29	-31	-33	30
466	58	2	-29	-31	-33	31
467	58	2.5	30	30	-33	32
468	58	3	31	29	31	33
469	58	3.5	-31	-29	-31	34
470	58	4	30	28	32	35
472	59	1	29	31	-32	-35
473	59	1.5	-29	-31	31	34
474	59	2	-29	-31	31	34
475	59	2.5	-29	-31	-31	33
475.5	59	2.75	-29	-31	-31	34
476	59	3	28	32	-31	35
478	59	4	-28	-32	30	-35
480	60	1	24	31	31	-35
*-	*-	*-	*-	*-	*-	*-
