**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	28	0
8	2	1	0	0	28	0
12	2	3	0	0	31	0
16	3	1	21	0	30	0
24	4	1	21	0	-30	0
28	4	3	24	0	31	0
32	5	1	23	0	32	32
35	5	2.5	-23	0	31	-32
36	5	3	-23	0	30	-32
37	5	3.5	-23	0	29	-32
38	5	4	-23	0	30	-32
40	6	1	-23	0	-30	32
41	6	1.5	-23	0	29	-32
42	6	2	-23	0	28	-32
43	6	2.5	-23	0	27	-32
44	6	3	24	0	26	35
48	7	1	25	25	25	34
50	7	2	-25	-25	32	-34
51	7	2.5	24	-25	-32	-34
52	7	3	23	-25	-32	-34
53	7	3.5	22	-25	31	-34
54	7	4	23	-25	30	-34
55	7	4.5	-23	-25	29	-34
56	8	1	21	-25	30	35
60	8	3	0	-25	29	36
62	8	4	0	-25	32	-36
64	9	1	0	25	-32	-36
65	9	1.5	0	-25	31	-36
66	9	2	0	-25	29	-36
68	9	3	0	28	30	35
72	10	1	25	27	29	36
74	10	2	-25	-27	32	-36
76	10	3	25	-27	-32	-36
77	10	3.5	-25	-27	31	-36
78	10	4	-25	-27	29	-36
80	11	1	28	28	30	0
84	11	3	27	29	0	0
86	11	4	27	-29	29	0
88	12	1	-27	-29	-29	39
89	12	1.5	26	-29	28	-39
90	12	2	25	-29	27	-39
91	12	2.5	24	-29	26	-39
92	12	3	23	28	25	-39
94	12	4	23	-28	-25	-39
96	13	1	22	29	26	38
98	13	2	-22	-29	33	-38
102	13	4	22	-29	31	-38
104	14	1	23	0	32	37
106	14	2	21	0	-32	-37
108	14	3	22	0	31	38
110	14	4	29	0	30	-38
111	14	4.5	-29	0	29	-38
112	15	1	30	32	28	37
116	15	3	28	-32	0	-37
118	15	4	-28	-32	30	-37
120	16	1	29	31	31	36
122	16	2	-29	-31	29	-36
125	16	3.5	0	-31	28	-36
126	16	4	22	-31	29	-36
128	17	1	23	30	27	0
130	17	2	21	-30	28	0
132	17	3	22	31	26	0
134	17	4	-22	-31	33	0
136	18	1	0	30	32	0
140	18	3	26	-30	33	35
144	19	1	22	29	31	36
146	19	2	22	-29	-31	-36
147	19	2.5	-22	-29	30	-36
148	19	3	-22	-29	29	36
149	19	3.5	-22	-29	28	-36
150	19	4	25	-29	27	-36
152	20	1	-25	0	-27	39
153	20	1.5	24	0	26	-39
154	20	2	23	0	25	-39
155	20	2.5	22	0	24	-39
156	20	3	23	28	25	-39
160	21	1	22	29	26	38
162	21	2	-22	-29	33	-38
164	21	3	0	29	33	-38
166	21	4	29	-29	33	-38
168	22	1	30	0	32	37
170	22	2	30	0	32	-37
172	22	3	28	0	32	-37
174	22	4	28	0	-32	-37
176	23	1	29	0	31	38
178	23	2	29	0	-31	-38
182	23	4	22	0	29	-38
184	24	1	23	32	27	37
186	24	2	23	-32	27	-37
188	24	3	21	-32	28	-37
190	24	4	21	-32	28	-37
192	25	1	22	31	26	36
194	25	2	22	-31	-26	-36
196	25	3	0	-31	29	-36
198	25	4	29	-31	-29	-36
200	26	1	-29	30	26	37
202	26	2	28	-30	-26	-37
203	26	2.5	27	-30	-26	-37
204	26	3	28	-30	-26	-37
206	26	4	28	-30	-26	-37
208	27	1	29	31	0	36
210	27	2	-29	-31	29	-36
212	27	3	22	-31	-29	-36
214	27	4	-22	-31	29	-36
216	28	1	26	30	28	0
219	28	2.5	25	-30	-28	0
220	28	3	26	-30	-28	0
221	28	3.5	27	-30	-28	0
222	28	4	28	-30	-28	0
224	29	1	-28	29	25	0
226	29	2	27	-29	-25	0
227	29	2.5	26	-29	-25	0
228	29	3	27	-29	-25	0
232	30	1	28	30	32	35
236	30	3	21	-30	-32	35
240	31	1	25	29	0	36
242	31	2	-25	-29	32	-36
244	31	3	27	-29	-32	-36
245	31	3.5	-27	-29	31	-36
246	31	4	-27	-29	29	-36
248	32	1	26	28	33	37
251	32	2.5	25	-28	-33	-37
252	32	3	26	28	30	-37
253	32	3.5	27	-28	-30	-37
254	32	4	28	-28	-30	-37
256	33	1	-28	29	32	36
258	33	2	27	-29	-32	-36
259	33	2.5	26	-29	-32	-36
260	33	3	27	-29	25	-36
262	33	4	27	-29	-25	-36
264	34	1	28	30	0	35
266	34	2	-28	-30	32	-35
268	34	3	21	-30	-32	-35
270	34	4	-21	-30	32	-35
272	35	1	0	29	31	36
273	35	1.5	0	-29	30	-36
274	35	2	25	-29	29	-36
275	35	2.5	-25	-29	28	-36
276	35	3	-25	-29	27	-36
278	35	4	25	-29	27	-36
280	36	1	26	28	28	0
