**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	0	1	19	0	26	0
8	1	1	-19	26	28	0
12	1	3	-19	-26	28	0
16	2	1	22	-26	29	29
22	2	4	-22	-26	28	-29
23	2	4.5	-22	-26	27	-29
24	3	1	-22	29	26	31
25	3	1.5	-22	-29	25	-31
26	3	2	-22	-29	27	-31
28	3	3	-22	-29	26	31
32	4	1	18	-29	25	32
38	4	4	-18	-29	26	31
39	4	4.5	-18	-29	-26	30
40	5	1	-18	25	27	29
41	5	1.5	-18	-25	-27	28
42	5	2	-18	-25	28	30
44	5	3	-18	-25	-28	29
46	5	4	-18	-25	27	-29
48	6	1	21	-25	30	28
51	6	2.5	-21	-25	29	-28
52	6	3	-21	-25	28	-28
54	6	4	-21	-25	27	29
55	6	4.5	-21	-25	26	-29
56	7	1	-21	28	25	30
58	7	2	-21	-28	26	-30
62	7	4	-21	-28	25	-30
64	8	1	19	-28	26	-30
66	8	2	-19	-28	23	-30
68	8	3	-19	-28	26	-30
71	8	4.5	-19	-28	27	-30
72	9	1	-19	26	28	30
80	10	1	0	0	0	0
80	10	1	0	0	29	0
84	10	3	0	0	29	33
88	11	1	0	0	0	33
90	11	2	0	0	29	-33
92	11	3	0	0	28	0
94	11	4	0	0	26	33
96	12	1	0	0	28	32
98	12	2	0	0	-28	30
100	12	3	0	0	25	32
103	12	4.5	0	0	26	-32
104	13	1	0	0	27	29
106	13	2	22	0	26	-29
107	13	2.5	-22	0	-26	30
108	13	3	22	0	29	31
110	13	4	-22	26	-29	29
112	14	1	22	26	0	33
116	14	3	0	26	0	0
118	14	4	22	-26	0	0
120	15	1	21	0	0	0
122	15	2	19	26	0	0
124	15	3	21	25	0	0
126	15	4	-21	23	0	0
128	16	1	18	25	0	0
130	16	2	-18	-25	29	0
132	16	3	0	22	-29	0
134	16	4	0	-22	29	33
136	17	1	0	0	29	-33
138	17	2	0	0	-29	33
139	17	2.5	0	0	30	-33
140	17	3	0	0	31	33
141	17	3.5	0	0	29	-33
142	17	4	0	0	31	-33
143	17	4.5	0	0	-31	34
144	18	1	0	0	-31	35
145	18	1.5	0	0	-31	33
146	18	2	0	0	30	35
147	18	2.5	0	0	29	-35
148	18	3	0	0	28	-35
150	18	4	0	0	28	34
151	18	4.5	0	0	-28	33
152	19	1	0	0	0	32
154	19	2	0	0	30	32
156	19	3	0	0	30	0
158	19	4	23	0	-30	0
160	20	1	23	0	30	0
162	20	2	-23	0	30	34
164	20	3	23	0	30	34
166	20	4	23	27	-30	-34
167	20	4.5	-23	-27	31	-34
168	21	1	23	27	32	34
169	21	1.5	-23	-27	30	-34
170	21	2	-23	-27	32	34
171	21	2.5	24	-27	-32	-34
172	21	3	25	27	-32	34
173	21	3.5	23	-27	-32	-34
174	21	4	25	27	31	-34
175	21	4.5	-25	-27	30	35
176	22	1	-25	27	29	36
177	22	1.5	-25	-27	-29	34
178	22	2	24	-27	-29	36
179	22	2.5	23	28	-29	-36
180	22	3	22	29	29	-36
181	22	3.5	-22	27	-29	-36
182	22	4	-22	29	-29	35
183	22	4.5	-22	-29	-29	34
184	23	1	22	-29	0	33
186	23	2	-22	28	0	-33
187	23	2.5	-22	27	0	-33
188	23	3	0	26	0	33
192	24	1	0	26	0	0
196	24	3	22	29	31	33
202	25	2	22	29	31	33
204	25	3	22	29	31	33
208	26	1	26	28	30	33
214	26	4	22	26	29	31
216	27	1	22	26	29	31
222	27	4	22	-26	29	31
224	28	1	22	0	29	31
226	28	2	22	26	29	31
228	28	3	24	26	28	33
230	28	4	-24	26	29	-33
232	29	1	21	28	30	32
236	29	3	0	25	0	0
238	29	4	25	-25	29	34
240	30	1	-25	25	27	-34
242	30	2	23	25	30	34
244	30	3	24	26	-30	33
246	30	4	-24	-26	29	-33
248	31	1	23	27	30	32
252	31	3	25	27	29	32
256	32	1	25	27	29	32
262	32	4	21	28	30	-32
264	33	1	21	28	30	32
270	33	4	-21	25	32	-32
272	34	1	0	26	-32	0
274	34	2	0	-26	31	0
276	34	3	21	23	32	35
278	34	4	-21	-23	30	-35
280	35	1	22	0	-30	33
282	35	2	-22	24	29	-33
283	35	2.5	-22	-24	28	-33
284	35	3	-22	-24	29	36
285	35	3.5	-22	22	-29	-36
286	35	4	-22	24	-29	-36
287	35	4.5	-22	25	30	-36
288	36	1	19	26	31	35
290	36	2	-19	-26	30	-35
294	36	4	-19	-26	29	-35
295	36	4.5	-19	-26	28	-35
296	37	1	0	25	27	0
298	37	2	0	-25	27	0
300	37	3	21	25	30	0
304	38	1	21	28	-30	0
306	38	2	-21	-28	28	0
308	38	3	24	-28	28	0
310	38	4	-24	26	-28	0
312	39	1	-24	26	31	0
314	39	2	22	27	-31	0
315	39	2.5	-22	26	-31	0
316	39	3	22	27	-31	0
317	39	3.5	-22	26	-31	0
318	39	4	-22	29	29	0
320	40	1	23	-29	32	0
322	40	2	-23	28	-32	0
323	40	2.5	-23	27	-32	0
324	40	3	-23	28	0	0
326	40	4	-23	-28	32	0
328	41	1	22	29	-32	0
330	41	2	-22	-29	31	0
331	41	2.5	-22	-29	30	0
332	41	3	-22	0	31	0
336	42	1	0	28	30	0
338	42	2	24	-28	28	0
339	42	2.5	-24	27	-28	0
340	42	3	-24	26	-28	0
341	42	3.5	-24	-26	29	0
342	42	4	23	25	30	0
344	43	1	22	24	26	0
345	43	1.5	-22	23	-26	0
346	43	2	21	26	-26	0
348	43	3	20	-26	29	0
350	43	4	-20	25	-29	0
352	44	1	19	26	28	0
354	44	2	-19	-26	-28	35
355	44	2.5	-19	-26	29	-35
356	44	3	0	0	30	-35
357	44	3.5	0	0	31	-35
358	44	4	0	0	32	34
359	44	4.5	0	0	29	-34
360	45	1	0	0	31	33
362	45	2	0	0	30	32
364	45	3	0	0	-30	31
366	45	4	0	0	29	-31
368	46	1	0	0	32	30
370	46	2	28	0	-32	32
371	46	2.5	-28	0	31	-32
372	46	3	-28	0	30	-32
373	46	3.5	-28	0	-30	33
374	46	4	27	0	29	34
376	47	1	26	0	28	35
377	47	1.5	-26	0	27	-35
378	47	2	25	25	30	34
380	47	3	24	26	-30	33
382	47	4	-24	-26	29	-33
384	48	1	23	27	30	32
390	48	4	19	26	28	30
392	49	1	19	26	28	30
408	50	1	0	0	0	0
408	50	1	22	0	0	0
412	50	3	21	0	0	0
416	51	1	24	26	0	0
420	51	3	23	25	0	0
424	52	1	19	28	0	0
425	52	1.5	20	-28	0	0
426	52	2	21	-28	0	0
427	52	2.5	22	-28	0	0
428	52	3	23	27	0	0
429	52	3.5	24	-27	0	0
430	52	4	25	-27	0	0
434	53	2	24	26	0	0
436	53	3	25	27	0	0
437	53	3.5	24	-27	0	0
438	53	4	23	28	0	0
439	53	4.5	22	-28	0	0
440	54	1	21	-28	0	0
441	54	1.5	-21	27	0	0
442	54	2	22	26	0	0
444	54	3	20	-26	0	0
446	54	4	-20	25	29	0
448	55	1	19	26	28	0
450	55	2	-19	-26	28	0
452	55	3	0	0	31	0
454	55	4	0	0	-31	33
456	56	1	0	0	30	32
458	56	2	0	0	-30	32
460	56	3	0	0	26	35
461	56	3.5	0	0	27	-35
462	56	4	0	0	28	-35
463	56	4.5	0	0	29	-35
464	57	1	0	0	30	34
465	57	1.5	0	0	31	-34
466	57	2	0	0	32	-34
469	57	3.5	0	0	31	0
470	57	4	0	0	29	33
471	57	4.5	0	0	31	-33
472	58	1	0	0	30	34
474	58	2	26	0	-30	35
476	58	3	-26	0	28	-35
477	58	3.5	-26	0	-28	34
478	58	4	24	0	29	33
480	59	1	25	0	27	-33
482	59	2	23	25	28	32
484	59	3	24	24	26	33
486	59	4	22	26	29	-33
488	60	1	23	-26	-29	0
489	60	1.5	-23	25	-29	0
490	60	2	-23	25	28	0
492	60	3	22	-25	29	0
494	60	4	-22	24	-29	0
496	61	1	18	25	0	0
500	61	3	0	0	0	0
504	62	1	25	27	29	32
512	63	1	25	27	29	32
516	63	3	23	27	30	32
520	64	1	25	27	29	32
526	64	4	-25	26	-29	-32
527	64	4.5	-25	25	-29	-32
528	65	1	22	29	31	33
534	65	4	-22	-29	29	31
