**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	23	27	30
4	1	2	0	-23	28	-30
6	1	2.5	0	-23	-28	32
8	1	3	0	-23	27	-32
12	2	1	0	24	26	33
15	2	1.75	0	-24	22	-33
16	2	2	0	-24	22	-33
18	2	2.5	0	-24	-22	29
20	2	3	0	-24	26	29
24	3	1	19	23	-26	0
26	3	1.5	-19	-23	28	33
28	3	2	-19	-23	-28	35
30	3	2.5	21	-23	-28	-35
32	3	3	-21	-23	30	-35
34	3	3.5	-21	-23	-30	33
36	4	1	22	22	31	33
42	4	2.5	18	-22	29	34
44	4	3	18	-22	29	-34
45	4	3.25	-18	-22	-29	33
46	4	3.5	-18	-22	-29	32
47	4	3.75	-18	-22	-29	31
48	5	1	0	25	30	32
50	5	1.5	0	-25	29	31
51	5	1.75	0	-25	-29	30
52	5	2	0	-25	-29	29
54	5	2.5	0	-25	32	34
57	5	3.25	0	-25	31	33
58	5	3.5	0	-25	30	32
59	5	3.75	0	-25	29	31
60	6	1	0	25	30	32
62	6	1.5	0	-25	29	31
63	6	1.75	0	-25	28	30
64	6	2	0	-25	27	29
65	6	2.25	0	-25	-27	28
66	6	2.5	0	-25	28	30
68	6	3	0	-25	-28	29
70	6	3.5	0	-25	27	-29
72	7	1	0	26	28	28
74	7	1.5	0	-26	24	-28
75	7	1.75	0	25	-24	-28
76	7	2	0	26	-24	29
77	7	2.25	0	27	-24	-29
78	7	2.5	0	28	23	30
80	7	3	0	-28	22	31
82	7	3.5	0	27	-22	-31
84	8	1	19	28	0	30
86	8	1.5	-19	-28	26	-30
90	8	2.5	21	-28	25	0
91	8	2.75	-21	-28	24	0
92	8	3	-21	-28	25	30
96	9	1	22	0	24	31
100	9	2	-22	0	27	-31
102	9	2.5	18	0	-27	29
104	9	3	18	0	-27	29
106	9	3.5	-18	0	25	32
108	10	1	21	28	25	-32
110	10	1.5	-21	-28	-25	30
112	10	2	-21	-28	0	30
114	10	2.5	-21	-28	32	-30
115	10	2.75	-21	-28	-32	31
116	10	3	-21	-28	-32	32
118	10	3.5	-21	-28	30	33
120	11	1	20	29	31	34
126	11	2.5	-20	-29	-31	33
127	11	2.75	-20	-29	-31	32
128	11	3	-20	-29	0	31
130	11	3.5	-20	-29	0	32
132	12	1	24	28	31	33
144	13	1	-24	28	-31	33
148	13	2	-24	-28	24	-33
150	13	2.5	-24	-28	-24	32
151	13	2.75	-24	-28	-24	31
152	13	3	0	-28	26	30
154	13	3.5	0	-28	-26	31
156	14	1	21	28	25	32
160	14	2	-21	-28	23	-32
164	14	3	19	-28	30	0
168	15	1	23	27	-30	32
171	15	1.75	24	-27	-30	-32
172	15	2	25	-27	29	-32
174	15	2.5	23	-27	-29	31
