**absq	**bar	**beat	**b7	**b7
0	1	1	18	0
0.5	1	1.5	-18	32
1	1	2	-18	34
1.75	1	2.75	-18	35
2	1	3	-18	37
4	2	1	18	-37
5.5	2	2.5	-18	36
6	2	3	18	34
6.5	2	3.5	18	-34
7	2	4	20	-34
7.5	2	4.5	21	-34
8	3	1	23	-34
10	3	3	22	-34
11	3	4	-22	33
12	4	1	22	0
12.5	4	1.5	-22	36
13	4	2	-22	35
13.75	4	2.75	-22	33
14	4	3	25	34
15	4	4	18	-34
15.5	4	4.5	-18	35
16	5	1	21	33
17	5	2	21	-33
18	5	3	22	-33
19	5	4	-22	33
20	6	1	24	0
20.5	6	1.5	-24	38
21	6	2	-24	37
21.75	6	2.75	-24	35
22	6	3	27	36
23	6	4	20	-36
23.5	6	4.5	-20	37
24	7	1	23	35
25	7	2	23	-35
26	7	3	24	-35
27	7	4	-24	35
28	8	1	24	0
29	8	2	-24	34
30	8	3	-24	36
31	8	4	25	-36
31.5	8	4.5	22	-36
32	9	1	23	-36
33.5	9	2.5	-23	32
34	9	3	24	33
34.75	9	3.75	-24	34
35	9	4	-24	35
35.25	9	4.25	-24	34
35.5	9	4.5	-24	33
35.75	9	4.75	-24	32
36	10	1	24	31
36.25	10	1.25	-24	32
36.5	10	1.5	-24	33
36.75	10	1.75	-24	32
37	10	2	-24	31
37.25	10	2.25	-24	30
37.5	10	2.5	-24	29
37.75	10	2.75	-24	30
38	10	3	-24	31
38.25	10	3.25	-24	32
38.5	10	3.5	-24	33
38.75	10	3.75	-24	34
39	10	4	-24	35
39.5	10	4.5	-24	36
39.75	10	4.75	-24	37
40	11	1	24	38
43	11	4	-24	31
44	12	1	20	0
45	12	2	-20	36
46	12	3	21	37
46.5	12	3.5	-21	36
47	12	4	-21	35
47.5	12	4.5	-21	34
48	13	1	22	33
50	13	3	-22	33
52	14	1	22	0
52.5	14	1.5	-22	29
53	14	2	-22	31
53.5	14	2.5	-22	32
54	14	3	-22	34
55	14	4	21	-34
56	15	1	20	-34
57.5	15	2.5	-20	33
58	15	3	19	30
60	16	1	22	29
64	17	1	25	0
65	17	2	-25	36
66	17	3	18	32
66.5	17	3.5	-18	33
67	17	4	-18	34
67.5	17	4.5	-18	33
68	18	1	17	35
70	18	3	-17	35
72	19	1	24	0
72.5	19	1.5	-24	33
73	19	2	-24	34
73.5	19	2.5	-24	35
74	19	3	-24	36
74.5	19	3.5	-24	34
75	19	4	-24	35
76	20	1	24	-35
76.5	20	1.5	-24	37
77	20	2	-24	37
77.5	20	2.5	-24	37
78	20	3	21	37
80	21	1	21	-37
81.5	21	2.5	-21	36
82	21	3	-21	32
82.5	21	3.5	-21	33
83	21	4	-21	34
84	22	1	22	-34
85	22	2	23	-34
86	22	3	20	-34
87.5	22	4.5	-20	35
88	23	1	22	31
90	23	3	-22	31
92	24	1	22	0
93	24	2	-22	29
93.5	24	2.5	-22	30
94	24	3	-22	31
95	24	4	-22	31
95.5	24	4.5	-22	32
96	25	1	22	33
97.5	25	2.5	-22	34
98	25	3	23	34
99.5	25	4.5	-23	35
100	26	1	24	35
103	26	4	-24	34
104	27	1	25	0
104.5	27	1.5	-25	32
105	27	2	-25	36
106	27	3	18	-36
106.5	27	3.5	-18	33
107	27	4	-18	34
107.5	27	4.5	-18	31
108	28	1	18	32
110	28	3	-18	32
112	29	1	20	0
113	29	2	-20	38
113.5	29	2.5	-20	37
114	29	3	-20	36
115	29	4	-20	35
115.5	29	4.5	-20	34
116	30	1	20	36
118	30	3	23	-36
119	30	4	-23	35
120	31	1	22	36
124	32	1	22	0
124.5	32	1.5	-22	36
125	32	2	-22	31
126.5	32	3.5	-22	31
127	32	4	-22	31
127.5	32	4.5	-22	32
128	33	1	22	33
129	33	2	23	-33
130	33	3	24	-33
131	33	4	-24	33
132	34	1	24	0
132.5	34	1.5	-24	36
133	34	2	-24	34
133.5	34	2.5	-24	33
134	34	3	25	34
135	34	4	18	-34
135.5	34	4.5	-18	35
136	35	1	18	36
136.25	35	1.25	-18	35
136.5	35	1.5	-18	34
136.75	35	1.75	-18	33
137	35	2	-18	32
137.25	35	2.25	-18	31
137.5	35	2.5	-18	30
137.75	35	2.75	-18	31
138	35	3	-18	32
138.25	35	3.25	-18	33
138.5	35	3.5	-18	34
138.75	35	3.75	-18	35
139	35	4	-18	36
140	36	1	18	-36
140.5	36	1.5	19	-36
141	36	2	20	-36
141.5	36	2.5	21	-36
142	36	3	22	-36
142.5	36	3.5	23	-36
143	36	4	24	-36
143.5	36	4.5	25	-36
144	37	1	26	-36
144.5	37	1.5	27	-36
145	37	2	25	-36
145.5	37	2.5	23	-36
146	37	3	24	-36
146.5	37	3.5	22	-36
147	37	4	20	-36
147.5	37	4.5	21	-36
148	38	1	20	-36
148.25	38	1.25	19	-36
148.5	38	1.5	18	-36
149	38	2	22	-36
150	38	3	20	-36
151	38	4	20	-36
151.25	38	4.25	-20	35
151.5	38	4.5	-20	34
151.75	38	4.75	-20	33
152	39	1	22	33
154	39	3	22	-33
156	40	1	18	32
*-	*-	*-	*-	*-
