**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	36	0
2	1	2	0	37	0
3	1	2.5	0	37	0
4	1	3	25	36	0
5	1	3.5	-25	34	0
6	1	4	26	35	0
7	1	4.5	26	33	0
8	2	1	25	34	0
9	2	1.5	23	32	0
10	2	2	24	33	0
11	2	2.5	22	-33	0
12	2	3	23	32	0
13	2	3.5	21	-32	0
14	2	4	22	0	36
16	3	1	26	0	37
17	3	1.5	-26	0	37
18	3	2	0	0	36
19	3	2.5	0	39	34
20	3	3	0	37	35
21	3	3.5	0	35	33
22	3	4	0	39	34
23	3	4.5	28	39	32
24	4	1	26	38	35
25	4	1.5	24	-38	-35
26	4	2	28	35	-35
27	4	2.5	28	-35	32
28	4	3	24	0	0
29	4	3.5	25	0	32
30	4	4	23	0	-32
31	4	4.5	24	0	33
32	5	1	22	0	-33
33	5	1.5	-22	0	34
34	5	2	21	0	35
35	5	2.5	21	0	35
35.5	5	2.75	-21	0	35
36	5	3	25	0	34
37	5	3.5	26	0	33
38	5	4	23	0	32
40	6	1	23	0	32
43	6	2.5	-23	32	34
45	6	3.5	0	32	34
46	6	4	0	33	35
47	6	4.5	0	34	36
48	7	1	0	35	37
49	7	1.5	0	35	37
50	7	2	0	33	38
51	7	2.5	0	35	37
52	7	3	0	35	38
53	7	3.5	0	36	36
54	7	4	0	37	35
56	8	1	0	38	35
58	8	2	24	-38	-35
59	8	2.5	24	-38	-35
60	8	3	24	-38	0
62	8	4	24	-38	0
64	9	1	0	0	38
65	9	1.5	31	0	38
66	9	2	29	0	38
67	9	2.5	27	0	-38
68	9	3	-27	0	38
68.5	9	3.25	27	0	-38
69	9	3.5	27	0	-38
70	9	4	24	31	-38
71	9	4.5	-24	31	-38
72	10	1	27	31	0
73	10	1.5	-27	-31	38
74	10	2	-27	31	36
75	10	2.5	-27	38	34
76	10	3	0	36	-34
76.5	10	3.25	0	-36	34
77	10	3.5	0	36	34
78	10	4	0	-36	38
78.5	10	4.25	0	36	-38
79	10	4.5	0	34	-38
80	11	1	0	33	35
82	11	2	0	33	0
83	11	2.5	0	36	0
85	11	3.5	0	36	0
86	11	4	0	38	35
87	11	4.5	0	-38	35
88	12	1	0	37	35
90	12	2	28	-37	35
91	12	2.5	28	-37	-35
92	12	3	28	-37	0
93	12	3.5	-28	-37	39
94	12	4	28	37	37
95	12	4.5	-28	37	35
96	13	1	0	37	-35
96.5	13	1.25	0	-37	35
97	13	1.5	32	-37	35
98	13	2	30	37	32
99	13	2.5	28	39	-32
100	13	3	-28	37	35
100.5	13	3.25	28	-37	-35
101	13	3.5	29	36	33
102	13	4	26	-36	33
102.5	13	4.25	-26	36	-33
103	13	4.5	-26	35	33
104	14	1	26	38	0
106	14	2	-26	37	0
109	14	3.5	-26	36	0
111	14	4.5	-26	35	0
112	15	1	0	36	0
114	15	2	29	-36	0
116	15	3	-29	0	36
117	15	3.5	29	0	-36
118	15	4	25	0	-36
119	15	4.5	-25	0	36
120	16	1	22	0	38
121	16	1.5	-22	36	-38
122	16	2	22	-36	-38
123	16	2.5	-22	36	-38
124	16	3	26	35	37
125	16	3.5	27	-35	-37
126	16	4	28	35	37
128	17	1	-28	-35	37
129	17	1.5	27	32	36
130	17	2	26	33	35
131	17	2.5	25	34	34
132	17	3	24	35	33
133	17	3.5	-24	35	-33
134	17	4	22	36	38
135	17	4.5	-22	35	-38
136	18	1	23	34	37
137	18	1.5	-23	32	37
138	18	2	-23	35	39
139	18	2.5	24	-35	-39
140	18	3	25	-35	-39
141	18	3.5	-25	-35	38
141.5	18	3.75	-25	-35	37
142	18	4	-25	34	36
144	19	1	21	35	37
148	19	3	0	37	34
151	19	4.5	0	36	34
152	20	1	0	36	34
154	20	2	0	37	34
155	20	2.5	0	37	34
156	20	3	0	38	34
159	20	4.5	0	38	34
160	21	1	0	38	34
161	21	1.5	0	37	34
162	21	2	0	37	35
164	21	3	0	37	34
168	22	1	0	0	0
169	22	1.5	0	39	37
171	22	2.5	0	38	36
172	22	3	0	37	35
174	22	4	0	36	34
175	22	4.5	0	35	33
176	23	1	0	34	32
178	23	2	0	34	32
180	23	3	0	0	0
181	23	3.5	0	0	34
182	23	4	0	0	35
183	23	4.5	0	0	36
184	24	1	0	0	37
185	24	1.5	25	34	37
186	24	2	26	35	37
187	24	2.5	27	36	36
188	24	3	28	37	35
189	24	3.5	28	37	-35
190	24	4	28	37	-35
191	24	4.5	29	36	34
192	25	1	30	35	-34
193	25	1.5	-30	-35	33
194	25	2	-30	34	-33
195	25	2.5	-30	-34	32
196	25	3	-30	-34	35
197	25	3.5	-30	33	-35
198	25	4	-30	-33	34
199	25	4.5	-30	32	-34
200	26	1	23	35	-34
201	26	1.5	-23	35	33
202	26	2	-23	34	-33
203	26	2.5	-23	-34	32
204	26	3	0	33	33
206	26	4	26	-33	-33
208	27	1	27	0	0
209	27	1.5	28	0	0
210	27	2	29	0	0
211	27	2.5	29	0	0
212	27	3	29	0	0
213	27	3.5	28	0	0
214	27	4	31	0	0
216	28	1	30	0	0
219	28	2.5	29	0	0
221	28	3.5	28	0	0
222	28	4	29	0	0
223	28	4.5	27	0	0
224	29	1	26	0	0
228	29	3	25	0	0
230	29	4	-25	32	34
232	30	1	0	32	34
233.5	30	1.75	0	33	35
234	30	2	0	34	36
234.5	30	2.25	0	32	34
235	30	2.5	28	35	37
236	30	3	28	-35	-37
237	30	3.5	-28	32	35
237.5	30	3.75	29	-32	-35
238	30	4	30	0	0
238.5	30	4.25	28	0	0
239	30	4.5	31	33	35
239.5	30	4.75	-31	34	36
240	31	1	28	35	37
241	31	1.5	-28	35	37
241.5	31	1.75	-28	36	38
242	31	2	0	37	39
243	31	2.5	0	35	37
244	31	3	0	35	-37
245	31	3.5	24	-35	38
245.5	31	3.75	25	-35	-38
246	31	4	26	-35	-38
247	31	4.5	26	-35	35
247.5	31	4.75	27	-35	-35
248	32	1	28	35	0
249	32	1.5	28	-35	0
250	32	2	28	0	0
251	32	2.5	-28	35	0
251.5	32	2.75	-28	36	0
252	32	3	28	37	0
253	32	3.5	-28	37	0
253.5	32	3.75	-28	38	0
254	32	4	-28	39	35
255	32	4.5	-28	39	-35
256	33	1	0	37	35
257	33	1.5	26	-37	-35
257.5	33	1.75	-26	-37	36
258	33	2	26	35	37
258.5	33	2.25	-26	-35	35
259	33	2.5	-26	-35	38
259.5	33	2.75	27	-35	-38
260	33	3	28	0	37
260.5	33	3.25	26	0	-37
261	33	3.5	29	33	36
262	33	4	-29	33	-36
263	33	4.5	22	-33	36
263.5	33	4.75	-22	34	-36
264	34	1	0	35	38
264.5	34	1.25	0	33	-38
265	34	1.5	22	36	-38
265.5	34	1.75	23	-36	-38
266	34	2	24	35	38
267	34	2.5	24	35	38
267.5	34	2.75	25	-35	-38
268	34	3	26	-35	37
268.5	34	3.25	-26	36	-37
269	34	3.5	26	37	37
270	34	4	26	33	35
271	34	4.5	-26	33	-35
271.5	34	4.75	-26	-33	34
271.75	34	4.875	-26	-33	33
272	35	1	25	36	34
272.5	35	1.25	-25	-36	32
273	35	1.5	-25	37	35
274	35	2	-25	36	-35
275	35	2.5	-25	-36	34
276	35	3	0	35	35
277	35	3.5	28	-35	-35
278	35	4	26	0	-35
279	35	4.5	23	0	-35
280	36	1	24	0	-35
281	36	1.5	24	0	-35
282	36	2	21	0	-35
283	36	2.5	-21	35	-35
284	36	3	24	33	-35
285	36	3.5	28	30	-35
286	36	4	26	31	-35
287	36	4.5	24	31	-35
288	37	1	28	30	0
289	37	1.5	28	30	37
290	37	2	24	0	38
291	37	2.5	21	0	39
292	37	3	0	35	40
293	37	3.5	23	-35	39
294	37	4	24	35	38
295	37	4.5	25	-35	-38
296	38	1	26	-35	37
297	38	1.5	-26	36	33
298	38	2	26	37	35
299	38	2.5	-26	35	37
300	38	3	27	36	36
302	38	4	-27	-36	36
303	38	4.5	28	-36	-36
304	39	1	29	33	36
308	39	3	22	-33	-36
312	40	1	25	34	36
*-	*-	*-	*-	*-	*-
