**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	31
2	1	2	0	0	0	0	0	29
3	1	2.5	0	0	0	0	0	30
4	1	3	0	24	0	0	0	31
6	1	4	0	22	0	0	0	31
7	1	4.5	0	23	0	0	0	32
8	2	1	0	24	0	0	0	33
10	2	2	0	24	0	0	0	33
11	2	2.5	0	25	0	0	0	34
12	2	3	0	26	0	0	0	35
14	2	4	0	26	0	0	0	-35
15	2	4.5	0	27	0	0	0	-35
16	3	1	0	28	24	0	0	33
18	3	2	0	24	22	0	0	-33
19	3	2.5	0	-24	23	0	0	-33
20	3	3	0	0	24	0	0	33
21	3	3.5	0	0	-24	0	0	34
22	3	4	0	26	24	0	0	35
23	3	4.5	0	27	25	0	0	-35
24	4	1	0	28	26	0	0	33
25	4	1.5	0	-28	-26	0	0	34
26	4	2	0	24	26	0	0	35
27	4	2.5	0	25	27	0	0	-35
28	4	3	0	26	28	0	0	-35
30	4	4	0	26	24	0	0	33
31	4	4.5	24	26	28	31	35	33
32	5	1	24	26	28	31	35	33
33	5	1.5	24	26	28	31	35	33
34	5	2	21	23	28	30	35	32
35	5	2.5	22	24	24	29	33	31
36	5	3	21	23	28	30	35	32
38	5	4	21	23	28	30	35	32
39	5	4.5	24	26	28	31	35	33
40.5	6	1.25	24	26	28	31	35	33
41	6	1.5	24	26	28	31	35	33
42	6	2	21	23	28	30	35	32
43	6	2.5	22	24	24	29	33	31
44	6	3	21	23	28	30	35	32
46	6	4	21	25	28	30	35	32
47	6	4.5	-21	25	-28	30	35	-32
48	7	1	20	27	0	31	36	0
49.5	7	1.75	-20	-27	0	31	-36	0
50	7	2	-20	-27	0	31	-36	0
51	7	2.5	-20	26	0	29	35	0
52	7	3	23	25	27	32	34	0
53	7	3.5	-23	24	-27	-32	33	0
54	7	4	-23	25	-27	-32	32	0
55	7	4.5	22	-25	-27	-32	-32	0
56	8	1	21	-25	30	28	-32	0
57	8	1.5	20	-25	-30	-28	-32	0
57.5	8	1.75	-20	-25	29	-28	-32	0
58	8	2	21	25	28	30	35	0
59.5	8	2.75	-21	-25	27	29	-35	0
60	8	3	17	26	28	28	35	0
62	8	4	24	-26	26	-28	-35	0
63	8	4.5	-24	25	-26	-28	34	0
64	9	1	-24	24	-26	-28	33	0
65	9	1.5	23	-24	-26	-28	-33	0
66	9	2	22	-24	26	29	33	0
67	9	2.5	-22	-24	27	-29	-33	0
68	9	3	21	25	28	25	30	0
70	9	4	-21	-25	28	32	30	0
71	9	4.5	21	25	28	32	30	0
72	10	1	21	23	28	32	35	0
74	10	2	21	25	28	30	-35	0
76	10	3	22	24	26	29	-35	0
78	10	4	22	25	25	-29	34	0
80	11	1	22	25	26	-29	33	0
82	11	2	-22	24	-26	-29	-33	0
84	11	3	18	25	27	29	32	0
86	11	4	21	-25	25	30	-32	35
88	12	1	25	0	27	32	0	36
91	12	2.5	24	0	26	28	0	33
92	12	3	24	0	28	31	0	33
93	12	3.5	24	0	28	31	0	33
94	12	4	27	0	29	31	0	34
98	13	2	24	0	28	31	0	33
99	13	2.5	24	0	28	31	0	33
100	13	3	25	0	27	29	0	32
102	13	4	24	0	28	31	0	33
103	13	4.5	-24	0	-28	-31	0	35
104	14	1	22	0	29	31	0	-35
105	14	1.5	22	0	29	31	0	34
