**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	26	0	30	35	0
2	1	2	0	28	0	30	32	0
3.5	1	2.75	0	28	0	30	32	0
4	1	3	0	26	0	31	33	0
5	1	3.5	0	28	0	30	32	0
6.5	1	4.25	0	28	0	30	32	0
7	1	4.5	0	28	0	30	32	0
8	2	1	0	28	0	30	32	0
11	2	2.5	0	28	0	30	32	0
12	2	3	0	25	0	29	34	0
13	2	3.5	0	25	0	29	34	0
14	2	4	0	29	0	31	33	0
16	3	1	0	29	0	31	33	0
18	3	2	0	28	0	30	33	0
19	3	2.5	0	28	0	30	32	0
19.5	3	2.75	0	28	0	30	32	0
20	3	3	0	27	0	29	32	0
21	3	3.5	0	27	0	29	31	0
22	3	4	0	26	0	28	31	0
23	3	4.5	0	26	0	28	30	0
24	4	1	0	25	0	27	30	0
25	4	1.5	0	25	0	27	29	0
26	4	2	0	24	0	26	29	0
28	4	3	0	24	0	26	28	0
29	4	3.5	0	24	0	26	29	0
30	4	4	0	25	0	27	29	0
31	4	4.5	0	25	0	27	30	0
32	5	1	0	26	0	28	30	0
33	5	1.5	0	26	0	28	31	0
34	5	2	0	27	0	29	31	0
35	5	2.5	0	27	0	29	32	0
36	5	3	0	28	0	30	32	0
38	5	4	0	-28	0	-30	33	0
39	5	4.5	0	28	0	-30	-33	0
40	6	1	0	29	0	31	-33	0
42	6	2	0	-29	0	32	34	0
44	6	3	0	-29	0	31	33	0
45	6	3.5	0	-29	0	30	32	0
46	6	4	0	-29	0	31	33	0
48	7	1	0	25	0	32	32	0
50	7	2	0	28	0	30	32	0
51	7	2.5	0	28	0	30	32	0
53	7	3.5	0	28	0	30	32	0
54	7	4	0	27	0	29	32	0
56	8	1	0	28	0	30	32	0
58	8	2	25	0	25	0	0	34
60	8	3	22	0	24	0	0	33
61	8	3.5	22	0	24	0	0	33
61.5	8	3.75	25	0	25	0	0	34
62	8	4	22	0	24	0	0	33
63	8	4.5	22	0	24	0	0	33
64	9	1	0	0	0	0	0	0
65	9	1.5	25	0	29	0	0	34
66	9	2	25	0	29	0	0	34
67	9	2.5	25	0	29	0	0	34
68	9	3	25	0	29	0	0	34
69	9	3.5	25	0	29	0	0	34
69.5	9	3.75	25	0	29	0	0	34
70	9	4	24	0	29	0	0	33
72	10	1	0	0	0	0	0	0
73	10	1.5	25	0	27	0	0	34
74	10	2	24	0	28	0	0	33
75	10	2.5	23	0	28	0	0	32
76	10	3	24	0	28	0	0	33
77	10	3.5	22	0	29	0	0	31
78	10	4	23	0	27	0	0	32
79	10	4.5	22	0	27	0	0	31
80	11	1	23	0	27	0	0	32
81	11	1.5	23	0	28	0	0	32
82	11	2	24	0	28	0	0	33
83	11	2.5	23	0	-28	0	0	-33
83.5	11	2.75	22	0	-28	0	0	-33
84	11	3	21	0	-28	0	0	-33
85	11	3.5	-21	0	27	0	0	32
85.5	11	3.75	-21	0	26	0	0	31
86	11	4	-21	0	25	0	0	30
87	11	4.5	-21	28	-25	30	35	-30
88	12	1	0	25	0	29	34	0
89	12	1.5	18	29	27	32	36	32
90	12	2	22	29	24	31	36	33
91	12	2.5	20	-29	24	-31	-36	34
92	12	3	21	25	28	30	35	32
93	12	3.5	21	-25	28	-30	-35	32
94	12	4	-21	25	-28	30	35	-32
94.5	12	4.25	21	-25	21	-30	-35	32
95	12	4.5	18	25	22	29	34	32
96	13	1	22	26	22	29	33	31
98	13	2	22	26	22	29	33	31
99.5	13	2.75	18	25	22	29	34	32
100	13	3	22	26	22	29	33	31
101	13	3.5	18	25	22	29	34	32
102	13	4	21	23	21	30	35	32
103	13	4.5	21	23	25	30	35	32
104.5	14	1.25	21	23	25	30	35	32
105	14	1.5	21	21	25	30	35	32
106	14	2	18	22	25	29	34	32
107.5	14	2.75	18	22	25	29	34	32
108	14	3	21	21	25	30	35	32
109	14	3.5	21	21	25	30	35	32
110	14	4	17	21	24	31	35	33
112	15	1	21	21	25	30	35	32
113	15	1.5	-21	-21	-25	30	35	-32
114	15	2	-21	28	-25	30	35	-32
115	15	2.5	-21	28	-25	30	35	-32
115.5	15	2.75	-21	28	-25	-30	-35	-32
116	15	3	25	27	0	29	36	32
117	15	3.5	25	27	0	-29	-36	-32
117.5	15	3.75	25	-27	0	-29	-36	-32
118	15	4	24	26	0	31	33	28
119	15	4.5	24	26	0	-31	-33	28
120	16	1	23	25	0	32	0	28
121	16	1.5	23	25	0	32	0	-28
121.5	16	1.75	-23	-25	0	32	0	-28
122	16	2	22	26	0	31	0	29
123	16	2.5	22	-26	0	31	0	-29
124	16	3	21	26	28	30	0	0
125	16	3.5	-21	25	28	30	0	0
125.5	16	3.75	-21	-25	28	-30	0	0
126	16	4	18	25	27	29	0	0
127	16	4.5	-18	25	27	29	0	0
128	17	1	17	26	26	31	0	35
129	17	1.5	-17	26	28	-31	0	35
129.5	17	1.75	-17	-26	-28	-31	0	35
130	17	2	18	27	25	29	36	34
131	17	2.5	18	27	25	-29	36	34
131.5	17	2.75	-18	-27	-25	-29	36	-34
132	17	3	19	28	23	0	35	33
133	17	3.5	19	28	-23	0	35	33
134	17	4	20	29	22	0	34	32
135	17	4.5	20	-29	22	0	34	31
136	18	1	21	25	23	0	32	30
137	18	1.5	21	-25	23	0	32	-30
138	18	2	22	0	24	26	31	29
139	18	2.5	-22	0	24	-26	31	29
139.5	18	2.75	-22	0	-24	-26	31	-29
140	18	3	18	0	25	27	29	29
141	18	3.5	-18	0	-25	27	32	29
142	18	4	0	21	25	28	32	30
143	18	4.5	0	-21	-25	28	32	30
144	19	1	0	24	24	28	33	31
145	19	1.5	0	-24	-24	29	33	31
146	19	2	18	22	27	29	34	32
147	19	2.5	-18	29	-27	-29	36	32
147.5	19	2.75	-18	-29	-27	30	-36	-32
148	19	3	22	29	26	31	36	33
150	19	4	-22	-29	-26	31	-36	33
151	19	4.5	-22	-29	25	32	-36	34
152	20	1	-22	-29	26	31	-36	33
153	20	1.5	-22	-29	-26	30	-36	-33
154	20	2	-22	-29	-26	31	36	-33
156	20	3	18	29	27	32	0	32
157	20	3.5	21	28	25	30	0	32
158	20	4	17	28	24	31	0	33
159	20	4.5	17	28	24	31	0	33
160	21	1	21	28	25	30	0	32
161.5	21	1.75	21	28	25	30	0	-32
162	21	2	25	29	25	29	34	32
164	21	3	22	29	26	31	33	0
165	21	3.5	22	29	26	31	33	0
165.5	21	3.75	25	29	25	32	34	0
166	21	4	22	29	26	31	33	0
167	21	4.5	22	29	26	31	33	0
168	22	1	0	0	0	0	0	0
169	22	1.5	25	27	29	32	34	0
170	22	2	25	27	29	32	34	0
171	22	2.5	25	27	29	32	34	36
172	22	3	25	27	29	32	34	36
173	22	3.5	25	25	29	32	34	36
173.5	22	3.75	25	25	29	32	34	-36
174	22	4	22	26	29	31	33	36
175	22	4.5	-22	-26	-29	-31	-33	36
175.5	22	4.75	-22	-26	-29	-31	-33	36
176	23	1	0	0	0	0	0	35
177	23	1.5	22	26	31	31	33	36
178	23	2	24	26	28	31	33	35
179	23	2.5	23	28	28	32	32	35
180	23	3	24	26	28	31	33	35
181	23	3.5	22	26	24	31	31	36
182	23	4	23	25	27	30	32	34
183	23	4.5	22	27	27	31	31	34
184	24	1	23	25	27	30	32	34
185	24	1.5	23	25	27	32	32	34
186	24	2	24	28	24	31	33	33
187	24	2.5	23	-28	28	-31	32	-33
187.5	24	2.75	22	-28	-28	-31	31	-33
188	24	3	21	-28	28	-31	30	-33
189	24	3.5	-21	27	-28	30	-30	32
189.5	24	3.75	-21	26	-28	29	-30	31
190	24	4	-21	25	-28	28	-30	30
191	24	4.5	-21	-25	27	-28	-30	-30
191.5	24	4.75	-21	-25	26	-28	-30	-30
192	25	1	21	0	25	30	0	35
193	25	1.5	-21	0	25	-30	0	-35
194	25	2	22	0	29	31	0	33
195.5	25	2.75	20	0	29	31	0	34
196	25	3	24	0	28	31	0	33
197	25	3.5	25	0	27	29	0	32
198	25	4	24	0	28	31	0	33
200	26	1	20	0	27	29	0	34
202	26	2	0	0	0	0	31	0
204	26	3	24	0	0	0	0	0
