**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	30	0	0	0	0
2	1	2	0	30	0	0	0	0
4	1	3	0	-30	0	0	0	36
6	1	4	0	25	0	0	0	37
8	2	1	0	26	0	0	0	-37
10	2	2	0	27	0	0	0	32
12	2	3	26	28	0	0	0	33
14	2	4	26	-28	0	0	0	-33
15	2	4.5	-26	27	0	0	0	-33
15.5	2	4.75	-26	26	0	0	0	-33
16	3	1	-26	30	0	0	0	34
18	3	2	18	-30	0	0	0	-34
20	3	3	19	23	30	0	0	35
22	3	4	-19	23	30	0	0	-35
24	4	1	-19	30	-30	0	0	34
26	4	2	20	-30	25	0	0	-34
28	4	3	21	-30	26	33	0	0
30	4	4	22	31	-26	33	0	0
31	4	4.5	-22	-31	27	-33	0	0
32	5	1	23	30	28	-33	37	0
34	5	2	-23	30	27	25	37	0
36	5	3	-23	0	30	26	-37	37
38	5	4	-23	0	-30	27	32	37
40	6	1	-23	30	-30	28	33	-37
42	6	2	-23	30	23	27	34	32
43	6	2.5	-23	-30	-23	27	-34	-32
44	6	3	-23	-30	0	26	35	33
46	6	4	-23	25	0	30	34	34
48	7	1	-23	26	0	30	-34	35
49	7	1.5	-23	-26	0	-30	33	-35
50	7	2	-23	-26	0	-30	33	-35
52	7	3	-23	27	0	-30	-33	34
54	7	4	-23	-27	0	-30	32	-34
56	8	1	19	28	0	30	33	0
57	8	1.5	-19	-28	30	-30	-33	37
58	8	2	0	26	28	0	-33	-37
59	8	2.5	26	-26	-28	30	-33	35
60	8	3	24	0	31	33	0	-35
61	8	3.5	-24	0	31	-33	0	35
62	8	4	27	0	-31	31	0	36
63	8	4.5	27	0	27	31	0	-36
64	9	1	-27	0	27	-31	0	-36
65	9	1.5	23	0	-27	32	0	37
66	9	2	23	30	-27	32	0	34
68	9	3	-23	25	27	0	0	34
69	9	3.5	-23	-25	27	30	0	34
70	9	4	20	24	-27	29	0	-34
71	9	4.5	20	-24	27	-29	0	34
72	10	1	-20	27	24	-29	0	34
73	10	1.5	20	-27	-24	-29	0	-34
74	10	2	20	-27	-24	29	0	-34
76	10	3	18	27	25	30	0	34
78	10	4	-18	-27	-25	-30	37	-34
80	11	1	0	0	26	30	37	0
81	11	1.5	0	0	-26	-30	37	0
82	11	2	0	30	0	32	-37	34
83	11	2.5	0	-30	0	-32	35	30
83.5	11	2.75	0	-30	0	-32	34	-30
84	11	3	0	30	0	32	37	34
85	11	3.5	0	30	0	32	-37	-34
86	11	4	0	-30	0	-32	37	-34
87	11	4.5	0	28	0	30	37	33
87.5	11	4.75	0	27	0	31	36	34
88	12	1	0	30	0	32	37	34
90	12	2	0	26	0	33	-37	35
91	12	2.5	0	26	0	33	37	35
92	12	3	0	-26	0	-33	37	-35
93	12	3.5	0	29	0	33	38	36
94	12	4	0	29	0	33	38	36
96	13	1	0	30	0	-33	37	-36
97	13	1.5	0	-30	0	-33	-37	35
98	13	2	0	-30	0	32	-37	34
100	13	3	26	30	28	0	33	37
101	13	3.5	26	30	28	0	33	-37
102.5	13	4.25	22	31	29	0	33	0
103	13	4.5	22	31	29	0	33	0
103.5	13	4.75	23	30	27	0	32	0
104	14	1	19	30	28	0	33	0
105	14	1.5	-19	-30	-28	0	33	0
106	14	2	19	30	26	0	0	0
107	14	2.5	26	-30	28	0	0	0
107.5	14	2.75	25	-30	27	0	0	0
108	14	3	26	0	28	0	0	0
109	14	3.5	25	30	27	0	0	0
109.5	14	3.75	24	29	26	0	0	0
110	14	4	25	30	27	0	0	0
111	14	4.5	-25	29	28	0	0	0
111.5	14	4.75	-25	28	-28	0	0	0
112	15	1	-25	29	-28	0	0	0
113	15	1.5	-25	-29	27	0	0	0
114	15	2	21	30	28	32	0	37
116	15	3	23	0	0	-32	0	-37
117	15	3.5	-23	0	25	30	37	34
118	15	4	-23	0	-25	30	-37	34
119	15	4.5	20	0	27	32	36	-34
119.5	15	4.75	-20	0	-27	31	-36	-34
120	16	1	20	0	27	32	36	0
121	16	1.5	19	0	23	30	35	33
121.5	16	1.75	18	0	25	-30	34	34
122	16	2	21	0	25	30	33	35
123	16	2.5	-21	0	23	-30	-33	33
124	16	3	20	0	0	29	34	33
125	16	3.5	-20	22	0	-29	-34	32
126	16	4	19	26	0	30	35	33
127	16	4.5	-19	-26	0	-30	35	33
128	17	1	23	25	0	30	34	34
130	17	2	26	26	28	-30	33	30
132	17	3	-26	23	27	-30	34	0
134	17	4	25	-23	-27	30	-34	37
136	18	1	0	28	26	30	30	-37
138	18	2	0	-28	-26	-30	37	33
139	18	2.5	0	-28	-26	33	-37	-33
140	18	3	0	27	0	32	-37	34
142	18	4	0	-27	0	29	32	-34
144	19	1	26	0	28	0	33	30
146	19	2	-26	0	-28	33	30	-30
148	19	3	23	0	-28	-33	0	-30
150	19	4	-23	0	25	28	0	-30
152	20	1	22	0	24	29	33	0
153	20	1.5	22	0	24	29	33	0
154	20	2	22	0	24	29	33	0
155	20	2.5	20	0	24	29	34	0
157	20	3.5	20	0	24	29	34	0
159	20	4.5	23	0	25	30	34	0
160	21	1	23	0	25	30	34	0
161	21	1.5	23	0	25	30	34	0
162	21	2	21	0	28	32	37	0
165	21	3.5	19	0	30	28	37	0
166	21	4	19	0	29	31	33	0
168	22	1	-19	0	-29	30	-33	0
170	22	2	19	0	28	-30	33	0
172	22	3	0	26	0	30	35	33
173	22	3.5	0	26	0	30	35	33
174	22	4	0	26	0	30	35	33
175	22	4.5	0	26	0	30	35	33
177	23	1.5	0	25	0	32	36	34
179	23	2.5	0	23	0	32	37	35
180	23	3	0	24	0	31	35	33
182	23	4	0	24	0	31	36	33
183	23	4.5	0	24	0	31	36	33
184	24	1	0	24	0	31	36	33
185	24	1.5	0	24	0	31	36	33
186	24	2	0	28	0	32	37	35
188	24	3	0	25	0	-32	36	34
189	24	3.5	0	-25	0	29	-36	-34
190	24	4	0	23	0	30	35	32
191	24	4.5	0	-23	0	31	36	33
192	25	1	0	-23	0	30	-36	32
193	25	1.5	0	-23	0	-30	35	-32
