**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	21	0	32	0	37
2	1	2	-21	30	-32	35	-37
3	1	2.5	-21	-30	33	-35	38
3.5	1	2.75	-21	-30	34	-35	39
4	1	3	-21	-30	35	-35	40
5	1	3.5	22	31	-35	-35	-40
5.5	1	3.75	23	32	-35	-35	-40
6	1	4	24	33	-35	-35	-40
7	1	4.5	-24	-33	-35	36	-40
7.5	1	4.75	-24	-33	-35	37	-40
8	2	1	-24	-33	-35	38	-40
9	2	1.5	26	31	35	38	40
10	2	2	28	32	35	37	39
12	2	3	24	33	33	38	38
13	2	3.5	-24	-33	33	-38	35
14	2	4	-24	28	-33	-38	-35
15	2	4.5	-24	-28	34	-38	36
15.5	2	4.75	-24	-28	35	-38	37
16	3	1	24	-28	36	0	38
17	3	1.5	-24	29	-36	0	-38
17.5	3	1.75	-24	30	-36	0	-38
18	3	2	-24	31	36	38	-38
19	3	2.5	25	29	-36	-38	-38
19.5	3	2.75	26	-29	-36	-38	-38
20	3	3	27	29	29	-38	-38
21	3	3.5	-27	-29	30	39	37
21.5	3	3.75	-27	-29	31	40	-37
22	3	4	-27	-29	32	41	36
23	3	4.5	26	-29	-32	-41	-36
24	4	1	25	-29	-32	-41	-36
25	4	1.5	-25	-29	29	40	35
26	4	2	-25	-29	32	39	-35
27	4	2.5	-25	-29	-32	-39	34
28	4	3	21	28	32	37	35
30	4	4	-21	-28	-32	-37	39
32	5	1	0	32	0	0	0
33	5	1.5	0	-32	0	0	37
34	5	2	0	0	0	0	38
35	5	2.5	0	30	0	0	39
36	5	3	0	31	0	0	40
37	5	3.5	0	32	0	0	-40
37.5	5	3.75	0	-32	0	0	39
38	5	4	0	33	0	0	38
38.5	5	4.25	0	-33	0	0	37
39	5	4.5	0	-33	0	0	38
39.5	5	4.75	0	32	0	0	37
40	6	1	0	31	0	0	36
40.5	6	1.25	0	30	0	0	35
41	6	1.5	0	31	0	0	36
41.5	6	1.75	0	30	0	0	35
42	6	2	0	29	0	0	34
42.5	6	2.25	0	28	0	0	33
43	6	2.5	0	29	31	0	34
43.5	6	2.75	0	-29	32	0	-34
44	6	3	0	28	33	0	35
45	6	3.5	0	-28	33	0	37
45.5	6	3.75	0	-28	-33	0	38
46	6	4	0	28	32	0	39
46.5	6	4.25	0	29	-32	0	-39
47	6	4.5	0	30	-32	0	-39
47.5	6	4.75	0	-30	-32	0	37
48	7	1	0	27	-32	0	36
49	7	1.5	0	-27	31	0	-36
49.5	7	1.75	0	-27	30	0	-36
50	7	2	0	29	31	0	36
52	7	3	0	25	32	0	0
53	7	3.5	0	-25	-32	0	36
54	7	4	0	0	0	0	36
54.5	7	4.25	0	0	0	0	36
55	7	4.5	0	32	34	0	36
55.5	7	4.75	0	-32	-34	0	36
56	8	1	0	32	34	0	36
56.5	8	1.25	0	32	34	0	-36
57	8	1.5	0	32	34	0	37
57.5	8	1.75	0	32	34	0	-37
58	8	2	0	32	34	0	-37
59	8	2.5	0	33	33	0	36
59.5	8	2.75	0	-33	-33	0	35
60	8	3	0	-33	-33	0	36
61	8	3.5	0	32	34	0	-36
61.5	8	3.75	0	31	33	0	-36
62	8	4	0	32	34	0	-36
64	9	1	0	28	35	0	35
66	9	2	28	30	32	37	35
69	9	3.5	26	28	33	37	35
69.5	9	3.75	25	27	34	39	36
70	9	4	28	30	35	39	37
72.5	10	1.25	26	30	35	40	37
73	10	1.5	29	31	33	38	36
73.5	10	1.75	28	32	35	37	37
74	10	2	27	29	36	36	38
75	10	2.5	26	28	33	38	-38
75.5	10	2.75	-26	-28	-33	-38	35
76	10	3	28	30	32	37	39
78	10	4	28	-30	35	37	39
79	10	4.5	26	-30	-35	-37	40
80	11	1	23	30	-35	-37	39
81	11	1.5	-23	30	35	37	-39
82	11	2	-23	32	34	36	-39
84	11	3	24	-32	-34	-36	-39
86	11	4	-24	29	33	35	38
88	12	1	25	30	-33	34	37
90	12	2	-25	-30	32	-34	-37
91	12	2.5	-25	29	-32	-34	-37
92	12	3	-25	29	-32	0	0
92.5	12	3.25	-25	29	-32	36	39
93	12	3.5	-25	29	-32	36	39
93.5	12	3.75	-25	29	-32	36	39
94	12	4	-25	29	0	36	39
94.5	12	4.25	-25	-29	0	36	39
95	12	4.5	-25	32	32	36	39
96	13	1	0	-32	32	-36	-39
96.5	13	1.25	25	-32	32	-36	-39
97	13	1.5	25	31	32	37	39
97.5	13	1.75	25	30	32	-37	-39
98	13	2	25	32	32	-37	-39
98.5	13	2.25	25	-32	-32	-37	-39
99	13	2.5	25	29	-32	36	38
99.5	13	2.75	-25	-29	-32	35	37
100	13	3	-25	-29	32	34	36
101	13	3.5	28	30	-32	32	35
102	13	4	-28	-30	31	0	37
102.5	13	4.25	-28	-30	30	0	-37
103	13	4.5	27	29	32	39	-37
103.5	13	4.75	26	28	-32	-39	-37
104	14	1	25	27	32	-39	-37
105	14	1.5	-25	-27	-32	38	36
105.5	14	1.75	-25	-27	-32	37	35
106	14	2	25	27	32	36	34
108	14	3	25	0	-32	36	34
109	14	3.5	-25	0	31	37	-34
109.5	14	3.75	-25	0	30	-37	-34
110	14	4	-25	32	32	-37	37
111	14	4.5	24	-32	-32	36	-37
111.5	14	4.75	23	-32	-32	35	-37
112	15	1	25	-32	32	34	-37
113	15	1.5	-25	31	-32	35	36
113.5	15	1.75	-25	30	-32	-35	35
114	15	2	-25	29	-32	-35	36
115	15	2.5	-25	-29	-32	34	-36
116	15	3	21	28	0	35	37
120	16	1	0	0	32	0	0
122	16	2	28	30	-32	39	37
123	16	2.5	-28	-30	32	-39	-37
123.5	16	2.75	-28	-30	33	-39	-37
124	16	3	-28	-30	30	-39	-37
125	16	3.5	28	33	-30	39	37
125.5	16	3.75	29	33	30	38	36
126	16	4	26	28	33	37	35
126.75	16	4.375	-26	-28	34	-37	-35
127	16	4.5	-26	28	33	37	35
127.25	16	4.625	-26	-28	32	-37	-35
127.5	16	4.75	26	-28	31	-37	-35
127.75	16	4.875	-26	-28	30	-37	-35
128	17	1	29	29	31	36	33
128.75	17	1.375	30	-29	32	-36	-33
129	17	1.5	29	-29	31	-36	-33
129.25	17	1.625	28	-29	30	-36	-33
129.5	17	1.75	27	-29	29	-36	-33
129.75	17	1.875	26	-29	28	-36	-33
130	17	2	25	27	29	36	34
130.75	17	2.375	26	-27	-29	-36	-34
131	17	2.5	25	25	-29	-36	-34
131.25	17	2.625	24	-25	-29	-36	-34
131.5	17	2.75	23	-25	-29	-36	-34
131.75	17	2.875	22	-25	-29	-36	-34
132	17	3	21	28	30	0	35
133	17	3.5	-21	-28	28	0	-35
133.5	17	3.75	-21	26	-28	0	-35
134	17	4	-21	30	32	0	32
135	17	4.5	-21	-30	-32	0	35
135.5	17	4.75	-21	-30	30	0	-35
136	18	1	25	29	32	0	-35
137	18	1.5	-25	-29	-32	0	34
138	18	2	25	30	32	0	37
138.5	18	2.25	-25	-30	-32	0	36
139	18	2.5	28	32	-32	0	35
139.5	18	2.75	-28	-32	-32	0	34
140	18	3	-28	30	0	0	33
141	18	3.5	27	32	0	0	32
142	18	4	29	-32	0	0	33
143	18	4.5	-29	31	0	0	-33
144	19	1	25	32	0	0	34
146	19	2	0	0	0	0	0
147	19	2.5	25	29	34	39	36
148	19	3	22	29	33	38	36
148.5	19	3.25	23	25	32	37	35
149	19	3.5	25	27	32	36	34
149.5	19	3.75	26	28	30	35	33
150	19	4	25	27	32	36	34
151	19	4.5	25	27	32	36	34
151.5	19	4.75	23	25	32	37	35
152	20	1	22	29	33	38	36
153	20	1.5	22	29	33	38	36
154	20	2	26	30	33	37	35
158	20	4	28	-30	-33	37	-35
160	21	1	-28	32	0	-37	37
161	21	1.5	23	-32	0	32	-37
161.5	21	1.75	24	-32	0	33	-37
162	21	2	25	-32	32	34	-37
163	21	2.5	-25	27	-32	-34	32
163.5	21	2.75	-25	28	-32	-34	33
164	21	3	25	29	-32	32	34
165	21	3.5	-25	-29	27	-32	-34
165.5	21	3.75	-25	-29	28	-32	-34
166	21	4	-25	29	29	-32	34
168	22	1	0	0	29	0	0
169	22	1.5	0	26	30	0	35
170	22	2	0	29	31	0	36
171.5	22	2.75	0	29	31	0	36
172	22	3	0	29	31	0	36
173	22	3.5	0	28	32	0	37
174	22	4	0	31	33	0	38
175.5	22	4.75	0	24	35	0	38
176	23	1	0	25	34	0	36
176.5	23	1.25	0	-25	-34	0	37
177	23	1.5	0	26	33	0	38
178	23	2	0	28	32	0	-38
179	23	2.5	0	-28	-32	0	37
180	23	3	0	24	33	0	38
182	23	4	0	0	0	0	0
183	23	4.5	22	26	33	36	38
184	24	1	22	29	33	36	38
185.5	24	1.75	22	29	33	36	38
186	24	2	22	29	33	36	38
187	24	2.5	22	29	33	36	38
188	24	3	22	29	33	36	38
189	24	3.5	22	29	33	36	38
189.5	24	3.75	25	27	34	36	39
190	24	4	24	26	35	38	40
191.5	24	4.75	-24	28	35	38	40
192	25	1	27	29	34	38	36
193	25	1.5	26	28	35	38	38
194	25	2	28	30	35	39	37
197	25	3.5	28	30	35	39	37
198	25	4	0	0	0	0	0
199	25	4.5	28	30	32	37	35
199.5	25	4.75	-28	-30	32	37	35
