**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	32	34	39	36
2	1	2	0	28	35	39	37
3	1	2.5	0	31	33	38	35
4.5	1	3.25	0	31	33	38	35
5	1	3.5	0	32	32	36	34
6	1	4	0	29	31	36	33
8	2	1	0	29	31	36	33
10	2	2	29	0	0	0	0
11	2	2.5	-29	0	31	33	36
12	2	3	25	0	32	34	36
13	2	3.5	28	0	32	35	37
14.5	2	4.25	28	0	32	35	37
15	2	4.5	29	0	31	33	36
16	3	1	26	0	30	33	35
18	3	2	-26	0	30	33	35
20	3	3	-26	0	28	0	33
21	3	3.5	-26	0	28	0	33
21.5	3	3.75	-26	0	28	0	33
22	3	4	-26	0	35	33	40
23	3	4.5	-26	0	-35	33	-40
23.5	3	4.75	-26	0	-35	33	37
24	4	1	26	0	-35	40	38
25	4	1.5	-26	0	33	-40	35
25.5	4	1.75	-26	0	-33	37	-35
26	4	2	-26	0	33	38	36
27	4	2.5	-26	0	-33	35	37
27.5	4	2.75	-26	0	33	-35	-37
28	4	3	0	0	33	35	-37
29	4	3.5	0	0	31	36	36
30	4	4	0	26	30	37	-36
31	4	4.5	0	26	-30	-37	35
31.5	4	4.75	0	26	-30	-37	-35
32	5	1	0	33	29	38	36
33	5	1.5	0	-33	-29	40	38
34	5	2	0	-33	0	40	37
35	5	2.5	0	30	32	39	-37
35.5	5	2.75	0	-30	-32	-39	36
36	5	3	0	31	33	38	35
37	5	3.5	0	-31	-33	-38	35
37.5	5	3.75	0	28	32	37	-35
38	5	4	0	29	31	36	33
39	5	4.5	0	30	30	35	32
40	6	1	0	29	31	36	33
41	6	1.5	0	-29	32	-36	-33
43	6	2.5	0	-29	31	-36	-33
44	6	3	0	25	32	36	34
46	6	4	25	0	0	0	0
47	6	4.5	-25	29	34	36	39
48	7	1	21	28	35	37	39
49	7	1.5	24	28	33	35	38
50.5	7	2.25	24	28	33	35	38
51	7	2.5	25	25	32	34	36
52	7	3	22	26	31	33	36
54	7	4	22	26	31	33	36
56	8	1	0	28	0	0	32
57	8	1.5	0	28	0	0	32
