**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	30
2	1	1.5	0	0	0	0	30
3	1	1.75	0	0	0	0	30
4	1	2	0	27	23	0	32
6	1	2.5	0	27	23	30	-32
7	1	2.75	0	28	23	-30	-32
8	2	1	0	27	25	29	0
9	2	1.25	0	-27	-25	30	0
10	2	1.5	0	30	26	28	35
12	2	2	0	30	23	32	-35
14	2	2.5	0	29	25	32	34
16	3	1	0	28	26	31	35
17	3	1.25	0	-28	-26	30	-35
18	3	1.5	0	25	27	-30	34
19	3	1.75	0	-25	-27	29	-34
20	3	2	0	26	28	28	30
21	3	2.25	0	-26	-28	27	-30
21.5	3	2.375	0	-26	-28	26	-30
22	3	2.5	0	-26	-28	30	33
24	4	1	0	23	27	30	-33
26	4	1.5	0	-23	-27	0	32
28	4	2	0	0	26	30	0
30	4	2.5	0	0	26	30	33
31	4	2.75	0	0	26	31	-33
32	5	1	19	0	28	30	33
33	5	1.25	-19	0	-28	-30	33
34	5	1.5	19	26	-28	30	35
35	5	1.75	19	-26	-28	-30	-35
36	5	2	21	25	0	30	35
37	5	2.25	-21	26	0	-30	-35
38	5	2.5	22	24	0	29	33
40	6	1	19	23	0	28	33
41.5	6	1.375	-19	-23	0	29	-33
42	6	1.5	21	23	0	30	32
42.5	6	1.625	-21	-23	0	31	-32
43	6	1.75	-21	23	0	32	-32
43.5	6	1.875	-21	-23	0	30	-32
44	6	2	22	26	0	31	36
46	6	2.5	23	25	0	32	34
48	7	1	26	28	0	30	-34
49	7	1.25	-26	-28	0	-30	33
49.5	7	1.375	-26	-28	0	-30	32
50	7	1.5	-26	-28	0	-30	33
52	7	2	23	27	0	32	34
54	7	2.5	25	-27	29	0	0
55	7	2.75	-25	-27	-29	32	34
55.5	7	2.875	25	-27	29	-32	-34
56	8	1	25	0	29	-32	-34
56.5	8	1.125	-25	0	-29	32	34
57	8	1.25	21	0	30	32	35
58	8	1.5	22	0	29	31	33
59	8	1.75	23	0	27	30	32
60	8	2	-23	0	-27	32	30
61	8	2.25	21	0	28	32	30
62	8	2.5	24	0	26	31	28
63	8	2.75	21	0	25	30	35
64	9	1	22	0	29	31	33
66	9	1.5	23	0	27	30	32
67	9	1.75	19	30	28	-30	33
68	9	2	-19	30	-28	0	-33
68.5	9	2.125	19	-30	28	0	30
69	9	2.25	19	30	28	0	33
70	9	2.5	21	30	28	0	32
71	9	2.75	18	29	27	0	32
72	10	1	19	28	26	0	30
74	10	1.5	18	29	27	0	32
75	10	1.75	25	27	-27	29	-32
