**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	34	36
2	1	2	0	0	0	35	37
3	1	2.5	0	0	0	36	38
4	1	3	0	29	31	-36	-38
4.5	1	3.25	0	-29	-31	35	37
5	1	3.5	0	-29	-31	34	36
6	1	4	0	30	32	35	35
7	1	4.5	0	31	33	33	-35
8	2	1	22	-31	-33	0	33
8.5	2	1.25	-22	30	32	0	-33
9	2	1.5	-22	29	31	38	-33
10	2	2	23	28	32	37	0
11	2	2.5	24	-28	31	35	0
12	2	3	-24	28	0	33	0
12.5	2	3.25	23	-28	0	-33	0
13	2	3.5	22	31	0	34	36
14	2	4	21	30	0	35	37
15	2	4.5	-21	28	32	32	39
16	3	1	21	30	-32	0	-39
17	3	1.5	-21	31	33	35	38
17.5	3	1.75	-21	-31	-33	-35	37
18	3	2	0	32	34	34	36
19	3	2.5	0	-32	-34	32	-36
20	3	3	0	-32	-34	34	36
21	3	3.5	0	-32	33	35	39
21.5	3	3.75	0	-32	32	-35	-39
22	3	4	0	29	33	36	38
23	3	4.5	29	-29	-33	33	36
24	4	1	28	0	33	0	37
25	4	1.5	26	33	-33	0	38
26	4	2	27	32	0	0	39
27	4	2.5	28	30	0	0	-39
28	4	3	29	31	0	33	36
29	4	3.5	-29	32	29	34	-36
30	4	4	26	33	30	35	0
31	4	4.5	-26	-33	31	35	0
31.5	4	4.75	-26	-33	-31	34	0
32	5	1	0	29	-31	33	36
32.5	5	1.25	0	-29	30	-33	-36
33	5	1.5	27	-29	29	31	-36
34	5	2	26	0	28	0	37
35	5	2.5	24	0	28	0	38
36	5	3	26	0	0	0	-38
36.5	5	3.25	-26	0	0	0	37
37	5	3.5	27	0	0	38	36
38	5	4	28	32	0	37	35
39	5	4.5	-28	33	35	35	35
40	6	1	25	34	34	36	0
41	6	1.5	-25	-34	32	37	0
42	6	2	29	33	33	38	0
43	6	2.5	-29	29	34	36	38
44	6	3	28	30	35	0	37
45	6	3.5	26	31	-35	0	35
46	6	4	27	-31	34	0	36
47	6	4.5	28	30	33	33	37
48	7	1	29	-30	31	-33	38
49	7	1.5	-29	29	29	34	-38
50	7	2	26	28	30	35	37
51	7	2.5	-26	28	31	34	-37
51.5	7	2.75	-26	-28	-31	33	-37
52	7	3	27	0	32	32	0
53	7	3.5	-27	29	29	31	36
54	7	4	26	28	0	0	37
55	7	4.5	24	26	0	35	38
56	8	1	25	27	0	34	36
57	8	1.5	26	28	0	33	35
58	8	2	27	29	0	32	0
59	8	2.5	-27	-29	31	31	36
59.5	8	2.75	-27	-29	32	-31	37
60	8	3	26	28	33	35	38
61	8	3.5	-26	-28	32	-35	37
61.5	8	3.75	-26	-28	31	-35	36
62	8	4	-26	0	30	33	35
63	8	4.5	-26	28	30	-33	35
64	9	1	0	27	31	0	36
64.5	9	1.25	0	-27	30	0	35
65	9	1.5	0	-27	31	0	36
65.5	9	1.75	0	26	32	0	37
65.75	9	1.875	0	25	-32	0	-37
66	9	2	0	24	33	0	38
66.5	9	2.25	0	25	-33	0	-38
67	9	2.5	24	26	-33	0	-38
67.5	9	2.75	25	27	32	0	37
67.75	9	2.875	-25	-27	31	0	36
68	9	3	26	28	30	0	35
68.5	9	3.25	-26	-28	-30	0	33
69	9	3.5	25	26	31	0	36
69.5	9	3.75	24	-26	-31	0	-36
70	9	4	25	27	30	0	-36
71	9	4.5	26	26	-30	0	35
72	10	1	27	0	29	0	36
73	10	1.5	-27	31	-29	36	-36
73.5	10	1.75	26	32	-29	37	-36
73.75	10	1.875	25	-32	-29	-37	-36
74	10	2	24	33	-29	38	-36
75	10	2.5	25	32	-29	37	-36
75.5	10	2.75	-25	31	-29	36	-36
76	10	3	26	30	0	35	0
77	10	3.5	-26	30	33	35	0
78	10	4	22	31	33	36	0
78.5	10	4.25	-22	30	32	35	0
79	10	4.5	-22	31	31	36	0
79.5	10	4.75	-22	32	30	37	0
80	11	1	-22	33	29	38	0
81	11	1.5	-22	-33	29	-38	0
81.5	11	1.75	-22	32	-29	37	0
81.75	11	1.875	-22	31	-29	36	0
82	11	2	0	30	26	35	0
82.5	11	2.25	0	-30	-26	33	0
83	11	2.5	0	31	-26	36	0
84	11	3	0	30	26	-36	0
85	11	3.5	0	-30	-26	35	0
86	11	4	0	29	0	36	0
87	11	4.5	27	-29	0	-36	36
87.5	11	4.75	28	-29	0	-36	37
88	12	1	29	0	0	-36	38
89	12	1.5	28	29	31	-36	37
89.5	12	1.75	27	30	32	-36	36
90	12	2	26	31	33	0	35
91	12	2.5	26	30	33	35	35
91.5	12	2.75	-26	30	32	-35	-35
92	12	3	27	29	31	34	36
92.5	12	3.25	26	-29	-31	-34	35
93	12	3.5	27	29	31	34	36
93.5	12	3.75	28	-29	-31	-34	37
94	12	4	29	29	31	33	38
94.5	12	4.25	-29	28	30	-33	-38
95	12	4.5	-29	29	31	33	-38
95.5	12	4.75	28	30	32	-33	37
95.75	12	4.875	27	-30	-32	-33	36
96	13	1	26	31	33	0	35
96.5	13	1.25	-26	-31	-33	0	33
97	13	1.5	27	29	32	0	36
98	13	2	26	30	33	0	-36
99	13	2.5	-26	-30	-33	0	35
100	13	3	22	29	31	0	36
101	13	3.5	-22	-29	-31	40	-36
102.5	13	4.25	0	-29	0	40	0
103	13	4.5	29	-29	33	40	36
104	14	1	-29	0	-33	38	-36
104.5	14	1.25	29	0	33	-38	36
105	14	1.5	29	31	33	-38	36
106	14	2	27	-31	34	38	36
106.5	14	2.25	-27	31	-34	-38	-36
107	14	2.5	27	29	-34	39	36
108	14	3	28	30	-34	-39	35
108.5	14	3.25	-28	-30	-34	38	-35
109	14	3.5	-28	31	33	38	-35
110	14	4	-28	32	32	-38	-35
111	14	4.5	-28	-32	-32	37	-35
112	15	1	24	31	33	38	35
115	15	2.5	-24	31	-33	38	-35
116	15	3	0	28	-33	37	0
117	15	3.5	0	29	-33	36	38
118	15	4	0	33	-33	35	37
119	15	4.5	0	-33	-33	38	36
120	16	1	0	-33	0	37	35
121	16	1.5	0	29	0	36	38
122	16	2	0	33	0	-36	37
123	16	2.5	0	-33	0	35	-37
124	16	3	0	29	0	36	36
125	16	3.5	0	-29	33	-36	-36
126.5	16	4.25	0	-29	33	0	0
127	16	4.5	29	-29	33	33	38
128	17	1	-29	0	31	-33	-38
128.5	17	1.25	29	0	-31	33	38
129	17	1.5	29	31	-31	33	38
130	17	2	27	-31	31	34	36
130.5	17	2.25	-27	31	-31	-34	-36
131	17	2.5	27	29	32	-34	36
132	17	3	28	30	-32	-34	35
132.5	17	3.25	-28	-30	31	-34	-35
133	17	3.5	-28	31	31	33	-35
134	17	4	-28	32	-31	32	35
135	17	4.5	-28	-32	30	-32	-35
136	18	1	24	31	31	33	0
137	18	1.5	-24	31	33	35	38
138	18	2	0	28	32	35	37
139	18	2.5	0	29	31	33	36
140	18	3	0	26	30	33	35
141	18	3.5	24	33	35	38	-35
142	18	4	21	32	35	37	0
143	18	4.5	22	31	33	36	38
144	19	1	26	28	33	35	37
144.5	19	1.25	-26	-28	32	-35	-37
145	19	1.5	-26	31	33	33	36
145.5	19	1.75	-26	-31	34	-33	-36
146	19	2	-26	30	35	33	35
147	19	2.5	22	29	33	33	38
148	19	3	26	28	33	0	37
149	19	3.5	-26	31	-33	33	36
150	19	4	-26	30	-33	33	-36
151	19	4.5	-26	-30	-33	-33	35
152	20	1	22	29	31	33	36
154	20	2	29	-29	-31	0	-36
155	20	2.5	-29	-29	-31	36	-36
156	20	3	28	0	0	37	0
157	20	3.5	26	0	0	38	0
158	20	4	27	0	0	36	0
159	20	4.5	-27	29	31	-36	0
159.5	20	4.75	-27	30	32	-36	0
160	21	1	26	31	33	35	0
161	21	1.5	-26	30	35	-35	0
162	21	2	25	32	34	0	0
163	21	2.5	25	-32	-34	36	0
163.5	21	2.75	-25	-32	-34	37	0
164	21	3	24	28	33	38	0
164.5	21	3.25	25	-28	-33	-38	0
165	21	3.5	26	-28	-33	38	0
165.5	21	3.75	27	-28	-33	-38	0
166	21	4	28	-28	0	37	0
167	21	4.5	26	-28	33	-37	0
167.5	21	4.75	-26	-28	32	-37	0
168	22	1	27	0	31	36	0
169	22	1.5	-27	31	29	-36	36
169.5	22	1.75	-27	32	-29	-36	-36
170	22	2	26	33	30	0	35
171	22	2.5	-26	33	31	0	33
172	22	3	0	32	32	0	34
173	22	3.5	27	29	-32	36	-34
173.5	22	3.75	28	-29	-32	37	-34
174	22	4	29	0	0	38	33
175	22	4.5	22	29	31	-38	-33
175.5	22	4.75	23	-29	32	-38	-33
176	23	1	24	28	33	-38	0
177	23	1.5	26	26	35	37	0
178	23	2	25	27	34	39	0
179	23	2.5	-25	-27	32	-39	36
179.5	23	2.75	-25	-27	-32	-39	37
180	23	3	24	26	0	35	38
181	23	3.5	-24	-26	0	-35	38
182	23	4	0	0	33	0	37
183	23	4.5	0	26	-33	35	-37
183.5	23	4.75	0	27	-33	36	-37
184	24	1	0	28	32	37	-37
185	24	1.5	0	28	30	39	-37
186	24	2	0	29	31	38	36
187	24	2.5	24	-29	-31	36	-36
187.5	24	2.75	25	-29	-31	-36	-36
188	24	3	26	28	30	0	0
189	24	3.5	28	-28	30	0	32
189.5	24	3.75	-28	-28	31	0	33
190	24	4	27	0	32	0	34
191	24	4.5	-27	31	31	36	36
191.5	24	4.75	-27	32	-31	37	-36
192	25	1	26	33	28	38	35
193	25	1.5	-26	-33	-28	37	-35
193.5	25	1.75	-26	32	-28	-37	-35
194	25	2	-26	31	28	-37	33
195	25	2.5	-26	31	31	36	-33
195.5	25	2.75	-26	-31	32	-36	-33
196	25	3	-26	30	33	-36	0
197	25	3.5	-26	-30	33	35	0
197.5	25	3.75	-26	-30	-33	34	0
198	25	4	-26	-30	33	35	0
199	25	4.5	-26	-30	-33	-35	33
200	26	1	0	29	31	36	33
202	26	2	29	-29	0	0	31
203	26	2.5	-29	-29	33	38	36
204	26	3	26	0	33	37	35
205	26	3.5	27	0	31	36	34
206.5	26	4.25	27	0	31	36	34
207	26	4.5	24	0	31	35	33
208	27	1	25	0	29	34	32
208.5	27	1.25	26	0	-29	-34	-32
209	27	1.5	27	0	-29	-34	-32
209.5	27	1.75	28	0	-29	-34	-32
210	27	2	29	0	29	33	31
211	27	2.5	-29	33	-29	36	38
212	27	3	26	-33	0	-36	-38
213	27	3.5	-26	33	33	35	37
214	27	4	0	29	-33	38	36
215	27	4.5	0	-29	33	-38	-36
216	28	1	0	31	29	38	36
217	28	1.5	0	28	32	37	35
218	28	2	0	29	-32	36	34
218.5	28	2.25	0	-29	-32	-36	33
