**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	33
2	1	2	0	0	0	0	33
4	1	3	0	0	0	0	32
5	1	3.5	0	0	0	0	31
6	1	4	0	29	0	0	-31
7	1	4.5	0	-29	0	0	29
8	2	1	0	29	0	33	31
10	2	2	0	28	0	33	30
11	2	2.5	0	-28	0	-33	30
12	2	3	0	27	0	32	29
13	2	3.5	0	26	0	31	28
14	2	4	0	27	0	-31	29
15	2	4.5	0	-27	0	29	-29
16	3	1	0	26	0	31	-29
18	3	2	0	26	0	30	28
20	3	3	22	-26	0	31	29
22	3	4	-22	27	0	-31	-29
24	4	1	23	-27	0	32	0
26	4	2	-23	28	0	-32	0
28	4	3	24	26	29	33	0
30	4	4	25	29	-29	34	0
32	5	1	-25	27	30	-34	0
34	5	2	23	26	-30	35	0
35	5	2.5	-23	25	-30	-35	0
36	5	3	22	26	31	36	0
38	5	4	-22	27	32	-36	0
40	6	1	-22	26	-32	-36	0
42	6	2	-22	-26	31	-36	0
44	6	3	19	-26	30	35	0
46	6	4	-19	-26	-30	-35	33
48	7	1	0	0	29	0	-33
49	7	1.5	0	0	-29	0	33
50	7	2	0	29	31	0	33
52	7	3	0	-29	-31	0	33
53	7	3.5	0	29	31	0	-33
54	7	4	0	29	29	33	31
56	8	1	0	28	30	-33	30
57	8	1.5	0	-28	-30	33	-30
58	8	2	22	29	31	33	0
60	8	3	-22	26	-31	33	0
61	8	3.5	22	-26	31	-33	0
62	8	4	22	-26	29	31	33
64	9	1	21	-26	30	30	-33
65	9	1.5	-21	-26	-30	-30	33
66	9	2	22	24	29	0	33
68	9	3	19	23	28	0	33
70	9	4	22	0	29	33	31
71	9	4.5	-22	22	-29	-33	-31
72	10	1	21	25	30	35	30
73	10	1.5	21	25	28	35	-30
74	10	2	24	26	29	33	0
76	10	3	23	27	30	32	0
77	10	3.5	-23	-27	30	-32	0
78	10	4	26	28	-30	0	0
78.5	10	4.25	-26	-28	29	0	0
79	10	4.5	-26	-28	30	0	0
79.5	10	4.75	25	27	-30	0	0
80	11	1	26	28	28	0	0
81	11	1.5	24	26	29	0	0
82	11	2	25	27	30	0	0
83	11	2.5	26	28	-30	0	0
84	11	3	-26	-28	30	0	0
84.5	11	3.25	26	28	-30	0	0
85	11	3.5	24	29	31	0	0
86	11	4	23	-29	32	0	0
87	11	4.5	-23	28	-32	0	30
88	12	1	22	29	31	0	33
89	12	1.5	-22	26	-31	33	-33
90	12	2	0	29	0	31	-33
91	12	2.5	0	27	0	32	34
92	12	3	0	26	0	33	35
94	12	4	0	30	0	32	34
95	12	4.5	0	-30	0	34	-34
96	13	1	0	30	0	-34	32
96.5	13	1.25	0	-30	0	33	-32
97	13	1.5	0	-30	0	34	-32
97.5	13	1.75	0	29	0	-34	31
98	13	2	0	30	0	32	32
99	13	2.5	0	28	0	33	30
100	13	3	0	29	0	34	31
101	13	3.5	0	30	0	-34	32
102	13	4	0	-30	0	34	-32
102.5	13	4.25	0	30	0	-34	32
103	13	4.5	0	28	0	35	33
104	14	1	0	27	0	36	-33
105	14	1.5	0	-27	0	-36	32
106	14	2	0	26	0	35	33
107	14	2.5	0	-26	30	-35	-33
108	14	3	0	0	30	0	0
109	14	3.5	23	27	30	0	32
110	14	4	23	27	30	0	32
111	14	4.5	23	27	-30	0	32
112	15	1	23	27	30	0	32
114	15	2	23	27	-30	0	32
115	15	2.5	23	27	30	0	32
116	15	3	22	29	31	0	33
117	15	3.5	21	30	32	0	35
118	15	4	25	29	32	0	34
120	16	1	25	27	29	0	34
121	16	1.5	-25	-27	30	0	-34
122	16	2	26	28	-30	0	0
123	16	2.5	-26	-28	28	0	0
124	16	3	24	26	28	0	0
125	16	3.5	24	26	-28	0	0
126	16	4	-24	-26	29	0	0
127	16	4.5	22	26	-29	0	0
128	17	1	23	25	27	0	0
130	17	2	23	25	27	0	0
131	17	2.5	-23	-25	-27	30	0
132	17	3	0	0	0	30	0
133	17	3.5	0	26	28	30	33
134	17	4	0	26	28	30	33
135	17	4.5	0	26	28	-30	33
136	18	1	0	26	28	30	33
138	18	2	0	26	28	-30	33
139	18	2.5	0	26	28	30	33
140	18	3	0	25	29	32	34
141	18	3.5	0	24	31	33	35
142	18	4	0	28	30	32	35
144	19	1	0	28	30	32	35
145	19	1.5	0	-28	-30	33	-35
146	19	2	0	29	0	-33	31
147	19	2.5	0	-29	0	31	-31
148	19	3	0	27	0	31	29
149	19	3.5	0	27	0	-31	29
150	19	4	0	-27	0	32	-29
151	19	4.5	0	25	0	-32	29
152	20	1	0	26	0	30	28
154	20	2	0	26	0	30	28
155	20	2.5	0	-26	33	-30	-28
156	20	3	0	0	32	0	0
157	20	3.5	0	26	31	33	0
158	20	4	0	28	30	32	0
159	20	4.5	0	29	29	31	33
160	21	1	0	25	34	30	32
161	21	1.5	0	25	-34	29	31
162	21	2	0	26	33	28	30
163	21	2.5	0	27	32	29	29
163.5	21	2.75	0	-27	31	-29	-29
164	21	3	0	25	32	-29	30
165	21	3.5	0	26	30	28	-30
166	21	4	0	22	29	29	31
167	21	4.5	22	-22	26	-29	-31
168	22	1	21	0	28	0	0
169	22	1.5	20	22	29	36	0
170	22	2	19	26	30	35	0
170.5	22	2.25	-19	-26	31	-35	0
