**absq	**bar	**beat	**b7	**b7	**b7
2	1	2	0	29	0
6	1	4	0	25	0
8	2	1	0	30	0
10	2	2	0	29	0
14	2	4	0	28	0
16	3	1	0	29	0
20	3	3	0	29	27
22	3	4	29	-29	-27
24	4	1	-29	0	26
26	4	2	25	0	29
27	4	2.5	29	0	-29
28	4	3	28	0	30
29.5	4	3.75	-28	0	31
30	4	4	29	0	32
31	4	4.5	30	0	-32
32.5	5	1.25	29	0	-32
33	5	1.5	29	0	31
34	5	2	-29	0	30
35	5	2.5	28	0	-30
36	5	3	29	0	29
37	5	3.5	27	29	-29
38	5	4	28	30	0
39	5	4.5	29	31	0
40	6	1	25	32	0
42	6	2	26	-32	0
43	6	2.5	-26	31	0
44	6	3	25	32	0
44.5	6	3.25	-25	29	0
45	6	3.5	-25	32	0
46	6	4	22	-32	0
47	6	4.5	-22	31	0
48	7	1	25	0	32
49	7	1.5	25	0	32
49.5	7	1.75	29	0	31
50	7	2	28	0	32
51	7	2.5	27	0	32
52	7	3	27	0	29
53	7	3.5	26	0	30
54	7	4	25	0	32
56	8	1	30	0	-32
57	8	1.5	-30	0	32
58	8	2	29	0	-32
59	8	2.5	-29	0	31
60	8	3	25	0	32
62	8	4	-25	0	32
64	9	1	0	29	-32
66	9	2	0	-29	31
68	9	3	0	25	29
70	9	4	0	30	32
72	10	1	0	29	-32
74	10	2	0	28	31
76	10	3	0	29	31
80	11	1	0	28	31
84	11	3	0	0	33
85	11	3.5	0	29	-33
86	11	4	0	29	32
87	11	4.5	0	28	30
88	12	1	0	29	31
89	12	1.5	0	25	32
90	12	2	0	28	33
91	12	2.5	28	-28	-33
92	12	3	27	29	29
93	12	3.5	25	-29	-29
94	12	4	27	0	0
95	12	4.5	28	0	0
96	13	1	29	0	0
98	13	2	29	0	0
100	13	3	0	30	0
101	13	3.5	0	30	0
101.5	13	3.75	0	29	0
102	13	4	0	31	0
103	13	4.5	0	28	0
104	14	1	0	29	0
105	14	1.5	0	30	0
106	14	2	0	31	0
108	14	3	0	30	0
109	14	3.5	0	29	0
111	14	4.5	0	28	0
112	15	1	0	29	0
113	15	1.5	0	29	0
114	15	2	0	30	0
114.5	15	2.25	0	31	0
115	15	2.5	25	32	0
116	15	3	26	31	0
117	15	3.5	27	-31	29
118	15	4	28	30	30
118.5	15	4.25	-28	-30	31
119	15	4.5	28	-30	32
120	16	1	29	29	31
121	16	1.5	-29	-29	32
123	16	2.5	-29	0	31
124	16	3	25	0	32
125	16	3.5	27	0	29
126	16	4	28	0	30
127	16	4.5	29	0	31
128	17	1	25	0	32
130	17	2	26	0	-32
131	17	2.5	-26	0	31
132	17	3	25	0	32
132.5	17	3.25	-25	0	29
133	17	3.5	-25	0	32
134	17	4	22	0	-32
135	17	4.5	-22	0	31
137	18	1.5	25	0	32
138	18	2	26	0	30
139	18	2.5	26	0	31
140	18	3	27	0	29
141	18	3.5	-27	0	31
141.5	18	3.75	26	0	-31
142	18	4	25	0	30
143	18	4.5	25	0	29
144	19	1	26	0	28
145	19	1.5	27	0	29
146	19	2	26	0	-29
147	19	2.5	-26	0	28
148	19	3	22	0	29
149	19	3.5	22	0	-29
150	19	4	-22	29	0
151	19	4.5	25	-29	29
152	20	1	-25	30	28
153	20	1.5	21	-30	-28
154	20	2	-21	31	28
155	20	2.5	24	-31	-28
157	20	3.5	24	-31	27
158	20	4	25	27	29
159.5	20	4.75	-25	28	-29
160	21	1	22	29	29
161.5	21	1.75	-22	-29	28
161.75	21	1.875	-22	-29	27
162	21	2	-22	-29	26
164	21	3	-22	29	27
165	21	3.5	-22	25	-27
166	21	4	-22	26	0
167	21	4.5	-22	-26	24
167.5	21	4.75	-22	27	-24
168	22	1	0	28	25
169	22	1.5	0	28	-25
169.5	22	1.75	0	-28	26
170	22	2	0	27	27
171	22	2.5	0	25	27
172	22	3	0	28	26
173	22	3.5	0	29	-26
174	22	4	0	31	-26
175	22	4.5	0	-31	29
175.5	22	4.75	0	30	-29
175.75	22	4.875	0	29	-29
176	23	1	0	30	28
177	23	1.5	0	-30	27
177.5	23	1.75	0	29	-27
178	23	2	0	28	-27
179	23	2.5	0	-28	26
180	23	3	0	29	27
181	23	3.5	27	31	-27
182	23	4	28	30	0
183.5	23	4.75	29	29	0
184	24	1	28	30	0
185	24	1.5	24	31	0
186	24	2	25	29	0
