**absq	**bar	**beat	**b7	**b7	**b7	**b7
2	1	2	0	25	0	0
3	1	2.5	0	25	0	0
4	1	3	0	28	0	32
5	1	3.5	0	28	0	32
5.5	1	3.75	0	27	0	-32
6	1	4	0	26	0	35
7	1	4.5	0	-26	0	35
7.5	1	4.75	0	-26	0	34
8	2	1	0	26	0	33
9	2	1.5	0	26	0	33
9.5	2	1.75	0	-26	0	30
10	2	2	0	26	0	30
11	2	2.5	0	-26	0	31
11.5	2	2.75	0	26	0	-31
12	2	3	0	25	0	32
13	2	3.5	0	28	0	32
14	2	4	0	26	0	31
16	3	1	0	26	0	30
17	3	1.5	0	-26	26	-30
18	3	2	0	0	26	0
19	3	2.5	0	26	-26	33
20	3	3	0	28	0	32
21	3	3.5	0	-28	28	-32
22	3	4	0	0	28	0
23	3	4.5	0	30	21	35
24	4	1	0	29	25	34
25	4	1.5	0	29	22	33
26	4	2	0	27	23	32
27	4	2.5	0	27	25	32
28	4	3	0	28	24	33
29	4	3.5	0	28	24	33
31	4	4.5	0	28	24	33
32	5	1	0	27	25	32
33	5	1.5	0	-27	-25	32
34	5	2	0	26	22	-32
35	5	2.5	0	-26	-22	31
36	5	3	0	27	25	32
38	5	4	25	0	-25	-32
39	5	4.5	-25	27	-25	-32
40	6	1	26	28	0	0
42	6	2	25	27	0	32
43	6	2.5	-25	-27	27	-32
44	6	3	24	26	28	33
46	6	4	25	29	27	32
48	7	1	22	29	26	31
50	7	2	22	22	-26	-31
51	7	2.5	-22	-22	27	32
52	7	3	0	-22	26	33
54	7	4	0	26	22	31
55	7	4.5	22	-26	-22	31
56	8	1	25	27	0	32
57	8	1.5	23	28	0	35
58	8	2	24	28	0	33
59	8	2.5	25	27	0	32
60	8	3	21	28	0	32
61	8	3.5	21	28	0	32
62	8	4	24	26	28	33
63	8	4.5	24	26	28	33
63.5	8	4.75	24	26	28	33
64	9	1	24	26	28	33
65	9	1.5	21	25	28	35
66	9	2	25	25	29	34
67	9	2.5	18	25	-29	34
68	9	3	22	22	-29	33
68.5	9	3.25	-22	23	-29	-33
69	9	3.5	-22	24	26	-33
69.5	9	3.75	-22	25	-26	-33
70	9	4	22	26	24	33
70.5	9	4.25	-22	25	-24	-33
71	9	4.5	-22	26	-24	-33
71.5	9	4.75	-22	27	25	-33
72	10	1	19	28	26	33
73	10	1.5	-19	29	24	-33
74	10	2	-19	-29	23	-33
75	10	2.5	-19	28	-23	-33
76	10	3	22	29	22	31
78	10	4	-22	-29	29	-31
80	11	1	25	0	27	0
81	11	1.5	-25	0	29	0
82	11	2	23	0	28	32
83	11	2.5	25	0	27	-32
84	11	3	26	0	28	30
85	11	3.5	25	0	27	32
86	11	4	24	0	0	33
86.5	11	4.25	25	0	0	-33
87	11	4.5	26	0	28	35
88	12	1	25	0	29	34
89	12	1.5	-25	29	25	-34
90	12	2	0	27	-25	32
90.5	12	2.25	0	-27	25	-32
91	12	2.5	0	29	25	-32
92	12	3	0	28	26	0
93	12	3.5	0	27	25	0
94	12	4	0	28	0	32
95.5	12	4.75	0	-28	0	33
96	13	1	0	25	0	34
96.5	13	1.25	0	-25	0	35
97	13	1.5	25	-25	0	36
98	13	2	-25	29	25	34
99	13	2.5	21	28	25	35
100	13	3	24	28	26	-35
101	13	3.5	26	28	-26	33
102	13	4	-26	-28	26	-33
103	13	4.5	19	30	26	33
104	14	1	23	30	27	32
106	14	2	19	30	28	33
107	14	2.5	-19	-30	26	33
108	14	3	0	0	26	30
109	14	3.5	0	28	26	31
110	14	4	0	28	25	32
111	14	4.5	0	27	25	32
112	15	1	0	28	21	32
112.5	15	1.25	0	-28	22	-32
113	15	1.5	0	28	23	32
113.5	15	1.75	0	-28	24	-32
114	15	2	0	27	25	-32
114.5	15	2.25	0	-27	-25	32
115	15	2.5	0	28	21	32
116	15	3	0	26	22	31
116.5	15	3.25	0	-26	-22	32
117	15	3.5	0	29	22	33
118	15	4	0	28	26	-33
118.5	15	4.25	0	-28	-26	32
119	15	4.5	0	-28	-26	30
120	16	1	0	29	22	31
121	16	1.5	22	26	-22	31
123	16	2.5	22	26	-22	31
124	16	3	25	27	0	32
126	16	4	24	26	0	33
127	16	4.5	25	25	0	34
128	17	1	21	28	0	35
129	17	1.5	-21	-28	0	32
130	17	2	21	28	0	0
131	17	2.5	28	30	0	35
133	17	3.5	25	29	0	34
134	17	4	26	28	0	33
135	17	4.5	-26	26	0	35
136	18	1	23	-26	0	-35
137	18	1.5	-23	25	0	34
138	18	2	24	26	0	33
139.5	18	2.75	-24	-26	0	32
140	18	3	22	26	0	31
141	18	3.5	-22	-26	26	-31
142	18	4	23	0	26	30
143	18	4.5	-23	0	25	-30
144	19	1	0	0	26	30
144.5	19	1.25	0	0	27	-30
145	19	1.5	26	26	28	-30
145.5	19	1.75	-26	-26	29	-30
146	19	2	26	28	30	-30
147	19	2.5	26	28	28	-30
148	19	3	25	27	29	0
149.5	19	3.75	24	26	-29	0
150	19	4	23	25	30	0
152	20	1	26	0	28	0
153	20	1.5	-26	0	-28	33
154	20	2	24	0	29	33
155	20	2.5	-24	0	-29	33
156	20	3	25	0	-29	32
157	20	3.5	-25	0	30	-32
157.5	20	3.75	-25	0	-30	31
158	20	4	26	0	-30	30
159	20	4.5	-26	26	26	33
160	21	1	22	26	0	31
161	21	1.5	-22	26	29	-31
162	21	2	0	25	27	32
163	21	2.5	0	-25	27	-32
164	21	3	0	24	26	33
165	21	3.5	0	-24	26	-33
166	21	4	0	25	25	29
166.5	21	4.25	0	26	-25	-29
167	21	4.5	25	27	-25	-29
167.5	21	4.75	-25	28	-25	-29
168	22	1	25	29	0	0
169	22	1.5	25	27	25	0
170	22	2	23	27	25	0
171	22	2.5	-23	27	25	0
171.5	22	2.75	22	-27	-25	0
172	22	3	21	28	25	0
173	22	3.5	-21	-28	-25	35
173.5	22	3.75	-21	29	-25	-35
174	22	4	-21	30	-25	35
175	22	4.5	-21	30	25	35
176	23	1	25	29	25	34
176.5	23	1.25	-25	-29	26	-34
177	23	1.5	-25	29	27	-34
177.5	23	1.75	-25	-29	28	33
178	23	2	25	-29	29	32
178.5	23	2.25	-25	28	-29	-32
179	23	2.5	18	27	29	36
180	23	3	20	27	29	34
180.5	23	3.25	-20	28	-29	-34
181	23	3.5	-20	29	27	32
181.5	23	3.75	21	-29	-27	-32
182	23	4	22	-29	26	31
182.5	23	4.25	-22	28	-26	-31
183	23	4.5	-22	26	-26	-31
184	24	1	18	27	25	32
*-	*-	*-	*-	*-	*-	*-
