**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	26	30	35
6	1	2.5	0	0	25	30	34
8	2	1	0	0	24	31	33
10	2	1.5	0	0	28	30	32
11	2	1.75	0	0	29	29	31
12	2	2	0	0	28	30	32
14	2	2.5	0	21	28	-30	32
16	3	1	0	28	0	30	0
17	3	1.25	0	-28	0	-30	30
18	3	1.5	0	27	25	0	32
19	3	1.75	0	-27	-25	29	-32
20	3	2	0	26	28	28	30
21	3	2.25	0	-26	-28	26	-30
22	3	2.5	0	23	27	30	32
24	4	1	0	0	26	-30	33
26	4	1.5	22	26	-26	31	-33
27	4	1.75	-22	-26	22	-31	-33
28	4	2	21	28	26	0	30
29	4	2.25	19	-28	-26	0	-30
30	4	2.5	23	27	25	30	32
31	4	2.75	-23	-27	23	-30	-32
32	5	1	19	26	24	28	33
34	5	1.5	-19	-26	23	-28	35
35	5	1.75	-19	-26	-23	26	-35
36	5	2	-19	-26	30	33	-35
38	5	2.5	23	27	-30	32	34
40	6	1	25	-27	29	0	0
41	6	1.25	24	26	-29	0	0
42	6	1.5	23	25	28	30	0
43	6	1.75	-23	-25	27	-30	0
44	6	2	0	23	-27	32	0
44.5	6	2.125	0	-23	26	-32	0
45	6	2.25	0	-23	27	-32	0
45.5	6	2.375	0	-23	28	-32	0
46	6	2.5	22	0	29	31	33
47	6	2.75	-22	0	29	-31	-33
48	7	1	21	0	25	30	35
49	7	1.25	19	30	26	-30	-35
50	7	1.5	23	-30	27	32	34
51	7	1.75	25	29	-27	-32	-34
52	7	2	22	-29	29	31	33
52.5	7	2.125	23	-29	-29	-31	-33
53	7	2.25	24	26	-29	-31	-33
53.5	7	2.375	25	-26	-29	-31	-33
54	7	2.5	26	26	28	30	-33
54.5	7	2.625	-26	27	-28	-30	-33
55	7	2.75	-26	28	26	-30	-33
55.5	7	2.875	-26	29	-26	-30	-33
56	8	1	23	30	27	32	0
57	8	1.25	-23	-30	28	-32	0
58	8	1.5	0	28	24	33	0
58.5	8	1.625	0	-28	25	-33	0
59	8	1.75	0	31	26	-33	0
59.5	8	1.875	0	-31	27	-33	0
60	8	2	0	-31	28	32	0
61	8	2.25	0	30	-28	30	0
61.5	8	2.375	0	29	-28	-30	0
62	8	2.5	23	30	27	32	0
64	9	1	22	31	29	33	0
65	9	1.25	-22	24	-29	26	36
66	9	1.5	19	23	30	-26	35
66.5	9	1.625	-19	-23	-30	27	-35
67	9	1.75	19	-23	30	28	33
67.5	9	1.875	-19	-23	-30	29	-33
68	9	2	-19	23	28	30	35
68.5	9	2.125	20	-23	-28	-30	-35
69	9	2.25	21	-23	26	-30	-35
69.5	9	2.375	22	-23	-26	-30	-35
70	9	2.5	23	25	0	30	34
71	9	2.75	-23	-25	28	30	32
71.5	9	2.875	-23	26	-28	-30	-32
72	10	1	25	27	27	29	-32
72.5	10	1.125	-25	28	-27	-29	33
73	10	1.25	-25	29	25	32	34
73.5	10	1.375	-25	-29	-25	-32	35
74	10	1.5	22	-29	26	31	36
75	10	1.75	-22	26	22	31	-36
76	10	2	19	26	23	30	35
78	10	2.5	-19	26	23	30	-35
80	11	1	23	27	0	0	0
82	11	1.5	-23	-27	0	30	0
83	11	1.75	24	26	0	-30	0
84	11	2	25	27	0	-30	0
