**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	31	35	33
2	1	2	27	36	34
5	2	1.5	27	36	34
6	2	2	27	36	34
7	2	2.5	26	35	35
8	3	1	27	34	36
10	3	2	24	33	35
11	3	2.5	31	-33	-35
11.5	3	2.75	-31	-33	34
12	4	1	-31	35	33
13	4	1.5	29	36	-33
15	4	2.5	26	35	35
16	5	1	27	34	36
16.5	5	1.25	28	-34	-36
17	5	1.5	29	-34	-36
17.5	5	1.75	30	-34	-36
18	5	2	31	0	35
19	5	2.5	32	34	34
20	6	1	31	35	33
21	6	1.5	-31	36	34
22	6	2	-31	35	-34
23	6	2.5	-31	-35	33
24	7	1	27	36	34
28	8	1	31	33	35
30	8	2	27	34	36
33	9	1.5	27	34	36
34	9	2	27	34	36
35	9	2.5	26	35	35
36	10	1	27	36	34
38	10	2	24	35	33
39	10	2.5	31	-35	-33
39.5	10	2.75	-31	34	-33
40	11	1	-31	33	35
41	11	1.5	29	-33	36
43	11	2.5	26	35	35
44	12	1	27	36	34
44.5	12	1.25	28	-36	-34
45	12	1.5	29	-36	-34
45.5	12	1.75	30	-36	-34
46	12	2	31	35	0
47	12	2.5	32	34	34
48	13	1	31	33	35
49	13	1.5	-31	34	36
50	13	2	-31	-34	35
51	13	2.5	-31	33	-35
52	14	1	27	34	36
53	14	1.5	34	36	-36
53.5	14	1.75	-34	-36	37
54	14	2	33	35	38
55.5	14	2.75	33	35	-38
56	15	1	34	36	-38
58	15	2	31	35	38
61	16	1.5	31	33	-38
62	16	2	30	32	0
63.5	16	2.75	30	32	0
64	17	1	31	33	0
65	17	1.5	-31	-33	38
66	17	2	28	32	37
67.5	17	2.75	-28	-32	37
68	18	1	29	31	38
69.5	18	1.75	30	32	-38
70	18	2	31	33	35
71	18	2.5	24	33	-35
72	19	1	28	32	0
73	19	1.5	29	31	38
74	19	2	28	32	37
75.5	19	2.75	-28	-32	37
76	20	1	24	33	38
77	20	1.5	31	33	-38
78	20	2	-31	-33	35
79	20	2.5	30	32	-35
80	21	1	29	33	38
81	21	1.5	27	34	-38
82	21	2	28	32	37
84	22	1	29	31	36
85	22	1.5	27	34	-36
87	22	2.5	28	32	35
87.5	22	2.75	-28	-32	34
88	23	1	29	31	33
89	23	1.5	31	31	-33
89.5	23	1.75	-31	-31	33
90	23	2	28	30	32
92	24	1	31	31	33
93	24	1.5	-31	38	-33
94	24	2	0	38	36
95	24	2.5	34	-38	-36
96	25	1	33	-38	35
97	25	1.5	-33	38	-35
97.5	25	1.75	33	-38	35
98	25	2	34	38	36
100	26	1	31	-38	35
102	26	2	0	35	0
103	26	2.5	31	-35	33
104	27	1	30	-35	32
105.5	27	1.75	30	-35	32
106	27	2	31	0	33
107	27	2.5	-31	38	-33
108	28	1	28	37	32
109.5	28	1.75	-28	37	-32
110	28	2	29	38	31
111.5	28	2.75	30	-38	32
112	29	1	31	35	33
113	29	1.5	24	-35	33
114	29	2	28	0	32
115	29	2.5	29	38	31
116	30	1	28	37	32
117.5	30	1.75	-28	37	-32
118	30	2	24	38	33
119	30	2.5	31	-38	33
120	31	1	-31	35	-33
121	31	1.5	30	-35	32
122	31	2	29	38	33
123	31	2.5	27	-38	34
124	32	1	28	37	32
126	32	2	29	36	31
127	32	2.5	27	-36	34
129	33	1.5	28	35	32
129.5	33	1.75	-28	34	-32
130	33	2	29	33	31
131	33	2.5	31	-33	-31
131.5	33	2.75	-31	33	-31
132	34	1	28	32	30
133	34	1.5	-28	31	31
134	34	2	-28	32	-31
135	34	2.5	-28	-32	30
136	35	1	24	33	31
*-	*-	*-	*-	*-	*-
