**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	26	26	30	33	35
4	1	3	19	19	-30	-33	-35
6	1	4	-19	-19	26	28	30
10	2	2	19	19	26	28	30
12	2	3	0	0	0	0	0
14	2	4	23	0	23	0	0
16	3	1	24	0	24	0	0
18	3	2	19	19	24	0	0
20	3	3	20	20	25	0	0
22	3	4	20	20	25	0	0
24	4	1	21	21	26	30	0
26	4	2	21	21	-26	-30	0
28	4	3	22	22	0	31	33
30	4	4	22	-22	0	31	-33
31	4	4.5	-22	-22	22	-31	-33
32	5	1	25	0	25	32	34
34	5	2	23	0	23	32	34
35	5	2.5	-23	23	-23	-32	-34
36	5	3	26	26	0	33	35
37	5	3.5	-26	-26	30	-33	-35
38	5	4	26	-26	30	-33	35
39	5	4.5	-26	-26	30	-33	-35
40	6	1	22	22	29	31	36
40.5	6	1.25	-22	-22	28	-31	-36
41	6	1.5	-22	-22	29	-31	33
41.5	6	1.75	-22	-22	30	-31	-33
42	6	2	22	0	31	33	36
42.5	6	2.25	-22	0	30	-33	-36
43	6	2.5	-22	0	31	-33	-36
43.5	6	2.75	-22	0	29	-33	-36
44	6	3	23	0	30	-33	34
45	6	3.5	-23	23	-30	-33	-34
46	6	4	-23	23	-30	32	-34
47	6	4.5	-23	23	-30	-32	-34
48	7	1	24	24	26	0	0
48.5	7	1.25	-24	23	-26	0	0
49	7	1.5	-24	24	28	31	33
49.5	7	1.75	25	25	-28	-31	-33
50	7	2	26	26	28	31	33
50.5	7	2.25	-26	25	-28	-31	-33
51	7	2.5	-26	26	28	31	33
51.5	7	2.75	24	24	-28	-31	-33
52	7	3	25	25	27	29	32
52.5	7	3.25	-25	-25	26	28	31
53	7	3.5	-25	-25	27	29	32
53.5	7	3.75	-25	-25	28	30	33
53.75	7	3.875	-25	-25	-28	31	-33
54	7	4	-25	-25	29	32	34
54.5	7	4.25	-25	-25	28	31	33
55	7	4.5	-25	-25	29	32	34
55.5	7	4.75	-25	-25	27	30	32
56	8	1	22	22	26	31	33
57	8	1.5	-22	-22	25	32	34
57.5	8	1.75	-22	-22	-25	-32	35
58	8	2	-22	-22	26	-32	36
59	8	2.5	-22	-22	-26	31	-36
60	8	3	25	0	25	32	34
62	8	4	25	0	0	32	0
63	8	4.5	-25	25	27	-32	36
64	9	1	-25	-25	-27	29	-36
65	9	1.5	24	24	26	-29	33
66	9	2	23	23	27	30	32
68	9	3	23	23	27	30	32
70	9	4	0	0	0	32	0
71	9	4.5	25	25	27	-32	36
72	10	1	-25	-25	-27	29	-36
73	10	1.5	24	24	26	-29	33
74	10	2	23	23	27	30	32
75	10	2.5	23	23	27	30	32
75.5	10	2.75	26	26	28	31	33
76	10	3	25	25	29	32	34
78	10	4	-25	-25	27	-32	36
80	11	1	21	0	28	30	35
82	11	2	20	20	29	32	34
84	11	3	21	21	30	-32	-34
86	11	4	-21	-21	-30	28	33
87	11	4.5	22	22	-30	-28	-33
88	12	1	23	23	-30	27	-33
90	12	2	-23	-23	-30	-27	32
92	12	3	19	19	30	28	33
94	12	4	0	0	0	0	0
95	12	4.5	28	28	0	32	37
96	13	1	-28	-28	28	-32	-37
97	13	1.5	24	24	26	29	33
98	13	2	23	23	27	30	32
100	13	3	23	23	27	30	32
102	13	4	0	0	0	0	0
103	13	4.5	28	28	0	32	37
104	14	1	-28	-28	28	-32	-37
105	14	1.5	24	24	26	29	33
106	14	2	23	23	27	30	32
107	14	2.5	26	23	27	30	32
107.5	14	2.75	-26	26	28	31	33
108	14	3	25	25	29	32	34
110	14	4	-25	-25	27	-32	36
112	15	1	21	0	28	30	35
114	15	2	20	20	29	32	34
116	15	3	21	21	30	-32	-34
118	15	4	-21	-21	-30	28	33
119	15	4.5	22	22	-30	-28	-33
120	16	1	23	23	-30	27	-33
122	16	2	-23	-23	-30	-27	32
124	16	3	19	19	30	28	33
126	16	4	26	26	28	30	33
127	16	4.5	23	23	27	30	32
128	17	1	26	26	28	30	33
129	17	1.5	25	25	29	32	34
129.5	17	1.75	23	23	30	32	35
130	17	2	24	24	28	31	33
134	17	4	24	24	28	31	33
136	18	1	0	0	0	0	0
137	18	1.5	21	21	30	32	35
138	18	2	24	24	31	33	35
139	18	2.5	25	25	29	32	34
140	18	3	19	19	26	28	30
142	18	4	0	0	0	0	0
143	18	4.5	21	21	30	32	35
144	19	1	24	24	31	33	35
146	19	2	25	25	29	32	-35
147	19	2.5	-25	-25	-29	-32	34
148	19	3	19	19	26	28	30
149	19	3.5	-19	-19	-26	28	-30
150	19	4	-19	-19	-26	29	-30
151	19	4.5	17	17	26	-29	29
152	20	1	19	19	26	-29	30
154	20	2	-19	-19	-26	28	-30
156	20	3	22	22	26	29	31
157	20	3.5	-22	-22	-26	-29	33
158	20	4	29	-22	0	31	-33
159	20	4.5	-29	-22	29	-31	33
159.5	20	4.75	-29	-22	-29	-31	33
160	21	1	-29	0	-29	-31	33
161	21	1.5	29	0	29	31	33
161.5	21	1.75	29	0	29	31	-33
162	21	2	29	0	29	31	34
163	21	2.5	-29	0	29	31	-34
164	21	3	30	0	30	32	0
165	21	3.5	-30	0	-30	-32	32
166	21	4	0	0	0	0	32
167	21	4.5	28	0	28	30	32
168	22	1	28	0	28	30	33
168.5	22	1.25	-28	0	-28	31	-33
169	22	1.5	28	0	28	32	-33
170	22	2	29	0	29	-32	-33
171	22	2.5	-29	0	-29	31	-33
172	22	3	25	0	25	32	32
173	22	3.5	-25	0	-25	29	-32
174	22	4	25	25	27	-29	-32
175	22	4.5	-25	-25	-27	29	-32
175.5	22	4.75	-25	-25	-27	29	-32
176	23	1	-25	-25	-27	29	0
177	23	1.5	25	25	27	29	0
177.5	23	1.75	-25	25	27	-29	0
178	23	2	25	25	27	30	0
179	23	2.5	-25	25	27	-30	30
180	23	3	26	26	28	0	-30
181	23	3.5	-26	-26	-28	28	30
181.5	23	3.75	-26	-26	-28	-28	30
182	23	4	0	0	0	28	30
183	23	4.5	24	24	26	28	31
184	24	1	24	24	26	29	33
184.5	24	1.25	-24	-24	27	-29	-33
185	24	1.5	24	24	28	-29	-33
186	24	2	25	25	-28	-29	0
187	24	2.5	-25	-25	27	-29	32
188	24	3	21	21	28	30	32
189	24	3.5	-21	21	-28	30	32
190	24	4	21	21	-28	30	33
190.5	24	4.25	-21	-21	-28	31	-33
191	24	4.5	21	21	30	32	-33
192	25	1	22	22	29	-32	-33
193	25	1.5	-22	-22	-29	31	-33
194	25	2	18	18	29	32	32
195	25	2.5	-18	-18	27	-32	-32
197	25	3.5	23	23	27	0	32
197.5	25	3.75	-23	-23	27	0	-32
198	25	4	-23	-23	27	0	-32
199	25	4.5	23	23	27	0	32
199.5	25	4.75	23	23	-27	0	32
200	26	1	23	23	28	0	32
202	26	2	23	23	-28	28	32
204	26	3	24	24	0	-28	33
205	26	3.5	-24	-24	0	28	-33
205.5	26	3.75	-24	-24	0	28	-33
206	26	4	-24	-24	26	28	-33
207	26	4.5	-24	-24	-26	28	-33
208	27	1	-24	-24	26	29	0
210	27	2	22	22	-26	-29	31
211	27	2.5	-22	-22	-26	29	-31
212	27	3	22	22	-26	29	31
213	27	3.5	-22	-22	-26	30	32
214	27	4	22	22	29	31	33
216	28	1	23	23	27	30	-33
218	28	2	-23	-23	-27	-30	32
220	28	3	19	19	28	-30	33
*-	*-	*-	*-	*-	*-	*-	*-
