**absq	**bar	**beat	**b7	**b7	**b7	**b7
4	1	2	0	0	0	28
6	1	2.5	0	0	0	28
7	1	2.75	0	0	0	28
8	2	1	0	24	0	31
10	2	1.5	0	24	0	-31
11	2	1.75	0	24	0	-31
12	2	2	17	28	0	31
14	2	2.5	17	-28	0	-31
15	2	2.75	17	27	0	-31
16	3	1	24	26	0	28
18	3	1.5	-24	-26	0	28
19	3	1.75	23	25	0	28
20	3	2	22	24	0	31
21	3	2.25	21	25	0	-31
22	3	2.5	20	29	0	-31
23	3	2.75	21	28	0	30
24	4	1	22	27	24	29
25	4	1.25	-22	26	-24	30
25.5	4	1.375	-22	25	-24	-30
26	4	1.5	-22	26	24	31
26.5	4	1.625	-22	-26	-24	29
27	4	1.75	-22	-26	24	31
28	4	2	21	0	28	-31
29	4	2.25	-21	0	-28	30
29.5	4	2.375	-21	0	-28	29
30	4	2.5	-21	25	-28	30
31	4	2.75	-21	-25	27	-30
32	5	1	0	24	26	31
33	5	1.25	0	-24	25	-31
34	5	1.5	17	28	24	-31
35	5	1.75	-17	-28	25	-31
36	5	2	17	0	26	28
37	5	2.25	17	0	-26	-28
38	5	2.5	24	0	-26	28
39	5	2.75	-24	0	27	28
40	6	1	-24	0	28	31
41	6	1.25	23	0	-28	-31
42	6	1.5	22	0	24	-31
43	6	1.75	21	0	-24	30
44	6	2	20	24	27	29
45	6	2.25	21	-24	-27	30
46	6	2.5	22	24	26	31
46.5	6	2.625	-22	-24	-26	29
47	6	2.75	-22	24	-26	31
48	7	1	21	28	0	-31
49	7	1.25	-21	-28	0	30
49.5	7	1.375	-21	-28	0	29
50	7	1.5	-21	-28	0	30
51	7	1.75	-21	27	0	-30
52	7	2	17	26	0	31
53	7	2.25	-17	25	0	-31
54	7	2.5	-17	26	24	31
55	7	2.75	-17	27	-24	-31
56	8	1	0	28	24	31
57	8	1.25	0	28	24	31
58	8	1.5	0	0	28	30
59.5	8	1.875	0	0	26	31
60	8	2	0	0	27	29
61	8	2.25	0	0	24	31
62	8	2.5	0	0	25	29
63	8	2.75	0	0	25	29
64	9	1	0	0	22	29
66	9	1.5	0	0	22	29
67	9	1.75	22	24	-22	29
69	9	2.25	25	25	0	29
70	9	2.5	24	26	0	31
72	10	1	23	25	0	32
73	10	1.25	24	26	0	31
74	10	1.5	20	27	0	31
74.5	10	1.625	21	-27	0	-31
75	10	1.75	22	27	0	-31
75.5	10	1.875	23	-27	0	-31
76	10	2	24	26	0	-31
77	10	2.25	21	-26	0	30
78	10	2.5	22	24	0	29
79	10	2.75	19	-24	0	28
80	11	1	20	24	0	27
82	11	1.5	-20	24	0	-27
84	11	2	17	0	0	26
85	11	2.25	21	0	28	30
86	11	2.5	24	0	28	31
87.5	11	2.875	24	0	28	31
88	12	1	24	0	28	31
89	12	1.25	23	21	28	32
90	12	1.5	24	24	28	31
91.5	12	1.875	-24	24	-28	-31
92	12	2	21	24	28	32
93	12	2.25	-21	23	-28	-32
94	12	2.5	0	24	0	0
95	12	2.75	0	-24	0	31
96	13	1	0	21	0	30
97	13	1.25	21	-21	25	-30
97.5	13	1.375	-21	-21	-25	30
98	13	1.5	24	0	26	31
99	13	1.75	-24	0	-26	31
99.5	13	1.875	24	0	26	-31
100	13	2	24	0	26	28
101	13	2.25	23	0	25	32
102	13	2.5	24	28	26	31
103	13	2.75	21	-28	25	30
104	14	1	22	24	29	31
105	14	1.25	24	24	28	-31
106	14	1.5	21	25	28	30
108	14	2	17	24	26	31
111	14	2.75	-17	-24	28	-31
112	15	1	0	0	27	31
114	15	1.5	0	0	26	31
116	15	2	0	0	27	31
118	15	2.5	0	0	24	-31
119	15	2.75	0	0	-24	31
120	16	1	0	0	25	29
121	16	1.25	0	0	-25	29
122	16	1.5	0	0	22	29
123	16	1.75	0	0	25	-29
125	16	2.25	0	0	25	30
126	16	2.5	0	0	24	31
128	17	1	17	24	21	31
130	17	1.5	-17	-24	28	31
134	17	2.5	17	24	28	31
136	18	1	21	25	28	30
140	18	2	18	27	25	29
142	18	2.5	-18	-27	25	-29
144	19	1	-18	25	27	-29
146	19	1.5	18	-25	-27	29
148	19	2	22	24	0	29
150	19	2.5	19	26	24	28
152	20	1	20	24	24	29
153	20	1.25	-20	-24	22	-29
154	20	1.5	17	26	24	28
155	20	1.75	-17	-26	-24	31
156	20	2	21	25	21	-31
157	20	2.25	-21	-25	28	30
158	20	2.5	-21	-25	28	30
159	20	2.75	-21	-25	28	-30
