**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	31
2	1	2	0	0	0	31	33
3	1	2.5	0	0	0	-31	34
4	1	3	0	0	0	30	35
5	1	3.5	0	0	0	31	33
6	1	4	0	0	0	29	34
7	1	4.5	0	0	0	26	33
8	2	1	0	0	0	27	-33
9	2	1.5	0	0	0	-27	32
10	2	2	0	24	0	26	33
11	2	2.5	0	-24	0	26	-33
12	2	3	0	26	31	28	-33
13	2	3.5	0	27	-31	29	-33
14	2	4	0	28	30	26	0
15	2	4.5	0	26	31	28	0
16	3	1	0	27	29	31	0
17	3	1.5	0	26	26	-31	0
18	3	2	0	-26	27	32	0
19	3	2.5	0	25	-27	-32	0
20	3	3	24	26	26	28	31
21	3	3.5	-24	-26	28	31	33
21.5	3	3.75	-24	-26	-28	-31	34
22	3	4	23	0	28	32	35
23	3	4.5	24	0	28	31	33
24	4	1	22	0	29	31	34
25	4	1.5	19	0	28	30	33
26	4	2	20	0	27	29	-33
27	4	2.5	-20	0	-27	-29	32
28	4	3	19	0	28	30	33
30	4	4	-19	0	-28	30	-33
31	4	4.5	-19	28	-28	-30	-33
32	5	1	0	30	0	32	35
33	5	1.5	0	31	0	33	-35
34	5	2	0	29	0	31	34
35	5	2.5	0	30	0	32	-34
36	5	3	0	31	0	33	33
36.5	5	3.25	0	30	0	32	-33
37	5	3.5	0	29	0	31	-33
37.5	5	3.75	0	28	0	30	-33
38	5	4	0	29	0	31	34
39	5	4.5	0	26	0	30	33
40	6	1	0	27	0	29	-33
41	6	1.5	0	-27	0	-29	32
42	6	2	0	26	0	28	33
43	6	2.5	24	26	28	-28	33
44	6	3	23	28	28	0	32
45	6	3.5	24	26	-28	0	33
46	6	4	22	29	27	0	31
47	6	4.5	23	-29	-27	0	32
48	7	1	24	28	26	0	33
48.5	7	1.25	23	-28	-26	0	32
49	7	1.5	22	29	-26	0	31
49.5	7	1.75	21	-29	-26	0	30
50	7	2	20	-29	27	0	29
50.5	7	2.25	-20	28	-27	0	-29
51	7	2.5	-20	27	29	0	31
51.5	7	2.75	19	-27	-29	0	-31
52	7	3	18	-27	-29	0	-31
52.5	7	3.25	17	-27	-29	0	-31
53	7	3.5	18	25	27	0	30
54	7	4	17	26	28	0	31
55	7	4.5	24	26	-28	28	-31
56	8	1	24	26	0	29	0
57	8	1.5	23	28	25	30	0
58	8	2	22	-28	26	31	0
59	8	2.5	-22	27	24	-31	0
60	8	3	21	28	25	30	0
61	8	3.5	-21	-28	-25	-30	32
62	8	4	0	0	28	30	-32
63	8	4.5	0	28	-28	-30	33
64	9	1	0	29	0	31	-33
65	9	1.5	0	-29	0	-31	31
66	9	2	0	-29	0	-31	33
67	9	2.5	0	26	0	31	35
68	9	3	0	27	0	29	31
69	9	3.5	0	29	0	31	-31
70	9	4	0	28	0	30	32
71	9	4.5	0	-28	28	-30	-32
72	10	1	24	26	-28	31	0
73	10	1.5	-24	26	29	31	0
74	10	2	25	27	-29	29	0
75	10	2.5	-25	-27	27	-29	0
76	10	3	-25	-27	29	-29	0
77	10	3.5	22	27	31	29	0
78	10	4	23	25	30	28	0
79	10	4.5	24	26	28	-28	0
79.5	10	4.75	-24	-26	-28	28	0
80	11	1	22	24	-28	29	0
81	11	1.5	-22	-24	27	-29	0
82	11	2	21	25	28	30	0
83	11	2.5	-21	-25	-28	-30	32
84	11	3	0	0	28	30	-32
85	11	3.5	0	0	-28	-30	32
86	11	4	0	0	28	30	33
87	11	4.5	0	0	-28	-30	33
87.5	11	4.75	0	0	-28	-30	32
88	12	1	0	0	29	33	31
89	12	1.5	0	0	29	31	29
89.5	12	1.75	0	0	28	30	-29
90	12	2	25	0	27	29	0
91	12	2.5	-25	27	25	-29	32
92	12	3	25	-27	0	-29	-32
93	12	3.5	-25	27	0	-29	32
94	12	4	26	28	0	28	30
95	12	4.5	24	26	0	-28	31
95.5	12	4.75	23	25	0	-28	32
96	13	1	22	24	0	-28	33
97	13	1.5	-22	-24	0	27	29
98	13	2	21	25	0	28	30
100	13	3	0	0	28	0	0
101	13	3.5	0	0	-28	0	35
102	13	4	0	0	29	0	34
103	13	4.5	0	0	30	0	35
104	14	1	0	0	31	0	33
105	14	1.5	0	0	29	0	34
106	14	2	0	0	30	0	32
107	14	2.5	0	0	-30	28	-32
108	14	3	0	24	31	29	31
109	14	3.5	24	-24	-31	26	-31
110	14	4	23	25	0	28	0
111	14	4.5	24	26	0	28	0
112	15	1	22	27	0	24	0
113	15	1.5	23	25	0	27	0
114	15	2	21	26	0	30	0
