**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	32	0	0
4	1	3	0	0	31	0	0
6	1	4	0	29	-31	0	0
7	1	4.5	0	-29	29	0	0
8	2	1	0	-29	31	0	36
9	2	1.5	0	27	-31	0	-36
9.5	2	1.75	0	-27	30	0	-36
10	2	2	0	-27	31	0	-36
11	2	2.5	0	25	32	0	34
12	2	3	0	27	29	0	-34
13	2	3.5	0	-27	-29	0	32
13.5	2	3.75	0	28	30	0	-32
14	2	4	0	29	31	0	34
14.5	2	4.25	0	-29	29	0	-34
15	2	4.5	0	30	32	0	-34
15.5	2	4.75	0	-30	-32	0	35
16	3	1	0	27	-32	0	36
17	3	1.5	0	-27	25	0	37
17.5	3	1.75	0	28	-25	0	-37
18	3	2	0	29	-25	36	34
18.5	3	2.25	0	28	-25	-36	-34
19	3	2.5	0	27	25	-36	-34
19.5	3	2.75	0	26	-25	-36	35
20	3	3	25	27	25	34	36
20.5	3	3.25	-25	-27	26	-34	35
21	3	3.5	-25	-27	27	-34	34
21.5	3	3.75	-25	-27	28	-34	33
22	3	4	-25	-27	29	-34	34
22.5	3	4.25	-25	-27	-29	-34	35
23	3	4.5	-25	-27	27	32	36
23.5	3	4.75	-25	-27	-27	-32	37
24	4	1	24	28	31	33	38
24.5	4	1.25	-24	-28	30	-33	-38
25	4	1.5	-24	-28	31	-33	-38
25.5	4	1.75	-24	-28	32	34	-38
26	4	2	-24	0	33	35	38
27	4	2.5	22	24	34	36	-38
28	4	3	24	24	33	35	0
28.5	4	3.25	-24	25	-33	-35	0
29	4	3.5	-24	26	-33	-35	0
29.5	4	3.75	25	27	-33	-35	0
30	4	4	26	28	-33	35	0
31	4	4.5	27	29	32	32	0
32	5	1	26	31	0	33	0
32.5	5	1.25	-26	-31	0	34	0
33	5	1.5	-26	-31	33	35	0
33.5	5	1.75	-26	30	-33	36	0
33.75	5	1.875	-26	29	-33	-36	0
34	5	2	-26	28	33	37	35
35	5	2.5	-26	28	-33	38	-35
35.5	5	2.75	-26	-28	32	-38	-35
35.75	5	2.875	-26	-28	31	-38	-35
36	5	3	25	0	34	39	34
36.5	5	3.25	-25	0	-34	-39	35
37	5	3.5	-25	29	34	-39	36
37.5	5	3.75	-25	-29	-34	38	37
37.75	5	3.875	-25	-29	-34	37	-37
38	5	4	0	29	33	36	38
39	5	4.5	22	-29	-33	36	38
39.5	5	4.75	-22	28	-33	-36	-38
39.75	5	4.875	-22	27	-33	-36	-38
40	6	1	22	26	-33	0	38
40.5	6	1.25	23	-26	-33	0	-38
41	6	1.5	24	-26	-33	35	-38
41.5	6	1.75	25	27	-33	-35	37
41.75	6	1.875	-25	-27	-33	-35	36
42	6	2	26	28	33	35	35
43	6	2.5	28	28	-33	-35	37
43.5	6	2.75	-28	-28	-33	34	-37
43.75	6	2.875	-28	-28	-33	33	-37
44	6	3	27	29	0	34	36
44.5	6	3.25	-27	30	0	-34	-36
45	6	3.5	-27	31	0	34	-36
45.5	6	3.75	26	32	0	34	37
45.75	6	3.875	25	-32	0	-34	-37
46	6	4	24	33	0	35	38
47	6	4.5	25	32	0	34	37
48	7	1	26	-32	0	33	-37
48.5	7	1.25	-26	31	0	-33	-37
49	7	1.5	-26	31	0	-33	36
49.5	7	1.75	-26	30	0	-33	-36
49.75	7	1.875	-26	29	0	-33	-36
50	7	2	-26	30	0	-33	-36
51	7	2.5	-26	-30	0	-33	35
52	7	3	22	31	29	33	36
53	7	3.5	-22	-31	30	-33	-36
54	7	4	-22	-31	31	-33	-36
55	7	4.5	-22	-31	31	-33	-36
55.5	7	4.75	-22	-31	33	-33	-36
56	8	1	25	0	32	34	0
57	8	1.5	26	0	31	35	0
58	8	2	27	0	31	36	0
59	8	2.5	27	0	29	36	0
59.5	8	2.75	29	0	-29	38	0
60	8	3	28	0	30	37	32
61	8	3.5	-28	0	-30	-37	33
62	8	4	27	31	27	36	34
63	8	4.5	-27	32	-27	-36	34
63.5	8	4.75	-27	-32	-27	-36	36
64	9	1	26	33	0	0	35
65	9	1.5	24	33	0	0	-35
65.5	9	1.75	-24	33	0	0	-35
66	9	2	25	32	29	0	34
67	9	2.5	-25	-32	30	0	-34
68	9	3	22	33	31	0	33
69	9	3.5	-22	-33	31	0	31
69.5	9	3.75	-22	-33	33	0	-31
70	9	4	0	0	32	36	32
71	9	4.5	0	0	34	37	-32
72	10	1	0	0	33	38	31
73	10	1.5	0	0	-33	38	-31
73.5	10	1.75	0	0	32	36	-31
73.75	10	1.875	0	0	31	-36	-31
74	10	2	0	0	32	37	34
75	10	2.5	0	0	33	-37	35
76	10	3	0	0	34	36	36
77	10	3.5	0	0	-34	0	36
77.5	10	3.75	0	0	-34	0	38
78	10	4	25	27	34	39	37
79	10	4.5	26	28	-34	-39	-37
80	11	1	27	29	0	38	36
81	11	1.5	27	29	0	36	-36
81.5	11	1.75	29	31	0	-36	-36
82	11	2	28	30	35	37	32
83	11	2.5	-28	28	-35	-37	33
84	11	3	25	29	34	36	34
85	11	3.5	-25	29	32	-36	34
85.5	11	3.75	-25	-29	-32	-36	34
86	11	4	24	31	33	0	35
87	11	4.5	22	-31	-33	0	38
88	12	1	23	27	32	0	37
