**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	32
2	1	2	0	0	0	0	32	-32
4	1	3	0	0	25	0	32	34
6	1	4	0	0	-25	0	30	-34
7	1	4.5	0	0	-25	0	-30	35
8	2	1	0	0	27	25	29	36
9	2	1.5	0	0	-27	-25	-29	36
10	2	2	25	0	-27	-25	-29	36
11	2	2.5	-25	0	28	-25	-29	35
12	2	3	25	0	29	27	0	34
13	2	3.5	-25	0	-29	-27	0	33
14	2	4	23	0	0	-27	0	32
15	2	4.5	-23	0	0	28	0	-32
16	3	1	22	0	0	29	0	31
17	3	1.5	27	29	0	-29	0	31
18	3	2	27	29	0	0	25	34
19	3	2.5	26	28	0	0	-25	35
20	3	3	25	27	0	0	27	36
21	3	3.5	24	26	0	0	-27	-36
22	3	4	23	25	0	0	-27	0
23	3	4.5	-23	-25	0	0	28	0
24	4	1	20	24	0	0	29	0
25	4	1.5	-20	-24	29	0	31	0
26	4	2	-20	-24	29	27	29	36
27	4	2.5	-20	-24	28	-27	30	-36
28	4	3	0	0	27	29	31	36
29	4	3.5	0	0	26	-29	31	-36
30	4	4	0	0	25	-29	32	34
31	4	4.5	0	0	-25	30	-32	-34
32	5	1	0	0	24	31	28	33
33	5	1.5	26	28	-24	24	-28	35
34	5	2	26	26	0	24	-28	35
35	5	2.5	25	27	0	25	-28	34
36	5	3	24	28	0	26	-28	33
37	5	3.5	23	25	0	28	-28	32
38	5	4	22	29	0	-28	0	31
39	5	4.5	-22	-29	0	27	0	-31
40	6	1	21	25	0	28	0	-31
42	6	2	-21	-25	0	-28	0	30
44	6	3	17	24	28	26	31	33
44.6667	6	3.33333	21	25	28	23	30	32
45.3333	6	3.66667	17	24	28	26	31	33
46	6	4	20	22	29	24	31	34
46.6667	6	4.33333	-20	-22	-29	22	-31	-34
47.3333	6	4.66667	22	26	29	-22	31	33
48	7	1	19	26	28	23	30	33
50	7	2	-19	-26	-28	-23	30	-33
52	7	3	19	26	28	23	33	33
53	7	3.5	22	26	29	24	-33	-33
53.5	7	3.75	-22	-26	-29	-24	33	-33
54	7	4	-22	-26	-29	-24	33	0
54.5	7	4.25	22	26	29	24	-33	0
55	7	4.5	22	26	29	24	31	36
56	8	1	20	27	-29	24	-31	-36
56.5	8	1.25	-20	-27	-29	-24	-31	36
57	8	1.5	-20	-27	27	-24	29	36
58	8	2	18	29	-27	27	-29	34
59	8	2.5	-18	-29	25	-27	32	36
60	8	3	22	29	26	26	-32	36
61	8	3.5	-22	-29	-26	-26	31	-36
61.5	8	3.75	-22	-29	-26	-26	30	35
61.75	8	3.875	-22	-29	-26	-26	-30	34
62	8	4	-22	-29	22	-26	31	33
64	9	1	18	29	22	25	32	34
68	9	3	0	0	0	0	28	35
69	9	3.5	0	28	0	0	-28	-35
69.5	9	3.75	0	-28	0	0	29	-35
70	9	4	0	-28	0	28	30	-35
70.5	9	4.25	0	29	0	-28	-30	-35
71	9	4.5	0	30	28	-28	28	-35
71.5	9	4.75	0	-30	-28	29	-28	-35
72	10	1	21	28	-28	30	32	35
72.5	10	1.25	-21	-28	29	-30	-32	-35
73	10	1.5	-21	-28	30	28	-32	-35
73.5	10	1.75	22	-28	-30	-28	-32	-35
74	10	2	23	0	28	0	32	-35
75	10	2.5	21	0	30	0	-32	-35
76	10	3	24	0	31	26	33	35
77	10	3.5	-24	26	-31	-26	-33	-35
77.5	10	3.75	25	-26	-31	27	-33	-35
78	10	4	26	-26	24	28	-33	35
78.5	10	4.25	-26	27	-24	-28	-33	-35
79	10	4.5	24	28	-24	31	-33	-35
80	11	1	27	29	0	31	0	0
81	11	1.5	-27	29	0	-31	0	31
82	11	2	25	30	0	27	0	32
84	11	3	24	31	0	28	0	33
85	11	3.5	-24	-31	24	-28	31	-33
86	11	4	0	0	28	-28	30	32
87	11	4.5	0	0	26	-28	28	33
88	12	1	0	0	25	0	29	34
