**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	33
1	1	1.5	0	0	0	0	33
1.5	1	1.75	0	0	0	0	33
2	1	2	0	0	0	29	36
3	1	2.5	0	0	0	29	34
3.5	1	2.75	0	0	0	29	-34
4	1	3	0	26	0	33	35
5	1	3.5	0	26	0	30	-35
5.5	1	3.75	0	26	0	-30	-35
6	1	4	0	29	0	31	33
7	1	4.5	0	26	0	-31	-33
8	2	1	0	27	0	29	0
9	2	1.5	0	-27	0	-29	36
10	2	2	0	26	0	0	35
11	2	2.5	0	-26	0	33	37
12	2	3	0	0	0	31	36
13	2	3.5	0	29	31	33	-36
14	2	4	0	27	29	32	36
15	2	4.5	0	28	30	-32	39
15.5	2	4.75	0	-28	-30	-32	37
16	3	1	0	26	28	33	38
17	3	1.5	0	-26	-28	35	-38
17.5	3	1.75	0	-26	-28	33	-38
18	3	2	0	26	28	35	-38
19	3	2.5	26	-26	28	-35	38
19.5	3	2.75	24	-26	26	-35	-38
20	3	3	25	0	27	34	37
21	3	3.5	23	30	25	-34	-37
21.5	3	3.75	-23	27	-25	-34	-37
22	3	4	24	29	26	33	-37
23	3	4.5	-24	26	-26	-33	36
24	4	1	23	28	30	-33	37
26	4	2	-23	27	30	32	-37
27	4	2.5	-23	-27	30	-32	-37
27.5	4	2.75	-23	-27	30	-32	-37
28	4	3	0	26	33	0	0
29	4	3.5	0	26	30	0	0
29.5	4	3.75	0	26	-30	0	0
30	4	4	22	29	31	0	0
31	4	4.5	22	27	-31	0	0
31.5	4	4.75	22	-27	-31	0	0
32	5	1	26	28	30	0	0
33	5	1.5	23	-28	-30	32	0
34	5	2	24	26	0	31	0
35	5	2.5	-24	-26	29	33	0
36	5	3	23	0	27	32	0
37	5	3.5	-23	0	28	-32	37
38	5	4	0	0	26	33	35
39	5	4.5	0	33	-26	-33	37
40	6	1	0	31	27	0	36
41	6	1.5	27	32	-27	29	-36
42	6	2	25	30	-27	27	-36
43	6	2.5	26	-30	30	28	35
43.5	6	2.75	-26	-30	28	-28	-35
44	6	3	24	-30	29	26	0
45	6	3.5	-24	29	26	-26	38
45.5	6	3.75	-24	-29	-26	-26	36
46	6	4	21	0	28	25	37
47	6	4.5	-21	30	25	-25	35
47.5	6	4.75	-21	28	-25	-25	-35
48	7	1	0	29	0	0	38
49	7	1.5	0	26	26	35	-38
49.5	7	1.75	0	-26	24	33	-38
50	7	2	0	30	25	34	37
51	7	2.5	23	28	-25	30	-37
51.5	7	2.75	21	-28	23	-30	-37
52	7	3	22	0	24	33	36
52.5	7	3.25	-22	0	25	32	34
53	7	3.5	19	33	26	31	35
53.5	7	3.75	-19	31	-26	28	33
54	7	4	20	32	-26	29	36
55	7	4.5	-20	29	25	-29	-36
56	8	1	19	31	26	33	-36
58	8	2	-19	30	0	-33	35
59	8	2.5	-19	-30	30	-33	-35
60	8	3	0	0	28	0	37
61	8	3.5	26	28	-28	0	35
61.5	8	3.75	-26	-28	28	0	-35
62	8	4	24	26	28	33	-35
62.5	8	4.25	-24	-26	-28	-33	35
63	8	4.5	-24	-26	-28	31	35
63.5	8	4.75	24	26	-28	-31	-35
64	9	1	24	26	-28	-31	-35
65	9	1.5	21	23	-28	30	33
66	9	2	20	27	29	31	34
67	9	2.5	-20	-27	30	32	-34
68	9	3	-20	-27	-30	31	-34
69	9	3.5	-20	-27	29	-31	-34
70	9	4	23	27	30	32	34
72	10	1	0	0	0	0	37
73	10	1.5	28	0	30	0	35
73.5	10	1.75	-28	0	-30	0	37
74	10	2	-28	0	-30	35	33
75	10	2.5	26	0	28	-35	37
75.5	10	2.75	28	0	30	-35	-37
76	10	3	24	33	26	-35	38
77	10	3.5	-24	-33	-26	33	-38
77.5	10	3.75	-24	-33	-26	35	-38
78	10	4	-24	-33	-26	31	36
79	10	4.5	22	31	29	-31	-36
79.5	10	4.75	-22	33	-29	-31	-36
80	11	1	27	29	29	32	0
81	11	1.5	-27	30	-29	33	0
82	11	2	-27	31	-29	-33	0
83	11	2.5	-27	30	-29	32	0
83.5	11	2.75	-27	29	-29	-32	0
84	11	3	26	31	-29	33	0
86	11	4	-26	30	28	-33	37
88	12	1	-26	28	33	35	-37
89	12	1.5	-26	26	-33	-35	35
89.5	12	1.75	-26	28	-33	-35	37
90	12	2	-26	24	-33	-35	33
91	12	2.5	-26	-24	31	33	-33
91.5	12	2.75	-26	-24	33	35	-33
92	12	3	0	-24	29	31	33
93	12	3.5	0	25	-29	34	36
93.5	12	3.75	0	-25	30	-34	-36
94	12	4	0	26	31	33	-36
95	12	4.5	0	-26	30	-33	35
95.5	12	4.75	0	-26	29	-33	34
96	13	1	0	26	30	-33	35
98	13	2	0	0	31	33	36
99	13	2.5	22	29	31	33	36
100	13	3	26	28	30	33	37
101	13	3.5	23	28	28	32	39
102	13	4	25	27	29	32	36
104	14	1	25	27	29	32	36
106	14	2	28	0	30	0	0
107	14	2.5	26	0	28	0	0
108	14	3	29	31	31	33	0
109	14	3.5	-29	29	-31	31	0
110	14	4	26	33	-31	35	35
111	14	4.5	-26	31	31	-35	33
111.5	14	4.75	-26	-31	-31	35	-33
112	15	1	28	32	30	32	37
113	15	1.5	-28	-32	31	-32	35
114	15	2	-28	-32	-31	-32	35
115	15	2.5	-28	-32	30	-32	-35
116	15	3	24	31	31	33	35
117	15	3.5	-24	31	-31	-33	-35
118	15	4	0	30	28	-33	37
119	15	4.5	0	33	26	-33	35
120	16	1	24	-33	29	33	38
121	16	1.5	22	33	-29	31	-38
122	16	2	26	31	-29	35	-38
123	16	2.5	23	32	28	32	37
124	16	3	25	-32	27	32	36
124.5	16	3.25	-25	29	-27	-32	-36
125	16	3.5	-25	29	28	-32	-36
127	16	4.5	-25	-29	27	-32	-36
128	17	1	21	30	28	32	35
132	17	3	0	0	0	0	0
134	17	4	0	0	0	0	38
136	18	1	0	33	0	35	-38
137	18	1.5	0	-33	0	-35	37
137.5	18	1.75	0	-33	0	-35	38
138	18	2	0	-33	0	-35	37
139	18	2.5	0	32	0	34	-37
139.5	18	2.75	0	33	0	35	-37
140	18	3	0	32	0	34	-37
141	18	3.5	0	30	0	32	35
142	18	4	0	31	0	33	36
144	19	1	0	28	32	35	37
146	19	2	27	29	-32	0	0
147	19	2.5	-27	-29	31	0	0
147.5	19	2.75	-27	-29	32	0	0
148	19	3	-27	-29	31	0	0
149	19	3.5	26	28	-31	0	0
149.5	19	3.75	27	29	-31	0	0
150	19	4	26	28	-31	0	0
151	19	4.5	24	26	29	0	0
152	20	1	25	27	-29	0	0
153	20	1.5	-25	-27	32	0	0
154	20	2	22	26	-32	0	0
155	20	2.5	-22	-26	31	29	0
156	20	3	0	0	0	31	33
156.5	20	3.25	0	0	0	29	-33
