**absq	**bar	**beat	**b7	**b7	**b7
12	2	3	0	22	0
16	3	1	0	26	0
19	3	2.5	0	25	0
20	3	3	0	26	0
22	3	4	0	27	29
24	4	1	0	28	33
26	4	2	0	27	0
27	4	2.5	0	27	32
28	4	3	0	26	33
28.5	4	3.25	0	27	-33
29	4	3.5	0	28	-33
29.5	4	3.75	0	28	-33
30	4	4	0	27	34
32	5	1	0	26	35
34	5	2	19	0	33
35	5	2.5	-19	23	-33
36	5	3	22	24	0
36.5	5	3.25	-22	25	0
37	5	3.5	-22	26	29
37.5	5	3.75	-22	26	-29
38	5	4	0	25	30
38.5	5	4.25	0	-25	31
39	5	4.5	21	28	32
39.5	5	4.75	-21	-28	32
40	6	1	22	26	31
41	6	1.5	-22	27	-31
42	6	2	23	28	30
43.5	6	2.75	-23	27	-30
44	6	3	24	26	0
44.5	6	3.25	-24	25	0
45	6	3.5	-24	26	33
46	6	4	22	-26	31
46.5	6	4.25	-22	-26	32
47	6	4.5	22	22	33
47.5	6	4.75	-22	-22	31
48	7	1	21	0	32
48.5	7	1.25	22	0	-32
49	7	1.5	23	0	32
49.5	7	1.75	23	0	-32
50	7	2	22	0	33
51	7	2.5	-22	0	34
52	7	3	21	0	35
52.5	7	3.25	-21	0	34
53	7	3.5	-21	0	33
53.5	7	3.75	-21	0	32
54	7	4	0	0	33
55	7	4.5	23	0	32
55.5	7	4.75	-23	0	32
56	8	1	24	0	33
57	8	1.5	25	0	34
58	8	2	26	0	35
58.5	8	2.25	25	0	34
59	8	2.5	24	0	33
59.5	8	2.75	23	0	32
60	8	3	22	0	31
61	8	3.5	-22	29	-31
62	8	4	19	28	30
62.5	8	4.25	-19	29	-30
63	8	4.5	-19	30	35
63.5	8	4.75	-19	30	-35
64	9	1	0	29	33
65	9	1.5	0	-29	34
66	9	2	0	26	35
66.5	9	2.25	0	-26	34
67	9	2.5	0	-26	33
67.5	9	2.75	0	-26	32
68	9	3	0	26	33
69	9	3.5	0	22	-33
70	9	4	0	26	-33
72	10	1	0	22	33
75	10	2.5	0	-22	29
76	10	3	0	0	33
77	10	3.5	19	0	-33
77.5	10	3.75	-19	0	32
78	10	4	22	0	31
79	10	4.5	-22	0	30
79.5	10	4.75	21	0	-30
80	11	1	20	0	29
81	11	1.5	19	0	-29
