**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	30	32	34
1.5	1	1.75	0	0	30	32	34
2	1	2	0	0	26	33	35
3	1	2.5	0	0	30	32	34
5	1	3.5	0	0	31	33	33
6	1	4	0	0	30	32	34
8	2	1	0	0	30	32	34
9	2	1.5	0	0	28	33	37
10.5	2	2.25	0	0	29	33	36
11	2	2.5	0	0	30	32	35
12	2	3	0	0	30	32	34
13	2	3.5	0	0	28	32	35
14	2	4	0	0	29	31	33
16	3	1	0	0	25	32	34
17	3	1.5	0	29	25	-32	-34
18	3	2	0	-29	27	-32	0
18.5	3	2.25	0	29	-27	-32	0
19	3	2.5	25	28	-27	-32	34
19.5	3	2.75	-25	-28	28	-32	-34
20	3	3	25	27	29	0	34
21	3	3.5	-25	27	29	0	-34
21.5	3	3.75	24	-27	-29	0	33
22	3	4	23	28	30	0	32
23	3	4.5	23	-28	-30	0	32
23.5	3	4.75	-23	27	29	0	-32
24	4	1	24	26	28	0	33
25	4	1.5	-24	-26	28	0	-33
25.5	4	1.75	23	-26	-28	0	32
26	4	2	22	-26	29	0	31
27	4	2.5	22	27	-29	0	31
28	4	3	23	-27	-29	0	30
29	4	3.5	-23	26	28	0	-30
30	4	4	-23	-26	27	0	-30
31	4	4.5	-23	25	-27	0	-30
32	5	1	19	26	26	0	28
33	5	1.5	-19	23	-26	37	-28
34	5	2	0	24	0	36	0
35	5	2.5	0	24	26	-36	33
35.5	5	2.75	0	-24	-26	35	-33
36	5	3	0	25	27	34	32
37	5	3.5	0	25	27	-34	-32
37.5	5	3.75	0	-25	-27	-34	31
38	5	4	0	26	28	0	30
39	5	4.5	0	-26	28	30	33
40	6	1	0	22	29	31	33
41	6	1.5	22	29	-29	31	-33
42	6	2	23	28	25	32	30
43	6	2.5	23	-28	-25	-32	37
43.5	6	2.75	-23	27	-25	-32	-37
44	6	3	24	26	0	33	36
45	6	3.5	24	29	0	-33	-36
45.5	6	3.75	-24	-29	0	-33	35
46	6	4	25	-29	0	32	34
47	6	4.5	-25	28	0	-32	37
48	7	1	-25	-28	0	-32	36
49	7	1.5	-25	27	0	-32	-36
50	7	2	21	28	0	30	35
52	7	3	0	0	32	34	0
53	7	3.5	0	0	32	34	0
53.5	7	3.75	0	0	31	33	0
54	7	4	0	0	30	34	32
55	7	4.5	0	0	-30	-34	32
55.5	7	4.75	0	0	29	-34	31
56	8	1	0	0	30	-34	32
57	8	1.5	0	0	-30	35	33
58	8	2	0	0	30	34	-33
59	8	2.5	0	0	-30	-34	32
60	8	3	0	0	0	33	33
61	8	3.5	0	0	28	35	37
62	8	4	0	0	32	34	36
63.5	8	4.75	0	0	33	33	35
64	9	1	0	0	30	32	34
65	9	1.5	0	0	31	35	33
66	9	2	0	0	32	34	36
67	9	2.5	0	0	29	-34	-36
67.5	9	2.75	0	0	-29	33	35
68	9	3	0	0	30	32	34
69	9	3.5	0	0	31	33	33
70	9	4	0	0	30	-33	34
71	9	4.5	0	0	-30	32	-34
72	10	1	0	0	26	33	33
74	10	2	26	28	30	-33	-33
75	10	2.5	26	28	30	-33	-33
75.5	10	2.75	26	28	31	-33	-33
76	10	3	25	27	30	0	0
77	10	3.5	25	27	30	0	0
78	10	4	24	26	29	33	0
79	10	4.5	-24	-26	-29	33	0
79.5	10	4.75	-24	-26	-29	33	0
80	11	1	23	27	30	32	0
81	11	1.5	-23	-27	-30	32	0
82	11	2	26	28	0	31	0
83	11	2.5	26	28	0	-31	0
83.5	11	2.75	26	28	0	-31	0
84	11	3	25	27	0	30	0
85	11	3.5	25	-27	0	-30	0
86	11	4	24	28	0	33	0
86.5	11	4.25	25	-28	0	-33	0
87	11	4.5	26	-28	0	33	0
87.5	11	4.75	27	-28	0	33	0
88	12	1	28	-28	30	32	0
89	12	1.5	-28	-28	30	32	0
89.5	12	1.75	21	-28	30	-32	0
90	12	2	22	26	29	31	0
91	12	2.5	-22	-26	29	-31	0
92	12	3	23	-26	28	30	0
94	12	4	-23	25	27	-30	0
95	12	4.5	-23	-25	27	30	37
96	13	1	0	0	30	32	34
97.5	13	1.75	0	0	31	31	33
98	13	2	0	0	32	30	34
99	13	2.5	0	0	28	37	35
100	13	3	0	0	32	36	34
102	13	4	0	0	28	35	35
104	14	1	0	0	30	34	32
105	14	1.5	0	0	30	34	32
105.5	14	1.75	0	0	29	34	31
106	14	2	0	0	30	34	32
107	14	2.5	0	0	28	37	33
108	14	3	0	0	27	36	-33
109	14	3.5	0	0	-27	-36	32
110	14	4	0	0	26	35	33
112	15	1	19	23	-26	-35	0
113	15	1.5	-19	-23	-26	-35	37
114	15	2	22	24	26	36	36
