**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	32
2	1	1.5	0	0	0	0	36
3	1	1.75	0	0	0	0	36
4	1	2	0	0	0	29	38
5	1	2.25	0	0	0	-29	38
6	1	2.5	0	0	0	33	37
7	1	2.75	0	0	0	33	-37
8	2	1	0	0	0	34	36
9	2	1.25	0	0	0	34	-36
10	2	1.5	0	0	0	33	35
12	2	2	0	25	0	32	-35
13	2	2.25	0	-25	0	-32	34
14	2	2.5	0	29	0	31	33
15	2	2.75	0	29	0	31	-33
16	3	1	0	30	0	32	32
17	3	1.25	0	30	0	-32	-32
17.5	3	1.375	0	-30	0	33	-32
18	3	1.5	0	29	25	34	0
20	3	2	0	31	29	33	0
21	3	2.25	0	-31	29	-33	0
22	3	2.5	22	29	31	-33	36
23	3	2.75	-22	29	31	-33	-36
24	4	1	26	28	30	0	37
25	4	1.25	26	-28	-30	0	35
26	4	1.5	27	31	29	0	36
27	4	1.75	27	-31	-29	0	-36
28	4	2	26	0	30	33	35
29	4	2.25	-26	0	28	-33	-35
30	4	2.5	25	0	29	34	39
31	4	2.75	-25	0	-29	34	-39
31.5	4	2.875	-25	0	27	-34	-39
32	5	1	24	0	28	33	35
33	5	1.25	22	0	29	-33	38
34	5	1.5	26	30	-29	-33	37
35	5	1.75	-26	-30	28	-33	-37
36	5	2	22	31	29	33	36
38	5	2.5	-22	-31	29	-33	38
40	6	1	24	33	28	0	-38
42	6	1.5	25	32	27	29	36
43	6	1.75	25	-32	-27	-29	-36
44	6	2	26	-32	26	33	35
45	6	2.25	-26	31	-26	33	36
46	6	2.5	-26	30	-26	33	-36
47	6	2.75	-26	-30	-26	-33	35
48	7	1	22	29	26	31	36
50	7	1.5	-22	31	-26	0	-36
51.5	7	1.875	-22	32	-26	0	-36
52	7	2	0	33	0	0	0
53	7	2.25	25	32	0	0	34
54	7	2.5	-25	-32	29	0	-34
54.5	7	2.625	26	-32	-29	0	35
55	7	2.75	27	31	-29	31	36
55.5	7	2.875	-27	-31	30	-31	-36
56	8	1	24	33	31	-31	35
56.5	8	1.125	-24	-33	-31	32	-35
57	8	1.25	-24	-33	31	33	-35
57.5	8	1.375	-24	32	-31	-33	-35
58	8	1.5	20	31	-31	34	36
59	8	1.75	-20	27	29	-34	-36
59.5	8	1.875	-20	-27	-29	33	-36
59.75	8	1.9375	-20	-27	-29	32	-36
60	8	2	0	-27	29	31	0
60.5	8	2.125	0	28	-29	-31	0
61	8	2.25	27	29	-29	-31	0
61.5	8	2.375	-27	-29	30	30	0
62	8	2.5	-27	-29	31	29	34
62.5	8	2.625	28	30	-31	-29	-34
63	8	2.75	29	31	27	-29	-34
63.5	8	2.875	-29	-31	-27	-29	35
64	9	1	27	-31	-27	31	36
64.5	9	1.125	-27	30	28	-31	-36
65	9	1.25	-27	29	29	-31	36
65.5	9	1.375	26	-29	28	-31	-36
66	9	1.5	25	-29	27	34	-36
66.5	9	1.625	-25	-29	26	-34	35
67	9	1.75	-25	29	25	-34	34
67.5	9	1.875	24	-29	-25	33	-34
68	9	2	23	30	-25	32	-34
69	9	2.25	21	-30	25	32	35
70	9	2.5	22	29	29	-32	33
70.5	9	2.625	-22	-29	-29	32	-33
71	9	2.75	-22	-29	-29	31	-33
72	10	1	25	0	29	32	34
74	10	1.5	0	31	29	33	0
76	10	2	0	30	28	33	0
77	10	2.25	0	31	29	-33	0
78	10	2.5	0	29	27	32	0
79	10	2.75	0	30	28	-32	0
80	11	1	0	31	24	33	0
80.5	11	1.125	0	-31	25	-33	0
81	11	1.25	0	-31	26	-33	0
81.5	11	1.375	0	-31	27	-33	0
82	11	1.5	0	30	28	32	0
83	11	1.75	0	29	29	31	0
84	11	2	0	-29	26	-31	0
85	11	2.25	0	28	-26	30	0
85.5	11	2.375	0	27	-26	29	0
86	11	2.5	0	28	26	30	0
88	12	1	22	29	31	29	33
90	12	1.5	21	0	30	0	33
91	12	1.75	22	0	31	0	33
92	12	2	20	0	29	0	32
93	12	2.25	21	0	30	0	-32
93.5	12	2.375	-21	0	-30	0	33
94	12	2.5	22	0	31	0	34
94.5	12	2.625	23	0	-31	0	-34
95	12	2.75	24	0	-31	0	33
95.5	12	2.875	25	0	-31	0	-33
96	13	1	26	0	30	0	35
96.5	13	1.125	27	0	-30	0	-35
97	13	1.25	28	0	30	0	-35
97.5	13	1.375	26	0	-30	0	-35
98	13	1.5	29	0	31	0	33
99	13	1.75	-29	0	-31	29	-33
100	13	2	26	0	30	28	0
102	13	2.5	0	0	0	29	0
103	13	2.75	0	29	0	33	38
104	14	1	0	28	0	33	37
105	14	1.25	0	29	0	33	38
106	14	1.5	0	27	0	32	36
107	14	1.75	0	28	0	32	37
108	14	2	0	24	0	33	38
