**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	24	0	28	33	35
2	1	2	-24	31	-28	-33	-35
4	1	3	21	30	28	32	35
6	1	4	22	29	24	31	33
7	1	4.5	20	29	24	31	34
9	2	1.5	17	28	24	31	33
10	2	2	21	28	25	30	32
12	2	3	21	28	25	30	32
14	2	4	-21	28	25	30	35
16	3	1	0	24	26	31	35
17.5	3	1.75	0	24	26	31	35
18	3	2	0	25	27	29	34
19	3	2.5	0	27	29	29	32
20	3	3	0	26	28	30	33
22	3	4	0	26	28	30	33
24	4	1	24	26	0	31	35
25	4	1.5	-24	-26	26	-31	-35
26	4	2	20	24	27	31	36
27.5	4	2.75	20	24	27	31	36
28	4	3	21	28	25	30	35
29	4	3.5	23	25	25	32	34
30	4	4	22	26	29	31	36
32	5	1	22	26	29	31	33
34	5	2	21	28	30	32	0
35	5	2.5	-21	-28	-30	-32	35
37	5	3.5	19	28	30	33	35
38	5	4	22	29	31	31	33
40	6	1	20	29	29	31	34
41	6	1.5	21	25	28	30	32
42	6	2	18	25	27	29	32
44	6	3	21	25	28	30	32
46	6	4	-21	28	-28	-30	-32
48	7	1	24	-28	28	0	33
50	7	2	-24	26	-28	31	-33
52	7	3	22	0	29	-31	-33
54	7	4	-22	0	26	29	31
55	7	4.5	22	29	-26	29	-31
56	8	1	21	25	28	30	0
57	8	1.5	20	27	29	31	0
58	8	2	23	27	30	32	0
62	8	4	23	27	30	32	0
64	9	1	20	27	29	31	0
65	9	1.5	22	26	29	31	0
66	9	2	19	26	28	30	0
68	9	3	19	26	28	30	0
70	9	4	-19	26	0	28	30
71	9	4.5	-19	-26	26	-28	-30
72	10	1	0	25	27	29	32
73	10	1.5	0	24	28	31	33
74	10	2	0	27	29	31	34
78	10	4	0	27	29	31	34
80	11	1	0	23	30	32	34
81	11	1.5	0	25	29	32	34
82	11	2	0	22	29	31	33
84	11	3	0	22	29	31	33
86	11	4	22	-22	31	33	36
89	12	1.5	22	0	-31	33	36
90	12	2	19	26	30	33	35
92	12	3	23	-26	30	30	34
93	12	3.5	-23	26	-30	31	-34
94	12	4	23	25	-30	32	35
95	12	4.5	-23	-25	-30	30	-35
96	13	1	22	24	26	33	36
97	13	1.5	-22	-24	-26	33	-36
98	13	2	-22	25	29	32	-36
100	13	3	-22	26	29	-32	-36
101	13	3.5	-22	-26	-29	31	-36
101.5	13	3.75	-22	-26	-29	30	-36
102	13	4	-22	-26	-29	31	-36
104	14	1	18	25	29	32	34
105	14	1.5	-18	-25	25	-32	34
105.5	14	1.75	-18	-25	26	-32	35
106	14	2	0	0	27	0	36
107	14	2.5	0	29	-27	31	-36
107.5	14	2.75	0	30	-27	32	-36
108	14	3	0	31	26	33	35
109	14	3.5	0	30	28	32	-35
110	14	4	0	-30	25	-32	34
111	14	4.5	0	30	-25	32	35
112	15	1	0	29	-25	32	-35
113	15	1.5	0	-29	-25	-32	34
114	15	2	0	30	21	32	35
115	15	2.5	21	-30	-21	30	-35
115.5	15	2.75	22	-30	-21	31	-35
116	15	3	23	0	0	32	0
117	15	3.5	-23	0	25	-32	34
117.5	15	3.75	-23	0	26	-32	35
118	15	4	22	0	27	31	36
119	15	4.5	24	0	26	-31	35
120	16	1	21	0	-26	30	-35
121	16	1.5	-21	0	26	31	35
122	16	2	-21	0	25	-31	35
123	16	2.5	-21	0	-25	30	-35
124	16	3	17	0	26	31	35
125	16	3.5	-17	0	-26	28	-35
126	16	4	0	26	-26	31	-35
127	16	4.5	24	-26	-26	31	-35
128	17	1	26	28	0	30	0
129	17	1.5	26	28	28	-30	0
129.5	17	1.75	-26	-28	-28	31	0
130	17	2	25	27	30	32	0
131	17	2.5	-25	-27	30	-32	0
131.5	17	2.75	26	28	-30	-32	0
132	17	3	27	29	29	31	0
133	17	3.5	-27	-29	-29	-31	31
133.5	17	3.75	-27	-29	30	-31	-31
134	17	4	24	28	31	0	33
135	17	4.5	-24	26	28	28	33
136	18	1	0	28	0	30	32
137	18	1.5	0	28	0	30	-32
137.5	18	1.75	0	-28	0	-30	33
138	18	2	0	27	0	29	34
139.5	18	2.75	0	28	0	30	-34
140	18	3	0	29	0	31	-34
141	18	3.5	0	-29	0	32	-34
142	18	4	0	29	0	-32	33
143	18	4.5	0	-29	0	31	-33
144	19	1	0	0	0	0	0
146	19	2	0	27	0	0	36
148	19	3	0	-27	0	31	-36
149	19	3.5	0	26	0	-31	35
150	19	4	0	25	0	-31	34
151	19	4.5	0	-25	0	30	-34
152	20	1	0	-25	0	29	-34
153	20	1.5	0	24	0	-29	33
154	20	2	0	-24	0	28	-33
155	20	2.5	0	23	0	-28	32
156	20	3	0	22	0	-28	31
157	20	3.5	0	29	0	27	32
158	20	4	0	28	0	26	30
159	20	4.5	0	-28	0	33	-30
160	21	1	0	-28	0	32	-30
161	21	1.5	0	26	0	31	33
162	21	2	0	28	0	30	32
164	21	3	0	24	28	31	33
166	21	4	24	-24	-28	-31	35
167	21	4.5	-24	-24	27	-31	-35
168	22	1	-24	0	26	0	-35
169	22	1.5	23	0	-26	0	-35
170	22	2	22	0	-26	0	34
171	22	2.5	-22	0	25	0	-34
172	22	3	-22	0	-25	0	33
173	22	3.5	-22	31	24	0	-33
174	22	4	21	-31	28	0	-33
175	22	4.5	-21	30	-28	0	-33
176	23	1	-21	29	0	0	-33
178	23	2	20	-29	0	29	32
180	23	3	19	30	0	28	-32
182	23	4	-19	29	0	29	31
184	24	1	-19	28	0	30	30
186	24	2	26	0	28	-30	0
187	24	2.5	-26	0	-28	31	33
188	24	3	25	0	29	32	34
189	24	3.5	23	0	30	-32	35
190	24	4	25	0	29	-32	34
192	25	1	21	0	30	32	35
194	25	2	-21	28	-30	32	-35
196	25	3	0	26	0	31	0
198	25	4	22	24	29	-31	33
200	26	1	21	28	25	30	35
202	26	2	19	-28	26	31	35
204	26	3	21	-28	25	-31	35
205	26	3.5	-21	-28	-25	30	-35
205.5	26	3.75	-21	-28	-25	29	-35
206	26	4	-21	-28	-25	30	-35
208	27	1	17	28	24	31	33
*-	*-	*-	*-	*-	*-	*-	*-
