**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	24	24	33
3	1	2.5	23	23	32
4	2	1	24	24	33
5	2	1.5	-24	-24	33
5.5	2	1.75	-24	-24	34
6	2	2	-24	-24	35
7	2	2.5	21	21	-35
7.5	2	2.75	22	22	-35
8	3	1	23	23	-35
10	3	2	22	22	36
12	4	1	22	0	0
13	4	1.5	-22	22	36
14	4	2	18	18	34
15	4	2.5	19	19	35
16	5	1	20	20	36
17	5	1.5	18	18	34
18	5	2	22	22	33
19	5	2.5	-22	-22	33
20	6	1	19	19	0
21	6	1.5	-19	-19	35
22	6	2	-19	-19	33
23	6	2.5	-19	-19	35
24	7	1	24	24	-35
25	7	1.5	22	22	31
25.5	7	1.75	-22	-22	32
26	7	2	24	24	33
27	7	2.5	21	21	32
27.5	7	2.75	22	22	-32
28	8	1	23	23	0
29	8	1.5	-23	-23	32
30	8	2	20	20	29
31	8	2.5	-20	-20	31
32	9	1	24	24	-31
33	9	1.5	-24	-24	33
33.5	9	1.75	-24	-24	34
34	9	2	-24	-24	35
35	9	2.5	24	24	31
36	10	1	24	24	35
37.5	10	1.75	-24	-24	35
38	10	2	24	24	35
39	10	2.5	22	22	31
39.5	10	2.75	-22	-22	31
40	11	1	21	21	32
41	11	1.5	24	24	33
42	11	2	20	20	34
44	12	1	-20	-20	32
45	12	1.5	21	21	32
46	12	2	22	22	-32
47	12	2.5	-22	-22	31
48	13	1	18	18	32
52	14	1	25	25	34
53	14	1.5	22	22	33
54	14	2	24	24	33
57	15	1.5	21	21	32
57.5	15	1.75	21	21	32
58	15	2	24	24	33
60	16	1	20	20	34
61	16	1.5	27	0	0
62	16	2	-27	27	34
63	16	2.5	25	25	34
64	17	1	26	26	33
65	17	1.5	24	24	33
65.5	17	1.75	24	24	33
66	17	2	25	25	32
67	17	2.5	23	23	32
68	18	1	24	24	35
69	18	1.5	20	20	36
70	18	2	22	22	36
71	18	2.5	18	18	34
71.5	18	2.75	18	18	34
72	19	1	19	19	35
73	19	1.5	-19	-19	36
75	19	2.5	-19	-19	35
76	20	1	22	22	36
80	21	1	20	0	0
81	21	1.5	-20	20	34
82	21	2	17	17	33
83.5	21	2.75	17	17	33
84	22	1	18	18	32
85	22	1.5	19	19	31
86	22	2	21	21	30
88	23	1	21	21	30
89	23	1.5	-21	-21	35
90	23	2	24	24	-35
91	23	2.5	25	25	34
92	24	1	26	26	33
93	24	1.5	27	27	32
93.5	24	1.75	27	27	31
94	24	2	28	28	30
95	24	2.5	21	21	-30
96	25	1	22	22	33
98	25	2	19	19	-33
99	25	2.5	-19	-19	30
100	26	1	21	21	-30
100.5	26	1.25	-21	-21	28
101	26	1.5	-21	-21	31
103	26	2.5	-21	-21	30
104	27	1	17	17	31
*-	*-	*-	*-	*-	*-
