**absq	**bar	**beat	**b7
0	1	1	26
2	1	2	27
3.5	1	2.75	27
4	1	3	28
5	1	3.5	28
6	1	4	29
8	2	1	26
10	2	2	0
12	2	3	0
16	3	1	0
17	3	1.5	28
18	3	2	29
19.5	3	2.75	29
20	3	3	30
21	3	3.5	31
22	3	4	30
24	4	1	29
26	4	2	0
28	4	3	0
29	4	3.5	26
30	4	4	27
31.5	4	4.75	27
32	5	1	28
33	5	1.5	28
34	5	2	29
36	5	3	28
38	5	4	0
39	5	4.5	30
40	6	1	30
42	6	2	27
45	6	3.5	26
45.5	6	3.75	25
46	6	4	28
50	7	2	27
52	7	3	28
56	8	1	0
64	9	1	28
68	9	3	30
70	9	4	26
72	10	1	29
76	10	3	29
78	10	4	0
79	10	4.5	22
80	11	1	24
81.5	11	1.75	25
82	11	2	26
83	11	2.5	24
84	11	3	25
86	11	4	26
88	12	1	0
96	13	1	0
98	13	2	30
99.5	13	2.75	30
100	13	3	28
102	13	4	27
103.5	13	4.75	28
104	14	1	29
105	14	1.5	28
105.5	14	1.75	27
106	14	2	30
107	14	2.5	29
109	14	3.5	28
110	14	4	29
112	15	1	0
120	16	1	0
122	16	2	29
123.5	16	2.75	29
124	16	3	27
126	16	4	26
127.5	16	4.75	27
128	17	1	28
129	17	1.5	27
129.5	17	1.75	26
130	17	2	29
131	17	2.5	28
133	17	3.5	27
134	17	4	28
138	18	2	28
140	18	3	28
144	19	1	0
148	19	3	0
149	19	3.5	30
150	19	4	30
151	19	4.5	27
152	20	1	29
154	20	2	30
156	20	3	0
160	21	1	0
168	22	1	0
170	22	2	0
171	22	2.5	29
172	22	3	28
173	22	3.5	27
174	22	4	26
175	22	4.5	25
176	23	1	24
177	23	1.5	23
178	23	2	22
179	23	2.5	21
180	23	3	22
181	23	3.5	22
182	23	4	0
183	23	4.5	29
184	24	1	28
184.5	24	1.25	27
185	24	1.5	26
185.5	24	1.75	28
186	24	2	27
187	24	2.5	26
188	24	3	0
189	24	3.5	22
190	24	4	23
190.5	24	4.25	24
191	24	4.5	25
191.5	24	4.75	22
192	25	1	26
193	25	1.5	22
194	25	2	0
196	25	3	0
200	26	1	0
202	26	2	25
205	26	3.5	25
206	26	4	23
208	27	1	26
210	27	2	24
212	27	3	28
216	28	1	26
218	28	2	0
219	28	2.5	24
219.5	28	2.75	25
220	28	3	26
224	29	1	0
225	29	1.5	26
225.5	29	1.75	27
226	29	2	28
228	29	3	0
229	29	3.5	28
229.5	29	3.75	27
230	29	4	26
232	30	1	23
234	30	2	0
236	30	3	0
240	31	1	0
241	31	1.5	26
242	31	2	22
245	31	3.5	22
246	31	4	29
248	32	1	29
250	32	2	25
254	32	4	25
256	33	1	23
257	33	1.5	24
258	33	2	23
260	33	3	26
262	33	4	0
263	33	4.5	23
265	34	1.5	23
266	34	2	26
268	34	3	22
272	35	1	0
273	35	1.5	23
274	35	2	23
276	35	3	22
278	35	4	0
279	35	4.5	26
279.5	35	4.75	27
280	36	1	28
284	36	3	0
286	36	4	0
287	36	4.5	28
287.5	36	4.75	29
288	37	1	30
292	37	3	0
296	38	1	0
298	38	2	30
300	38	3	26
301	38	3.5	26
302	38	4	29
306	39	2	26
308	39	3	0
310	39	4	27
314	40	2	27
316	40	3	30
317	40	3.5	26
318	40	4	27
320	41	1	28
322	41	2	0
324	41	3	0
326	41	4	0
327	41	4.5	26
329	42	1.5	26
330	42	2	29
331	42	2.5	22
332	42	3	26
336	43	1	26
*-	*-	*-	*-
