**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	33	35	0
2	1	2	0	0	33	35	37
4	1	3	0	0	0	0	37
5	1	3.5	0	0	33	35	-37
7	1	4.5	0	0	30	34	37
7.5	1	4.75	0	0	31	33	-37
8	2	1	0	0	32	34	-37
8.5	2	1.25	0	0	-32	35	-37
9	2	1.5	0	0	-32	36	34
9.5	2	1.75	0	0	31	-36	35
9.75	2	1.875	0	0	30	-36	-35
10	2	2	0	0	29	-36	36
10.5	2	2.25	0	0	30	35	-36
10.75	2	2.375	0	0	-30	34	-36
11	2	2.5	0	0	31	33	-36
11.5	2	2.75	0	0	-31	34	35
11.75	2	2.875	0	0	-31	-34	34
12	2	3	0	0	-31	35	33
12.5	2	3.25	0	0	30	-35	34
12.75	2	3.375	0	0	29	-35	-34
13	2	3.5	0	0	28	33	35
13.5	2	3.75	0	0	29	-33	-35
14	2	4	0	0	30	-33	34
15	2	4.5	0	0	-30	32	-34
16	3	1	0	0	26	33	33
17	3	1.5	0	0	-26	37	-33
18	3	2	26	28	33	-37	0
19	3	2.5	-26	-28	-33	37	0
20	3	3	26	28	-33	0	37
22	3	4	0	0	33	0	37
23	3	4.5	26	28	-33	0	-37
23.5	3	4.75	-26	-28	33	0	-37
24	4	1	-26	-28	30	0	0
24.5	4	1.25	-26	-28	31	0	0
25	4	1.5	23	27	32	0	37
25.5	4	1.75	24	26	-32	0	-37
26	4	2	25	27	-32	0	-37
27	4	2.5	-25	-27	29	0	34
27.5	4	2.75	24	26	-29	0	35
27.75	4	2.875	23	25	-29	0	-35
28	4	3	22	26	33	38	36
28.5	4	3.25	23	-26	-33	-38	35
28.75	4	3.375	-23	-26	-33	-38	34
29	4	3.5	24	26	-33	35	33
29.5	4	3.75	25	-26	-33	-35	-33
30	4	4	26	0	30	-35	-33
30.5	4	4.25	-26	0	-30	36	34
31	4	4.5	-26	28	-30	37	35
31.5	4	4.75	25	-28	31	-37	36
31.75	4	4.875	24	-28	-31	-37	-36
32	5	1	23	-28	32	-37	37
33	5	1.5	-23	27	33	36	-37
33.5	5	1.75	-23	26	-33	35	-37
34	5	2	-23	27	-33	34	37
34.5	5	2.25	-23	-27	-33	33	-37
35	5	2.5	-23	-27	32	34	-37
36	5	3	19	26	33	35	0
37	5	3.5	-19	-26	33	-35	37
38	5	4	0	0	30	0	-37
39	5	4.5	0	0	-30	37	34
39.5	5	4.75	0	0	31	-37	-34
40	6	1	0	0	32	-37	-34
40.5	6	1.25	0	0	-32	-37	35
41	6	1.5	0	0	-32	34	36
41.5	6	1.75	0	0	-32	35	-36
42	6	2	0	0	-32	36	34
43	6	2.5	0	0	33	35	33
44	6	3	0	0	30	34	-33
45	6	3.5	0	0	-30	-34	32
46	6	4	0	0	26	33	33
47	6	4.5	26	0	-26	33	35
48	7	1	-26	0	0	30	-35
48.5	7	1.25	-26	0	0	31	-35
49	7	1.5	23	30	0	32	34
49.5	7	1.75	24	-30	0	-32	33
50	7	2	25	-30	0	-32	34
50.5	7	2.25	-25	-30	0	33	33
51	7	2.5	-25	29	0	34	32
51.5	7	2.75	-25	28	0	-34	-32
52	7	3	-25	29	0	-34	-32
52.5	7	3.25	-25	-29	0	33	-32
52.75	7	3.375	-25	-29	0	34	-32
53	7	3.5	26	-29	0	35	31
53.5	7	3.75	-26	28	0	-35	-31
54	7	4	25	29	0	-35	32
55	7	4.5	-25	-29	0	34	-32
56	8	1	21	28	0	35	32
57	8	1.5	28	30	32	-35	-32
58	8	2	27	29	32	0	0
59	8	2.5	26	28	31	0	35
60	8	3	25	29	32	0	35
61	8	3.5	25	29	32	0	34
62	8	4	26	28	30	0	33
62.5	8	4.25	25	27	-30	0	-33
63	8	4.5	26	28	-30	0	33
63.5	8	4.75	27	29	-30	0	-33
64	9	1	28	30	0	0	32
65	9	1.5	25	29	32	0	34
66	9	2	26	28	30	0	33
67	9	2.5	27	29	29	0	32
68	9	3	26	-29	30	0	33
69	9	3.5	-26	28	-30	0	-33
70	9	4	22	29	29	0	33
71	9	4.5	-22	22	31	33	36
72	10	1	0	26	30	33	35
73.5	10	1.75	0	25	30	34	34
74	10	2	0	26	30	35	33
75	10	2.5	0	24	29	36	33
76	10	3	0	23	30	34	32
77	10	3.5	0	23	-30	34	32
78	10	4	0	0	30	0	0
79	10	4.5	23	30	-30	34	32
80	11	1	26	30	0	35	33
81.5	11	1.75	25	30	0	34	34
82	11	2	26	30	0	33	35
83	11	2.5	24	29	0	33	36
84	11	3	23	30	0	32	34
86	11	4	23	30	0	32	34
87	11	4.5	-23	23	30	32	34
88	12	1	0	26	30	33	35
89.5	12	1.75	0	26	30	33	35
90	12	2	0	26	30	33	35
91	12	2.5	0	25	32	34	36
92	12	3	0	28	32	35	37
93.5	12	3.75	0	28	32	35	37
94	12	4	0	28	32	35	37
95	12	4.5	0	29	31	33	36
96	13	1	0	25	32	34	36
98	13	2	0	26	30	33	35
100	13	3	24	0	0	33	0
101	13	3.5	25	0	0	34	0
102	13	4	26	0	0	35	35
103	13	4.5	-26	0	0	-35	36
104	14	1	-26	26	0	-35	37
105	14	1.5	25	27	0	34	-37
105.5	14	1.75	24	-27	0	33	-37
106	14	2	23	28	0	32	-37
107	14	2.5	-23	27	0	33	36
107.5	14	2.75	-23	26	0	-33	35
108	14	3	-23	30	0	-33	34
109	14	3.5	-23	-30	0	32	-34
110	14	4	19	30	0	33	33
111	14	4.5	19	28	30	33	-33
112	15	1	23	27	30	32	0
113.5	15	1.75	23	27	30	32	0
114	15	2	23	27	30	32	0
115	15	2.5	22	29	31	33	0
116	15	3	25	29	32	34	0
117.5	15	3.75	25	29	32	34	0
118	15	4	25	29	32	34	0
119	15	4.5	26	28	30	33	0
120	16	1	22	29	31	33	0
122	16	2	23	27	30	32	0
124	16	3	0	0	0	33	35
125	16	3.5	0	0	0	34	36
126	16	4	0	26	0	35	37
127	16	4.5	0	27	0	34	-37
127.5	16	4.75	0	-27	0	33	-37
128	17	1	0	28	0	32	-37
129	17	1.5	0	27	0	33	36
129.5	17	1.75	0	26	0	-33	35
130	17	2	0	30	0	-33	34
131	17	2.5	0	-30	0	32	-34
132	17	3	0	29	31	33	36
133.5	17	3.75	0	-29	32	-33	-36
134	17	4	24	26	33	0	0
135	17	4.5	25	27	32	0	0
135.5	17	4.75	-25	-27	31	0	0
136	18	1	26	28	30	35	0
137	18	1.5	-26	-28	-30	36	0
138	18	2	-26	-28	26	37	30
139	18	2.5	25	27	-26	-37	31
139.5	18	2.75	24	26	-26	-37	-31
140	18	3	23	27	30	-37	32
141	18	3.5	-23	-27	31	36	-32
141.5	18	3.75	-23	-27	-31	35	-32
142	18	4	-23	-27	32	34	-32
143	18	4.5	-23	26	-32	-34	31
143.5	18	4.75	-23	27	-32	-34	-31
144	19	1	-23	28	-32	-34	30
145	19	1.5	-23	-28	31	33	-30
146	19	2	-23	-28	30	33	37
148	19	3	-23	27	30	-33	-37
149	19	3.5	-23	-27	-30	-33	36
149.5	19	3.75	-23	-27	-30	-33	35
150	19	4	-23	-27	-30	32	34
152	20	1	19	26	30	33	35
*-	*-	*-	*-	*-	*-	*-	*-
