**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	32	34	36
4	1	3	28	35	37
6	1	4	29	33	38
8	2	1	30	32	39
10	2	2	28	-32	37
12	2	3	29	-32	36
13.5	2	3.75	-29	-32	35
13.75	2	3.875	-29	-32	34
14	2	4	-29	31	33
15	2	4.5	-29	-31	34
16	3	1	26	30	35
17	3	1.5	-26	29	36
18	3	2	-26	30	-36
19	3	2.5	-26	-30	35
19.5	3	2.75	-26	29	34
19.75	3	2.875	-26	30	-34
20	3	3	29	31	33
21	3	3.5	-29	32	34
22	3	4	-29	-32	33
23	3	4.5	-29	31	-33
24	4	1	0	32	32
26	4	2	0	0	0
27	4	2.5	32	34	39
28.5	4	3.25	32	34	39
29	4	3.5	29	33	38
30	4	4	33	35	37
31	4	4.5	31	33	36
32	5	1	30	32	-36
33	5	1.5	-30	-32	35
33.5	5	1.75	-30	31	-35
33.75	5	1.875	-30	32	-35
34	5	2	29	33	36
35	5	2.5	32	34	-36
36.5	5	3.25	32	-34	0
37	5	3.5	31	33	0
38	5	4	32	34	0
39	5	4.5	25	-34	36
40	6	1	27	0	-36
40.5	6	1.25	-27	0	36
41	6	1.5	28	32	35
42	6	2	29	-32	34
42.5	6	2.25	-29	32	-34
43	6	2.5	-29	31	33
44	6	3	26	30	35
45	6	3.5	-26	31	36
46	6	4	-26	30	-36
47	6	4.5	-26	-30	35
48	7	1	0	29	36
50	7	2	27	32	-36
52	7	3	29	31	0
53	7	3.5	28	33	0
54	7	4	30	32	34
56	8	1	26	33	35
57	8	1.5	30	32	34
58	8	2	29	-32	36
59	8	2.5	-29	31	-36
60	8	3	26	30	35
61	8	3.5	28	-30	37
61.5	8	3.75	-28	31	-37
62	8	4	-28	32	-37
62.5	8	4.25	27	-32	-37
63	8	4.5	26	33	35
64	9	1	-26	30	-35
65	9	1.5	29	31	36
66	9	2	27	-31	-36
67	9	2.5	25	32	34
68	9	3	29	-32	33
69	9	3.5	-29	31	-33
70	9	4	25	32	34
72	10	1	32	0	0
74	10	2	30	34	39
76	10	3	-30	35	37
78	10	4	31	33	36
80	11	1	30	32	37
82	11	2	28	35	-37
83	11	2.5	-28	-35	36
83.5	11	2.75	-28	-35	35
84	11	3	32	-35	36
85	11	3.5	-32	34	-36
85.5	11	3.75	-32	33	-36
86	11	4	-32	34	36
87	11	4.5	31	-34	-36
88	12	1	30	-34	-36
89	12	1.5	-30	33	-36
90	12	2	-30	32	35
91	12	2.5	-30	-32	34
91.5	12	2.75	-30	-32	35
92	12	3	29	-32	36
93	12	3.5	-29	32	-36
93.5	12	3.75	-29	-32	35
94	12	4	-29	31	33
96	13	1	25	32	34
99	13	2.5	-25	29	-34
100	13	3	0	32	0
101	13	3.5	25	-32	0
101.5	13	3.75	-25	31	0
102	13	4	28	30	0
103	13	4.5	-28	-30	32
103.5	13	4.75	27	-30	-32
104	14	1	26	-30	35
105	14	1.5	-26	29	34
106	14	2	-26	28	33
108	14	3	25	29	34
110	14	4	28	0	0
111	14	4.5	-28	33	35
112	15	1	29	31	34
113	15	1.5	-29	32	-34
114	15	2	-29	-32	33
115	15	2.5	-29	31	-33
116	15	3	0	32	0
117	15	3.5	28	-32	37
117.5	15	3.75	-28	31	-37
117.75	15	3.875	-28	32	-37
118	15	4	26	33	35
119	15	4.5	-26	31	36
120	16	1	-26	30	-36
121	16	1.5	-26	-30	35
122	16	2	29	29	36
124	16	3	25	29	34
127	16	4.5	-25	30	33
127.5	16	4.75	-25	-30	32
128	17	1	29	31	33
129	17	1.5	-29	32	-33
130	17	2	-29	33	38
131	17	2.5	-29	31	-38
132	17	3	28	32	-38
134	17	4	-28	35	37
136	18	1	32	-35	-37
138	18	2	-32	34	36
140	18	3	29	33	38
141	18	3.5	30	-33	37
142	18	4	31	33	35
143	18	4.5	-31	33	-35
144	19	1	27	34	36
146	19	2	28	33	35
148	19	3	29	31	-35
149	19	3.5	-29	-31	34
149.5	19	3.75	-29	-31	33
150	19	4	-29	32	34
152	20	1	29	-32	33
153	20	1.5	-29	31	-33
154	20	2	-29	31	-33
155	20	2.5	-29	30	-33
155.5	20	2.75	-29	31	-33
156	20	3	0	32	32
157	20	3.5	32	34	39
158.5	20	4.25	30	35	39
159	20	4.5	31	33	38
160	21	1	28	35	37
161.5	21	1.75	29	34	36
161.75	21	1.875	-29	33	35
162	21	2	30	32	34
162.5	21	2.25	28	-32	35
163	21	2.5	31	33	36
164	21	3	30	-33	-36
165	21	3.5	-30	32	35
166	21	4	29	-32	36
167	21	4.5	-29	31	-36
168	22	1	25	32	34
170	22	2	32	0	0
171	22	2.5	-32	34	39
172	22	3	30	-34	-39
172.5	22	3.25	-30	35	39
173	22	3.5	31	33	38
174	22	4	28	32	37
175.5	22	4.75	29	-32	36
175.75	22	4.875	-29	-32	35
176	23	1	30	-32	34
176.5	23	1.25	-30	-32	35
177	23	1.5	29	31	36
178	23	2	26	30	-36
178.5	23	2.25	-26	-30	35
179	23	2.5	-26	-30	35
180	23	3	29	31	36
181	23	3.5	29	-31	-36
181.5	23	3.75	30	-31	-36
182	23	4	31	0	-36
183	23	4.5	-31	29	-36
183.5	23	4.75	30	30	-36
184	24	1	29	31	0
185	24	1.5	-29	-31	33
185.5	24	1.75	-29	29	34
186	24	2	26	30	35
187	24	2.5	-26	33	-35
187.5	24	2.75	-26	-33	35
188	24	3	30	-33	34
189	24	3.5	-30	32	37
190	24	4	0	35	-37
190.5	24	4.25	0	34	-37
191	24	4.5	26	33	35
191.5	24	4.75	-26	32	-35
192	25	1	31	33	-35
192.5	25	1.25	30	-33	-35
193	25	1.5	29	-33	38
193.5	25	1.75	28	-33	-38
194	25	2	29	33	-38
194.5	25	2.25	-29	-33	37
195	25	2.5	-29	31	36
195.5	25	2.75	-29	-31	35
196	25	3	25	34	36
197	25	3.5	25	-34	-36
197.5	25	3.75	-25	33	35
197.75	25	3.875	-25	32	34
198	25	4	29	31	33
199.5	25	4.75	28	32	-33
199.75	25	4.875	27	-32	-33
200	26	1	26	33	35
201	26	1.5	-26	31	36
202	26	2	26	30	-36
203	26	2.5	-26	-30	35
203.5	26	2.75	-26	29	34
203.75	26	2.875	-26	30	-34
204	26	3	29	31	33
205	26	3.5	-29	32	32
206	26	4	-29	-32	33
207	26	4.5	-29	31	-33
208	27	1	25	32	34
*-	*-	*-	*-	*-	*-
