**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	39
1	1	1.5	0	0	39
2	1	2	0	0	38
3	1	2.5	0	0	37
3.5	1	2.75	0	0	36
4	1	3	0	35	37
5	1	3.5	0	34	36
5.5	1	3.75	0	-34	35
6	1	4	32	34	36
7	1	4.5	31	33	-36
7.5	1	4.75	-31	32	-36
8	2	1	31	33	35
9	2	1.5	30	32	39
9.5	2	1.75	29	31	-39
10	2	2	30	32	-39
10.5	2	2.25	-30	33	-39
11	2	2.5	29	34	38
11.5	2	2.75	28	-34	-38
12	2	3	29	33	38
13	2	3.5	-29	-33	37
13.5	2	3.75	-29	34	36
14	2	4	28	35	37
15	2	4.5	-28	32	-37
16	3	1	25	-32	36
17	3	1.5	27	31	-36
18	3	2	28	30	0
19	3	2.5	27	29	36
19.5	3	2.75	-27	30	-36
20	3	3	-27	31	-36
20.5	3	3.25	-27	32	-36
21	3	3.5	24	33	35
22	3	4	25	29	34
22.5	3	4.25	26	-29	-34
23	3	4.5	27	-29	-34
23.5	3	4.75	28	30	-34
24	4	1	29	31	33
25	4	1.5	-29	32	34
26	4	2	-29	-32	33
27	4	2.5	-29	31	-33
28	4	3	25	32	34
29	4	3.5	-25	-32	36
30	4	4	-25	0	34
31	4	4.5	-25	29	-34
31.5	4	4.75	-25	-29	35
32	5	1	0	31	36
33	5	1.5	29	-31	-36
33.5	5	1.75	-29	30	-36
34	5	2	27	29	0
35	5	2.5	-27	34	36
35.5	5	2.75	28	-34	-36
36	5	3	29	33	38
37.5	5	3.75	-29	32	37
38	5	4	-29	31	36
39	5	4.5	27	29	-36
39.5	5	4.75	-27	-29	35
40	6	1	30	32	34
41.5	6	1.75	30	32	35
42	6	2	29	31	36
42.5	6	2.25	28	32	37
43	6	2.5	31	33	35
44	6	3	27	34	36
45	6	3.5	25	-34	-36
46	6	4	29	0	38
47	6	4.5	-29	31	-38
48	7	1	-29	33	38
49	7	1.5	28	-33	-38
49.5	7	1.75	27	-33	-38
50	7	2	28	-33	37
51	7	2.5	29	31	36
52	7	3	27	29	-36
53	7	3.5	25	32	34
54	7	4	29	31	33
56	8	1	25	32	34
58.6667	8	2.33333	27	29	36
60	8	3	28	30	35
62	8	4	28	30	35
62.6667	8	4.33333	26	31	35
64	9	1	25	32	34
65.3333	9	1.66667	29	31	33
68	9	3	25	32	34
70.6667	9	4.33333	32	34	36
72	10	1	31	33	38
74	10	2	31	33	38
74.6667	10	2.33333	29	34	38
76	10	3	28	35	37
77.3333	10	3.66667	32	34	36
80	11	1	31	33	36
81	11	1.5	32	34	-36
82	11	2	29	-34	0
82.5	11	2.25	-29	33	0
83	11	2.5	30	32	39
84	11	3	29	33	-39
84.5	11	3.25	-29	-33	39
85	11	3.5	-29	-33	38
86	11	4	32	34	39
88	12	1	0	0	36
89	12	1.5	32	34	-36
90	12	2	-32	-34	36
90.5	12	2.25	32	34	-36
91	12	2.5	31	33	36
92	12	3	32	32	34
92.5	12	3.25	-32	33	35
93	12	3.5	-32	34	36
93.5	12	3.75	-32	-34	37
94	12	4	29	-34	38
95	12	4.5	29	33	-38
95.5	12	4.75	-29	-33	37
96	13	1	-29	31	36
97	13	1.5	29	-31	33
98	13	2	27	29	34
99	13	2.5	-27	32	-34
99.5	13	2.75	-27	-32	33
99.75	13	2.875	-27	-32	32
100	13	3	28	-32	33
101	13	3.5	-28	32	-33
102	13	4	29	31	-33
104	14	1	25	32	34
105	14	1.5	32	-32	-34
106	14	2	31	0	0
107	14	2.5	-31	35	0
107.5	14	2.75	30	-35	0
108	14	3	29	34	0
109	14	3.5	30	-34	39
109.5	14	3.75	-30	32	-39
110	14	4	29	33	38
111	14	4.5	-29	31	-38
111.5	14	4.75	-29	-31	37
112	15	1	25	34	36
113	15	1.5	-25	-34	37
114	15	2	0	-34	36
115	15	2.5	32	-34	-36
116	15	3	31	33	38
117	15	3.5	-31	35	-38
117.5	15	3.75	30	-35	-38
118	15	4	29	34	0
119	15	4.5	30	-34	39
119.5	15	4.75	-30	32	-39
120	16	1	29	33	38
121	16	1.5	-29	31	-38
121.5	16	1.75	-29	-31	37
122	16	2	25	34	36
122.5	16	2.25	-25	33	-36
123	16	2.5	28	32	37
124	16	3	27	-32	-37
125	16	3.5	-27	31	36
125.5	16	3.75	28	-31	-36
126	16	4	29	0	-36
127	16	4.5	30	32	35
128	17	1	29	33	36
129	17	1.5	-29	-33	38
129.5	17	1.75	-29	32	-38
130	17	2	-29	31	36
130.5	17	2.25	-29	32	-36
131	17	2.5	-29	33	-36
131.5	17	2.75	-29	-33	37
132	17	3	29	-33	38
133	17	3.5	-29	34	39
134	17	4	-29	33	38
136	18	1	0	32	39
138	18	2	25	-32	36
139	18	2.5	27	-32	36
139.5	18	2.75	28	-32	37
140	18	3	29	31	38
141	18	3.5	27	31	36
141.5	18	3.75	-27	32	-36
142	18	4	31	33	0
143	18	4.5	29	31	0
143.5	18	4.75	30	-31	0
144	19	1	31	29	36
144.5	19	1.25	30	-29	-36
145	19	1.5	29	31	36
145.5	19	1.75	-29	32	37
146	19	2	-29	33	38
147	19	2.5	29	31	36
148	19	3	25	0	34
148.5	19	3.25	26	0	35
149	19	3.5	27	31	36
149.5	19	3.75	-27	30	-36
150	19	4	-27	29	-36
151	19	4.5	25	32	34
152	20	1	29	31	33
154	20	2	25	32	34
156	20	3	0	0	0
157	20	3.5	32	34	36
158	20	4	31	33	36
159.5	20	4.75	32	34	36
160	21	1	29	31	36
161	21	1.5	30	32	39
162	21	2	29	33	38
164	21	3	32	34	39
166	21	4	-32	-34	36
167	21	4.5	-32	-34	36
167.5	21	4.75	-32	-34	36
168	22	1	0	33	38
169	22	1.5	0	34	36
169.5	22	1.75	0	33	-36
170	22	2	25	32	34
171	22	2.5	25	-32	34
171.5	22	2.75	26	31	35
171.75	22	2.875	-26	30	-35
172	22	3	27	29	36
172.5	22	3.25	-27	28	-36
173	22	3.5	25	29	34
173.5	22	3.75	-25	30	-34
174	22	4	29	31	0
175	22	4.5	29	34	0
175.5	22	4.75	30	-34	0
176	23	1	31	33	0
177	23	1.5	29	34	0
177.5	23	1.75	-29	33	0
178	23	2	25	32	36
179	23	2.5	27	-32	36
179.5	23	2.75	28	31	37
179.75	23	2.875	-28	30	-37
180	23	3	29	29	38
181	23	3.5	27	-29	36
181.5	23	3.75	-27	30	-36
182	23	4	0	31	0
183	23	4.5	25	32	34
183.5	23	4.75	26	-32	35
184	24	1	27	0	36
185	24	1.5	-27	29	-36
185.5	24	1.75	-27	30	-36
186	24	2	-27	31	-36
187	24	2.5	28	30	35
187.5	24	2.75	-28	-30	34
