**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	32
2	1	2	0	0	34
3.5	1	2.75	0	0	35
4	2	1	0	32	36
5	2	1.5	0	-32	37
6	2	2	0	34	36
7.5	2	2.75	0	35	-36
8	3	1	25	36	34
9	3	1.5	-25	37	-34
10	3	2	27	36	0
11	3	2.5	-27	-36	36
11.5	3	2.75	28	35	-36
11.75	3	2.875	-28	34	-36
12	4	1	29	33	38
13	4	1.5	30	32	39
14	4	2	29	33	38
16	5	1	29	33	38
17	5	1.5	32	34	36
18	5	2	32	34	36
19	5	2.5	32	34	36
20	6	1	32	34	36
21.5	6	1.75	32	34	36
22	6	2	32	34	36
23	6	2.5	30	35	39
24	7	1	31	33	38
25	7	1.5	32	34	36
26	7	2	28	35	37
28	8	1	28	35	37
30	8	2	-28	32	-37
32	9	1	0	34	0
33.5	9	1.75	0	35	0
34	9	2	0	36	32
35	9	2.5	0	37	-32
36	10	1	0	36	34
37.5	10	1.75	0	-36	35
38	10	2	25	34	36
39	10	2.5	-25	-34	37
40	11	1	27	0	36
41	11	1.5	-27	36	-36
41.5	11	1.75	28	-36	35
41.75	11	1.875	-28	-36	34
42	11	2	29	38	33
43	11	2.5	30	39	32
44	12	1	29	38	33
46	12	2	29	38	33
47	12	2.5	32	36	34
48	13	1	32	36	34
49	13	1.5	32	36	34
50	13	2	32	36	34
51.5	13	2.75	32	36	34
52	14	1	32	36	34
53	14	1.5	30	39	35
54	14	2	31	38	33
55	14	2.5	32	36	34
56	15	1	28	37	35
58	15	2	28	-37	35
60	16	1	32	36	0
61	16	1.5	-32	-36	34
62	16	2	31	0	35
63	16	2.5	-31	33	36
64	17	1	30	34	37
65	17	1.5	-30	35	-37
66	17	2	29	36	33
68	18	1	28	32	0
68.5	18	1.25	29	-32	0
69	18	1.5	30	35	0
69.5	18	1.75	31	-35	0
70	18	2	32	-35	36
71	18	2.5	-32	34	-36
72	19	1	0	35	35
73	19	1.5	0	37	-35
74	19	2	25	36	34
76	20	1	26	35	33
77	20	1.5	27	36	-33
78	20	2	28	35	32
80	21	1	25	34	36
81	21	1.5	32	-34	-36
82	21	2	-32	33	-36
83	21	2.5	31	-33	36
84	22	1	30	32	34
85	22	1.5	28	32	35
86	22	2	29	-32	33
87	22	2.5	-29	31	-33
88	23	1	25	32	34
89	23	1.5	28	-32	37
90	23	2	-28	35	-37
91	23	2.5	29	34	36
91.5	23	2.75	-29	33	35
92	24	1	30	32	34
93	24	1.5	32	32	-34
93.5	24	1.75	-32	-32	34
94	24	2	29	31	33
95	24	2.5	-29	32	32
96	25	1	-29	31	33
98	25	2	25	32	34
99	25	2.5	32	34	-34
100	26	1	31	35	0
101	26	1.5	-31	36	33
102	26	2	30	37	34
103	26	2.5	-30	-37	35
104	27	1	29	33	36
106	27	2	28	0	32
106.5	27	2.25	29	0	-32
107	27	2.5	30	0	35
107.5	27	2.75	31	0	-35
108	28	1	32	36	-35
109	28	1.5	-32	-36	34
110	28	2	0	35	35
111	28	2.5	0	-35	37
112	29	1	25	34	36
114	29	2	26	33	35
115	29	2.5	27	-33	36
116	30	1	28	32	35
118	30	2	25	36	34
119	30	2.5	32	-36	-34
120	31	1	-32	-36	33
121	31	1.5	31	36	-33
122	31	2	30	34	32
123	31	2.5	28	35	32
124	32	1	29	33	-32
125	32	1.5	-29	-33	31
126	32	2	25	34	32
127	32	2.5	28	37	-32
128	33	1	-28	-37	35
129	33	1.5	29	36	34
129.5	33	1.75	-29	35	33
130	33	2	30	34	32
131	33	2.5	32	34	32
132	34	1	29	33	31
133	34	1.5	-29	32	32
134	34	2	-29	33	31
136	35	1	25	34	32
*-	*-	*-	*-	*-	*-
