**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	38
1	1	1.5	0	0	27	36	-38
2	1	2	0	0	31	33	35
3	1	2.5	0	0	29	34	36
4	1	3	0	0	30	32	34
5.5	1	3.75	0	0	28	32	35
6	1	4	0	0	29	31	33
7	1	4.5	0	0	29	33	38
8	2	1	0	0	32	34	36
9	2	1.5	0	0	34	36	36
10	2	2	0	0	33	35	37
12	2	3	0	0	29	36	36
14	2	4	0	25	32	36	34
15	2	4.5	0	25	32	36	34
15.5	2	4.75	0	25	32	36	34
16	3	1	0	28	32	37	35
17	3	1.5	0	24	33	38	35
18	3	2	0	31	33	35	33
19	3	2.5	0	29	34	36	38
20	3	3	0	30	32	34	37
21	3	3.5	0	28	32	35	37
22	3	4	0	29	31	33	36
24	4	1	0	29	31	33	36
25	4	1.5	25	-29	32	34	-36
26	4	2	29	0	31	33	0
27.5	4	2.75	28	0	31	33	0
28	4	3	27	0	32	34	0
29	4	3.5	26	26	33	35	35
30	4	4	25	29	34	36	34
31	4	4.5	-25	-29	32	-36	-34
31.5	4	4.75	-25	28	-32	-36	33
32	5	1	-25	27	29	-36	32
33	5	1.5	22	26	-29	-36	31
34	5	2	25	25	-29	36	32
35	5	2.5	-25	29	-29	34	-32
35.5	5	2.75	-25	-29	-29	-34	32
36	5	3	23	30	32	-34	32
37	5	3.5	-23	30	-32	34	34
38	5	4	24	28	31	38	-34
39	5	4.5	-24	-28	-31	-38	33
40	6	1	20	27	31	36	34
42	6	2	0	27	0	36	38
43	6	2.5	0	27	0	36	38
43.5	6	2.75	0	27	0	35	37
44	6	3	0	27	0	34	36
45	6	3.5	0	31	0	33	35
46	6	4	0	27	31	34	36
47	6	4.5	0	-27	31	-34	-36
47.5	6	4.75	0	-27	30	35	-36
48	7	1	0	-27	29	36	32
49	7	1.5	0	28	28	37	32
50	7	2	0	27	29	36	-32
50.5	7	2.25	0	-27	-29	-36	33
51	7	2.5	0	25	-29	-36	34
51.5	7	2.75	0	-25	30	-36	32
52	7	3	0	29	31	-36	33
53	7	3.5	0	-29	32	-36	34
54	7	4	0	-29	31	-36	33
56	8	1	0	29	31	36	33
58	8	2	22	26	0	-36	31
59	8	2.5	-22	-26	29	-36	-31
60	8	3	25	27	-29	0	32
61	8	3.5	-25	-27	29	0	-32
62	8	4	23	25	-29	0	32
63	8	4.5	-23	-25	28	0	-32
64	9	1	22	26	29	0	31
66	9	2	0	-26	30	35	0
67	9	2.5	0	26	-30	-35	33
68	9	3	0	29	31	36	-33
69	9	3.5	0	-29	-31	-36	33
70	9	4	0	27	29	36	-33
71	9	4.5	0	-27	-29	-36	32
72	10	1	0	26	30	35	33
73	10	1.5	26	26	-30	-35	-33
74	10	2	27	29	0	0	0
75.5	10	2.75	26	28	0	0	0
76	10	3	25	27	0	0	0
77	10	3.5	25	27	0	0	0
78	10	4	24	26	0	0	0
80	11	1	25	25	0	0	0
81	11	1.5	-25	32	34	37	39
82	11	2	0	32	34	-37	-39
83	11	2.5	0	-32	-34	36	39
84	11	3	0	30	-34	-36	-39
85	11	3.5	0	-30	32	35	39
86	11	4	0	29	33	36	38
87	11	4.5	0	-29	33	36	-38
88	12	1	0	0	34	36	0
89.5	12	1.75	0	0	33	35	0
90	12	2	0	0	32	34	0
91	12	2.5	0	0	32	34	0
92	12	3	0	0	31	33	0
94	12	4	0	0	32	32	0
95	12	4.5	25	32	34	-32	36
96	13	1	29	-32	-34	0	36
97	13	1.5	-29	31	33	0	-36
98	13	2	27	-31	-33	0	-36
99	13	2.5	-27	29	32	0	36
100	13	3	26	30	33	0	35
101	13	3.5	26	30	30	35	37
102	13	4	22	29	33	36	38
103	13	4.5	-22	26	-33	-36	-38
103.5	13	4.75	21	-26	33	37	37
104	14	1	22	26	33	38	36
105	14	1.5	22	31	33	36	36
106	14	2	26	30	33	37	35
107	14	2.5	-26	26	-33	-37	-35
108	14	3	26	0	33	37	35
109	14	3.5	-26	26	30	33	35
110.5	14	4.25	0	26	30	33	35
111	14	4.5	0	29	31	33	36
112	15	1	0	28	32	35	37
