**absq	**bar	**beat	**b7	**b7
0	1	1	24	0
4	1	3	24	24
6	2	1	20	27
7	2	1.5	-20	26
8	2	2	-20	27
9	2	2.5	-20	28
10	2	3	27	27
12	3	1	26	26
14	3	2	25	25
16	3	3	21	21
18	4	1	17	24
22	4	3	17	24
24	5	1	21	21
26	5	2	22	22
28	5	3	23	23
30	6	1	24	24
34	6	3	25	25
35	6	3.5	-25	18
36	7	1	21	21
40	7	3	21	21
42	8	1	0	0
44	8	2	19	19
46	8	3	19	19
48	9	1	20	20
51	9	2.5	-20	19
52	9	3	-20	20
54	10	1	21	21
57	10	2.5	20	20
58	10	3	19	19
60	11	1	17	17
61	11	1.5	-17	21
62	11	2	21	17
66	12	1	27	27
69	12	2.5	27	27
70	12	3	24	24
72	13	1	25	25
74	13	2	21	-25
75	13	2.5	-21	21
76	13	3	22	22
78	14	1	18	18
84	15	1	27	27
86	15	2	26	-27
87	15	2.5	-26	26
88	15	3	27	27
90	16	1	25	25
94	16	3	21	21
96	17	1	24	24
98	17	2	-24	24
100	17	3	23	23
102	18	1	22	22
106	18	3	21	21
108	19	1	20	20
112	19	3	19	19
114	20	1	18	18
117	20	2.5	19	19
118	20	3	20	20
120	21	1	17	17
122	21	2	18	18
124	21	3	19	19
126	22	1	22	22
130	22	3	22	22
132	23	1	22	22
133	23	1.5	-22	23
134	23	2	-22	24
135	23	2.5	-22	25
136	23	3	-22	26
137	23	3.5	-22	24
138	24	1	25	25
141	24	2.5	24	24
142	24	3	23	23
144	25	1	21	21
146	25	2	18	25
147	25	2.5	-18	24
148	25	3	-18	25
149	25	3.5	-18	18
150	26	1	21	21
154	26	3	21	21
156	27	1	20	20
158	27	2	19	19
159	27	2.5	20	20
161	27	3.5	18	18
162	28	1	17	17
164	28	2	-17	17
166	28	3	24	24
168	29	1	23	23
170	29	2	22	22
171	29	2.5	23	23
173	29	3.5	21	21
174	30	1	20	20
176	30	2	22	22
178	30	3	19	19
180	31	1	17	17
182	31	2	21	21
186	32	1	17	17
*-	*-	*-	*-	*-
