**absq	**bar	**beat	**b7	**b7
0	1	1	25	36
1.5	1	1.75	-25	34
2	1	2	23	35
3	1	2.5	24	33
3.5	1	2.75	-24	33
4	1	3	25	34
6	1	4	18	34
8	2	1	19	0
9	2	1.5	-19	35
11	2	2.5	-19	35
12	2	3	19	35
17	3	1.5	-19	37
18	3	2	23	-37
19	3	2.5	-23	34
20	3	3	-23	34
22	3	4	22	36
24	4	1	25	-36
26	4	2	-25	32
27	4	2.5	24	-32
28	4	3	23	32
30	4	4	19	33
30.25	4	4.125	-19	32
30.75	4	4.375	-19	33
31	4	4.5	-19	34
31.25	4	4.625	-19	35
31.75	4	4.875	-19	34
32	5	1	23	34
36	5	3	-23	34
37	5	3.5	-23	34
37.5	5	3.75	-23	35
38	5	4	22	36
39	5	4.5	-22	35
39.5	5	4.75	-22	34
40	6	1	22	33
40.75	6	1.375	-22	34
41	6	1.5	-22	33
41.75	6	1.875	-22	34
42	6	2	21	35
42.75	6	2.375	-21	36
43	6	2.5	-21	35
43.75	6	2.875	-21	36
44	6	3	-21	37
45	6	3.5	-21	30
45.75	6	3.875	-21	31
46	6	4	21	30
46.75	6	4.375	-21	31
47	6	4.5	-21	32
47.5	6	4.75	-21	33
48	7	1	22	31
50	7	2	-22	32
53	7	3.5	-22	31
53.5	7	3.75	-22	30
54	7	4	20	31
56	8	1	23	32
58	8	2	-23	32
59.5	8	2.75	-23	33
60	8	3	22	34
61	8	3.5	-22	33
61.5	8	3.75	-22	32
62	8	4	-22	33
64	9	1	18	32
68	10	1	25	32
72	10	2	24	33
76	10	3	22	34
80	11	1	21	35
88	11	3	24	33
92	12	1	23	34
94	12	2	-23	34
95	12	2.5	22	-34
96	12	3	21	35
97	12	3.5	-21	34
97.5	12	3.75	-21	33
98	12	4	25	34
98.5	12	4.25	-25	35
99	12	4.5	22	33
100	13	1	25	32
101	13	1.5	-25	36
102	13	2	24	-36
103	13	2.5	26	35
105	13	3.5	22	36
106	13	4	23	34
108	14	1	23	34
109	14	1.5	-23	32
111	14	2.5	22	33
112	14	3	21	-33
113	14	3.5	-21	33
114	14	4	22	33
116	15	1	18	32
120	15	3	17	0
121	15	3.5	-17	33
122	15	4	19	-33
123	15	4.5	-19	30
123.5	15	4.75	-19	30
124	16	1	22	31
125.5	16	1.75	21	32
126	16	2	20	32
128	16	3	19	33
132	17	1	22	0
134	17	2	20	32
136	17	3	21	30
139	17	4.5	-21	31
140	18	1	24	31
142	18	2	22	31
145	18	3.5	-22	32
146	18	4	25	32
148	19	1	23	32
151	19	2.5	-23	33
152	19	3	19	33
153.5	19	3.75	-19	34
154	19	4	-19	35
156	20	1	23	-35
157	20	1.5	-23	34
158	20	2	-23	34
160	20	3	21	33
162	20	4	22	0
163	20	4.5	-22	33
164	21	1	18	34
167	21	2.5	-18	35
168	21	3	21	35
170	21	4	19	35
173	22	1.5	-19	36
174	22	2	22	36
176	22	3	20	36
179	22	4.5	-20	37
180	23	1	23	37
183	23	2.5	24	36
184	23	3	25	36
188	24	1	21	35
190	24	2	20	0
191	24	2.5	-20	36
192	24	3	22	-36
193	24	3.5	-22	35
193.75	24	3.875	-22	34
194	24	4	23	34
196	25	1	24	-34
196.75	25	1.375	-24	33
197	25	1.5	-24	33
197.75	25	1.875	-24	32
198	25	2	25	32
199	25	2.5	20	-32
200	25	3	22	-32
201	25	3.5	-22	33
202	25	4	-22	33
204	26	1	18	32
*-	*-	*-	*-	*-
