**absq	**bar	**beat	**b7	**b7
0	1	1	0	32
1	1	1.5	0	31
1.5	1	1.75	0	31
2	1	2	25	32
3	1	2.5	22	33
3.5	1	2.75	22	-33
4	1	3	23	0
5	1	3.5	22	36
6	1	4	0	34
7	1	4.5	25	-34
7.5	1	4.75	-25	34
8	2	1	-25	34
9	2	1.5	24	35
10	2	2	27	36
11	2	2.5	-27	29
12	2	3	24	33
14	2	4	25	32
16	3	1	22	-32
17	3	1.5	-22	31
18	3	2	-22	31
20	3	3	0	32
22	3	4	18	-32
24	4	1	21	0
25	4	1.5	20	0
26	4	2	21	32
28	4	3	0	35
29	4	3.5	0	34
30	4	4	0	35
31	4	4.5	24	35
32	5	1	24	33
33	5	1.5	-24	33
34	5	2	20	34
36	5	3	18	-34
37	5	3.5	18	34
38	5	4	19	33
40	6	1	22	31
41	6	1.5	-22	31
43	6	2.5	-22	31
44	6	3	0	31
48	7	1	0	32
50	7	2	0	33
52	7	3	20	34
55	7	4.5	20	-34
56	8	1	20	0
58	8	2	22	0
59	8	2.5	21	0
60	8	3	24	0
62	8	4	20	0
64	9	1	21	0
65.5	9	1.75	19	0
66	9	2	21	0
68	9	3	22	0
70	9	4	-22	33
72	10	1	0	34
73.5	10	1.75	0	33
74	10	2	0	34
76	10	3	0	33
78	10	4	19	30
81	11	1.5	19	30
82	11	2	19	30
84	11	3	-19	33
86	11	4	22	-33
87	11	4.5	-22	33
87.5	11	4.75	22	-33
88	12	1	22	33
90	12	2	25	0
91	12	2.5	23	35
92	12	3	24	33
93	12	3.5	25	34
94	12	4	0	35
96	13	1	20	0
97	13	1.5	19	0
98	13	2	20	36
99	13	2.5	-20	34
100	13	3	24	-34
101	13	3.5	-24	33
102	13	4	21	35
104	14	1	-21	32
105	14	1.5	20	34
106	14	2	24	33
108	14	3	25	32
110	14	4	22	31
112	15	1	25	32
115	15	2.5	23	32
116	15	3	24	33
117	15	3.5	20	34
118	15	4	23	32
120	16	1	22	31
124	16	3	0	33
125	16	3.5	0	34
126	16	4	0	35
128	17	1	0	35
130	17	2	0	33
132	17	3	0	35
135	17	4.5	0	35
136	18	1	0	34
137	18	1.5	0	33
138	18	2	0	36
141	18	3.5	0	35
142	18	4	0	35
144	19	1	27	36
145	19	1.5	-27	36
146	19	2	25	34
147	19	2.5	24	35
148	19	3	27	36
149	19	3.5	26	35
150	19	4	27	-35
150.5	19	4.25	-27	34
151	19	4.5	-27	34
151.5	19	4.75	26	-34
151.75	19	4.875	25	-34
152	20	1	24	-34
152.5	20	1.25	-24	33
152.75	20	1.375	-24	32
153	20	1.5	-24	33
154	20	2	20	34
155	20	2.5	27	-34
156	20	3	24	0
157	20	3.5	22	0
158	20	4	25	36
160	21	1	0	35
161	21	1.5	22	36
162	21	2	18	34
163	21	2.5	18	-34
164	21	3	22	0
164.5	21	3.25	23	0
165	21	3.5	24	33
165.5	21	3.75	25	-33
166	21	4	26	33
167	21	4.5	-26	30
168	22	1	0	31
168.5	22	1.25	0	32
169	22	1.5	0	33
169.5	22	1.75	0	34
170	22	2	0	35
174	22	4	0	0
176	23	1	0	0
178	23	2	22	33
179	23	2.5	22	33
179.5	23	2.75	22	33
180	23	3	20	29
181	23	3.5	18	36
182	23	4	25	34
184	24	1	22	33
186	24	2	-22	36
188	24	3	0	34
190	24	4	0	35
192	25	1	0	33
194	25	2	22	-33
196	25	3	25	0
198	25	4	23	0
200	26	1	24	0
202	26	2	22	0
204	26	3	21	0
206	26	4	20	36
207	26	4.5	-20	36
207.5	26	4.75	-20	36
208	27	1	21	35
210	27	2	18	34
212	27	3	22	33
214	27	4	18	34
216	28	1	25	34
219	28	2.5	25	34
219.5	28	2.75	25	34
220	28	3	25	34
224	29	1	23	32
227	29	2.5	23	32
227.5	29	2.75	23	32
228	29	3	23	32
232	30	1	0	34
233	30	1.5	0	33
233.5	30	1.75	0	34
234	30	2	0	33
235	30	2.5	0	31
236	30	3	0	32
238	30	4	0	31
240	31	1	22	0
241	31	1.5	21	0
241.5	31	1.75	22	0
242	31	2	21	0
243	31	2.5	19	0
244	31	3	20	0
246	31	4	19	30
248	32	1	0	31
249	32	1.5	0	32
250	32	2	0	33
251	32	2.5	0	31
252	32	3	0	34
254	32	4	0	34
256	33	1	0	0
258	33	2	21	0
260	33	3	20	0
261	33	3.5	21	0
262	33	4	22	0
263	33	4.5	20	0
264	34	1	24	0
266	34	2	20	36
267	34	2.5	20	-36
268	34	3	23	34
270	34	4	21	35
271	34	4.5	24	-35
272	35	1	-24	35
273	35	1.5	20	36
274	35	2	21	35
276	35	3	24	35
278	35	4	-24	35
280	36	1	0	35
281	36	1.5	0	34
282	36	2	28	33
284	36	3	28	0
285	36	3.5	27	0
286	36	4	26	35
288	37	1	0	35
289	37	1.5	0	34
290	37	2	0	33
292	37	3	22	0
294	37	4	22	0
295	37	4.5	21	0
296	38	1	20	31
297	38	1.5	20	-31
298	38	2	20	31
299	38	2.5	17	-31
300	38	3	20	-31
301	38	3.5	-20	31
302	38	4	-20	34
304	39	1	0	0
306	39	2	0	32
308	39	3	0	33
310	39	4	0	33
312	40	1	0	33
314	40	2	0	32
316	40	3	0	33
318	40	4	19	-33
320	41	1	22	33
322	41	2	-22	36
324	41	3	20	36
326	41	4	27	36
328	42	1	24	35
329	42	1.5	-24	35
330	42	2	25	34
332	42	3	22	33
334	42	4	18	36
336	43	1	21	35
338	43	2	24	33
340	43	3	20	34
342	43	4	-20	32
343	43	4.5	21	-32
344	44	1	22	-32
345	44	1.5	-22	31
346	44	2	-22	31
348	44	3	18	32
350	44	4	18	36
352	45	1	21	35
354	45	2	24	33
356	45	3	20	34
358	45	4	-20	32
359	45	4.5	21	-32
360	46	1	22	-32
361	46	1.5	-22	31
362	46	2	-22	31
364	46	3	18	32
*-	*-	*-	*-	*-
