**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	24	28	0	0	0
2	1	1.5	24	28	0	31	0
3	1	1.75	24	28	0	-31	0
4	1	2	-24	-28	0	31	0
4.5	1	2.125	24	28	0	-31	0
5	1	2.25	24	28	0	31	0
6	1	2.5	27	29	0	-31	0
6.5	1	2.625	-27	-29	0	31	0
7	1	2.75	-27	-29	0	31	0
8	2	1	-27	-29	0	32	0
9	2	1.25	28	28	0	-32	0
10	2	1.5	27	29	0	-32	0
11	2	1.75	-27	-29	0	31	0
12	2	2	-27	29	0	32	0
13	2	2.25	26	31	0	33	0
14	2	2.5	25	-31	0	34	0
15	2	2.75	-25	30	0	-34	0
16	3	1	24	31	28	33	0
18	3	1.5	-24	-31	28	33	35
19	3	1.75	-24	-31	28	-33	-35
20	3	2	-24	-31	-28	33	35
20.5	3	2.125	-24	-31	28	-33	-35
21	3	2.25	-24	-31	28	33	35
22	3	2.5	-24	-31	31	-33	-35
22.5	3	2.625	-24	-31	-31	33	35
23	3	2.75	-24	-31	-31	33	35
24	4	1	0	0	-31	33	36
25	4	1.25	0	0	32	34	-36
26	4	1.5	0	0	31	33	-36
27	4	1.75	0	31	-31	-33	35
28	4	2	0	29	-31	33	36
29	4	2.25	0	32	30	35	37
30	4	2.5	0	31	29	-35	38
31	4	2.75	0	-31	-29	34	-38
32	5	1	21	32	28	35	37
33	5	1.25	-21	32	28	35	37
35	5	1.75	21	32	28	35	37
36	5	2	28	32	28	35	37
38	5	2.5	25	32	29	34	36
39	5	2.75	21	32	28	35	37
40	6	1	24	33	28	35	38
42	6	1.5	24	31	28	33	35
44	6	2	0	0	30	32	34
45	6	2.25	0	0	31	29	33
46	6	2.5	0	0	29	31	33
47	6	2.75	0	0	-29	-31	32
47.5	6	2.875	0	0	-29	-31	31
48	7	1	0	0	28	-31	33
50	7	1.5	0	32	-28	30	32
52	7	2	28	-32	0	0	0
54	7	2.5	-28	33	0	35	37
56	8	1	29	-33	0	33	38
57	8	1.25	-29	31	0	-33	-38
58	8	1.5	-29	31	0	-33	-38
59	8	1.75	27	-31	0	34	36
60	8	2	28	30	0	32	35
61	8	2.25	29	31	0	31	34
62	8	2.5	28	-31	0	32	35
63	8	2.75	-28	30	0	-32	-35
64	9	1	24	31	0	33	35
66	9	1.5	0	0	33	0	-35
67	9	1.75	24	31	-33	35	-35
68	9	2	28	30	32	35	0
69	9	2.25	-28	-30	-32	32	0
70	9	2.5	-28	-30	-32	35	0
71	9	2.75	24	31	33	-35	0
72	10	1	25	29	32	34	0
73	10	1.25	26	28	31	35	0
74	10	1.5	25	29	32	-35	0
75	10	1.75	-25	-29	-32	34	39
76	10	2	21	28	30	35	-39
76.5	10	2.125	-21	-28	-30	-35	39
77	10	2.25	-21	-28	32	-35	39
78	10	2.5	-21	-28	-32	-35	39
78.5	10	2.625	-21	-28	32	-35	-39
79	10	2.75	-21	-28	33	-35	38
80	11	1	0	-28	32	-35	37
81	11	1.25	28	-28	-32	-35	-37
81.5	11	1.375	-28	-28	-32	-35	37
82	11	1.5	-28	-28	-32	-35	37
82.5	11	1.625	28	-28	-32	-35	-37
83	11	1.75	28	-28	32	-35	37
84	11	2	28	0	32	0	-37
85	11	2.25	27	0	-32	0	36
85.5	11	2.375	-27	0	29	0	-36
86	11	2.5	26	0	30	0	35
87	11	2.75	-26	0	-30	35	-35
87.5	11	2.875	26	0	-30	-35	-35
88	12	1	26	0	-30	-35	-35
88.5	12	1.125	-26	0	-30	35	-35
89	12	1.25	26	0	30	35	33
90	12	1.5	-26	0	-30	35	-33
90.5	12	1.625	-26	0	-30	-35	33
91	12	1.75	25	0	32	34	34
92	12	2	24	0	28	33	35
93	12	2.25	-24	31	-28	-33	-35
93.5	12	2.375	-24	-31	-28	33	-35
94	12	2.5	-24	-31	-28	33	35
94.5	12	2.625	-24	31	-28	-33	-35
95	12	2.75	24	31	28	33	-35
96	13	1	-24	31	-28	-33	0
96.5	13	1.125	24	-31	28	-33	0
97	13	1.25	21	30	28	32	0
98	13	1.5	22	29	26	31	0
99	13	1.75	-22	-29	-26	-31	38
99.5	13	1.875	-22	29	-26	-31	-38
100	13	2	20	29	27	-31	-38
100.5	13	2.125	-20	-29	-27	-31	38
101	13	2.25	-20	29	-27	31	38
102	13	2.5	0	-29	0	-31	38
102.5	13	2.625	0	-29	0	31	-38
103	13	2.75	0	28	0	32	37
104	14	1	0	27	0	34	36
105	14	1.25	20	-27	31	-34	-36
105.5	14	1.375	-20	-27	-31	-34	36
106	14	1.5	-20	-27	-31	34	36
106.5	14	1.625	20	-27	31	-34	-36
107	14	1.75	20	27	31	-34	36
108	14	2	20	-27	31	0	-36
108.5	14	2.125	-20	27	-31	0	-36
109	14	2.25	21	25	30	32	35
110	14	2.5	25	25	29	-32	34
111	14	2.75	-25	-25	-29	32	-34
111.5	14	2.875	25	-25	29	-32	-34
112	15	1	25	-25	29	32	-34
113	15	1.25	25	-25	29	34	36
114	15	1.5	-25	25	-29	-34	-36
114.5	15	1.625	-25	-25	-29	34	36
115	15	1.75	21	-25	28	32	37
116	15	2	25	0	27	32	36
118	15	2.5	-25	0	-27	-32	36
119	15	2.75	27	0	29	-32	36
120.5	16	1.125	27	0	29	-32	-36
121	16	1.25	28	0	30	-32	35
122	16	1.5	25	25	29	-32	-35
123	16	1.75	-25	-25	-29	-32	34
124	16	2	21	25	28	30	35
125	16	2.25	-21	25	-28	-30	-35
126	16	2.5	-21	25	0	-30	0
127	16	2.75	-21	25	25	-30	37
128	17	1	-21	32	25	0	37
129	17	1.25	-21	-32	25	28	37
130	17	1.5	-21	-32	25	28	37
131	17	1.75	-21	-32	25	28	37
132	17	2	-21	-32	32	28	37
133	17	2.25	-21	-32	-32	28	-37
134	17	2.5	-21	32	28	35	-37
135	17	2.75	-21	-32	-28	35	37
136	18	1	0	31	29	33	36
137	18	1.25	0	32	28	35	37
138	18	1.5	0	33	31	35	38
140	18	2	0	32	28	35	37
142	18	2.5	21	0	0	0	-37
143	18	2.75	-21	32	28	35	-37
144	19	1	21	30	28	32	0
145	19	1.25	21	30	28	32	0
146	19	1.5	21	30	28	32	0
147	19	1.75	21	30	28	32	0
148	19	2	28	31	24	33	0
150	19	2.5	24	-31	28	-33	0
151	19	2.75	-24	31	-28	33	0
152	20	1	25	29	27	32	0
153	20	1.25	24	31	28	33	0
154	20	1.5	27	31	29	34	0
156	20	2	24	31	28	33	0
157	20	2.25	-24	-31	-28	-33	33
158.5	20	2.625	0	0	-28	0	34
159	20	2.75	24	31	-28	33	35
160	21	1	-24	-31	0	-33	35
160.5	21	1.125	24	32	0	34	-35
161	21	1.25	24	33	0	35	33
162	21	1.5	25	32	0	34	36
163	21	1.75	21	30	0	32	35
164	21	2	24	31	0	33	35
165	21	2.25	22	-31	29	-33	36
165.5	21	2.375	-22	30	-29	32	-36
166	21	2.5	22	29	-29	31	36
166.5	21	2.625	-22	-29	30	-31	-36
167	21	2.75	22	26	31	29	-36
168	22	1	21	28	30	32	32
169	22	1.25	-21	-28	28	-32	-32
170	22	1.5	20	24	29	34	0
171	22	1.75	-20	31	-29	-34	36
171.5	22	1.875	-20	-31	28	-34	-36
172	22	2	0	-31	27	0	-36
172.5	22	2.125	0	32	-27	0	37
173	22	2.25	0	33	26	35	38
174	22	2.5	0	32	28	-35	37
174.5	22	2.625	0	-32	-28	35	-37
175	22	2.75	0	30	-28	32	35
176	23	1	0	31	27	34	36
177	23	1.25	27	-31	29	-34	-36
177.5	23	1.375	-27	30	-29	-34	35
178	23	1.5	-27	29	-29	31	34
178.5	23	1.625	28	-29	30	-31	-34
179	23	1.75	29	-29	31	-31	33
180	23	2	28	32	30	0	35
181	23	2.25	26	31	28	35	-35
182	23	2.5	27	-31	31	36	34
183	23	2.75	-27	29	-31	-36	36
183.5	23	2.875	26	-29	31	35	-36
184	24	1	25	0	32	34	-36
185	24	1.25	24	28	33	35	38
186	24	1.5	28	28	32	35	-38
187	24	1.75	-28	-28	-32	-35	37
188	24	2	24	28	31	33	38
190	24	2.5	24	26	28	-33	-38
192	25	1	24	26	28	0	0
193	25	1.25	23	25	28	0	0
194	25	1.5	24	26	29	0	0
195	25	1.75	25	27	29	0	0
196	25	2	26	28	31	0	0
197	25	2.25	-26	-28	30	0	0
197.5	25	2.375	27	29	-30	0	0
198	25	2.5	28	30	30	0	0
199	25	2.75	-28	31	29	0	0
199.5	25	2.875	-28	-31	28	0	0
200	26	1	27	32	29	0	0
201	26	1.25	28	-32	30	0	0
202	26	1.5	-28	-32	29	0	0
203	26	1.75	27	-32	-29	0	0
204	26	2	28	30	28	0	0
206	26	2.5	24	28	-28	31	33
208	27	1	24	28	0	31	33
209	27	1.25	28	28	28	30	32
210	27	1.5	26	28	24	31	33
211	27	1.75	25	29	27	32	34
212	27	2	24	31	26	33	35
213	27	2.25	28	30	-26	-33	-35
213.5	27	2.375	-28	-30	-26	34	36
214	27	2.5	28	30	-26	35	37
215	27	2.75	27	29	26	-35	38
215.5	27	2.875	26	28	-26	-35	-38
216	28	1	25	29	29	34	39
217	28	1.25	-25	30	25	35	-39
218	28	1.5	-25	29	32	-35	-39
219	28	1.75	-25	-29	-32	34	-39
220	28	2	21	28	32	35	37
223	28	2.75	-21	28	32	35	37
224	29	1	0	31	33	35	38
226	29	1.5	0	28	32	35	37
227	29	1.75	28	-28	32	35	37
228	29	2	29	0	31	33	38
229	29	2.25	-29	0	31	34	36
230	29	2.5	28	0	32	35	37
231	29	2.75	-28	0	32	-35	39
232	30	1	0	0	33	-35	37
233	30	1.25	0	0	-33	35	-37
233.5	30	1.375	0	0	32	-35	38
233.75	30	1.4375	0	0	31	-35	-38
234	30	1.5	0	0	32	-35	36
235	30	1.75	0	0	32	34	-36
235.5	30	1.875	0	0	-32	-34	35
235.75	30	1.9375	0	0	-32	-34	34
236	30	2	0	0	31	-34	35
236.5	30	2.125	0	0	-31	33	-35
237	30	2.25	0	0	-31	33	36
237.5	30	2.375	0	0	29	-33	-36
238	30	2.5	0	0	30	-33	34
238.5	30	2.625	0	0	-30	32	-34
239	30	2.75	0	0	-30	32	-34
239.5	30	2.875	0	0	29	-32	35
240	31	1	0	0	29	-32	33
240.5	31	1.125	0	0	-29	31	-33
241	31	1.25	0	0	-29	31	-33
241.5	31	1.375	0	0	27	-31	34
242	31	1.5	0	0	28	-31	32
243	31	1.75	0	0	-28	30	-32
243.5	31	1.875	0	0	26	-30	33
244	31	2	0	0	27	-30	31
245	31	2.25	0	0	-27	29	-31
245.5	31	2.375	0	0	25	-29	32
246	31	2.5	0	0	26	-29	30
246.5	31	2.625	0	0	-26	28	-30
247	31	2.75	0	0	-26	28	-30
247.5	31	2.875	0	0	24	-28	31
248	32	1	0	0	25	27	29
249	32	1.25	0	0	26	28	28
250	32	1.5	0	0	25	-28	29
251	32	1.75	0	0	-25	27	-29
252	32	2	21	0	25	28	30
254	32	2.5	-21	32	-25	0	0
255	32	2.75	-21	-32	-25	35	37
256	33	1	24	33	0	35	38
258	33	1.5	21	32	28	35	37
259	33	1.75	-21	32	-28	35	37
260	33	2	0	31	29	33	38
261	33	2.25	0	31	-29	34	36
262	33	2.5	0	32	28	35	37
263	33	2.75	28	32	28	35	39
264	34	1	24	33	28	35	-39
265	34	1.25	24	-33	28	-35	38
265.5	34	1.375	-24	31	-28	-35	-38
266	34	1.5	28	32	28	35	-38
266.5	34	1.625	-28	-32	-28	-35	37
267	34	1.75	28	-32	-28	32	37
267.5	34	1.875	-28	30	-28	-32	-37
268	34	2	27	31	0	34	-37
268.5	34	2.125	-27	-31	0	-34	36
269	34	2.25	-27	-31	0	-34	36
269.5	34	2.375	25	32	0	-34	-36
270	34	2.5	26	30	0	33	-36
270.5	34	2.625	-26	-30	0	-33	35
271	34	2.75	-26	-30	0	-33	35
271.5	34	2.875	24	31	0	-33	-35
272	35	1	25	29	0	32	-35
272.5	35	1.125	-25	-29	0	-32	34
273	35	1.25	-25	-29	0	-32	34
273.5	35	1.375	23	30	0	-32	-34
274	35	1.5	24	28	0	31	-34
275	35	1.75	-24	-28	0	-31	33
275.5	35	1.875	22	29	0	-31	-33
276	35	2	23	27	0	30	-33
277	35	2.25	-23	-27	0	-30	32
277.5	35	2.375	21	28	0	-30	-32
278	35	2.5	22	26	0	29	-32
278.5	35	2.625	-22	-26	0	-29	31
279	35	2.75	20	27	0	-29	31
280	36	1	21	25	0	28	30
281	36	1.25	22	24	0	27	31
282	36	1.5	21	25	0	28	-31
283	36	1.75	-21	-25	28	-28	30
284	36	2	24	24	28	26	31
285.5	36	2.375	-24	-24	28	-26	-31
286	36	2.5	0	0	28	0	0
287	36	2.75	24	26	24	28	31
288	37	1	20	27	24	31	29
296	38	1	21	25	28	30	32
304	39	1	0	0	0	0	0
304	39	1	28	30	0	32	0
