**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	29
2	1	2	0	0	30
3	1	2.5	0	0	32
4	1	3	29	0	32
5	1	3.5	-29	0	31
6	1	4	25	0	32
7	1	4.5	27	0	-32
8	2	1	26	0	33
9	2	1.5	26	0	33
10	2	2	29	0	31
11	2	2.5	-29	0	31
12	2	3	25	0	32
13.5	2	3.75	-25	0	31
14	2	4	0	0	30
15	2	4.5	0	32	-30
16	3	1	0	31	29
17	3	1.5	0	32	32
18	3	2	0	33	31
18.5	3	2.25	0	-33	32
19	3	2.5	0	31	33
20	3	3	0	28	-33
20.5	3	3.25	0	-28	32
21	3	3.5	0	-28	32
22	3	4	0	29	-32
23	3	4.5	0	-29	31
24	4	1	0	0	32
25	4	1.5	25	0	32
26	4	2	26	0	28
27	4	2.5	28	0	30
28	4	3	28	0	29
29	4	3.5	27	29	-29
29.5	4	3.75	-27	-29	25
30	4	4	28	30	25
31	4	4.5	-28	32	-25
32	5	1	26	32	29
33	5	1.5	-26	31	-29
34	5	2	0	32	0
35	5	2.5	27	-32	29
36	5	3	28	30	30
37	5	3.5	30	-30	32
38	5	4	29	0	32
39	5	4.5	-29	0	31
40	6	1	-29	0	32
41	6	1.5	25	0	-32
42	6	2	26	0	30
43	6	2.5	-26	30	-30
44	6	3	-26	31	0
45	6	3.5	-26	31	0
46	6	4	25	32	29
47.5	6	4.75	-25	31	-29
48	7	1	0	30	30
49	7	1.5	0	-30	32
50	7	2	0	29	32
51	7	2.5	0	-29	31
52	7	3	0	0	32
53.5	7	3.75	0	0	31
54	7	4	0	0	30
55	7	4.5	0	32	-30
56	8	1	0	31	29
57	8	1.5	0	32	-29
58	8	2	0	33	0
60	8	3	0	32	0
61	8	3.5	0	32	0
63	8	4.5	0	31	0
64	9	1	0	32	0
65	9	1.5	27	-32	29
66	9	2	26	0	29
67	9	2.5	27	0	29
68.5	9	3.25	28	0	32
69	9	3.5	29	0	31
70	9	4	-29	0	30
71	9	4.5	28	0	-30
72	10	1	29	0	29
73	10	1.5	-29	29	-29
74	10	2	0	28	0
75	10	2.5	0	29	0
76.5	10	3.25	0	27	0
77	10	3.5	0	26	0
78	10	4	0	30	0
80	11	1	0	26	0
81	11	1.5	0	29	0
82	11	2	0	28	0
83	11	2.5	0	29	0
84	11	3	0	27	0
85	11	3.5	0	26	0
86	11	4	0	30	0
88	12	1	0	26	0
90	12	2	24	29	26
94	12	4	25	29	27
96	13	1	24	29	26
97	13	1.5	25	30	28
99	13	2.5	24	29	26
100	13	3	23	28	26
102	13	4	23	28	26
103	13	4.5	24	29	26
104	14	1	25	30	28
106	14	2	26	31	28
109	14	3.5	26	31	28
110	14	4	26	31	29
112	15	1	25	30	27
116	15	3	25	30	27
117	15	3.5	26	-30	28
118	15	4	26	0	29
119	15	4.5	27	0	29
120.5	16	1.25	28	0	32
121	16	1.5	29	0	31
122	16	2	-29	0	30
123	16	2.5	28	0	-30
124	16	3	29	0	31
125	16	3.5	-29	29	-31
126	16	4	0	28	0
127	16	4.5	0	29	0
128.5	17	1.25	0	27	0
129	17	1.5	0	26	0
130	17	2	0	30	0
132	17	3	0	26	0
133	17	3.5	0	33	0
134	17	4	0	32	0
135	17	4.5	0	29	0
136	18	1	0	30	0
137	18	1.5	0	31	0
138	18	2	0	30	0
140	18	3	0	26	0
142	18	4	26	0	28
146	19	2	22	0	29
148	19	3	26	0	28
149	19	3.5	25	0	29
151	19	4.5	26	0	28
152	20	1	23	0	27
154	20	2	23	0	27
155	20	2.5	26	0	28
156	20	3	25	0	29
158	20	4	28	0	30
161	21	1.5	28	0	30
162	21	2	25	0	29
164	21	3	26	0	28
168	22	1	26	0	28
169	22	1.5	-26	30	-28
170	22	2	0	31	0
171	22	2.5	22	-31	29
171.5	22	2.75	-22	30	-29
172	22	3	22	29	31
172.5	22	3.25	23	-29	-31
173	22	3.5	24	28	-31
173.5	22	3.75	25	-28	30
174	22	4	26	31	29
175	22	4.5	-26	-31	28
175.5	22	4.75	25	-31	-28
176	23	1	26	-31	24
177	23	1.5	27	-31	-24
178	23	2	28	30	25
179	23	2.5	-28	30	28
180	23	3	25	32	29
181.5	23	3.75	-25	-32	30
182	23	4	-25	-32	29
183	23	4.5	-25	32	32
184	24	1	-25	29	32
185	24	1.5	-25	30	-32
186	24	2	-25	29	-32
188	24	3	0	28	30
189	24	3.5	0	28	30
190.5	24	4.25	0	28	30
191	24	4.5	0	30	30
192	25	1	0	29	31
193	25	1.5	25	-29	32
193.5	25	1.75	-25	29	-32
194	25	2	-25	28	30
194.5	25	2.25	25	-28	-30
195	25	2.5	23	-28	-30
196	25	3	26	0	-30
197	25	3.5	22	0	29
198	25	4	25	29	27
199	25	4.5	22	-29	-27
200	26	1	23	28	28
202	26	2	22	27	29
204	26	3	22	26	-29
208	27	1	22	25	29
*-	*-	*-	*-	*-	*-
