**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	26	33	35	37
2	1	2	0	28	30	33	37
4	1	3	0	29	33	33	38
5	1	3.5	0	25	34	36	39
7	1	4.5	0	28	33	35	37
8	2	1	0	30	32	34	37
10	2	2	0	30	32	34	37
11	2	2.5	0	-30	-32	34	-37
12	2	3	0	0	0	35	0
12.5	2	3.25	0	0	0	33	0
13	2	3.5	0	0	30	35	0
13.5	2	3.75	0	0	-30	34	0
14	2	4	0	0	31	33	0
14.5	2	4.25	0	0	29	-33	0
15	2	4.5	26	28	31	33	0
15.5	2	4.75	-26	-28	30	-33	0
16	3	1	27	29	29	0	0
16.5	3	1.25	25	27	-29	0	0
17	3	1.5	27	29	-29	0	0
17.5	3	1.75	26	28	-29	0	0
18	3	2	25	27	-29	0	0
19	3	2.5	-25	-27	-29	0	36
20	3	3	21	28	32	0	37
20.5	3	3.25	-21	-28	-32	0	35
21	3	3.5	-21	-28	-32	32	37
21.5	3	3.75	-21	-28	-32	-32	36
22	3	4	0	0	0	33	35
22.5	3	4.25	0	0	0	31	-35
23	3	4.5	0	28	30	33	35
23.5	3	4.75	0	-28	-30	32	-35
24	4	1	0	29	31	31	0
24.5	4	1.25	0	27	29	32	0
25	4	1.5	0	29	31	33	0
25.5	4	1.75	0	28	30	-33	0
26	4	2	0	27	29	-33	0
27	4	2.5	0	-27	-29	32	0
28	4	3	0	26	30	33	0
30	4	4	22	26	29	33	38
32	5	1	24	-26	29	33	36
33	5	1.5	-24	26	-29	-33	-36
34	5	2	25	25	29	34	36
35	5	2.5	21	-25	30	35	39
36	5	3	-21	28	-30	-35	-39
37	5	3.5	24	29	26	33	38
38	5	4	26	28	30	33	37
40	6	1	26	28	30	33	37
41	6	1.5	-26	-28	-30	-33	37
42	6	2	0	0	0	0	36
42.5	6	2.25	0	0	0	0	38
43	6	2.5	0	0	32	34	36
43.5	6	2.75	0	0	-32	-34	37
44	6	3	0	0	31	33	38
44.5	6	3.25	0	0	33	35	-38
45	6	3.5	0	0	31	33	-38
45.5	6	3.75	0	0	32	34	-38
46	6	4	0	0	33	35	37
47	6	4.5	28	30	32	35	-37
48	7	1	27	29	0	0	0
48.5	7	1.25	29	31	0	0	0
49	7	1.5	27	29	32	0	0
49.5	7	1.75	28	30	-32	0	0
50	7	2	29	31	31	0	0
50.5	7	2.25	-29	-31	33	0	0
51	7	2.5	-29	-31	31	0	36
51.5	7	2.75	-29	-31	32	0	-36
52	7	3	26	30	33	0	35
52.5	7	3.25	-26	-30	32	0	37
52.75	7	3.375	-26	-30	31	0	-37
53	7	3.5	-26	26	30	33	35
53.5	7	3.75	24	-26	31	-33	36
54	7	4	23	27	32	32	37
54.5	7	4.25	25	-27	-32	34	-37
55	7	4.5	23	28	-32	32	-37
55.5	7	4.75	24	-28	-32	33	-37
56	8	1	25	27	-32	34	36
56.5	8	1.25	-25	-27	-32	-34	39
57	8	1.5	-25	30	-32	35	37
57.5	8	1.75	-25	-30	-32	-35	38
58	8	2	25	29	32	-35	39
59	8	2.5	-25	-29	-32	34	-39
60	8	3	0	28	0	35	37
62	8	4	0	0	0	0	0
63	8	4.5	23	25	32	35	39
64	9	1	24	28	31	33	35
65	9	1.5	21	28	32	35	37
66.5	9	2.25	21	25	32	35	37
67	9	2.5	20	29	32	36	39
68	9	3	22	29	33	36	38
70	9	4	25	29	34	36	39
71	9	4.5	-25	-29	-34	29	-39
72	10	1	0	0	0	29	0
72.5	10	1.25	0	0	0	29	0
73	10	1.5	28	0	30	30	0
73.5	10	1.75	-28	0	-30	31	0
74	10	2	28	0	30	32	0
74.5	10	2.25	28	0	30	-32	0
75	10	2.5	27	25	29	-32	34
75.5	10	2.75	26	-25	28	-32	-34
76	10	3	25	25	27	-32	34
76.5	10	3.25	-25	25	-27	-32	34
77	10	3.5	24	26	26	28	35
77.5	10	3.75	-24	27	-26	-28	36
78	10	4	23	28	30	32	37
78.5	10	4.25	-23	-28	-30	30	-37
79	10	4.5	-23	26	-30	33	35
80	11	1	-23	27	30	-33	34
81	11	1.5	-23	-27	-30	32	-34
82	11	2	23	30	-30	-32	34
83	11	2.5	26	30	-30	33	35
84	11	3	25	32	0	34	36
85	11	3.5	23	32	0	35	37
86	11	4	25	32	0	34	36
88	12	1	25	32	0	34	36
90	12	2	0	29	31	33	36
91	12	2.5	0	29	31	34	36
92	12	3	0	28	32	35	37
94	12	4	0	25	32	34	36
95	12	4.5	0	26	30	33	35
96	13	1	0	29	31	33	36
98	13	2	0	30	30	32	34
100	13	3	26	28	30	33	0
101	13	3.5	26	28	31	33	0
102	13	4	25	29	32	34	0
104	14	1	21	30	32	35	0
105	14	1.5	22	29	31	33	0
106	14	2	25	29	32	34	0
108	14	3	26	28	30	33	0
109	14	3.5	-26	-28	-30	-33	37
110	14	4	0	0	0	0	35
110.5	14	4.25	0	0	0	0	33
111	14	4.5	0	0	32	0	36
111.5	14	4.75	0	0	-32	0	37
112	15	1	0	0	31	0	38
112.5	15	1.25	0	0	29	0	-38
113	15	1.5	0	29	33	0	-38
113.5	15	1.75	0	-29	34	0	-38
114	15	2	0	28	35	0	37
114.5	15	2.25	0	26	-35	0	-37
115	15	2.5	26	30	33	35	-37
115.5	15	2.75	-26	31	-33	-35	-37
116	15	3	25	32	0	34	0
116.5	15	3.25	23	-32	0	32	0
117	15	3.5	26	28	33	35	38
117.5	15	3.75	27	-28	-33	36	-38
118	15	4	28	0	32	37	37
118.5	15	4.25	-28	0	30	-37	35
119	15	4.5	26	0	28	37	37
119.5	15	4.75	-26	0	29	-37	38
120	16	1	25	32	30	34	39
121	16	1.5	25	32	29	34	-39
121.5	16	1.75	25	32	-29	34	-39
122	16	2	25	32	0	34	36
123	16	2.5	24	33	0	35	-36
124	16	3	25	32	0	34	36
125	16	3.5	-25	-32	32	34	36
125.5	16	3.75	-25	-32	-32	-34	36
126	16	4	0	0	31	33	36
127	16	4.5	0	0	30	32	37
128	17	1	0	0	32	34	36
129	17	1.5	23	0	-32	33	39
129.5	17	1.75	-23	0	-32	32	-39
130	17	2	22	0	-32	33	38
130.5	17	2.25	-22	0	-32	34	-38
131	17	2.5	21	0	-32	35	37
132	17	3	25	0	32	-35	36
133	17	3.5	-25	0	-32	34	-36
134	17	4	21	0	32	35	37
135	17	4.5	-21	0	32	-35	-37
135.5	17	4.75	-21	0	32	-35	-37
136	18	1	0	28	32	0	37
137	18	1.5	0	28	33	0	37
137.5	18	1.75	0	28	-33	0	37
138	18	2	0	28	32	0	37
139	18	2.5	0	27	-32	0	36
140	18	3	26	28	0	35	37
140.5	18	3.25	-26	-28	33	-35	-37
141	18	3.5	26	-28	33	35	38
141.5	18	3.75	26	-28	33	35	-38
142	18	4	26	0	33	35	37
143	18	4.5	27	0	31	36	36
144	19	1	26	0	33	35	37
145	19	1.5	24	31	33	36	33
146	19	2	23	32	32	34	0
146.5	19	2.25	-23	-32	-32	35	0
147	19	2.5	22	33	31	36	0
148	19	3	26	33	30	-36	0
149	19	3.5	-26	-33	-30	35	0
150	19	4	22	33	31	36	0
151	19	4.5	-22	-33	-31	-36	36
152	20	1	0	0	0	0	35
152.5	20	1.25	0	0	0	0	33
153	20	1.5	0	0	32	0	36
153.5	20	1.75	0	0	-32	0	37
154	20	2	0	0	31	0	38
154.5	20	2.25	0	0	29	0	-38
155	20	2.5	0	29	33	0	-38
155.5	20	2.75	0	-29	34	0	-38
156	20	3	0	28	35	0	37
156.5	20	3.25	0	26	-35	0	-37
157	20	3.5	26	30	33	35	-37
157.5	20	3.75	-26	31	-33	-35	-37
158	20	4	25	32	0	34	0
158.5	20	4.25	23	-32	0	32	0
159	20	4.5	26	28	33	35	38
159.5	20	4.75	27	-28	-33	36	-38
160	21	1	28	0	32	37	37
160.5	21	1.25	-28	0	30	-37	35
161	21	1.5	26	0	28	37	37
161.5	21	1.75	-26	0	29	-37	38
162	21	2	25	32	30	34	39
163	21	2.5	25	32	29	34	-39
163.5	21	2.75	25	32	-29	34	-39
164	21	3	25	32	0	34	36
165	21	3.5	24	33	0	35	-36
166	21	4	25	32	0	34	36
167	21	4.5	-25	-32	32	34	36
167.5	21	4.75	-25	-32	-32	-34	36
168	22	1	0	0	31	33	36
169	22	1.5	0	0	30	32	37
170	22	2	0	0	32	34	36
171	22	2.5	23	0	-32	33	39
171.5	22	2.75	-23	0	-32	32	-39
172	22	3	22	0	-32	33	38
172.5	22	3.25	-22	0	-32	34	-38
173	22	3.5	21	0	-32	35	37
174	22	4	25	0	32	-35	36
175	22	4.5	-25	0	-32	34	-36
176	23	1	21	0	32	35	37
177	23	1.5	-21	0	32	-35	-37
177.5	23	1.75	-21	0	32	-35	-37
178	23	2	0	28	32	0	37
179	23	2.5	0	28	33	0	37
179.5	23	2.75	0	28	-33	0	37
180	23	3	0	28	32	0	37
181	23	3.5	0	27	-32	0	36
182	23	4	26	28	0	35	37
182.5	23	4.25	-26	-28	33	-35	-37
183	23	4.5	26	-28	33	35	38
183.5	23	4.75	26	-28	33	35	-38
184	24	1	26	0	33	35	37
185	24	1.5	27	0	31	36	36
186	24	2	26	0	33	35	37
187	24	2.5	24	0	33	-35	33
187.5	24	2.75	-24	0	-33	31	33
188	24	3	23	0	32	32	34
188.5	24	3.25	-23	0	-32	-32	35
189	24	3.5	22	0	31	33	36
190	24	4	26	0	30	33	-36
191	24	4.5	-26	0	-30	-33	35
192	25	1	22	0	33	31	36
194	25	2	25	27	29	32	34
195	25	2.5	25	27	29	32	34
195.5	25	2.75	25	27	29	32	34
196	25	3	25	27	29	32	34
197	25	3.5	26	26	28	31	35
198	25	4	25	27	29	32	34
200	26	1	0	32	30	0	0
201	26	1.5	21	32	30	37	0
201.5	26	1.75	-21	32	30	-37	0
202	26	2	20	32	30	36	0
203	26	2.5	19	33	30	35	0
204	26	3	23	32	30	34	0
205	26	3.5	-23	28	-30	30	37
205.5	26	3.75	-23	-28	28	-30	-37
206	26	4	-23	27	29	33	36
207	26	4.5	-23	26	30	-33	35
208	27	1	-23	27	30	-33	34
209	27	1.5	-23	-27	-30	32	-34
209.5	27	1.75	-23	-27	-30	31	-34
210	27	2	-23	-27	-30	32	-34
212	27	3	19	26	30	33	35
*-	*-	*-	*-	*-	*-	*-	*-
